,index,adjusted,underlying
0,2019-12-13,1980.75,1774.5
1,2019-12-16,1993.75,1787.5
2,2019-12-17,1979.0,1780.5
3,2019-12-18,1998.0,1799.5
4,2019-12-19,2009.75,1811.25
5,2019-12-20,2018.5,1820.0
6,2019-12-23,2023.25,1824.75
7,2019-12-27,2040.5,1842.0
8,2019-12-30,2044.5,1846.0
9,2019-12-31,2040.25,1841.75
10,2020-01-03,2035.75,1837.25
11,2020-01-06,2050.5,1852.0
12,2020-01-07,2028.25,1829.75
13,2020-01-08,2011.25,1812.75
14,2020-01-09,2016.0,1817.5
15,2020-01-10,2024.0,1825.5
16,2020-01-13,2010.5,1812.0
17,2020-01-14,2020.0,1821.5
18,2020-01-15,2014.25,1815.75
19,2020-01-16,2023.25,1824.75
20,2020-01-17,,
21,2020-01-21,,
22,2020-01-22,,
23,2020-01-23,,
24,2020-01-24,2002.25,1803.75
25,2020-01-27,,
26,2020-01-28,1976.75,1783.0
27,2020-01-29,1950.75,1757.0
28,2020-01-30,1951.5,1757.75
29,2020-02-03,1909.5,1715.75
30,2020-02-04,1916.5,1722.75
31,2020-02-05,1927.75,1734.0
32,2020-02-06,1956.25,1762.5
33,2020-02-07,1929.25,1735.5
34,2020-02-10,1925.25,1731.5
35,2020-02-11,1942.0,1748.25
36,2020-02-12,1952.0,1758.25
37,2020-02-13,1944.5,1750.75
38,2020-02-14,1953.0,1759.25
39,2020-02-18,1922.75,1729.0
40,2020-02-19,1928.75,1735.0
41,2020-02-20,1916.0,1722.25
42,2020-02-21,1903.25,1709.5
43,2020-02-24,1901.75,1708.0
44,2020-02-25,1913.75,1720.0
45,2020-02-26,,
46,2020-02-27,1882.25,1688.5
47,2020-02-28,1886.5,1692.75
48,2020-03-02,1910.5,1716.75
49,2020-03-03,1920.0,1725.5
50,2020-03-04,1923.5,1729.0
51,2020-03-05,1909.5,1715.0
52,2020-03-06,1877.5,1683.0
53,2020-03-09,1868.75,1674.25
54,2020-03-10,1890.0,1695.5
55,2020-03-11,1879.75,1685.25
56,2020-03-12,1858.25,1663.75
57,2020-03-13,1873.25,1678.75
58,2020-03-16,,
59,2020-03-17,,
60,2020-03-18,,
61,2020-03-19,1835.25,1640.75
62,2020-03-20,,
63,2020-03-23,,
64,2020-03-24,,
65,2020-03-26,,
66,2020-03-27,,
67,2020-03-30,1724.5,1530.0
68,2020-03-31,1709.5,1521.0
69,2020-04-01,1690.5,1502.0
70,2020-04-02,1700.5,1512.0
71,2020-04-03,1691.25,1502.75
72,2020-04-06,1666.0,1477.5
73,2020-04-07,1663.5,1475.0
74,2020-04-08,1659.0,1470.5
75,2020-04-09,1668.5,1480.0
76,2020-04-14,1682.5,1494.0
77,2020-04-15,1692.5,1504.0
78,2020-04-16,1714.5,1526.0
79,2020-04-28,,
