,index,adjusted,underlying
0,2006-12-12,190.48000000000005,168.0
1,2006-12-13,190.68000000000004,168.2
2,2006-12-14,192.18000000000004,169.7
3,2006-12-15,191.18000000000004,168.7
4,2006-12-18,189.2800000000001,166.8
5,2006-12-19,190.08,167.6
6,2006-12-20,189.2800000000001,166.8
7,2006-12-21,188.58,166.1
8,2006-12-22,189.08,166.6
9,2006-12-26,188.7800000000001,166.3
10,2006-12-27,188.18000000000004,165.7
11,2006-12-28,188.88,166.4
12,2006-12-29,188.88,166.4
13,2007-01-03,183.68000000000004,161.2
14,2007-01-04,182.08,159.6
15,2007-01-05,180.18000000000004,157.7
16,2007-01-08,179.28000000000006,156.8
17,2007-01-09,178.38000000000002,155.9
18,2007-01-10,179.88000000000002,157.4
19,2007-01-11,179.78000000000006,157.3
20,2007-01-12,181.98000000000005,159.5
21,2007-01-16,181.18000000000004,158.7
22,2007-01-17,180.88,158.4
23,2007-01-18,180.98000000000005,158.5
24,2007-01-19,182.38,159.9
25,2007-01-22,183.98000000000005,161.5
26,2007-01-23,186.98000000000005,164.5
27,2007-01-24,186.18000000000004,163.7
28,2007-01-25,185.08,162.6
29,2007-01-26,185.58,163.1
30,2007-01-29,182.48000000000005,160.0
31,2007-01-30,187.48000000000005,165.0
32,2007-01-31,189.08,166.6
33,2007-02-01,187.58,165.1
34,2007-02-02,187.58,165.1
35,2007-02-05,188.48000000000005,166.0
36,2007-02-06,188.2800000000001,165.8
37,2007-02-07,187.18000000000004,164.7
38,2007-02-08,188.68000000000004,166.2
39,2007-02-09,190.18000000000004,167.7
40,2007-02-12,186.58,164.1
41,2007-02-13,188.68000000000004,166.2
42,2007-02-14,188.18000000000004,165.7
43,2007-02-15,189.48000000000005,167.0
44,2007-02-16,190.48000000000005,168.0
45,2007-02-20,189.2800000000001,166.8
46,2007-02-21,192.08,169.6
47,2007-02-22,194.2800000000001,171.8
48,2007-02-23,195.58,173.1
49,2007-02-26,195.98000000000005,173.5
50,2007-02-27,194.2800000000001,171.8
51,2007-02-28,193.88,171.4
52,2007-03-01,194.48000000000005,172.0
53,2007-03-02,190.38,167.9
54,2007-03-05,188.08,165.6
55,2007-03-06,189.98000000000005,167.5
56,2007-03-07,191.68000000000004,169.2
57,2007-03-08,192.38,169.9
58,2007-03-09,190.68000000000004,168.2
59,2007-03-12,189.38,166.9
60,2007-03-13,188.48000000000005,166.2
61,2007-03-14,188.68000000000004,166.4
62,2007-03-15,188.68000000000004,166.4
63,2007-03-16,188.88,166.6
64,2007-03-19,188.48000000000005,166.2
65,2007-03-20,188.68000000000004,166.4
66,2007-03-21,189.58000000000007,167.3
67,2007-03-22,192.2800000000001,170.0
68,2007-03-23,191.68000000000004,169.4
69,2007-03-26,192.18000000000004,169.9
70,2007-03-27,191.68000000000004,169.4
71,2007-03-28,193.38,171.1
72,2007-03-29,194.2800000000001,172.0
73,2007-03-30,193.7800000000001,171.5
74,2007-04-02,193.38,171.1
75,2007-04-03,192.88,170.6
76,2007-04-04,194.98000000000005,172.7
77,2007-04-05,195.18000000000004,172.9
78,2007-04-09,195.08000000000007,172.8
79,2007-04-10,196.58000000000007,174.3
80,2007-04-11,196.2800000000001,174.0
81,2007-04-12,196.18000000000004,173.9
82,2007-04-13,196.38,174.1
83,2007-04-16,194.98000000000005,172.7
84,2007-04-17,194.2800000000001,172.0
85,2007-04-18,193.68000000000004,171.4
86,2007-04-19,193.2800000000001,171.0
87,2007-04-20,194.68000000000004,172.4
88,2007-04-23,195.88,173.6
89,2007-04-24,194.08000000000007,171.8
90,2007-04-25,195.98000000000005,173.7
91,2007-04-26,194.18000000000004,171.9
92,2007-04-27,195.58000000000007,173.3
93,2007-04-30,195.7800000000001,173.5
94,2007-05-01,195.2800000000001,173.0
95,2007-05-02,194.7800000000001,172.5
96,2007-05-03,196.2800000000001,174.0
97,2007-05-04,196.2800000000001,174.0
98,2007-05-07,194.98000000000005,172.7
99,2007-05-08,194.38,172.1
100,2007-05-09,193.88,171.6
101,2007-05-10,192.88,170.6
102,2007-05-11,195.88,173.6
103,2007-05-14,194.88,172.6
104,2007-05-15,195.2800000000001,173.0
105,2007-05-16,194.48000000000005,172.2
106,2007-05-17,195.38,173.1
107,2007-05-18,195.18000000000004,172.9
108,2007-05-21,197.08000000000007,174.8
109,2007-05-22,193.7800000000001,171.5
110,2007-05-23,193.48000000000005,171.2
111,2007-05-24,192.68000000000004,170.4
112,2007-05-25,193.98000000000005,171.7
113,2007-05-29,192.58000000000007,170.3
114,2007-05-30,193.58000000000007,171.3
115,2007-05-31,194.88,172.6
116,2007-06-01,196.18000000000004,173.9
117,2007-06-04,197.88,175.6
118,2007-06-05,197.38,175.1
119,2007-06-06,196.18000000000004,173.9
120,2007-06-07,195.2800000000001,173.0
121,2007-06-08,192.68000000000004,170.4
122,2007-06-11,194.2800000000001,172.0
123,2007-06-12,193.2800000000001,170.9
124,2007-06-13,194.58,172.2
125,2007-06-14,196.98000000000005,174.6
126,2007-06-15,198.48000000000005,176.1
127,2007-06-18,198.68000000000004,176.3
128,2007-06-19,196.2800000000001,173.9
129,2007-06-20,195.68000000000004,173.3
130,2007-06-21,194.7800000000001,172.4
131,2007-06-22,193.38,171.0
132,2007-06-25,192.98000000000005,170.6
133,2007-06-26,190.38,168.0
134,2007-06-27,191.08,168.7
135,2007-06-28,191.48000000000005,169.1
136,2007-06-29,192.58,170.2
137,2007-07-02,193.38,171.0
138,2007-07-03,192.58,170.2
139,2007-07-05,193.2800000000001,170.9
140,2007-07-06,194.2800000000001,171.9
141,2007-07-09,194.2800000000001,171.9
142,2007-07-10,195.38,173.0
143,2007-07-11,195.88,173.5
144,2007-07-12,195.88,173.5
145,2007-07-13,197.18000000000004,174.8
146,2007-07-16,193.58,171.2
147,2007-07-17,191.98000000000005,169.6
148,2007-07-18,195.08,172.7
149,2007-07-19,196.38,174.0
150,2007-07-20,196.08,173.7
151,2007-07-23,192.88,170.5
152,2007-07-24,192.08,169.7
153,2007-07-25,191.7800000000001,169.4
154,2007-07-26,190.98000000000005,168.6
155,2007-07-27,192.98000000000005,170.6
156,2007-07-30,193.68000000000004,171.3
157,2007-07-31,194.68000000000004,172.3
158,2007-08-01,193.58,171.2
159,2007-08-02,193.08,170.7
160,2007-08-03,192.38,170.0
161,2007-08-06,190.18000000000004,167.8
162,2007-08-07,190.2800000000001,167.9
163,2007-08-08,190.98000000000005,168.6
164,2007-08-09,190.18000000000004,167.8
165,2007-08-10,190.2800000000001,167.9
166,2007-08-13,190.7800000000001,168.4
167,2007-08-14,189.88,167.5
168,2007-08-15,189.7800000000001,167.4
169,2007-08-16,183.98000000000005,161.6
170,2007-08-17,186.08,163.7
171,2007-08-20,184.68000000000004,162.3
172,2007-08-21,183.7800000000001,161.4
173,2007-08-22,184.18000000000004,161.8
174,2007-08-23,185.2800000000001,162.9
175,2007-08-24,186.7800000000001,164.4
176,2007-08-27,186.08,163.7
177,2007-08-28,185.7800000000001,163.4
178,2007-08-29,186.88,164.5
179,2007-08-30,187.48000000000005,165.1
180,2007-08-31,188.38,166.0
181,2007-09-04,189.68000000000004,167.3
182,2007-09-05,189.2800000000001,166.9
183,2007-09-06,189.18000000000004,166.8
184,2007-09-07,189.68000000000004,167.3
185,2007-09-10,191.18000000000004,168.8
186,2007-09-11,192.68000000000004,170.3
187,2007-09-12,194.98000000000005,172.6
188,2007-09-13,194.38,172.0
189,2007-09-14,194.98000000000005,172.6
