,index,adjusted,underlying
0,2017-12-22,19200.0,14250.0
1,2017-12-26,20640.0,15690.0
2,2017-12-27,20085.0,15135.0
3,2017-12-28,19055.0,14105.0
4,2017-12-29,19760.0,14810.0
5,2018-01-02,19740.0,14790.0
6,2018-01-03,19955.0,15005.0
7,2018-01-04,20040.0,15090.0
8,2018-01-05,21790.0,16840.0
9,2018-01-07,21255.0,16305.0
10,2018-01-08,19890.0,14940.0
11,2018-01-09,19240.0,14290.0
12,2018-01-10,19775.0,14825.0
13,2018-01-11,17950.0,13000.0
14,2018-01-12,18760.0,13810.0
15,2018-01-14,18705.0,13755.0
16,2018-01-15,18455.0,13505.0
17,2018-01-16,16250.0,11300.0
18,2018-01-17,16185.0,11235.0
19,2018-01-18,16710.0,11760.0
20,2018-01-19,16480.0,11530.0
21,2018-01-21,16345.0,11395.0
22,2018-01-22,15750.0,10800.0
23,2018-01-23,15800.0,10850.0
24,2018-01-24,16025.0,11260.0
25,2018-01-25,15995.0,11230.0
26,2018-01-26,15650.0,10885.0
27,2018-01-28,16460.0,11695.0
28,2018-01-29,15985.0,11220.0
29,2018-01-30,14705.0,9940.0
30,2018-01-31,14765.0,10000.0
31,2018-02-01,13875.0,9110.0
32,2018-02-02,13255.0,8490.0
33,2018-02-04,12985.0,8220.0
34,2018-02-05,11615.0,6850.0
35,2018-02-06,12590.0,7825.0
36,2018-02-07,12925.0,8160.0
37,2018-02-08,13030.0,8265.0
38,2018-02-09,13240.0,8475.0
39,2018-02-11,12900.0,8135.0
40,2018-02-12,13715.0,8950.0
41,2018-02-13,13285.0,8520.0
42,2018-02-14,14275.0,9510.0
43,2018-02-15,14840.0,10075.0
44,2018-02-16,14910.0,10145.0
45,2018-02-18,15160.0,10395.0
46,2018-02-19,15990.0,11225.0
47,2018-02-20,15965.0,11200.0
48,2018-02-21,15370.0,10655.0
49,2018-02-23,14805.0,10090.0
50,2018-02-26,14970.0,10255.0
51,2018-02-27,15295.0,10580.0
52,2018-02-28,15030.0,10315.0
53,2018-03-01,15690.0,10975.0
54,2018-03-02,15795.0,11080.0
55,2018-03-04,16210.0,11495.0
56,2018-03-05,16145.0,11430.0
