,index,adjusted,underlying
0,2016-03-02,115.16,138.94
1,2016-03-03,115.17,138.95
2,2016-03-04,115.02,138.8
3,2016-03-07,114.75,138.53
4,2016-03-08,115.05,138.83
5,2016-03-09,114.93,138.71
6,2016-03-10,114.42,138.2
7,2016-03-11,115.95,139.73
8,2016-03-14,116.07,139.85
9,2016-03-15,115.55,139.33
10,2016-03-16,115.82,139.6
11,2016-03-17,116.54,140.32
12,2016-03-18,116.36,140.14
13,2016-03-21,116.42,140.2
14,2016-03-22,116.53,140.31
15,2016-03-23,116.15,139.93
16,2016-03-24,116.38,140.16
17,2016-03-29,117.42,141.2
18,2016-03-30,117.6,141.38
19,2016-03-31,117.41,141.19
20,2016-04-01,117.4,141.18
21,2016-04-04,117.16,140.94
22,2016-04-05,117.28,141.06
23,2016-04-06,116.6,140.38
24,2016-04-07,116.54,140.32
25,2016-04-08,115.7,139.48
26,2016-04-11,116.36,140.14
27,2016-04-12,116.52,140.3
28,2016-04-13,116.35,140.13
29,2016-04-14,117.34,141.12
30,2016-04-15,116.92,140.7
31,2016-04-18,116.75,140.53
32,2016-04-19,116.56,140.34
33,2016-04-20,116.62,140.4
34,2016-04-21,116.26,140.04
35,2016-04-22,115.76,139.54
36,2016-04-25,115.64,139.42
37,2016-04-26,115.42,139.2
38,2016-04-27,115.58,139.36
39,2016-04-28,115.82,139.6
40,2016-04-29,115.93,139.71
41,2016-05-02,116.1,139.88
42,2016-05-03,116.18,139.96
43,2016-05-04,116.02,139.8
44,2016-05-05,115.78,139.56
45,2016-05-06,116.0,139.78
46,2016-05-09,115.89,139.67
47,2016-05-10,116.2,139.98
48,2016-05-11,115.72,139.5
49,2016-05-12,116.13,139.91
50,2016-05-13,116.11,139.89
51,2016-05-16,115.89,139.67
52,2016-05-17,115.92,139.7
53,2016-05-18,116.32,140.1
54,2016-05-19,115.87,139.65
55,2016-05-20,116.47,140.25
56,2016-05-23,116.73,140.51
57,2016-05-24,116.93,140.71
58,2016-05-25,117.02,140.8
59,2016-05-26,117.72,141.5
60,2016-05-27,117.54,141.32
61,2016-05-30,117.4,141.18
62,2016-05-31,117.62,141.4
63,2016-06-01,117.69,141.47
64,2016-06-02,117.79,139.8
65,2016-06-03,118.1,140.11
66,2016-06-06,117.76,139.77
67,2016-06-07,118.05999999999996,140.07
68,2016-06-08,117.93999999999996,139.95
69,2016-06-09,118.42,140.43
70,2016-06-10,118.6,140.61
71,2016-06-13,118.1,140.11
72,2016-06-14,117.24999999999996,139.26
73,2016-06-15,116.89999999999998,138.91
74,2016-06-16,116.73999999999998,138.75
75,2016-06-17,116.82,138.83
76,2016-06-20,117.39,139.4
77,2016-06-21,117.79999999999998,139.81
78,2016-06-22,117.54999999999998,139.56
79,2016-06-23,117.83999999999996,139.85
80,2016-06-24,115.82999999999998,137.84
81,2016-06-27,117.24999999999996,139.26
82,2016-06-28,118.51999999999998,140.53
83,2016-06-29,120.24999999999996,142.26
84,2016-06-30,120.17999999999998,142.19
85,2016-07-01,121.98999999999998,144.0
86,2016-07-04,121.21999999999996,143.23
87,2016-07-05,121.18999999999996,143.2
88,2016-07-06,121.21999999999996,143.23
89,2016-07-07,121.18999999999996,143.2
90,2016-07-08,121.52999999999996,143.54
91,2016-07-11,121.46999999999996,143.48
92,2016-07-12,121.42,143.43
93,2016-07-13,121.39,143.4
94,2016-07-14,121.2,143.21
95,2016-07-15,120.64,142.65
96,2016-07-18,120.86999999999998,142.88
97,2016-07-19,120.54,142.55
98,2016-07-20,121.14999999999998,143.16
99,2016-07-21,121.21999999999996,143.23
100,2016-07-22,121.93999999999996,143.95
101,2016-07-25,121.98,143.99
102,2016-07-26,121.79999999999998,143.81
103,2016-07-27,122.04,144.05
104,2016-07-28,122.18999999999996,144.2
105,2016-07-29,122.76,144.77
106,2016-08-01,122.86,144.87
107,2016-08-02,122.36,144.37
108,2016-08-03,122.1,144.11
109,2016-08-04,122.39,144.4
110,2016-08-05,122.82999999999998,144.84
111,2016-08-08,123.18999999999996,145.2
112,2016-08-09,123.11999999999998,145.13
113,2016-08-10,123.33999999999996,145.35
114,2016-08-11,124.02999999999996,146.04
115,2016-08-12,123.95,145.96
116,2016-08-15,123.79,145.8
117,2016-08-16,123.36,145.37
118,2016-08-17,123.57,145.58
119,2016-08-18,123.71999999999996,145.73
120,2016-08-19,124.04999999999998,146.06
121,2016-08-22,123.79999999999998,145.81
122,2016-08-23,123.95,145.96
123,2016-08-24,123.89999999999998,145.91
124,2016-08-25,123.98,145.99
125,2016-08-26,124.11999999999998,146.13
126,2016-08-29,123.61999999999998,145.63
127,2016-08-30,123.98999999999998,146.0
128,2016-08-31,123.11,145.12
129,2016-09-01,123.11,145.12
130,2016-09-02,122.85,144.86
131,2016-09-05,123.29,143.56
132,2016-09-06,123.23999999999998,143.51
133,2016-09-07,124.01999999999998,144.29
134,2016-09-08,124.14,144.41
135,2016-09-09,123.28,143.55
136,2016-09-12,121.79999999999998,142.07
137,2016-09-13,122.42999999999998,142.7
138,2016-09-14,122.35,142.62
139,2016-09-15,122.22,142.49
140,2016-09-16,122.53,142.8
141,2016-09-19,122.63,142.9
142,2016-09-20,123.23,143.5
143,2016-09-21,123.48,143.75
144,2016-09-22,124.03,144.3
145,2016-09-23,124.07999999999998,144.35
146,2016-09-26,123.98,144.25
147,2016-09-27,124.23,144.5
148,2016-09-28,124.57,144.84
149,2016-09-29,124.5,144.77
150,2016-09-30,124.23,144.5
151,2016-10-03,124.67999999999998,144.95
152,2016-10-04,124.32999999999998,144.6
153,2016-10-05,123.82,144.09
154,2016-10-06,123.17999999999998,143.45
155,2016-10-07,123.07999999999998,143.35
156,2016-10-10,123.36999999999998,143.64
157,2016-10-11,123.38,143.65
158,2016-10-12,123.03,143.3
159,2016-10-13,123.23,143.5
160,2016-10-14,122.97,143.24
161,2016-10-17,122.78,143.05
162,2016-10-18,123.23,143.5
