,index,adjusted,underlying
0,1995-12-01,-0.1773805000000003,1.029
1,1995-12-04,-0.1772805000000003,1.0291
2,1995-12-05,-0.1776805000000003,1.0287
3,1995-12-06,-0.1774805000000003,1.0289
4,1995-12-07,-0.1776805000000003,1.0287
5,1995-12-08,-0.1777805000000003,1.0286
6,1995-12-11,-0.1776805000000003,1.0287
7,1995-12-12,-0.1776805000000003,1.0287
8,1995-12-13,-0.1778805000000003,1.0285
9,1995-12-14,-0.1785805000000002,1.0278
10,1995-12-15,-0.1782805000000002,1.0281
11,1995-12-18,-0.1775805000000003,1.0288
12,1995-12-19,-0.1774805000000003,1.0289
13,1995-12-20,-0.1773805000000003,1.029
14,1995-12-21,-0.1769805000000001,1.0294
15,1995-12-22,-0.1766805000000002,1.0297
16,1995-12-26,-0.1768805000000002,1.0295
17,1995-12-27,-0.1770805000000001,1.0293
18,1995-12-28,-0.1781805000000002,1.0282
19,1995-12-29,-0.1780805000000002,1.0283
20,1996-01-02,-0.1781805000000002,1.0213
21,1996-01-03,-0.1778805000000003,1.0216
22,1996-01-04,-0.1779805000000003,1.0215
23,1996-01-05,-0.1779805000000003,1.0215
24,1996-01-08,-0.1777805000000003,1.0217
25,1996-01-09,-0.1775805000000003,1.0219
26,1996-01-10,-0.1779805000000003,1.0215
27,1996-01-11,-0.1780805000000002,1.0214
28,1996-01-12,-0.1778805000000003,1.0216
29,1996-01-15,-0.1775805000000003,1.0219
30,1996-01-16,-0.1772805000000003,1.0222
31,1996-01-17,-0.1774805000000003,1.022
32,1996-01-18,-0.1773805000000003,1.0221
33,1996-01-19,-0.1770805000000004,1.0224
34,1996-01-22,-0.1768805000000004,1.0226
35,1996-01-23,-0.1772805000000003,1.0222
36,1996-01-24,-0.1779805000000003,1.0215
37,1996-01-25,-0.1775805000000003,1.0219
38,1996-01-26,-0.1784805000000004,1.021
39,1996-01-29,-0.1784805000000004,1.021
40,1996-01-30,-0.1779805000000003,1.0215
41,1996-01-31,-0.1776805000000003,1.0218
42,1996-02-01,-0.1773805000000003,1.0141
43,1996-02-02,-0.1771805000000003,1.0143
44,1996-02-05,-0.1769805000000004,1.0145
45,1996-02-06,-0.1770805000000004,1.0144
46,1996-02-07,-0.1771805000000003,1.0143
47,1996-02-08,-0.1767805000000004,1.0147
48,1996-02-09,-0.1766805000000004,1.0148
49,1996-02-12,-0.1761805000000002,1.0153
50,1996-02-13,-0.1761805000000002,1.0153
51,1996-02-14,-0.1763805000000004,1.0151
52,1996-02-15,-0.1763805000000004,1.0151
53,1996-02-16,-0.1760805000000002,1.0154
54,1996-02-20,-0.1760805000000002,1.0154
55,1996-02-21,-0.1760805000000002,1.0154
56,1996-02-22,-0.1757805000000003,1.0157
57,1996-02-23,-0.1750805000000004,1.0164
58,1996-02-26,-0.1753805000000003,1.0161
59,1996-02-27,-0.1760805000000002,1.0154
60,1996-02-28,-0.1752805000000003,1.0162
