,index,adjusted,underlying
0,2010-03-04,49.89999999999999,115.34
1,2010-03-05,49.93999999999998,115.38
2,2010-03-08,49.96,115.4
3,2010-03-09,50.22999999999999,115.67
4,2010-03-10,50.27999999999999,115.72
5,2010-03-11,50.00999999999999,115.45
6,2010-03-12,50.079999999999984,115.52
7,2010-03-15,50.16999999999999,115.61
8,2010-03-16,50.329999999999984,115.77
9,2010-03-17,50.55999999999999,116.0
10,2010-03-18,50.19999999999999,115.64
11,2010-03-19,50.18999999999998,115.63
12,2010-03-22,50.46,115.9
13,2010-03-23,50.68999999999998,116.13
14,2010-03-24,50.60999999999999,116.05
15,2010-03-25,50.53999999999999,115.98
16,2010-03-26,50.79999999999998,116.24
17,2010-03-29,50.93999999999998,116.38
18,2010-03-30,51.11999999999999,116.56
19,2010-03-31,51.30999999999999,116.75
20,2010-04-01,51.579999999999984,117.02
21,2010-04-06,50.96,116.4
22,2010-04-07,51.11999999999999,116.56
23,2010-04-08,51.28999999999999,116.73
24,2010-04-09,51.16999999999999,116.61
25,2010-04-12,51.31999999999999,116.76
26,2010-04-13,51.35999999999999,116.8
27,2010-04-14,51.27999999999999,116.72
28,2010-04-15,51.38999999999999,116.83
29,2010-04-16,51.56999999999999,117.01
30,2010-04-19,51.56999999999999,117.01
31,2010-04-20,51.37999999999998,116.82
32,2010-04-21,51.13999999999999,116.58
33,2010-04-22,50.829999999999984,116.27
34,2010-04-23,50.69999999999999,116.14
35,2010-04-26,50.66999999999999,116.11
36,2010-04-27,50.25999999999999,115.7
37,2010-04-28,49.44999999999999,114.89
38,2010-04-29,49.78999999999999,115.23
39,2010-04-30,50.37999999999998,115.82
40,2010-05-03,50.53999999999999,115.98
41,2010-05-04,50.28999999999999,115.73
42,2010-05-05,50.14999999999999,115.59
43,2010-05-06,48.079999999999984,113.52
44,2010-05-07,47.65999999999998,113.1
45,2010-05-10,50.579999999999984,116.02
46,2010-05-11,50.75999999999999,116.2
47,2010-05-12,50.90999999999998,116.35
48,2010-05-13,51.38999999999999,116.83
49,2010-05-14,51.02999999999999,116.47
50,2010-05-17,51.00999999999999,116.45
51,2010-05-18,51.079999999999984,116.52
52,2010-05-19,51.19999999999999,116.64
53,2010-05-20,50.80999999999999,116.25
54,2010-05-21,51.15999999999998,116.6
55,2010-05-24,51.28999999999999,116.73
56,2010-05-25,50.97999999999999,116.42
57,2010-05-26,50.43999999999998,115.88
58,2010-05-27,49.99999999999999,115.44
59,2010-05-28,49.85999999999999,115.3
60,2010-05-31,49.75999999999999,115.2
61,2010-06-01,49.56999999999999,115.01
62,2010-06-02,48.89999999999999,114.34
63,2010-06-03,48.6,114.04
64,2010-06-04,48.41,111.81
65,2010-06-07,47.8,111.2
66,2010-06-08,48.39999999999999,111.8
67,2010-06-09,49.47999999999999,112.88
68,2010-06-10,50.63,114.03
69,2010-06-11,50.56999999999999,113.97
70,2010-06-14,49.89,113.29
71,2010-06-15,50.1,113.5
72,2010-06-16,50.08,113.48
73,2010-06-17,50.6,114.0
74,2010-06-18,51.14999999999999,114.55
75,2010-06-21,51.49,114.89
76,2010-06-22,51.16,114.56
77,2010-06-23,50.94999999999999,114.35
78,2010-06-24,50.89999999999999,114.3
