,index,adjusted,underlying
0,2011-09-07,75.01,102.42
1,2011-09-08,75.05,102.46
2,2011-09-09,74.74000000000001,102.15
3,2011-09-12,73.87,101.28
4,2011-09-13,73.55,100.96
5,2011-09-14,73.89,101.3
6,2011-09-15,74.02000000000001,101.43
7,2011-09-16,74.49000000000001,101.9
8,2011-09-19,74.44,101.85
9,2011-09-20,74.29,101.7
10,2011-09-21,74.21000000000001,101.62
11,2011-09-22,74.49000000000001,101.9
12,2011-09-23,74.54,101.95
13,2011-09-26,74.35000000000001,101.76
14,2011-09-27,74.53,101.94
15,2011-09-28,74.44,101.85
16,2011-09-29,74.60000000000001,102.01
17,2011-09-30,74.73,102.14
18,2011-10-03,74.82000000000001,102.23
19,2011-10-04,74.91,102.32
20,2011-10-05,74.97,102.38
21,2011-10-06,75.21000000000001,102.62
22,2011-10-07,75.27000000000001,102.68
23,2011-10-10,75.27000000000001,102.68
24,2011-10-11,75.17,102.58
25,2011-10-12,75.03,102.44
26,2011-10-13,74.78,102.19
27,2011-10-14,74.76,102.17
28,2011-10-17,74.71000000000001,102.12
29,2011-10-18,74.49000000000001,101.9
30,2011-10-19,74.39,101.8
31,2011-10-20,74.19,101.6
32,2011-10-21,74.42,101.83
33,2011-10-24,74.36,101.77
34,2011-10-25,74.3,101.71
35,2011-10-26,74.29,101.7
36,2011-10-27,74.5,101.91
37,2011-10-28,73.87,101.28
38,2011-10-31,73.27000000000001,100.68
39,2011-11-01,72.82000000000001,100.23
40,2011-11-02,72.81,100.22
41,2011-11-03,72.75,100.16
42,2011-11-04,72.06,99.47
43,2011-11-07,70.93,98.34
44,2011-11-08,70.44,97.85
45,2011-11-09,68.29,95.7
46,2011-11-10,70.26,97.67
47,2011-11-11,71.64,99.05
48,2011-11-14,70.91,98.32
49,2011-11-15,69.63000000000001,97.04
50,2011-11-16,70.04,97.45
51,2011-11-17,70.61,98.02
52,2011-11-18,70.99000000000001,98.4
53,2011-11-21,70.72,98.13
54,2011-11-22,69.67,97.08
55,2011-11-23,68.84,96.25
56,2011-11-24,68.54,95.95
57,2011-11-25,68.19,95.6
58,2011-11-28,68.49000000000001,95.9
59,2011-11-29,68.36,95.77
60,2011-11-30,68.33,95.74
61,2011-12-01,70.16,97.57
62,2011-12-02,69.99000000000001,97.4
63,2011-12-05,72.59,100.0
64,2011-12-06,72.39,99.8
65,2011-12-07,72.69,100.1
66,2011-12-08,70.78999999999999,96.5
67,2011-12-09,71.61999999999999,97.33
68,2011-12-12,71.67999999999999,97.39
