,index,adjusted,underlying
0,2006-12-01,72.91000000000001,118.92
1,2006-12-04,72.88000000000001,118.89
2,2006-12-05,72.82000000000001,118.83
3,2006-12-06,72.64000000000001,118.65
4,2006-12-07,72.41000000000001,118.42
5,2006-12-08,72.07000000000001,118.08
6,2006-12-11,72.07000000000001,118.08
7,2006-12-12,72.11000000000001,118.12
8,2006-12-13,71.83000000000001,117.84
9,2006-12-14,71.57000000000001,117.58
10,2006-12-15,71.32000000000001,117.33
11,2006-12-18,71.14000000000001,117.15
12,2006-12-19,70.81,116.82
13,2006-12-20,70.88000000000001,116.89
14,2006-12-21,70.94000000000001,116.95
15,2006-12-22,70.67000000000002,116.68
16,2006-12-27,70.23,116.24
17,2006-12-28,70.11000000000001,116.12
18,2006-12-29,70.02000000000001,116.03
19,2007-01-02,70.23,116.24
20,2007-01-03,70.24000000000001,116.25
21,2007-01-04,70.35000000000001,116.36
22,2007-01-05,69.98,115.99
23,2007-01-08,69.97000000000001,115.98
24,2007-01-09,69.64000000000001,115.65
25,2007-01-10,69.57000000000001,115.58
26,2007-01-11,69.49000000000001,115.5
27,2007-01-12,69.18,115.19
28,2007-01-15,69.27000000000001,115.28
29,2007-01-16,69.4,115.41
30,2007-01-17,69.30000000000001,115.31
31,2007-01-18,69.38000000000001,115.39
32,2007-01-19,69.24000000000001,115.25
33,2007-01-22,69.51,115.52
34,2007-01-23,69.37,115.38
35,2007-01-24,69.35000000000001,115.36
36,2007-01-25,68.99000000000001,115.0
37,2007-01-26,68.89000000000001,114.9
38,2007-01-29,68.66000000000001,114.67
39,2007-01-30,68.85000000000001,114.86
40,2007-01-31,68.98,114.99
41,2007-02-01,68.95,114.96
42,2007-02-02,69.27000000000001,115.28
43,2007-02-05,69.46000000000001,115.47
44,2007-02-06,69.61000000000001,115.62
45,2007-02-07,69.59,115.6
46,2007-02-08,69.39000000000001,115.4
47,2007-02-09,68.99000000000001,115.0
48,2007-02-12,68.83000000000001,114.84
49,2007-02-13,68.73,114.74
50,2007-02-14,69.02000000000001,115.03
51,2007-02-15,69.42000000000002,115.43
52,2007-02-16,69.41000000000001,115.42
53,2007-02-19,69.27000000000001,115.28
54,2007-02-20,69.38000000000001,115.39
55,2007-02-21,69.44000000000001,115.45
56,2007-02-22,69.04,115.05
57,2007-02-23,69.44000000000001,115.45
58,2007-02-26,69.92000000000002,115.93
59,2007-02-27,70.52000000000001,116.53
60,2007-02-28,70.22000000000001,116.23
61,2007-03-01,70.29,116.3
62,2007-03-02,70.46,115.99
63,2007-03-05,70.67,116.2
64,2007-03-06,70.52,116.05
65,2007-03-07,70.67,116.2
66,2007-03-08,70.57,116.1
67,2007-03-09,70.31,115.84
68,2007-03-12,70.53999999999999,116.07
69,2007-03-13,70.92,116.45
70,2007-03-14,70.8,116.33
71,2007-03-15,70.81,116.34
72,2007-03-16,70.77,116.3
73,2007-03-19,70.6,116.13
74,2007-03-20,70.73,116.26
75,2007-03-21,70.78999999999999,116.32
76,2007-03-22,70.34,115.87
77,2007-03-23,69.92,115.45
78,2007-03-26,69.82,115.35
79,2007-03-27,69.73,115.26
80,2007-03-28,69.6,115.13
81,2007-03-29,69.47,115.0
82,2007-03-30,69.4,114.93
83,2007-04-02,69.28,114.81
84,2007-04-03,69.06,114.59
85,2007-04-04,69.27,114.8
86,2007-04-05,69.03999999999999,114.57
87,2007-04-10,68.83,114.36
88,2007-04-11,68.55,114.08
89,2007-04-12,68.28999999999999,113.82
90,2007-04-13,67.92,113.45
91,2007-04-16,68.22,113.75
92,2007-04-17,68.42,113.95
93,2007-04-18,68.6,114.13
94,2007-04-19,68.21,113.74
95,2007-04-20,68.24,113.77
96,2007-04-23,68.45,113.98
97,2007-04-24,68.53999999999999,114.07
98,2007-04-25,68.24,113.77
99,2007-04-26,67.92999999999999,113.46
100,2007-04-27,68.1,113.63
101,2007-04-30,68.74,114.27
102,2007-05-02,68.1,113.63
103,2007-05-03,67.97,113.5
104,2007-05-04,68.27,113.8
105,2007-05-07,68.19,113.72
106,2007-05-08,68.19,113.72
107,2007-05-09,68.03,113.56
108,2007-05-10,68.23,113.76
109,2007-05-11,68.0,113.53
110,2007-05-14,67.66,113.19
111,2007-05-15,67.41,112.94
112,2007-05-16,67.39,112.92
113,2007-05-17,67.26,112.79
114,2007-05-18,67.26,112.79
115,2007-05-21,67.36,112.89
116,2007-05-22,67.03999999999999,112.57
117,2007-05-23,66.92,112.45
118,2007-05-24,67.07,112.6
119,2007-05-25,66.7,112.23
120,2007-05-29,66.67,112.2
121,2007-05-30,66.67999999999999,112.21
122,2007-05-31,66.53,112.06
123,2007-06-01,66.13000000000001,111.65
124,2007-06-04,66.19,111.71
125,2007-06-05,65.91000000000001,111.43
126,2007-06-06,66.23,111.75
127,2007-06-07,65.38000000000001,110.9
128,2007-06-08,65.36,110.88
129,2007-06-11,65.26,110.78
130,2007-06-12,64.81,110.33
131,2007-06-13,64.71000000000001,110.23
132,2007-06-14,64.54,110.06
133,2007-06-15,64.69,110.21
134,2007-06-18,64.57000000000001,110.09
135,2007-06-19,65.08,110.6
136,2007-06-20,64.67,110.19
137,2007-06-21,64.51,110.03
138,2007-06-22,64.79,110.31
139,2007-06-25,64.97,110.49
140,2007-06-26,65.09,110.61
141,2007-06-27,65.34,110.86
142,2007-06-28,65.29,110.81
143,2007-06-29,65.5,111.02
144,2007-07-02,65.97,111.49
145,2007-07-03,65.33,110.85
146,2007-07-04,64.94,110.46
147,2007-07-05,64.58,110.1
148,2007-07-06,64.32000000000001,109.84
149,2007-07-09,64.49000000000001,110.01
150,2007-07-10,65.3,110.82
151,2007-07-11,65.11,110.63
152,2007-07-12,64.67,110.19
153,2007-07-13,64.95,110.47
154,2007-07-16,65.45,110.97
155,2007-07-17,65.19,110.71
156,2007-07-18,65.4,110.92
157,2007-07-19,65.5,111.02
158,2007-07-20,66.42,111.94
159,2007-07-23,66.42,111.94
160,2007-07-24,66.68,112.2
161,2007-07-25,66.63000000000001,112.15
162,2007-07-26,67.51,113.03
163,2007-07-27,67.48,113.0
164,2007-07-30,67.39,112.91
165,2007-07-31,67.60000000000001,113.12
166,2007-08-01,67.16000000000001,112.68
167,2007-08-02,67.08,112.6
168,2007-08-03,67.62,113.14
169,2007-08-06,67.14,112.66
170,2007-08-07,67.07000000000001,112.59
171,2007-08-08,66.51,112.03
172,2007-08-09,66.85000000000001,112.37
173,2007-08-10,66.99000000000001,112.51
174,2007-08-13,67.2,112.72
175,2007-08-14,67.17,112.69
176,2007-08-15,67.65,113.17
177,2007-08-16,68.05,113.57
178,2007-08-17,67.78,113.3
179,2007-08-20,67.91000000000001,113.43
180,2007-08-21,68.35000000000001,113.87
181,2007-08-22,67.79,113.31
182,2007-08-23,68.05,113.57
183,2007-08-24,68.03,113.55
184,2007-08-27,68.28,113.8
185,2007-08-28,68.53,114.05
186,2007-08-29,68.14,113.66
187,2007-08-30,68.41000000000001,113.93
188,2007-08-31,68.16000000000001,113.68
189,2007-09-03,68.09,113.21
190,2007-09-04,67.94000000000001,113.06
191,2007-09-05,68.54,113.66
192,2007-09-06,68.51,113.63
193,2007-09-07,69.34,114.46
194,2007-09-10,69.64000000000001,114.76
195,2007-09-11,69.44000000000001,114.56
196,2007-09-12,69.33000000000001,114.45
197,2007-09-13,68.92000000000002,114.04
198,2007-09-14,68.96000000000001,114.08
199,2007-09-17,69.15,114.27
200,2007-09-18,68.73,113.85
201,2007-09-19,68.04,113.16
202,2007-09-20,67.18,112.3
203,2007-09-21,67.35000000000001,112.47
204,2007-09-24,67.33000000000001,112.45
205,2007-09-25,67.45,112.57
206,2007-09-26,67.17000000000002,112.29
207,2007-09-27,67.31000000000002,112.43
208,2007-09-28,67.42000000000002,112.54
209,2007-10-01,67.53000000000002,112.65
210,2007-10-02,67.68,112.8
211,2007-10-03,67.48,112.6
212,2007-10-04,67.86000000000001,112.98
213,2007-10-05,67.29,112.41
214,2007-10-08,67.33000000000001,112.45
215,2007-10-09,67.37,112.49
216,2007-10-10,67.34,112.46
217,2007-10-11,67.08000000000001,112.2
218,2007-10-12,66.52000000000001,111.64
219,2007-10-15,66.69000000000001,111.81
220,2007-10-16,66.61000000000001,111.73
221,2007-10-17,66.98,112.1
222,2007-10-18,67.50000000000001,112.62
223,2007-10-19,68.54,113.66
224,2007-10-22,68.62,113.74
225,2007-10-23,68.59,113.71
226,2007-10-24,68.88000000000001,114.0
227,2007-10-25,68.83000000000001,113.95
228,2007-10-26,68.72000000000001,113.84
229,2007-10-29,68.80000000000001,113.92
230,2007-10-30,68.71000000000001,113.83
231,2007-10-31,67.74000000000001,112.86
232,2007-11-01,68.62,113.74
233,2007-11-02,68.66000000000001,113.78
234,2007-11-05,68.67000000000002,113.79
235,2007-11-06,68.55000000000001,113.67
236,2007-11-07,69.18,114.3
237,2007-11-08,69.13000000000001,114.25
238,2007-11-09,69.53000000000002,114.65
239,2007-11-12,69.57000000000001,114.69
240,2007-11-13,69.03000000000002,114.15
241,2007-11-14,69.09,114.21
242,2007-11-15,69.46000000000001,114.58
243,2007-11-16,69.27000000000001,114.39
244,2007-11-19,69.99000000000001,115.11
245,2007-11-20,69.67000000000002,114.79
246,2007-11-21,70.16000000000001,115.28
247,2007-11-22,70.19000000000001,115.31
248,2007-11-23,70.11000000000001,115.23
249,2007-11-26,70.69000000000001,115.81
250,2007-11-27,69.83000000000001,114.95
251,2007-11-28,69.30000000000001,114.42
252,2007-11-29,69.78000000000002,114.9
253,2007-11-30,69.23,114.35
254,2007-12-03,69.91000000000001,115.45
255,2007-12-04,70.2,115.74
256,2007-12-05,70.08000000000001,115.62
257,2007-12-06,69.49000000000001,115.03
258,2007-12-07,68.66000000000001,114.2
259,2007-12-10,68.05000000000001,113.59
260,2007-12-11,68.62,114.16
261,2007-12-12,67.76,113.3
262,2007-12-13,67.63000000000001,113.17
263,2007-12-14,67.44000000000001,112.98
264,2007-12-17,67.75000000000001,113.29
265,2007-12-18,67.73,113.27
266,2007-12-19,67.81,113.35
267,2007-12-20,67.94000000000001,113.48
268,2007-12-21,67.46000000000001,113.0
269,2007-12-27,67.13000000000001,112.67
270,2007-12-28,67.57000000000001,113.11
271,2008-01-02,68.58000000000001,114.12
272,2008-01-03,68.99000000000001,114.53
273,2008-01-04,69.41000000000001,114.95
274,2008-01-07,69.55000000000001,115.09
275,2008-01-08,69.41000000000001,114.95
276,2008-01-09,69.59,115.13
277,2008-01-10,69.59,115.13
278,2008-01-11,69.91000000000001,115.45
279,2008-01-14,69.94000000000001,115.48
280,2008-01-15,70.39000000000001,115.93
281,2008-01-16,70.61000000000001,116.15
282,2008-01-17,70.99000000000001,116.53
283,2008-01-18,70.71000000000001,116.25
284,2008-01-21,71.34,116.88
285,2008-01-22,70.75000000000001,116.29
286,2008-01-23,70.93,116.47
287,2008-01-24,70.41000000000001,115.95
288,2008-01-25,71.04,116.58
289,2008-01-28,70.96000000000001,116.5
290,2008-01-29,70.64000000000001,116.18
291,2008-01-30,70.39000000000001,115.93
292,2008-01-31,71.05000000000001,116.59
293,2008-02-01,71.16000000000001,116.7
294,2008-02-04,71.02000000000001,116.56
295,2008-02-05,71.88000000000001,117.42
296,2008-02-06,71.57000000000001,117.11
297,2008-02-07,71.22000000000001,116.76
298,2008-02-08,71.88000000000001,117.42
299,2008-02-11,71.69000000000001,117.23
300,2008-02-12,71.38000000000001,116.92
301,2008-02-13,70.67,116.21
302,2008-02-14,70.44000000000001,115.98
303,2008-02-15,70.79,116.33
304,2008-02-18,70.4,115.94
305,2008-02-19,70.24000000000001,115.78
306,2008-02-20,70.2,115.74
307,2008-02-21,70.54,116.08
308,2008-02-22,70.22000000000001,115.76
309,2008-02-25,70.11000000000001,115.65
310,2008-02-26,69.84,115.38
311,2008-02-27,69.81,115.35
312,2008-02-28,70.59,116.13
313,2008-02-29,71.72000000000001,117.26
314,2008-03-03,71.87,116.99
315,2008-03-04,71.99000000000001,117.11
316,2008-03-05,71.74000000000001,116.86
317,2008-03-06,72.23,117.35
318,2008-03-07,72.44000000000001,117.56
319,2008-03-10,72.9,118.02
320,2008-03-11,72.27000000000001,117.39
321,2008-03-12,72.59,117.71
322,2008-03-13,72.54,117.66
323,2008-03-14,72.71000000000001,117.83
324,2008-03-17,73.07000000000001,118.19
325,2008-03-18,72.23,117.35
326,2008-03-19,72.74000000000001,117.86
327,2008-03-20,72.38000000000001,117.5
328,2008-03-25,71.07000000000001,116.19
329,2008-03-26,70.98,116.1
330,2008-03-27,70.68,115.8
331,2008-03-28,70.69000000000001,115.81
332,2008-03-31,70.84,115.96
333,2008-04-01,70.22000000000001,115.34
334,2008-04-02,70.24000000000001,115.36
335,2008-04-03,70.13000000000001,115.25
336,2008-04-04,70.38000000000001,115.5
337,2008-04-07,69.88000000000001,115.0
338,2008-04-08,69.81000000000002,114.93
339,2008-04-09,70.13000000000001,115.25
340,2008-04-10,70.16000000000001,115.28
341,2008-04-11,70.83000000000001,115.95
342,2008-04-14,70.74000000000001,115.86
343,2008-04-15,70.27000000000001,115.39
344,2008-04-16,69.74000000000001,114.86
345,2008-04-17,69.32000000000001,114.44
346,2008-04-18,69.12,114.24
347,2008-04-21,69.03000000000002,114.15
348,2008-04-22,68.78000000000002,113.9
349,2008-04-23,68.78000000000002,113.9
350,2008-04-24,68.38000000000001,113.5
351,2008-04-25,68.39000000000001,113.51
352,2008-04-28,68.4,113.52
353,2008-04-29,68.81000000000002,113.93
354,2008-04-30,69.03000000000002,114.15
355,2008-05-02,68.36000000000001,113.48
356,2008-05-05,68.58000000000001,113.7
357,2008-05-06,68.58000000000001,113.7
358,2008-05-07,68.73,113.85
359,2008-05-08,69.53000000000002,114.65
360,2008-05-09,69.95,115.07
361,2008-05-12,69.79,114.91
362,2008-05-13,69.09,114.21
363,2008-05-14,68.55000000000001,113.67
364,2008-05-15,68.44000000000001,113.56
365,2008-05-16,68.34,113.46
366,2008-05-19,68.30000000000001,113.42
367,2008-05-20,68.42000000000002,113.54
368,2008-05-21,67.9,113.02
369,2008-05-22,67.61000000000001,112.73
370,2008-05-23,67.81000000000002,112.93
371,2008-05-26,67.58000000000001,112.7
372,2008-05-27,67.51,112.63
373,2008-05-28,67.13000000000001,112.25
374,2008-05-29,66.58000000000001,111.7
375,2008-05-30,66.64000000000001,111.76
376,2008-06-02,67.23,112.52
377,2008-06-03,66.84,112.13
378,2008-06-04,66.76,112.05
379,2008-06-05,66.04,111.33
380,2008-06-06,66.79,112.08
381,2008-06-09,66.13000000000001,111.42
382,2008-06-10,65.51,110.8
383,2008-06-11,65.4,110.69
384,2008-06-12,64.93,110.22
385,2008-06-13,64.57000000000001,109.86
386,2008-06-16,64.76,110.05
387,2008-06-17,65.07000000000001,110.36
388,2008-06-18,65.06,110.35
389,2008-06-19,64.45,109.74
390,2008-06-20,64.78,110.07
391,2008-06-23,65.00000000000001,110.29
392,2008-06-24,65.22000000000001,110.51
393,2008-06-25,65.24000000000001,110.53
394,2008-06-26,66.11000000000001,111.4
395,2008-06-27,65.94000000000001,111.23
396,2008-06-30,65.25000000000001,110.54
397,2008-07-01,65.13000000000001,110.42
398,2008-07-02,64.96000000000001,110.25
399,2008-07-03,65.85000000000001,111.14
400,2008-07-04,66.25000000000001,111.54
401,2008-07-07,66.76,112.05
402,2008-07-08,66.86000000000001,112.15
403,2008-07-09,67.18,112.47
404,2008-07-10,66.92,112.21
405,2008-07-11,66.44000000000001,111.73
406,2008-07-14,67.08000000000001,112.37
407,2008-07-15,67.02000000000001,112.31
408,2008-07-16,66.88000000000001,112.17
409,2008-07-17,66.35000000000001,111.64
410,2008-07-18,65.39000000000001,110.68
411,2008-07-21,65.02000000000001,110.31
412,2008-07-22,64.79,110.08
413,2008-07-23,64.82000000000001,110.11
414,2008-07-24,65.65,110.94
415,2008-07-25,65.01,110.3
416,2008-07-28,65.85000000000001,111.14
417,2008-07-29,66.25000000000001,111.54
418,2008-07-30,66.91000000000001,112.2
419,2008-07-31,67.32000000000001,112.61
420,2008-08-01,67.35000000000001,112.64
421,2008-08-04,67.33000000000001,112.62
422,2008-08-05,67.54,112.83
423,2008-08-06,67.48,112.77
424,2008-08-07,68.28,113.57
425,2008-08-08,68.25000000000001,113.54
426,2008-08-11,68.17,113.46
427,2008-08-12,68.54,113.83
428,2008-08-13,68.58000000000001,113.87
429,2008-08-14,68.68,113.97
430,2008-08-15,69.02000000000001,114.31
431,2008-08-18,69.16000000000001,114.45
432,2008-08-19,68.98,114.27
433,2008-08-20,69.47000000000001,114.76
434,2008-08-21,68.81,114.1
435,2008-08-22,68.55000000000001,113.84
436,2008-08-25,69.33000000000001,114.62
437,2008-08-26,69.53,114.82
438,2008-08-27,69.07000000000001,114.36
439,2008-08-28,69.01,114.3
440,2008-08-29,68.87,114.16
441,2008-09-01,69.34,114.63
442,2008-09-02,69.14000000000001,114.15
443,2008-09-03,69.11000000000001,114.12
444,2008-09-04,69.87,114.88
445,2008-09-05,70.02000000000001,115.03
446,2008-09-08,70.13000000000001,115.14
447,2008-09-09,70.19000000000001,115.2
448,2008-09-10,69.81,114.82
449,2008-09-11,69.62,114.63
450,2008-09-12,68.93,113.94
451,2008-09-15,70.34,115.35
452,2008-09-16,69.89000000000001,114.9
453,2008-09-17,70.62,115.63
454,2008-09-18,69.84,114.85
455,2008-09-19,68.37,113.38
456,2008-09-22,68.29,113.3
457,2008-09-23,68.39000000000001,113.4
458,2008-09-24,69.01,114.02
459,2008-09-25,68.4,113.41
460,2008-09-26,68.72000000000001,113.73
461,2008-09-29,70.86000000000001,115.87
462,2008-09-30,69.88000000000001,114.89
463,2008-10-01,69.95,114.96
464,2008-10-02,70.87,115.88
465,2008-10-03,71.2,116.21
466,2008-10-06,71.97000000000001,116.98
467,2008-10-07,72.27000000000001,117.28
468,2008-10-08,71.30000000000001,116.31
469,2008-10-09,71.34,116.35
470,2008-10-10,69.66000000000001,114.67
471,2008-10-13,69.10000000000001,114.11
472,2008-10-14,68.9,113.91
473,2008-10-15,69.05000000000001,114.06
474,2008-10-16,69.11000000000001,114.12
475,2008-10-17,69.75000000000001,114.76
476,2008-10-20,69.86000000000001,114.87
477,2008-10-21,70.53000000000002,115.54
478,2008-10-22,71.82000000000001,116.83
479,2008-10-23,71.87,116.88
480,2008-10-24,71.91000000000001,116.92
481,2008-10-27,72.06,117.07
482,2008-10-28,71.87,116.88
483,2008-10-29,71.99000000000001,117.0
484,2008-10-30,72.02000000000001,117.03
485,2008-10-31,70.91000000000001,115.92
486,2008-11-03,71.84,116.85
487,2008-11-04,72.05000000000001,117.06
488,2008-11-05,72.04,117.05
489,2008-11-06,72.59,117.6
490,2008-11-07,72.77000000000001,117.78
491,2008-11-10,72.75000000000001,117.76
492,2008-11-11,72.86000000000001,117.87
493,2008-11-12,73.49000000000001,118.5
494,2008-11-13,73.05000000000001,118.06
495,2008-11-14,73.64000000000001,118.65
496,2008-11-17,73.74000000000001,118.75
497,2008-11-18,74.11000000000001,119.12
498,2008-11-19,74.94000000000001,119.95
499,2008-11-20,76.44000000000001,121.45
500,2008-11-21,75.74000000000001,120.75
501,2008-11-24,74.81,119.82
502,2008-11-25,75.80000000000001,120.81
503,2008-11-26,76.39000000000001,121.4
504,2008-11-27,76.45,121.46
505,2008-11-28,76.45,121.46
506,2008-12-01,77.94000000000001,122.95
507,2008-12-02,78.79,124.23
508,2008-12-03,79.41,124.85
509,2008-12-04,78.79,124.23
510,2008-12-05,78.4,123.84
511,2008-12-08,77.52,122.96
512,2008-12-09,77.15,122.59
