,index,adjusted,underlying
0,2015-12-03,145.45999999999992,151.26
1,2015-12-04,144.43999999999994,150.24
2,2015-12-07,146.95999999999992,152.76
3,2015-12-08,147.95999999999992,153.76
4,2015-12-09,146.97999999999993,152.78
5,2015-12-10,147.45999999999992,153.26
6,2015-12-11,148.79999999999993,154.6
7,2015-12-14,148.23999999999992,154.04
8,2015-12-15,146.33999999999992,152.14
9,2015-12-16,145.87999999999994,151.68
10,2015-12-17,147.99999999999994,153.8
11,2015-12-18,149.47999999999993,155.28
12,2015-12-21,149.43999999999994,155.24
13,2015-12-22,147.51999999999992,153.32
14,2015-12-23,145.97999999999993,151.78
15,2015-12-24,145.97999999999993,151.78
16,2015-12-28,148.41999999999993,154.22
17,2015-12-29,145.01999999999992,150.82
18,2015-12-30,145.59999999999994,151.4
19,2015-12-31,145.29999999999993,151.1
20,2016-01-04,146.91999999999993,152.72
21,2016-01-05,147.03999999999994,152.84
22,2016-01-06,148.11999999999992,153.92
23,2016-01-07,146.95999999999992,152.76
24,2016-01-08,148.01999999999992,153.82
25,2016-01-11,147.89999999999992,153.7
26,2016-01-12,148.75999999999993,154.56
27,2016-01-13,149.39999999999992,155.2
28,2016-01-14,148.79999999999993,154.6
29,2016-01-15,150.15999999999994,155.96
30,2016-01-18,149.85999999999993,155.66
31,2016-01-19,149.49999999999994,155.3
32,2016-01-20,152.07999999999993,157.88
33,2016-01-21,152.33999999999992,158.14
34,2016-01-22,151.33999999999992,157.14
35,2016-01-25,152.01999999999992,157.82
36,2016-01-26,153.07999999999993,158.88
37,2016-01-27,153.45999999999992,159.26
38,2016-01-28,154.79999999999993,160.6
39,2016-01-29,156.83999999999992,162.64
40,2016-02-01,156.27999999999994,162.08
41,2016-02-02,156.77999999999994,162.58
42,2016-02-03,158.65999999999994,164.46
43,2016-02-04,157.81999999999994,163.62
44,2016-02-05,157.87999999999994,163.68
45,2016-02-08,161.49999999999994,167.3
46,2016-02-09,160.79999999999993,166.6
47,2016-02-11,163.35999999999993,169.16
48,2016-02-12,160.81999999999994,166.62
49,2016-02-15,160.83999999999992,166.64
50,2016-02-16,159.63999999999993,165.44
51,2016-02-17,159.29999999999993,165.1
52,2016-02-18,161.49999999999994,167.3
53,2016-02-19,161.75999999999993,167.56
54,2016-02-22,162.57999999999993,168.38
55,2016-02-23,162.95999999999992,168.76
56,2016-02-24,164.17999999999992,169.98
57,2016-02-25,164.11999999999992,169.92
58,2016-02-26,163.07999999999993,168.88
59,2016-02-29,163.91999999999993,169.72
60,2016-03-01,161.49999999999994,167.3
61,2016-03-02,159.25999999999993,165.06
62,2016-03-03,160.17999999999992,164.72
63,2016-03-04,158.77999999999992,163.32
64,2016-03-07,158.95999999999992,163.5
65,2016-03-08,160.2199999999999,164.76
66,2016-03-09,158.5999999999999,163.14
67,2016-03-10,156.77999999999992,161.32
68,2016-03-11,158.25999999999993,162.8
69,2016-03-14,158.51999999999992,163.06
70,2016-03-15,157.31999999999994,161.86
71,2016-03-16,158.25999999999993,162.8
72,2016-03-17,160.67999999999992,165.22
73,2016-03-18,161.25999999999993,165.8
74,2016-03-21,160.8799999999999,165.42
75,2016-03-22,161.57999999999993,166.12
76,2016-03-23,161.89999999999992,166.44
77,2016-03-24,163.11999999999992,167.66
78,2016-03-28,163.11999999999992,167.66
79,2016-03-29,164.49999999999991,169.04
80,2016-03-30,163.61999999999992,168.16
81,2016-03-31,163.99999999999991,168.54
82,2016-04-01,165.0999999999999,169.64
83,2016-04-04,166.11999999999992,170.66
84,2016-04-05,167.17999999999992,171.72
85,2016-04-06,166.05999999999992,170.6
86,2016-04-07,167.23999999999992,171.78
87,2016-04-08,166.33999999999992,170.88
88,2016-04-11,164.99999999999991,169.54
89,2016-04-12,163.25999999999993,167.8
90,2016-04-13,164.33999999999992,168.88
91,2016-04-14,163.85999999999993,168.4
92,2016-04-15,164.79999999999993,169.34
93,2016-04-18,163.9399999999999,168.48
94,2016-04-19,162.83999999999992,167.38
95,2016-04-20,164.0999999999999,168.64
96,2016-04-21,161.29999999999993,165.84
97,2016-04-22,160.6599999999999,165.2
98,2016-04-25,159.63999999999993,164.18
99,2016-04-26,158.75999999999993,163.3
100,2016-04-27,158.3799999999999,162.92
101,2016-04-28,159.53999999999994,164.08
102,2016-04-29,158.91999999999993,163.46
103,2016-05-02,159.6599999999999,164.2
104,2016-05-03,162.1599999999999,166.7
105,2016-05-04,161.83999999999992,166.38
106,2016-05-05,163.07999999999993,167.62
107,2016-05-06,163.9399999999999,168.48
108,2016-05-09,164.51999999999992,169.06
109,2016-05-10,164.97999999999993,169.52
110,2016-05-11,164.55999999999992,169.1
111,2016-05-12,163.39999999999992,167.94
112,2016-05-13,164.51999999999992,169.06
113,2016-05-16,163.85999999999993,168.4
114,2016-05-17,164.4399999999999,168.98
115,2016-05-18,163.01999999999992,167.56
116,2016-05-19,163.2199999999999,167.76
117,2016-05-20,162.81999999999994,167.36
118,2016-05-23,162.3799999999999,166.92
119,2016-05-24,162.53999999999994,167.08
120,2016-05-25,163.73999999999992,168.28
