,index,adjusted,underlying
0,2009-04-16,994.3000000000002,3003.0
1,2009-04-17,1031.3000000000002,3040.0
2,2009-04-20,887.8000000000002,2896.5
3,2009-04-21,950.8000000000002,2959.5
4,2009-04-22,932.8000000000002,2941.5
5,2009-04-23,990.8000000000002,2999.5
6,2009-04-24,1051.8000000000002,3060.5
7,2009-04-27,1032.3000000000002,3041.0
8,2009-04-28,1005.8000000000002,3014.5
9,2009-04-29,1063.3000000000002,3072.0
10,2009-04-30,1081.3000000000002,3090.0
11,2009-05-04,1219.3000000000002,3228.0
12,2009-05-05,1207.3000000000002,3216.0
13,2009-05-06,1291.8000000000002,3300.5
14,2009-05-07,1226.3000000000002,3235.0
15,2009-05-08,1316.8000000000002,3325.5
16,2009-05-11,1215.3000000000002,3224.0
17,2009-05-12,1229.8000000000002,3238.5
18,2009-05-13,1136.3000000000002,3145.0
19,2009-05-14,1152.3000000000002,3161.0
20,2009-05-15,1126.3000000000002,3099.0
21,2009-05-18,1240.3000000000002,3213.0
22,2009-05-19,1253.8000000000002,3226.5
23,2009-05-20,1260.3000000000002,3233.0
24,2009-05-21,1231.3000000000002,3204.0
25,2009-05-22,1223.8000000000002,3196.5
26,2009-05-25,1251.3000000000002,3224.0
27,2009-05-26,1285.8000000000002,3258.5
28,2009-05-27,1255.8000000000002,3228.5
29,2009-05-28,1310.3000000000002,3283.0
30,2009-05-29,1326.3000000000002,3299.0
31,2009-06-01,1337.3000000000002,3310.0
32,2009-06-02,1400.3000000000002,3373.0
33,2009-06-03,1331.3000000000002,3304.0
34,2009-06-04,1355.3000000000002,3328.0
35,2009-06-05,1356.3000000000002,3329.0
36,2009-06-08,1339.8000000000002,3312.5
37,2009-06-09,1332.3000000000002,3305.0
38,2009-06-10,1325.8000000000002,3298.5
39,2009-06-11,1343.3000000000002,3316.0
40,2009-06-12,1367.8000000000002,3340.5
41,2009-06-15,1256.3000000000002,3229.0
42,2009-06-16,1209.8000000000002,3178.0
43,2009-06-17,1193.3000000000002,3161.5
44,2009-06-18,1218.3000000000002,3186.5
45,2009-06-19,1235.8000000000002,3204.0
46,2009-06-22,1139.8000000000002,3108.0
47,2009-06-23,1146.8000000000002,3115.0
48,2009-06-24,1166.8000000000002,3135.0
49,2009-06-25,1219.8000000000002,3188.0
50,2009-06-26,1218.8000000000002,3187.0
51,2009-06-29,1215.3000000000002,3183.5
52,2009-06-30,1181.8000000000002,3150.0
53,2009-07-01,1186.8000000000002,3155.0
54,2009-07-02,1144.3000000000002,3112.5
55,2009-07-03,1157.3000000000002,3125.5
56,2009-07-06,1136.8000000000002,3105.0
57,2009-07-07,1062.8000000000002,3031.0
58,2009-07-08,1047.3000000000002,3015.5
59,2009-07-09,1051.8000000000002,3020.0
60,2009-07-10,1026.8000000000002,2995.0
61,2009-07-13,1100.8000000000002,3069.0
62,2009-07-14,1115.8000000000002,3084.0
63,2009-07-15,1208.8000000000002,3177.0
64,2009-07-16,1266.3000000000002,3234.0
65,2009-07-17,1268.8000000000002,3236.5
66,2009-07-20,1310.8000000000002,3278.5
67,2009-07-21,1338.8000000000002,3306.5
68,2009-07-22,1322.8000000000002,3290.5
69,2009-07-23,1405.3000000000002,3373.0
70,2009-07-24,1419.3000000000002,3387.0
71,2009-07-27,1416.3000000000002,3384.0
72,2009-07-28,1395.3000000000002,3363.0
73,2009-07-29,1404.3000000000002,3372.0
74,2009-07-30,1446.3000000000002,3414.0
75,2009-07-31,1457.8000000000002,3425.5
76,2009-08-03,1522.3000000000002,3490.0
77,2009-08-04,1516.3000000000002,3484.0
78,2009-08-05,1513.8000000000002,3481.5
79,2009-08-06,1500.8000000000002,3468.5
80,2009-08-07,1543.3000000000002,3511.0
81,2009-08-10,1531.3000000000002,3499.0
82,2009-08-11,1499.3000000000002,3467.0
83,2009-08-12,1534.8000000000002,3502.5
84,2009-08-13,1566.8000000000002,3534.5
85,2009-08-14,1548.8000000000002,3516.5
86,2009-08-17,1446.8000000000002,3407.5
87,2009-08-18,1483.8000000000002,3444.5
88,2009-08-19,1505.8000000000002,3466.5
89,2009-08-20,1541.3000000000002,3502.0
90,2009-08-21,1649.3000000000002,3610.0
91,2009-08-24,1662.3000000000002,3623.0
92,2009-08-25,1699.3000000000002,3660.0
93,2009-08-26,1706.8000000000002,3667.5
94,2009-08-27,1715.3000000000002,3676.0
95,2009-08-28,1733.3000000000002,3694.0
96,2009-08-31,1707.3000000000002,3668.0
97,2009-09-01,1608.8000000000002,3569.5
98,2009-09-02,1600.8000000000002,3561.5
99,2009-09-03,1608.3000000000002,3569.0
100,2009-09-04,1656.8000000000002,3617.5
101,2009-09-07,1689.3000000000002,3650.0
102,2009-09-08,1701.3000000000002,3662.0
103,2009-09-09,1738.8000000000002,3699.5
104,2009-09-10,1767.8000000000002,3728.5
105,2009-09-11,1766.8000000000002,3727.5
106,2009-09-14,1783.8000000000002,3744.5
107,2009-09-15,1801.3000000000002,3762.0
108,2009-09-16,1869.8,3830.0
109,2009-09-17,1862.8,3823.0
110,2009-09-18,1882.3,3842.5
111,2009-09-21,1861.3,3821.5
112,2009-09-22,1867.3,3827.5
113,2009-09-23,1843.3,3803.5
114,2009-09-24,1798.8000000000002,3759.0
115,2009-09-25,1773.8000000000002,3734.0
116,2009-09-28,1866.3,3826.5
117,2009-09-29,1855.8,3816.0
118,2009-09-30,1845.8,3806.0
119,2009-10-01,1864.8,3825.0
120,2009-10-02,1687.3000000000002,3647.5
121,2009-10-05,1681.3000000000002,3641.5
122,2009-10-06,1799.8000000000002,3760.0
123,2009-10-07,1805.8,3766.0
124,2009-10-08,1835.8,3796.0
