,index,adjusted,underlying
0,1972-10-18,637.0,137.75
1,1972-10-19,637.25,138.0
2,1972-10-20,638.5,139.25
3,1972-10-23,637.75,138.5
4,1972-10-24,639.0,139.75
5,1972-10-25,637.75,138.5
6,1972-10-26,638.62,139.37
7,1972-10-27,638.75,139.5
8,1972-10-30,640.75,141.5
9,1972-10-31,638.0,138.75
10,1972-11-01,638.75,139.5
11,1972-11-02,637.75,138.5
12,1972-11-03,637.62,138.37
13,1972-11-06,636.25,137.0
14,1972-11-08,637.25,138.0
15,1972-11-09,637.0,137.75
16,1972-11-10,636.5,137.25
17,1972-11-13,639.12,139.87
18,1972-11-14,638.75,139.5
19,1972-11-15,640.25,141.0
20,1972-11-16,638.5,139.25
21,1972-11-17,638.75,139.5
22,1972-11-20,637.0,137.75
23,1972-11-21,637.87,138.62
24,1972-11-22,637.62,138.37
25,1972-11-24,639.0,139.75
26,1972-11-27,640.5,141.25
27,1972-11-28,639.25,140.0
28,1972-11-29,637.12,137.87
29,1972-11-30,640.0,140.75
30,1972-12-01,642.75,143.5
31,1972-12-04,648.5,149.25
32,1972-12-05,649.0,149.75
33,1972-12-06,646.0,146.75
34,1972-12-07,647.25,148.0
35,1972-12-08,649.75,150.5
36,1972-12-11,647.25,148.0
37,1972-12-12,648.25,149.0
38,1972-12-13,645.75,146.5
39,1972-12-14,645.25,146.0
40,1972-12-15,644.0,144.75
41,1972-12-18,638.0,138.75
42,1972-12-19,639.0,139.75
43,1972-12-20,642.87,143.62
44,1972-12-21,644.0,144.75
45,1972-12-22,641.5,142.25
46,1972-12-26,642.0,142.75
47,1972-12-27,641.87,142.62
48,1972-12-29,644.12,144.87
49,1973-01-02,641.87,142.62
50,1973-01-03,642.25,143.0
51,1973-01-04,639.75,140.5
52,1973-01-05,638.25,139.0
53,1973-01-08,635.75,136.5
54,1973-01-09,637.75,138.5
55,1973-01-10,639.25,140.0
56,1973-01-11,634.0,134.75
57,1973-01-12,633.25,134.0
58,1973-01-15,633.25,134.0
59,1973-01-16,635.62,136.37
60,1973-01-17,634.0,134.75
61,1973-01-18,633.5,134.25
62,1973-01-19,634.25,135.0
63,1973-01-22,635.0,135.75
64,1973-01-23,637.0,137.75
65,1973-01-24,637.75,138.5
66,1973-01-26,634.5,135.25
67,1973-01-29,633.75,134.5
68,1973-01-30,633.25,134.0
69,1973-01-31,633.75,134.5
70,1973-02-01,631.5,132.25
71,1973-02-02,633.5,134.25
72,1973-02-05,635.0,135.75
73,1973-02-06,633.25,134.0
74,1973-02-07,632.75,133.5
75,1973-02-08,632.75,133.5
76,1973-02-09,634.0,134.75
77,1973-02-12,637.25,138.0
78,1973-02-13,638.5,139.25
79,1973-02-14,635.87,136.62
80,1973-02-15,636.5,137.25
81,1973-02-16,637.75,138.5
82,1973-02-20,638.75,139.5
83,1973-02-21,643.75,144.5
84,1973-02-22,645.75,146.5
85,1973-02-23,643.0,143.75
86,1973-02-26,642.0,142.75
87,1973-02-27,641.25,142.0
88,1973-02-28,642.75,143.5
89,1973-03-01,647.75,148.5
90,1973-03-02,645.75,146.5
91,1973-03-05,648.12,148.87
92,1973-03-06,648.25,149.0
93,1973-03-07,648.75,149.5
94,1973-03-08,645.75,146.5
95,1973-03-09,646.5,147.25
96,1973-03-12,644.0,144.75
97,1973-03-13,643.5,144.25
98,1973-03-14,644.75,145.5
99,1973-03-15,645.75,146.5
100,1973-03-16,646.0,146.75
101,1973-03-19,644.25,145.0
102,1973-03-20,645.0,145.75
103,1973-03-21,645.25,146.0
104,1973-03-22,648.25,149.0
105,1973-03-23,646.5,147.25
106,1973-03-26,645.75,146.5
107,1973-03-27,644.0,144.75
108,1973-03-28,646.12,146.87
109,1973-03-29,646.25,147.0
110,1973-03-30,646.75,147.5
111,1973-04-02,652.25,153.0
112,1973-04-03,650.25,151.0
113,1973-04-04,651.75,152.5
114,1973-04-05,650.37,151.12
115,1973-04-06,649.62,150.37
116,1973-04-09,653.12,153.87
117,1973-04-10,651.75,152.5
118,1973-04-11,651.12,151.87
119,1973-04-12,652.62,153.37
120,1973-04-13,652.75,153.5
121,1973-04-16,654.5,155.25
122,1973-04-17,653.75,154.5
123,1973-04-18,656.75,157.5
124,1973-04-19,657.5,158.25
125,1973-04-23,660.0,160.75
126,1973-04-24,657.75,158.5
127,1973-04-25,661.75,162.5
128,1973-04-26,658.0,158.75
129,1973-04-27,657.5,158.25
130,1973-04-30,662.5,163.25
131,1973-05-01,667.25,168.0
132,1973-05-02,663.75,164.5
133,1973-05-03,667.0,167.75
134,1973-05-04,666.75,167.5
135,1973-05-07,671.0,171.75
136,1973-05-08,672.25,173.0
137,1973-05-09,672.75,173.5
138,1973-05-10,666.75,167.5
139,1973-05-11,667.25,168.0
140,1973-05-14,669.25,170.0
141,1973-05-15,669.5,170.25
142,1973-05-16,667.0,167.75
143,1973-05-17,666.25,167.0
144,1973-05-18,670.5,171.25
145,1973-05-21,678.25,179.0
146,1973-05-22,679.5,180.25
147,1973-05-23,680.25,181.0
148,1973-05-24,681.5,182.25
149,1973-05-25,689.75,190.5
150,1973-05-29,697.75,198.5
151,1973-05-30,690.25,191.0
152,1973-05-31,692.75,193.5
153,1973-06-01,697.75,198.5
154,1973-06-04,708.0,208.75
155,1973-06-05,718.0,218.75
156,1973-06-06,708.0,208.75
157,1973-06-07,698.0,198.75
158,1973-06-08,702.0,202.75
159,1973-06-11,711.62,212.37
160,1973-06-12,713.75,214.5
161,1973-06-13,710.75,211.5
162,1973-06-14,701.0,201.75
163,1973-06-15,693.25,194.0
164,1973-06-18,703.0,203.75
165,1973-06-19,707.25,208.0
166,1973-06-20,700.25,201.0
167,1973-06-21,706.75,207.5
168,1973-06-22,700.25,201.0
169,1973-06-25,702.5,203.25
170,1973-06-26,695.0,195.75
171,1973-06-27,694.25,195.0
172,1973-06-28,684.37,185.12
173,1973-06-29,691.25,192.0
174,1973-07-02,701.5,202.25
175,1973-07-03,702.25,203.0
176,1973-07-05,692.75,193.5
177,1973-07-06,695.25,196.0
178,1973-07-09,696.5,197.25
179,1973-07-10,692.0,192.75
180,1973-07-11,702.37,203.12
181,1973-07-12,704.0,204.75
182,1973-07-13,710.0,210.75
183,1973-07-16,718.5,219.25
184,1973-07-17,713.25,214.0
185,1973-07-18,714.75,215.5
186,1973-07-19,725.25,226.0
