,index,adjusted,underlying
0,1988-11-03,-23.299999999999947,14.33
1,1988-11-04,-23.489999999999945,14.14
2,1988-11-07,-23.339999999999947,14.29
3,1988-11-08,-23.349999999999948,14.28
4,1988-11-09,-23.379999999999946,14.25
5,1988-11-10,-23.389999999999947,14.24
6,1988-11-11,-23.489999999999945,14.14
7,1988-11-14,-23.379999999999946,14.25
8,1988-11-15,-23.699999999999942,13.93
9,1988-11-16,-24.019999999999943,13.61
10,1988-11-17,-24.929999999999943,12.7
11,1988-11-18,-24.889999999999947,12.74
12,1988-11-21,-24.859999999999957,12.77
13,1988-11-22,-23.939999999999948,13.69
14,1988-11-23,-23.779999999999948,13.85
15,1988-11-28,-22.779999999999948,14.85
16,1988-11-29,-22.629999999999946,15.0
17,1988-11-30,-22.57999999999995,15.05
18,1988-12-01,-22.479999999999947,15.15
19,1988-12-02,-22.439999999999948,15.19
20,1988-12-05,-22.78999999999995,14.84
21,1988-12-06,-22.709999999999948,14.92
22,1988-12-07,-22.419999999999945,15.21
23,1988-12-08,-22.67999999999995,14.95
24,1988-12-09,-22.349999999999948,15.28
25,1988-12-12,-22.32999999999995,15.3
26,1988-12-13,-22.639999999999947,14.99
27,1988-12-14,-22.299999999999947,15.33
28,1988-12-15,-22.67999999999995,14.95
29,1988-12-16,-22.439999999999948,15.19
30,1988-12-19,-22.57999999999995,15.05
31,1988-12-20,-22.479999999999947,15.15
32,1988-12-21,-22.459999999999948,15.17
33,1988-12-22,-22.209999999999948,15.42
34,1988-12-23,-22.019999999999943,15.61
35,1988-12-27,-21.839999999999947,15.79
36,1988-12-28,-22.139999999999947,15.49
37,1988-12-29,-22.35999999999995,15.27
38,1988-12-30,-22.269999999999943,15.36
39,1989-01-03,-21.939999999999948,15.69
40,1989-01-04,-21.96999999999995,15.66
41,1989-01-05,-21.809999999999945,15.82
42,1989-01-06,-21.689999999999948,15.94
43,1989-01-09,-21.589999999999947,16.04
44,1989-01-10,-21.599999999999945,16.03
45,1989-01-11,-21.50999999999995,16.12
46,1989-01-12,-21.32999999999995,16.3
47,1989-01-13,-21.46999999999995,16.16
48,1989-01-16,-21.42999999999995,16.2
49,1989-01-17,-21.129999999999946,16.5
50,1989-01-18,-20.13999999999995,17.49
51,1989-01-19,-20.659999999999947,16.97
52,1989-01-20,-20.92999999999995,16.7
53,1989-01-23,-21.599999999999945,16.03
54,1989-01-24,-21.269999999999943,16.36
55,1989-01-25,-21.029999999999944,16.6
56,1989-01-26,-21.409999999999947,16.22
57,1989-01-27,-21.379999999999946,16.25
58,1989-01-30,-21.689999999999948,15.94
59,1989-01-31,-21.849999999999948,15.78
60,1989-02-01,-21.279999999999944,16.35
61,1989-02-02,-21.28999999999995,16.34
62,1989-02-03,-21.739999999999945,15.89
63,1989-02-06,-21.96999999999995,15.66
64,1989-02-07,-21.819999999999947,15.81
65,1989-02-08,-21.96999999999995,15.66
66,1989-02-09,-21.879999999999946,15.75
67,1989-02-10,-22.049999999999947,15.58
68,1989-02-13,-21.839999999999947,15.79
69,1989-02-14,-22.10999999999995,15.52
70,1989-02-15,-21.779999999999948,15.85
71,1989-02-16,-21.56999999999995,16.06
72,1989-02-17,-21.439999999999948,16.19
