,index,adjusted,underlying
0,2000-03-13,9580.0,7752.0
1,2000-03-14,9547.0,7719.0
2,2000-03-15,9328.0,7500.0
3,2000-03-16,9478.5,7650.5
4,2000-03-17,9607.0,7779.0
5,2000-03-20,9747.0,7919.0
6,2000-03-21,9686.0,7858.0
7,2000-03-22,9676.0,7848.0
8,2000-03-23,9629.0,7801.0
9,2000-03-24,9780.0,7952.0
10,2000-03-27,9775.0,7947.0
11,2000-03-28,9801.0,7973.0
12,2000-03-29,9764.0,7936.0
13,2000-03-30,9526.0,7698.0
14,2000-03-31,9433.0,7605.0
15,2000-04-03,9302.5,7474.5
16,2000-04-04,9410.0,7582.0
17,2000-04-05,9174.0,7346.0
18,2000-04-06,9313.5,7485.5
19,2000-04-07,9375.5,7547.5
20,2000-04-10,9393.0,7565.0
21,2000-04-11,9303.0,7475.0
22,2000-04-12,9278.0,7450.0
23,2000-04-13,9302.0,7474.0
24,2000-04-14,9053.0,7225.0
25,2000-04-17,9032.0,7204.0
26,2000-04-18,9075.0,7247.0
27,2000-04-19,9060.5,7232.5
28,2000-04-20,9048.0,7220.0
29,2000-04-25,9151.0,7323.0
30,2000-04-26,9229.0,7401.0
31,2000-04-27,9048.0,7220.0
32,2000-04-28,9289.0,7461.0
33,2000-05-02,9408.0,7580.0
34,2000-05-03,9208.0,7380.0
35,2000-05-04,9236.5,7408.5
36,2000-05-05,9354.0,7526.0
37,2000-05-08,9250.5,7422.5
38,2000-05-09,9105.0,7277.0
39,2000-05-10,8970.0,7142.0
40,2000-05-11,9121.0,7293.0
41,2000-05-12,9108.5,7280.5
42,2000-05-15,9048.0,7220.0
43,2000-05-16,9231.0,7403.0
44,2000-05-17,9057.0,7229.0
45,2000-05-18,9003.0,7175.0
46,2000-05-19,8838.5,7010.5
47,2000-05-22,8763.5,6935.5
48,2000-05-23,8775.0,6947.0
49,2000-05-24,8692.0,6864.0
50,2000-05-25,8790.0,6962.0
51,2000-05-26,8786.0,6958.0
52,2000-05-29,8864.0,7036.0
53,2000-05-30,8957.0,7129.0
54,2000-05-31,8958.0,7130.0
55,2000-06-01,9106.0,7278.0
56,2000-06-02,9273.0,7445.0
57,2000-06-05,9239.0,7411.0
58,2000-06-06,9190.0,7362.0
59,2000-06-07,9125.0,7297.0
60,2000-06-08,9101.0,7273.0
61,2000-06-09,9065.0,7237.0
62,2000-06-12,9082.0,7254.0
63,2000-06-13,9109.0,7353.5
64,2000-06-14,9196.5,7441.0
65,2000-06-15,9188.0,7432.5
66,2000-06-16,9098.0,7342.5
67,2000-06-19,9061.0,7305.5
68,2000-06-20,9058.0,7302.5
69,2000-06-21,8968.5,7213.0
70,2000-06-22,8891.0,7135.5
71,2000-06-23,8810.5,7055.0
72,2000-06-26,8860.5,7105.0
73,2000-06-27,8869.0,7113.5
74,2000-06-28,8885.5,7130.0
75,2000-06-29,8697.5,6942.0
76,2000-06-30,8705.5,6950.0
77,2000-07-03,8784.0,7028.5
78,2000-07-04,8765.5,7010.0
79,2000-07-05,8791.5,7036.0
80,2000-07-06,8775.5,7020.0
81,2000-07-07,8863.5,7108.0
82,2000-07-10,8881.5,7126.0
83,2000-07-11,8811.5,7056.0
84,2000-07-12,8881.0,7125.5
85,2000-07-13,8999.5,7244.0
86,2000-07-14,9134.5,7379.0
87,2000-07-17,9228.5,7473.0
88,2000-07-18,9199.5,7444.0
89,2000-07-19,9170.5,7415.0
90,2000-07-20,9295.5,7540.0
91,2000-07-21,9190.0,7434.5
92,2000-07-24,9114.5,7359.0
93,2000-07-25,9140.5,7385.0
94,2000-07-26,9075.5,7320.0
95,2000-07-27,8983.0,7227.5
96,2000-07-28,8925.5,7170.0
97,2000-07-31,9027.5,7272.0
98,2000-08-01,8942.5,7187.0
99,2000-08-02,8918.5,7163.0
100,2000-08-03,8824.5,7069.0
101,2000-08-04,8810.5,7055.0
102,2000-08-07,8921.5,7166.0
103,2000-08-08,8936.5,7181.0
104,2000-08-09,9030.5,7275.0
105,2000-08-10,9060.5,7305.0
106,2000-08-11,9106.5,7351.0
107,2000-08-14,9103.5,7348.0
108,2000-08-15,9075.5,7320.0
109,2000-08-16,9111.5,7356.0
110,2000-08-17,9055.5,7300.0
111,2000-08-18,9003.0,7247.5
112,2000-08-21,8970.0,7214.5
113,2000-08-22,9029.5,7274.0
114,2000-08-23,8994.5,7239.0
115,2000-08-24,8990.5,7235.0
116,2000-08-25,9100.5,7345.0
117,2000-08-28,9118.5,7363.0
118,2000-08-29,9060.5,7305.0
119,2000-08-30,8951.5,7196.0
120,2000-08-31,9015.5,7260.0
121,2000-09-01,9126.0,7370.5
122,2000-09-04,9214.5,7459.0
123,2000-09-05,9161.5,7406.0
124,2000-09-06,9091.5,7336.0
125,2000-09-07,9139.5,7384.0
126,2000-09-08,9022.0,7266.5
127,2000-09-11,8980.0,7224.5
128,2000-09-12,8901.0,7234.0
129,2000-09-13,8765.5,7098.5
130,2000-09-14,8804.0,7137.0
131,2000-09-15,8769.0,7102.0
132,2000-09-18,8632.5,6965.5
133,2000-09-19,8676.0,7009.0
134,2000-09-20,8490.5,6823.5
135,2000-09-21,8406.0,6739.0
136,2000-09-22,8459.0,6792.0
137,2000-09-25,8512.0,6845.0
138,2000-09-26,8491.5,6824.5
139,2000-09-27,8519.0,6852.0
140,2000-09-28,8580.0,6913.0
141,2000-09-29,8541.0,6874.0
142,2000-10-02,8612.0,6945.0
143,2000-10-04,8551.5,6884.5
144,2000-10-05,8607.5,6940.5
145,2000-10-06,8460.5,6793.5
146,2000-10-09,8411.5,6744.5
147,2000-10-10,8407.0,6740.0
148,2000-10-11,8289.5,6622.5
149,2000-10-12,8168.0,6501.0
150,2000-10-13,8354.0,6687.0
151,2000-10-16,8345.0,6678.0
152,2000-10-17,8256.0,6589.0
153,2000-10-18,8201.5,6534.5
154,2000-10-19,8307.0,6640.0
155,2000-10-20,8331.0,6664.0
156,2000-10-23,8349.5,6682.5
157,2000-10-24,8533.5,6866.5
158,2000-10-25,8470.5,6803.5
159,2000-10-26,8450.5,6783.5
160,2000-10-27,8638.0,6971.0
161,2000-10-30,8660.0,6993.0
162,2000-10-31,8791.0,7124.0
163,2000-11-01,8772.0,7105.0
164,2000-11-02,8795.0,7128.0
165,2000-11-03,8840.5,7173.5
166,2000-11-06,8844.0,7177.0
167,2000-11-07,8784.5,7117.5
168,2000-11-08,8721.5,7054.5
169,2000-11-09,8635.5,6968.5
170,2000-11-10,8535.0,6868.0
171,2000-11-13,8444.0,6777.0
172,2000-11-14,8652.0,6985.0
173,2000-11-15,8639.0,6972.0
174,2000-11-16,8505.0,6838.0
175,2000-11-17,8427.0,6760.0
176,2000-11-20,8288.5,6621.5
177,2000-11-21,8357.0,6690.0
178,2000-11-22,8198.0,6531.0
179,2000-11-23,8289.0,6622.0
180,2000-11-24,8357.0,6690.0
181,2000-11-27,8375.0,6708.0
182,2000-11-28,8312.0,6645.0
183,2000-11-29,8281.0,6614.0
184,2000-11-30,8067.0,6400.0
185,2000-12-01,8187.0,6520.0
186,2000-12-04,8106.5,6439.5
187,2000-12-05,8300.0,6633.0
188,2000-12-06,8285.0,6618.0
189,2000-12-07,8242.0,6575.0
190,2000-12-08,8349.0,6682.0
191,2000-12-11,8457.0,6790.0
192,2000-12-12,8407.0,6819.5
193,2000-12-13,8278.0,6690.5
194,2000-12-14,8138.5,6551.0
195,2000-12-15,8012.0,6424.5
196,2000-12-18,8022.0,6434.5
197,2000-12-19,8157.5,6570.0
198,2000-12-20,7907.5,6320.0
199,2000-12-21,7865.5,6278.0
200,2000-12-22,7921.5,6334.0
201,2000-12-26,8092.5,6505.0
202,2000-12-27,7992.5,6405.0
203,2000-12-28,7982.5,6395.0
204,2000-12-29,8087.5,6500.0
205,2001-01-02,7927.5,6340.0
206,2001-01-03,8076.5,6489.0
207,2001-01-04,8022.5,6435.0
208,2001-01-05,8013.0,6425.5
209,2001-01-08,8013.0,6425.5
210,2001-01-09,8017.5,6430.0
211,2001-01-10,7986.0,6398.5
212,2001-01-11,8115.0,6527.5
213,2001-01-12,8131.5,6544.0
214,2001-01-15,8164.5,6577.0
215,2001-01-16,8148.5,6561.0
216,2001-01-17,8274.5,6687.0
217,2001-01-18,8278.0,6690.5
218,2001-01-19,8292.0,6704.5
219,2001-01-22,8287.0,6699.5
220,2001-01-23,8332.5,6745.0
221,2001-01-24,8325.0,6737.5
222,2001-01-25,8369.5,6782.0
223,2001-01-26,8320.5,6733.0
224,2001-01-29,8370.5,6783.0
225,2001-01-30,8353.5,6766.0
226,2001-01-31,8390.0,6802.5
227,2001-02-01,8342.5,6755.0
228,2001-02-02,8257.0,6669.5
229,2001-02-05,8252.5,6665.0
230,2001-02-06,8295.5,6708.0
231,2001-02-07,8207.5,6620.0
232,2001-02-08,8245.5,6658.0
233,2001-02-09,8116.0,6528.5
234,2001-02-12,8179.0,6591.5
235,2001-02-13,8181.0,6593.5
236,2001-02-14,8101.5,6514.0
237,2001-02-15,8177.5,6590.0
238,2001-02-16,8062.5,6475.0
239,2001-02-19,8078.5,6491.0
240,2001-02-20,8052.5,6465.0
241,2001-02-21,7955.5,6368.0
242,2001-02-22,7870.5,6283.0
243,2001-02-23,7669.5,6082.0
244,2001-02-26,7782.5,6195.0
245,2001-02-27,7796.5,6209.0
246,2001-02-28,7802.0,6214.5
247,2001-03-01,7699.0,6111.5
248,2001-03-02,7758.0,6170.5
249,2001-03-05,7785.0,6197.5
250,2001-03-06,7894.5,6307.0
251,2001-03-07,7912.0,6324.5
252,2001-03-08,7853.5,6266.0
253,2001-03-09,7805.5,6218.0
254,2001-03-12,7634.0,6046.5
255,2001-03-13,7555.0,6001.5
256,2001-03-14,7374.5,5821.0
257,2001-03-15,7436.0,5882.5
258,2001-03-16,7323.5,5770.0
259,2001-03-19,7250.5,5697.0
260,2001-03-20,7360.5,5807.0
261,2001-03-21,7203.5,5650.0
262,2001-03-22,6958.5,5405.0
263,2001-03-23,7127.5,5574.0
264,2001-03-26,7327.0,5773.5
265,2001-03-27,7484.5,5931.0
266,2001-03-28,7370.5,5817.0
267,2001-03-29,7443.5,5890.0
268,2001-03-30,7379.0,5825.5
269,2001-04-02,7282.5,5729.0
270,2001-04-03,7104.0,5550.5
271,2001-04-04,7159.0,5605.5
272,2001-04-05,7344.0,5790.5
273,2001-04-06,7259.0,5705.5
274,2001-04-09,7350.5,5797.0
275,2001-04-10,7454.0,5900.5
276,2001-04-11,7511.5,5958.0
277,2001-04-12,7588.5,6035.0
