,index,adjusted,underlying
0,2002-06-12,7284.0,9620.0
1,2002-06-13,7174.0,9510.0
2,2002-06-14,7144.0,9480.0
3,2002-06-17,7344.0,9680.0
4,2002-06-18,7419.0,9755.0
5,2002-06-19,7224.0,9560.0
6,2002-06-20,7092.0,9428.0
7,2002-06-21,6931.0,9267.0
8,2002-06-24,6974.0,9310.0
9,2002-06-25,6769.0,9105.0
10,2002-06-26,6779.0,9115.0
11,2002-06-27,6930.0,9266.0
12,2002-06-28,6894.0,9230.0
13,2002-07-01,6760.0,9096.0
14,2002-07-02,6674.0,9010.0
15,2002-07-03,6711.0,9047.0
16,2002-07-05,7056.0,9392.0
17,2002-07-08,6942.0,9278.0
18,2002-07-09,6762.0,9098.0
19,2002-07-10,6459.0,8795.0
20,2002-07-11,6461.0,8797.0
21,2002-07-12,6312.0,8648.0
22,2002-07-15,6326.0,8662.0
23,2002-07-16,6137.0,8473.0
24,2002-07-17,6189.0,8525.0
25,2002-07-18,6029.0,8365.0
26,2002-07-19,5662.0,7998.0
27,2002-07-22,5449.0,7785.0
28,2002-07-23,5362.0,7698.0
29,2002-07-24,5869.0,8205.0
30,2002-07-25,5834.0,8170.0
31,2002-07-26,5931.0,8267.0
32,2002-07-29,6329.0,8665.0
33,2002-07-30,6358.0,8694.0
34,2002-07-31,6369.0,8705.0
35,2002-08-01,6142.0,8478.0
36,2002-08-02,5964.0,8300.0
37,2002-08-05,5701.0,8037.0
38,2002-08-06,5949.0,8285.0
39,2002-08-07,6104.0,8440.0
40,2002-08-08,6359.0,8695.0
41,2002-08-09,6389.0,8725.0
42,2002-08-12,6334.0,8670.0
43,2002-08-13,6144.0,8480.0
44,2002-08-14,6384.0,8720.0
45,2002-08-15,6471.0,8807.0
46,2002-08-16,6429.0,8765.0
47,2002-08-19,6631.0,8967.0
48,2002-08-20,6549.0,8885.0
49,2002-08-21,6639.0,8975.0
50,2002-08-22,6704.0,9040.0
51,2002-08-23,6532.0,8868.0
52,2002-08-26,6574.0,8910.0
53,2002-08-27,6499.0,8835.0
54,2002-08-28,6346.0,8682.0
55,2002-08-29,6317.0,8653.0
56,2002-08-30,6297.0,8633.0
57,2002-09-03,5962.0,8298.0
58,2002-09-04,6054.0,8390.0
59,2002-09-05,5977.0,8313.0
60,2002-09-06,6097.0,8433.0
61,2002-09-09,6156.0,8492.0
62,2002-09-10,6284.0,8620.0
63,2002-09-11,6216.0,8552.0
64,2002-09-12,6055.0,8378.0
65,2002-09-13,5987.0,8310.0
66,2002-09-16,6052.0,8375.0
67,2002-09-17,5855.0,8178.0
68,2002-09-18,5772.0,8095.0
69,2002-09-19,5590.0,7913.0
70,2002-09-20,5622.0,7945.0
71,2002-09-23,5542.0,7865.0
72,2002-09-24,5355.0,7678.0
73,2002-09-25,5524.0,7847.0
74,2002-09-26,5629.0,7952.0
75,2002-09-27,5340.0,7663.0
76,2002-09-30,5247.0,7570.0
77,2002-10-01,5649.0,7972.0
78,2002-10-02,5442.0,7765.0
79,2002-10-03,5385.0,7708.0
80,2002-10-04,5227.0,7550.0
81,2002-10-07,5120.0,7443.0
82,2002-10-08,5187.0,7510.0
83,2002-10-09,4957.0,7280.0
84,2002-10-10,5182.0,7505.0
85,2002-10-11,5539.0,7862.0
86,2002-10-14,5535.0,7858.0
87,2002-10-15,5929.0,8252.0
88,2002-10-16,5715.0,8038.0
89,2002-10-17,5932.0,8255.0
90,2002-10-18,5972.0,8295.0
91,2002-10-21,6192.0,8515.0
92,2002-10-22,6122.0,8445.0
93,2002-10-23,6169.0,8492.0
94,2002-10-24,5952.0,8275.0
95,2002-10-25,6117.0,8440.0
96,2002-10-28,6055.0,8378.0
97,2002-10-29,6023.0,8346.0
98,2002-10-30,6087.0,8410.0
99,2002-10-31,6027.0,8350.0
100,2002-11-01,6167.0,8490.0
101,2002-11-04,6219.0,8542.0
102,2002-11-05,6325.0,8648.0
103,2002-11-06,6444.0,8767.0
104,2002-11-07,6251.0,8574.0
105,2002-11-08,6172.0,8495.0
106,2002-11-11,6032.0,8355.0
107,2002-11-12,6074.0,8397.0
108,2002-11-13,6102.0,8425.0
109,2002-11-14,6197.0,8520.0
110,2002-11-15,6243.0,8566.0
111,2002-11-18,6157.0,8480.0
112,2002-11-19,6200.0,8523.0
113,2002-11-20,6349.0,8672.0
114,2002-11-21,6536.0,8859.0
115,2002-11-22,6473.0,8796.0
116,2002-11-25,6504.0,8827.0
117,2002-11-26,6342.0,8665.0
118,2002-11-27,6604.0,8927.0
119,2002-11-29,6547.0,8870.0
120,2002-12-02,6547.0,8870.0
121,2002-12-03,6442.0,8765.0
122,2002-12-04,6420.0,8743.0
123,2002-12-05,6317.0,8640.0
124,2002-12-06,6334.0,8657.0
125,2002-12-09,6130.0,8453.0
126,2002-12-10,6232.0,8555.0
127,2002-12-11,6247.0,8570.0
128,2002-12-12,6213.0,8520.0
129,2002-12-13,6093.0,8400.0
130,2002-12-16,6310.0,8617.0
131,2002-12-17,6211.0,8518.0
132,2002-12-18,6128.0,8435.0
133,2002-12-19,6048.0,8355.0
134,2002-12-20,6205.0,8512.0
135,2002-12-23,6192.0,8499.0
136,2002-12-24,6123.0,8430.0
137,2002-12-26,6127.0,8434.0
138,2002-12-27,5978.0,8285.0
139,2002-12-30,6000.0,8307.0
140,2002-12-31,6024.0,8331.0
141,2003-01-02,6287.0,8594.0
142,2003-01-03,6297.0,8604.0
143,2003-01-06,6430.0,8737.0
144,2003-01-07,6443.0,8750.0
145,2003-01-08,6276.0,8583.0
146,2003-01-09,6434.0,8741.0
147,2003-01-10,6460.0,8767.0
148,2003-01-13,6470.0,8777.0
149,2003-01-14,6503.0,8810.0
150,2003-01-15,6424.0,8731.0
151,2003-01-16,6393.0,8700.0
152,2003-01-17,6276.0,8583.0
153,2003-01-21,6128.0,8435.0
154,2003-01-22,5993.0,8300.0
155,2003-01-23,6013.0,8320.0
156,2003-01-24,5806.0,8113.0
157,2003-01-27,5676.0,7983.0
158,2003-01-28,5738.0,8045.0
159,2003-01-29,5767.0,8074.0
160,2003-01-30,5593.0,7900.0
161,2003-01-31,5740.0,8047.0
162,2003-02-03,5770.0,8077.0
163,2003-02-04,5713.0,8020.0
164,2003-02-05,5673.0,7980.0
165,2003-02-06,5633.0,7940.0
166,2003-02-07,5546.0,7853.0
167,2003-02-10,5602.0,7909.0
168,2003-02-11,5532.0,7839.0
169,2003-02-12,5428.0,7735.0
170,2003-02-13,5453.0,7760.0
171,2003-02-14,5618.0,7925.0
172,2003-02-18,5740.0,8047.0
173,2003-02-19,5706.0,8013.0
174,2003-02-20,5618.0,7925.0
175,2003-02-21,5693.0,8000.0
176,2003-02-24,5553.0,7860.0
177,2003-02-25,5613.0,7920.0
178,2003-02-26,5503.0,7810.0
179,2003-02-27,5585.0,7892.0
180,2003-02-28,5613.0,7920.0
181,2003-03-03,5536.0,7843.0
182,2003-03-04,5405.0,7712.0
183,2003-03-05,5460.0,7767.0
184,2003-03-06,5368.0,7675.0
185,2003-03-07,5428.0,7735.0
186,2003-03-10,5253.0,7560.0
187,2003-03-11,5213.0,7520.0
188,2003-03-12,5255.0,7532.0
189,2003-03-13,5525.0,7802.0
190,2003-03-14,5573.0,7850.0
191,2003-03-17,5825.0,8102.0
192,2003-03-18,5893.0,8170.0
193,2003-03-19,5963.0,8240.0
