,index,adjusted,underlying
0,1984-03-23,71.84000999999996,87.13
1,1984-03-26,71.91000999999997,87.2
2,1984-03-27,71.89000999999998,87.18
3,1984-03-28,71.89000999999998,87.18
4,1984-03-29,71.86000999999997,87.15
5,1984-03-30,71.75000999999997,87.04
6,1984-04-02,71.70000999999996,86.99
7,1984-04-03,71.54000999999997,86.83
8,1984-04-04,71.56000999999996,86.85
9,1984-04-05,71.50000999999997,86.79
10,1984-04-06,71.55000999999997,86.84
11,1984-04-09,71.55000999999997,86.84
12,1984-04-10,71.53000999999996,86.82
13,1984-04-11,71.57000999999997,86.86
14,1984-04-12,71.64000999999998,86.93
15,1984-04-13,71.51000999999997,86.8
16,1984-04-16,71.44000999999997,86.73
17,1984-04-17,71.52000999999997,86.81
18,1984-04-18,71.42000999999996,86.71
19,1984-04-19,71.28000999999996,86.57
20,1984-04-23,71.23000999999996,86.52
21,1984-04-24,71.21000999999997,86.5
22,1984-04-25,71.31000999999996,86.6
23,1984-04-26,71.33000999999997,86.62
24,1984-04-27,71.22000999999997,86.51
25,1984-04-30,71.20000999999996,86.49
26,1984-05-01,71.27000999999997,86.56
27,1984-05-02,71.29000999999997,86.58
28,1984-05-03,71.23000999999996,86.52
29,1984-05-04,71.04000999999997,86.33
30,1984-05-07,70.95000999999996,86.24
31,1984-05-08,70.86000999999997,86.15
32,1984-05-09,70.62000999999997,85.91
33,1984-05-10,70.42000999999996,85.71
34,1984-05-11,70.27000999999997,85.56
35,1984-05-14,70.27000999999997,85.56
36,1984-05-15,70.32000999999997,85.61
37,1984-05-16,70.35000999999997,85.64
38,1984-05-17,70.29000999999997,85.58
39,1984-05-18,70.41000999999997,85.7
40,1984-05-21,70.43000999999997,85.72
41,1984-05-22,70.19000999999997,85.48
42,1984-05-23,70.09000999999996,85.38
43,1984-05-24,69.64000999999998,84.93
44,1984-05-25,69.60000999999997,84.89
45,1984-05-29,69.56000999999996,84.85
46,1984-05-30,69.26000999999997,84.55
47,1984-05-31,69.43000999999997,84.72
48,1984-06-01,69.89000999999998,85.18
49,1984-06-04,70.27000999999997,85.56
50,1984-06-05,70.23000999999996,85.52
51,1984-06-06,70.10000999999997,85.39
52,1984-06-07,70.02000999999997,85.31
53,1984-06-08,70.04000999999997,85.33
54,1984-06-11,69.98000999999996,85.27
55,1984-06-12,70.05000999999997,85.34
56,1984-06-13,70.30000999999997,85.59
57,1984-06-14,70.38000999999997,85.67
58,1984-06-15,70.45000999999996,85.74
59,1984-06-18,70.55000999999997,85.84
60,1984-06-19,70.51000999999997,85.8
61,1984-06-20,70.05000999999997,85.34
62,1984-06-21,69.89000999999998,85.18
63,1984-06-22,69.75000999999997,84.88
64,1984-06-25,69.81000999999998,84.94
65,1984-06-26,69.87000999999998,85.0
66,1984-06-27,69.99000999999998,85.12
67,1984-06-28,69.83000999999997,84.96
68,1984-06-29,69.78000999999998,84.91
69,1984-07-02,69.83000999999997,84.96
70,1984-07-03,69.96000999999998,85.09
71,1984-07-05,70.04000999999998,85.17
72,1984-07-06,70.09000999999998,85.22
73,1984-07-09,70.30000999999999,85.43
74,1984-07-10,70.25000999999997,85.38
75,1984-07-11,70.24000999999998,85.37
76,1984-07-12,70.45000999999998,85.58
77,1984-07-13,70.66000999999999,85.79
78,1984-07-16,70.52000999999998,85.65
79,1984-07-17,70.44000999999997,85.57
80,1984-07-18,70.50000999999997,85.63
81,1984-07-19,70.58000999999997,85.71
82,1984-07-20,70.57000999999998,85.7
83,1984-07-23,70.60000999999998,85.73
84,1984-07-24,70.81000999999998,85.94
85,1984-07-25,71.15000999999998,86.28
86,1984-07-26,71.49000999999998,86.62
87,1984-07-27,71.36000999999997,86.49
88,1984-07-30,71.22000999999997,86.35
89,1984-07-31,71.29000999999998,86.42
90,1984-08-01,71.42000999999998,86.55
91,1984-08-02,71.49000999999998,86.62
92,1984-08-03,71.75000999999997,86.88
93,1984-08-06,71.46000999999998,86.59
94,1984-08-07,71.69000999999997,86.82
95,1984-08-08,71.66000999999999,86.79
96,1984-08-09,71.69000999999997,86.82
97,1984-08-10,71.77000999999998,86.9
98,1984-08-13,71.75000999999997,86.88
99,1984-08-14,71.83000999999997,86.96
100,1984-08-15,71.81000999999998,86.94
101,1984-08-16,71.76000999999998,86.89
102,1984-08-17,71.72000999999997,86.85
103,1984-08-20,71.62000999999998,86.75
104,1984-08-21,71.63000999999998,86.76
105,1984-08-22,71.68000999999998,86.81
106,1984-08-23,71.64000999999998,86.77
107,1984-08-24,71.66000999999999,86.79
108,1984-08-27,71.40000999999998,86.53
109,1984-08-28,71.40000999999998,86.53
110,1984-08-29,71.37000999999998,86.5
111,1984-08-30,71.35000999999998,86.48
112,1984-08-31,71.40000999999998,86.53
113,1984-09-04,71.24000999999998,86.2
114,1984-09-05,71.22000999999999,86.18
115,1984-09-06,71.47000999999999,86.43
116,1984-09-07,71.65000999999998,86.61
117,1984-09-10,71.90000999999998,86.86
118,1984-09-11,71.87000999999998,86.83
119,1984-09-12,71.72000999999999,86.68
120,1984-09-13,71.91000999999999,86.87
121,1984-09-14,72.05000999999999,87.01
122,1984-09-17,72.10000999999998,87.06
123,1984-09-18,72.34000999999998,87.3
124,1984-09-19,72.68000999999997,87.49
125,1984-09-20,72.63000999999997,87.44
126,1984-09-21,72.36000999999997,87.17
127,1984-09-24,72.13000999999997,86.94
128,1984-09-25,72.09000999999998,86.9
129,1984-09-26,72.21000999999997,87.02
130,1984-09-27,72.41000999999997,87.22
131,1984-09-28,72.04000999999997,86.85
132,1984-10-01,71.98000999999998,86.79
133,1984-10-02,71.98000999999998,86.79
134,1984-10-03,71.92000999999998,86.73
135,1984-10-04,72.03000999999998,86.84
136,1984-10-05,72.15000999999997,86.96
137,1984-10-08,72.21000999999997,87.02
138,1984-10-09,72.18000999999997,86.99
139,1984-10-10,72.20000999999998,87.01
140,1984-10-11,72.26000999999997,87.07
141,1984-10-12,72.31000999999998,87.12
142,1984-10-15,72.23000999999998,87.04
143,1984-10-16,72.22000999999997,87.03
144,1984-10-17,72.38000999999997,87.19
145,1984-10-18,72.59000999999998,87.4
146,1984-10-19,72.59000999999998,87.4
147,1984-10-22,72.63000999999997,87.44
148,1984-10-23,72.73000999999998,87.29
149,1984-10-24,72.89000999999998,87.45
150,1984-10-25,72.66000999999997,87.22
151,1984-10-26,72.32000999999997,86.88
152,1984-10-29,72.35000999999997,86.91
153,1984-10-30,72.60000999999997,87.16
154,1984-10-31,72.60000999999997,87.16
155,1984-11-01,72.64000999999998,87.2
156,1984-11-02,72.72000999999997,87.28
157,1984-11-05,72.94000999999997,87.5
158,1984-11-06,72.96000999999997,87.52
159,1984-11-07,72.81000999999998,87.37
160,1984-11-08,72.70000999999998,87.26
161,1984-11-09,72.82000999999997,87.38
162,1984-11-12,72.95000999999998,87.51
163,1984-11-13,72.72000999999997,87.28
164,1984-11-14,72.62000999999998,87.18
165,1984-11-15,72.75000999999997,87.31
166,1984-11-16,72.73000999999998,87.29
167,1984-11-19,72.83000999999997,87.39
168,1984-11-20,73.05000999999997,87.61
169,1984-11-21,73.32000999999997,87.88
170,1984-11-23,73.49000999999997,88.05
171,1984-11-26,73.49000999999997,88.05
172,1984-11-27,73.46000999999997,88.02
173,1984-11-28,73.49000999999997,88.05
174,1984-11-29,73.47000999999997,88.03
175,1984-11-30,73.22000999999997,87.78
176,1984-12-03,73.32000999999997,87.88
177,1984-12-04,73.39000999999998,87.95
178,1984-12-05,73.34000999999998,87.9
179,1984-12-06,73.16000999999997,87.72
180,1984-12-07,73.08000999999997,87.64
181,1984-12-10,73.20000999999998,87.76
182,1984-12-11,73.28000999999998,87.84
183,1984-12-12,73.30000999999997,87.86
184,1984-12-13,73.13000999999997,87.69
185,1984-12-14,73.49000999999997,88.05
186,1984-12-17,73.53000999999998,88.09
187,1984-12-18,73.69000999999997,88.25
188,1984-12-19,73.61000999999997,88.17
189,1984-12-20,73.53000999999998,88.09
190,1984-12-21,73.59000999999998,88.15
191,1984-12-24,73.73000999999998,88.02
192,1984-12-26,73.56000999999998,87.85
193,1984-12-27,73.56000999999998,87.85
