,index,adjusted,underlying
0,2021-02-11,2023.5,1803.75
1,2021-02-12,2081.5,1861.75
2,2021-02-14,2089.75,1870.0
3,2021-02-15,2097.5,1877.75
4,2021-02-16,2069.75,1850.0
5,2021-02-17,2036.25,1816.5
6,2021-02-18,2179.75,1960.0
7,2021-02-19,2213.75,1994.0
8,2021-02-21,2183.25,1963.5
9,2021-02-22,2140.75,1921.0
10,2021-02-23,1849.75,1630.0
11,2021-02-24,1864.75,1645.0
12,2021-02-25,1855.75,1636.0
13,2021-02-26,1693.5,1473.75
14,2021-02-28,1637.25,1417.5
15,2021-03-01,1652.75,1433.0
16,2021-03-02,1776.5,1556.75
17,2021-03-03,1797.5,1577.75
18,2021-03-04,1769.25,1549.5
19,2021-03-05,1707.5,1487.75
20,2021-03-07,1954.75,1735.0
21,2021-03-08,1953.25,1733.5
22,2021-03-09,2079.75,1860.0
23,2021-03-10,2033.75,1814.0
24,2021-03-11,2103.0,1885.0
25,2021-03-12,1999.5,1781.5
26,2021-03-14,2148.0,1930.0
27,2021-03-15,2072.5,1854.5
28,2021-03-16,2015.5,1797.5
29,2021-03-17,2042.75,1824.75
30,2021-03-18,2076.0,1858.0
31,2021-03-19,1993.5,1775.5
32,2021-03-21,2035.5,1817.5
33,2021-03-22,1998.5,1780.5
34,2021-03-23,1894.75,1676.75
35,2021-03-24,1928.75,1710.75
36,2021-03-25,1838.5,1620.5
37,2021-03-26,1859.5,1641.5
38,2021-03-28,1925.0,1707.0
39,2021-03-29,1936.0,1718.0
40,2021-03-30,2057.25,1839.25
41,2021-03-31,2105.25,1887.25
42,2021-04-01,2158.25,1940.25
43,2021-04-02,2246.5,2028.5
44,2021-04-04,2330.5,2112.5
45,2021-04-05,2263.25,2045.25
46,2021-04-06,2372.25,2154.25
47,2021-04-07,2326.75,2108.75
48,2021-04-08,2251.25,2033.25
49,2021-04-09,2307.75,2089.75
50,2021-04-11,2386.5,2168.5
51,2021-04-12,2425.0,2222.5
52,2021-04-13,2529.0,2326.5
53,2021-04-14,2551.25,2348.75
54,2021-04-15,2710.5,2508.0
55,2021-04-16,2637.75,2435.25
56,2021-04-18,2475.0,2272.5
57,2021-04-19,2504.25,2301.75
58,2021-04-20,2328.5,2126.0
59,2021-04-21,2556.5,2354.0
60,2021-04-22,2708.5,2506.0
61,2021-04-23,2416.25,2213.75
62,2021-04-25,2532.5,2330.0
63,2021-04-26,2713.5,2511.0
64,2021-04-27,2797.5,2595.0
65,2021-04-28,2832.0,2629.5
66,2021-04-29,2977.5,2775.0
67,2021-04-30,3039.25,2836.75
68,2021-05-02,3192.75,2990.25
69,2021-05-03,3331.5,3129.0
70,2021-05-04,3562.25,3359.75
71,2021-05-05,3492.5,3290.0
72,2021-05-06,3625.5,3423.0
73,2021-05-07,3670.75,3468.25
74,2021-05-09,4152.5,3950.0
75,2021-05-10,4332.5,4130.0
76,2021-05-11,4188.75,4021.0
77,2021-05-12,4534.5,4366.75
78,2021-05-13,4231.25,4063.5
79,2021-05-14,4036.75,3869.0
