,index,adjusted,underlying
0,2015-06-15,485.7000000000001,612.5
1,2015-06-16,489.0999999999999,615.9
2,2015-06-17,480.3,607.1
3,2015-06-18,481.5999999999999,608.4
4,2015-06-19,486.5999999999999,613.4
5,2015-06-22,508.5999999999999,635.4
6,2015-06-23,516.7,643.5
7,2015-06-24,510.2000000000001,637.0
8,2015-06-25,512.4000000000001,639.2
9,2015-06-26,516.5,643.3
10,2015-06-29,490.7000000000001,617.5
11,2015-06-30,483.2000000000001,610.0
12,2015-07-01,500.7000000000001,627.5
13,2015-07-02,492.2000000000001,619.0
14,2015-07-03,490.7000000000001,617.5
15,2015-07-06,481.2000000000001,608.0
16,2015-07-07,470.3,597.1
17,2015-07-08,455.1000000000001,581.9
18,2015-07-09,470.2000000000001,597.0
19,2015-07-10,480.3,607.1
20,2015-07-13,484.2000000000001,611.0
21,2015-07-14,477.0,603.8
22,2015-07-15,476.7000000000001,603.5
23,2015-07-16,489.0,615.8
24,2015-07-17,485.4000000000001,612.2
25,2015-07-20,490.2000000000001,617.0
26,2015-07-21,487.8,614.6
27,2015-07-22,483.2000000000001,610.0
28,2015-07-23,481.0999999999999,607.9
29,2015-07-24,467.20000000000016,594.0
30,2015-07-27,450.50000000000006,577.3
31,2015-07-28,456.70000000000016,583.5
32,2015-07-29,455.1000000000001,581.9
33,2015-07-30,451.90000000000015,578.7
34,2015-07-31,456.20000000000016,583.0
35,2015-08-03,459.0000000000001,585.8
36,2015-08-04,464.70000000000016,591.5
37,2015-08-05,479.2000000000001,606.0
38,2015-08-06,475.3,602.1
39,2015-08-07,475.5,602.3
40,2015-08-10,479.0999999999999,605.9
41,2015-08-11,454.1000000000001,580.9
42,2015-08-12,435.3000000000001,562.1
43,2015-08-13,435.2000000000001,562.0
44,2015-08-14,436.6000000000001,563.4
45,2015-08-17,434.7000000000001,561.5
46,2015-08-18,430.00000000000006,556.8
47,2015-08-19,417.7000000000001,544.5
48,2015-08-20,404.00000000000006,530.8
49,2015-08-21,394.2000000000001,521.0
50,2015-08-24,381.0000000000001,507.8
51,2015-08-25,394.1000000000001,520.9
52,2015-08-26,390.40000000000015,517.2
53,2015-08-27,408.00000000000006,534.8
54,2015-08-28,403.2000000000001,530.0
55,2015-08-31,398.1000000000001,524.9
56,2015-09-01,384.5000000000001,511.3
57,2015-09-02,381.3000000000001,508.1
58,2015-09-03,400.90000000000015,527.7
59,2015-09-04,387.2000000000001,514.0
60,2015-09-07,390.7000000000001,517.5
61,2015-09-08,405.00000000000006,531.8
62,2015-09-09,411.8000000000001,538.6
63,2015-09-10,409.6000000000001,536.4
64,2015-09-11,412.3000000000001,536.0
65,2015-09-14,409.7000000000001,533.4
66,2015-09-15,417.8000000000001,541.5
67,2015-09-16,420.6000000000001,544.3
68,2015-09-17,423.2000000000001,546.9
69,2015-09-18,406.3000000000001,530.0
70,2015-09-21,381.8000000000001,505.5
71,2015-09-22,344.8000000000001,468.5
72,2015-09-23,349.3000000000001,473.0
73,2015-09-24,332.90000000000015,456.6
74,2015-09-25,344.60000000000014,468.3
75,2015-09-28,327.8000000000001,451.5
76,2015-09-29,326.10000000000014,449.8
77,2015-09-30,340.5000000000001,464.2
78,2015-10-01,340.0000000000001,463.7
79,2015-10-02,338.90000000000015,462.6
80,2015-10-05,354.3000000000001,478.0
81,2015-10-06,361.7000000000001,485.4
82,2015-10-07,378.40000000000015,502.1
83,2015-10-08,386.7000000000001,510.4
84,2015-10-09,390.3000000000001,514.0
85,2015-10-12,395.7000000000001,519.4
