,index,adjusted,underlying
0,2018-03-12,329.70000000000005,452.5
1,2018-03-13,328.40000000000003,451.2
2,2018-03-14,333.30000000000007,456.1
3,2018-03-15,333.20000000000005,456.0
4,2018-03-16,338.30000000000007,461.1
5,2018-03-19,323.90000000000003,446.7
6,2018-03-20,328.1,450.9
7,2018-03-21,335.6,458.4
8,2018-03-22,319.70000000000005,442.5
9,2018-03-23,317.70000000000005,440.5
10,2018-03-26,316.70000000000005,439.5
11,2018-03-27,322.6,445.4
12,2018-03-28,314.90000000000003,437.7
13,2018-03-29,323.00000000000006,445.8
14,2018-04-03,322.1,444.9
15,2018-04-04,311.20000000000005,434.0
16,2018-04-05,326.30000000000007,449.1
17,2018-04-06,319.30000000000007,442.1
18,2018-04-09,314.20000000000005,437.0
19,2018-04-10,328.70000000000005,451.5
20,2018-04-11,326.90000000000003,449.7
21,2018-04-12,329.70000000000005,452.5
22,2018-04-13,332.80000000000007,455.6
23,2018-04-16,329.20000000000005,452.0
24,2018-04-17,334.50000000000006,457.3
25,2018-04-18,354.20000000000005,477.0
26,2018-04-19,355.90000000000003,478.7
27,2018-04-20,355.90000000000003,478.7
28,2018-04-23,355.20000000000005,478.0
29,2018-04-24,357.50000000000006,480.3
30,2018-04-25,350.70000000000005,473.5
31,2018-04-26,352.00000000000006,474.8
32,2018-04-27,351.80000000000007,474.6
33,2018-04-30,346.20000000000005,469.0
34,2018-05-02,353.00000000000006,475.8
35,2018-05-03,351.20000000000005,474.0
36,2018-05-04,357.6,480.4
37,2018-05-07,359.80000000000007,482.6
38,2018-05-08,358.80000000000007,481.6
39,2018-05-09,368.00000000000006,490.8
40,2018-05-10,371.2000000000001,494.0
41,2018-05-11,377.6,500.4
42,2018-05-14,378.80000000000007,501.6
43,2018-05-15,376.9,499.7
44,2018-05-16,393.2000000000001,516.0
45,2018-05-17,394.6,517.4
46,2018-05-18,387.4,510.2
47,2018-05-21,392.1,514.9
48,2018-05-22,396.2000000000001,519.0
49,2018-05-23,383.2000000000001,506.0
50,2018-05-24,377.9,500.7
51,2018-05-25,374.1,496.9
