,index,adjusted,underlying
0,2009-12-14,583.0,1675.5
1,2009-12-15,581.5,1674.0
2,2009-12-16,604.5,1697.0
3,2009-12-17,589.5,1682.0
4,2009-12-18,575.5,1668.0
5,2009-12-21,601.5,1694.0
6,2009-12-22,616.0,1708.5
7,2009-12-23,617.0,1709.5
8,2009-12-28,626.0,1718.5
9,2009-12-29,637.0,1729.5
10,2009-12-30,628.5,1721.0
11,2010-01-04,665.5,1758.0
12,2010-01-05,681.0,1773.5
13,2010-01-06,685.0,1777.5
14,2010-01-07,687.0,1779.5
15,2010-01-08,699.0,1791.5
16,2010-01-11,701.0,1793.5
17,2010-01-12,669.5,1762.0
18,2010-01-13,677.5,1770.0
19,2010-01-14,690.5,1783.0
20,2010-01-15,669.5,1762.0
21,2010-01-18,677.5,1770.0
22,2010-01-19,697.0,1789.5
23,2010-01-20,656.5,1749.0
24,2010-01-21,629.5,1722.0
25,2010-01-22,613.5,1706.0
26,2010-01-25,606.0,1698.5
27,2010-01-26,608.5,1701.0
28,2010-01-27,591.5,1684.0
29,2010-01-28,573.5,1666.0
30,2010-01-29,590.5,1683.0
31,2010-02-01,603.5,1696.0
32,2010-02-02,624.0,1716.5
33,2010-02-03,607.0,1699.5
34,2010-02-04,544.0,1636.5
35,2010-02-05,509.0,1601.5
36,2010-02-08,512.0,1604.5
37,2010-02-09,520.0,1612.5
38,2010-02-10,545.5,1638.0
39,2010-02-11,541.0,1633.5
40,2010-02-12,528.5,1621.0
41,2010-02-15,532.0,1624.5
42,2010-02-16,557.5,1650.0
43,2010-02-17,579.5,1672.0
44,2010-02-18,594.5,1687.0
45,2010-02-19,604.0,1696.5
46,2010-02-22,595.0,1687.5
47,2010-02-23,563.5,1656.0
48,2010-02-24,558.5,1651.0
49,2010-02-25,535.0,1627.5
50,2010-02-26,562.0,1654.5
51,2010-03-01,581.5,1674.0
52,2010-03-02,598.5,1691.0
53,2010-03-03,619.0,1711.5
54,2010-03-04,613.0,1705.5
55,2010-03-05,638.0,1730.5
56,2010-03-08,648.0,1740.5
57,2010-03-09,654.0,1746.5
