,index,adjusted,underlying
0,2016-12-12,575.8000000000001,676.2
1,2016-12-13,588.6,689.0
2,2016-12-14,581.1,681.5
3,2016-12-15,592.6,693.0
4,2016-12-16,596.2,696.6
5,2016-12-19,598.2,698.6
6,2016-12-20,599.7,700.1
7,2016-12-21,599.3000000000001,699.7
8,2016-12-22,597.1,697.5
9,2016-12-23,598.0,698.4
10,2016-12-27,600.0,700.4
11,2016-12-28,603.0,703.4
12,2016-12-29,602.6,703.0
13,2016-12-30,602.2,702.6
14,2017-01-02,608.8000000000001,709.2
15,2017-01-03,610.3000000000001,710.7
16,2017-01-04,612.4,712.8
17,2017-01-05,619.0,719.4
18,2017-01-06,616.6,717.0
19,2017-01-09,616.0,716.4
20,2017-01-10,616.2,716.6
21,2017-01-11,606.4,706.8
22,2017-01-12,598.4,698.8
23,2017-01-13,606.7,707.1
24,2017-01-16,599.6,700.0
25,2017-01-17,597.5,697.9
26,2017-01-18,601.3000000000001,701.7
27,2017-01-19,593.6,694.0
28,2017-01-20,589.7,690.1
29,2017-01-23,584.4,684.8
30,2017-01-24,579.9,680.3
31,2017-01-25,588.7,689.1
32,2017-01-26,600.7,701.1
33,2017-01-27,600.2,700.6
34,2017-01-30,598.1,698.5
35,2017-01-31,596.6,697.0
36,2017-02-01,603.6,704.0
37,2017-02-02,595.5,695.9
38,2017-02-03,601.2,701.6
39,2017-02-06,603.2,703.6
40,2017-02-07,609.9,710.3
41,2017-02-08,610.8000000000001,711.2
42,2017-02-09,621.4,721.8
43,2017-02-10,624.7,725.1
44,2017-02-13,627.9,728.3
45,2017-02-14,625.1,725.5
46,2017-02-15,628.8000000000001,729.2
47,2017-02-16,633.4,733.8
48,2017-02-17,638.3000000000001,738.7
49,2017-02-20,636.9,737.3
50,2017-02-21,642.7,743.1
51,2017-02-22,644.1,744.5
52,2017-02-23,644.4,744.8
53,2017-02-24,643.1,743.5
54,2017-02-27,639.8000000000001,740.2
55,2017-02-28,644.2,744.6
56,2017-03-01,650.1,750.5
57,2017-03-02,658.3000000000001,758.7
58,2017-03-03,658.4,758.8
59,2017-03-06,652.6,753.0
60,2017-03-07,646.0,746.4
61,2017-03-08,645.7,746.1
62,2017-03-09,644.3000000000001,737.6
63,2017-03-13,650.4000000000001,743.7
64,2017-03-14,651.4000000000001,744.7
65,2017-03-15,650.2,743.5
66,2017-03-16,651.9000000000001,745.2
67,2017-03-17,653.0,746.3
68,2017-03-20,653.7,747.0
69,2017-03-21,643.9000000000001,737.2
70,2017-03-22,643.5,736.8
71,2017-03-23,650.2,743.5
72,2017-03-24,649.0,742.3
73,2017-03-27,650.6,743.9
74,2017-03-28,652.4000000000001,745.7
75,2017-03-29,657.0,750.3
76,2017-03-30,660.4000000000001,753.7
77,2017-03-31,660.6,753.9
78,2017-04-03,657.5,750.8
79,2017-04-04,664.5,757.8
80,2017-04-05,661.9000000000001,755.2
81,2017-04-06,657.9000000000001,751.2
