,index,adjusted,underlying
0,2020-09-10,224.30000000000004,251.9
1,2020-09-11,224.6,252.2
2,2020-09-14,223.80000000000004,251.4
3,2020-09-15,224.80000000000004,252.4
4,2020-09-16,224.90000000000003,252.5
5,2020-09-17,222.90000000000003,250.5
6,2020-09-18,220.90000000000003,248.5
7,2020-09-21,208.90000000000003,236.5
8,2020-09-22,206.00000000000003,233.6
9,2020-09-23,206.00000000000003,233.6
10,2020-09-24,204.30000000000004,231.9
11,2020-09-25,201.6,229.2
12,2020-09-28,210.1,237.7
13,2020-09-29,206.40000000000003,234.0
14,2020-09-30,206.70000000000005,234.3
15,2020-10-01,205.80000000000004,233.4
16,2020-10-02,207.6,235.2
17,2020-10-05,211.90000000000003,239.5
18,2020-10-06,214.50000000000003,242.1
19,2020-10-07,211.50000000000003,239.1
20,2020-10-08,214.00000000000003,241.6
21,2020-10-09,213.20000000000005,240.8
22,2020-10-12,215.30000000000004,242.9
23,2020-10-13,210.40000000000003,238.0
24,2020-10-14,210.30000000000004,237.9
25,2020-10-15,203.20000000000005,230.8
26,2020-10-16,205.50000000000003,233.1
27,2020-10-19,206.50000000000003,234.1
28,2020-10-20,205.6,233.2
29,2020-10-21,202.80000000000004,230.4
30,2020-10-22,203.20000000000005,230.8
31,2020-10-23,204.70000000000005,232.3
32,2020-10-26,201.40000000000003,229.0
33,2020-10-27,195.90000000000003,223.5
34,2020-10-28,189.30000000000004,216.9
35,2020-10-29,188.6,216.2
36,2020-10-30,190.40000000000003,218.0
37,2020-11-02,194.70000000000005,222.3
38,2020-11-03,202.70000000000005,230.3
39,2020-11-04,206.20000000000005,233.8
40,2020-11-05,208.00000000000003,235.6
41,2020-11-06,209.6,237.2
42,2020-11-09,230.3,257.9
43,2020-11-10,239.1,266.7
44,2020-11-11,238.50000000000009,266.1
45,2020-11-12,235.00000000000009,262.6
46,2020-11-13,238.20000000000005,265.8
47,2020-11-16,244.1,271.7
48,2020-11-17,246.90000000000003,274.5
49,2020-11-18,249.90000000000003,277.5
50,2020-11-19,245.50000000000009,273.1
51,2020-11-20,246.1,273.7
52,2020-11-23,248.50000000000009,276.1
53,2020-11-24,252.6,280.2
54,2020-11-25,250.40000000000003,278.0
55,2020-11-26,248.90000000000003,276.5
56,2020-11-27,247.70000000000005,275.3
57,2020-11-30,245.8,273.4
58,2020-12-01,250.00000000000009,277.6
59,2020-12-02,249.1,276.7
60,2020-12-03,247.70000000000005,275.3
61,2020-12-04,248.20000000000005,275.8
62,2020-12-07,245.90000000000003,273.5
63,2020-12-08,245.20000000000005,272.8
64,2020-12-09,246.90000000000003,274.5
65,2020-12-10,246.00000000000009,273.6
66,2020-12-11,240.40000000000003,267.5
67,2020-12-14,242.70000000000005,269.8
68,2020-12-15,245.40000000000003,272.5
69,2020-12-16,251.6,278.7
70,2020-12-17,252.00000000000009,279.1
71,2020-12-18,250.1,277.2
72,2020-12-21,240.70000000000005,267.8
73,2020-12-22,244.00000000000009,271.1
74,2020-12-23,249.50000000000009,276.6
75,2020-12-28,252.8,279.9
76,2020-12-29,252.70000000000005,279.8
77,2020-12-30,251.8,278.9
78,2021-01-04,250.40000000000003,277.5
79,2021-01-05,249.50000000000009,276.6
80,2021-01-06,260.6,287.7
81,2021-01-07,261.00000000000006,288.1
82,2021-01-08,259.40000000000003,286.5
83,2021-01-11,257.90000000000003,285.0
84,2021-01-12,259.1,286.2
85,2021-01-13,258.00000000000006,285.1
86,2021-01-14,259.40000000000003,286.5
87,2021-01-15,257.90000000000003,285.0
88,2021-01-18,257.50000000000006,284.6
89,2021-01-19,256.70000000000005,283.8
90,2021-01-20,257.20000000000005,284.3
91,2021-01-21,256.20000000000005,283.3
