,index,adjusted,underlying
0,2018-03-12,240.99999999999991,297.8
1,2018-03-13,239.59999999999997,296.4
2,2018-03-14,238.7,295.5
3,2018-03-15,237.49999999999991,294.3
4,2018-03-16,241.3,298.1
5,2018-03-19,235.3,292.1
6,2018-03-20,239.8999999999999,296.7
7,2018-03-21,243.2,300.0
8,2018-03-22,237.2,294.0
9,2018-03-23,235.7,292.5
10,2018-03-26,239.7,296.5
11,2018-03-27,236.3999999999999,293.2
12,2018-03-28,237.59999999999997,294.4
13,2018-03-29,241.8,298.6
14,2018-04-03,244.69999999999996,301.5
15,2018-04-04,246.19999999999996,303.0
16,2018-04-05,252.9999999999999,309.8
17,2018-04-06,252.9999999999999,309.8
18,2018-04-09,251.5999999999999,308.4
19,2018-04-10,257.89999999999986,314.7
20,2018-04-11,260.29999999999995,317.1
21,2018-04-12,260.0999999999999,316.9
22,2018-04-13,262.5999999999999,319.4
23,2018-04-16,259.39999999999986,316.2
24,2018-04-17,261.19999999999993,318.0
25,2018-04-18,265.29999999999995,322.1
26,2018-04-19,269.0999999999999,325.9
27,2018-04-20,269.69999999999993,326.5
28,2018-04-23,271.89999999999986,328.7
29,2018-04-24,273.19999999999993,330.0
30,2018-04-25,271.29999999999995,328.1
31,2018-04-26,276.9999999999999,333.8
32,2018-04-27,277.4999999999999,334.3
33,2018-04-30,276.9999999999999,333.8
34,2018-05-02,278.79999999999995,335.6
35,2018-05-03,276.79999999999995,333.6
36,2018-05-04,281.39999999999986,338.2
37,2018-05-07,285.4999999999999,342.3
38,2018-05-08,281.39999999999986,338.2
39,2018-05-09,289.79999999999995,346.6
40,2018-05-10,288.69999999999993,345.5
41,2018-05-11,291.0999999999999,347.9
42,2018-05-14,294.0999999999999,350.9
43,2018-05-15,296.5999999999999,353.4
44,2018-05-16,296.5999999999999,353.4
45,2018-05-17,301.69999999999993,358.5
46,2018-05-18,302.79999999999995,359.6
47,2018-05-21,303.0999999999999,359.9
48,2018-05-22,299.69999999999993,356.5
49,2018-05-23,292.29999999999995,349.1
50,2018-05-24,287.69999999999993,344.5
51,2018-05-25,280.4999999999999,337.3
52,2018-05-28,277.69999999999993,334.5
53,2018-05-29,279.79999999999995,336.6
54,2018-05-30,286.0999999999999,342.9
55,2018-05-31,289.29999999999995,346.1
56,2018-06-01,291.19999999999993,348.0
57,2018-06-04,288.4999999999999,345.3
58,2018-06-05,289.79999999999995,346.6
59,2018-06-06,288.9999999999999,345.8
60,2018-06-07,294.69999999999993,351.5
61,2018-06-08,290.9999999999999,347.8
62,2018-06-11,296.29999999999995,349.1
63,2018-06-12,292.4999999999999,345.3
64,2018-06-13,289.19999999999993,342.0
65,2018-06-14,296.19999999999993,349.0
66,2018-06-15,289.19999999999993,342.0
67,2018-06-18,289.5999999999999,342.4
68,2018-06-19,289.0999999999999,341.9
69,2018-06-20,285.69999999999993,338.5
70,2018-06-21,283.39999999999986,336.2
71,2018-06-22,292.39999999999986,345.2
72,2018-06-25,283.19999999999993,336.0
73,2018-06-26,286.4999999999999,339.3
74,2018-06-27,294.29999999999995,347.1
75,2018-06-28,291.89999999999986,344.7
