,index,adjusted,underlying
0,2014-03-14,170.00000000000006,286.0
1,2014-03-17,177.40000000000003,293.4
2,2014-03-18,179.50000000000006,295.5
3,2014-03-19,179.00000000000006,295.0
4,2014-03-20,179.30000000000007,295.3
5,2014-03-21,180.00000000000006,296.0
6,2014-03-24,176.90000000000003,292.9
7,2014-03-25,179.00000000000006,295.0
8,2014-03-26,180.00000000000006,296.0
9,2014-03-27,180.60000000000008,296.6
10,2014-03-28,185.30000000000007,301.3
11,2014-03-31,186.70000000000005,302.7
12,2014-04-01,184.50000000000009,300.5
13,2014-04-02,183.40000000000003,299.4
14,2014-04-03,182.80000000000007,298.8
15,2014-04-04,185.70000000000005,301.7
16,2014-04-07,184.00000000000009,300.0
17,2014-04-08,181.10000000000008,297.1
18,2014-04-09,182.00000000000009,298.0
19,2014-04-10,176.90000000000003,292.9
20,2014-04-11,176.60000000000008,292.6
21,2014-04-14,177.80000000000007,293.8
22,2014-04-15,177.50000000000006,293.5
23,2014-04-16,182.60000000000008,298.6
24,2014-04-17,182.70000000000005,298.7
25,2014-04-22,185.70000000000005,301.7
26,2014-04-23,182.30000000000007,298.3
27,2014-04-24,182.30000000000007,298.3
28,2014-04-25,179.80000000000007,295.8
29,2014-04-28,180.50000000000009,296.5
30,2014-04-29,185.20000000000005,301.2
31,2014-04-30,183.20000000000005,299.2
32,2014-05-02,183.60000000000008,299.6
33,2014-05-05,184.30000000000007,300.3
34,2014-05-06,183.50000000000009,299.5
35,2014-05-07,185.00000000000009,301.0
36,2014-05-08,188.80000000000007,304.8
37,2014-05-09,189.10000000000008,305.1
38,2014-05-12,190.80000000000007,306.8
39,2014-05-13,190.10000000000008,306.1
40,2014-05-14,189.40000000000003,305.4
41,2014-05-15,185.70000000000005,301.7
42,2014-05-16,188.70000000000005,304.7
43,2014-05-19,190.60000000000008,306.6
44,2014-05-20,191.00000000000009,307.0
45,2014-05-21,193.60000000000008,309.6
46,2014-05-22,193.40000000000003,309.4
47,2014-05-23,195.40000000000003,311.4
48,2014-05-26,198.00000000000009,314.0
49,2014-05-27,198.00000000000009,314.0
50,2014-05-28,197.00000000000009,313.0
51,2014-05-29,197.50000000000009,313.5
52,2014-05-30,199.00000000000009,315.0
53,2014-06-02,201.10000000000008,317.1
54,2014-06-03,198.90000000000003,314.9
55,2014-06-04,197.60000000000008,313.6
56,2014-06-05,201.00000000000009,317.0
57,2014-06-06,203.50000000000009,319.5
