,index,adjusted,underlying
0,1999-06-15,1.2669499999999998,1.0488
1,1999-06-16,1.25595,1.0378
2,1999-06-17,1.2585499999999998,1.0404
3,1999-06-18,1.26305,1.0449
4,1999-06-21,1.2589499999999998,1.0408
5,1999-06-22,1.2564499999999998,1.0383
6,1999-06-23,1.25695,1.0388
7,1999-06-24,1.2648499999999998,1.0467
8,1999-06-25,1.26705,1.0489
9,1999-06-28,1.2591499999999998,1.041
10,1999-06-29,1.2574499999999995,1.0393
11,1999-06-30,1.25805,1.0399
12,1999-07-01,1.2467499999999998,1.0286
13,1999-07-02,1.24785,1.0297
14,1999-07-06,1.24665,1.0285
15,1999-07-07,1.24585,1.0277
16,1999-07-08,1.24385,1.0257
17,1999-07-09,1.24025,1.0221
18,1999-07-12,1.2383499999999998,1.0202
19,1999-07-13,1.23995,1.0218
20,1999-07-14,1.24375,1.0256
21,1999-07-15,1.24305,1.0249
22,1999-07-16,1.24185,1.0237
23,1999-07-19,1.25215,1.034
24,1999-07-20,1.26345,1.0453
25,1999-07-21,1.27445,1.0563
26,1999-07-22,1.27425,1.0561
27,1999-07-23,1.2732499999999998,1.0551
28,1999-07-26,1.28815,1.07
29,1999-07-27,1.28395,1.0658
30,1999-07-28,1.2879500000000002,1.0698
31,1999-07-29,1.29415,1.0759999999999998
32,1999-07-30,1.29215,1.074
33,1999-08-02,1.29025,1.0721
34,1999-08-03,1.2898500000000002,1.0717
35,1999-08-04,1.2987499999999998,1.0806
36,1999-08-05,1.2968499999999998,1.0787
37,1999-08-06,1.2968499999999998,1.0787
38,1999-08-09,1.29145,1.0733
39,1999-08-10,1.29185,1.0737
40,1999-08-11,1.28645,1.0683
41,1999-08-12,1.2871499999999998,1.069
42,1999-08-13,1.27715,1.0590000000000002
43,1999-08-16,1.27715,1.0590000000000002
44,1999-08-17,1.2715499999999995,1.0534
45,1999-08-18,1.2730499999999998,1.0549
46,1999-08-19,1.28325,1.0651
47,1999-08-20,1.28685,1.0687
48,1999-08-23,1.27005,1.0519
49,1999-08-24,1.2728499999999998,1.0547
50,1999-08-25,1.26205,1.0439
51,1999-08-26,1.26425,1.0461
52,1999-08-27,1.2652499999999998,1.0471
53,1999-08-30,1.26535,1.0472
54,1999-08-31,1.27695,1.0588
55,1999-09-01,1.27855,1.0604
56,1999-09-02,1.2873499999999998,1.0692
57,1999-09-03,1.28025,1.0621
58,1999-09-07,1.27755,1.0594
59,1999-09-08,1.27795,1.0598
60,1999-09-09,1.27195,1.0538
61,1999-09-10,1.25375,1.0356
62,1999-09-13,1.25525,1.0371
63,1999-09-14,1.2492499999999995,1.0427
64,1999-09-15,1.25335,1.0468
65,1999-09-16,1.25405,1.0475
66,1999-09-17,1.2547499999999998,1.0482
67,1999-09-20,1.25185,1.0453
68,1999-09-21,1.26175,1.0552
69,1999-09-22,1.25775,1.0512
70,1999-09-23,1.25635,1.0498
71,1999-09-24,1.25805,1.0515
72,1999-09-27,1.26015,1.0536
73,1999-09-28,1.26745,1.0609
74,1999-09-29,1.27645,1.0699
75,1999-09-30,1.27945,1.0729
76,1999-10-01,1.2860499999999997,1.0795
77,1999-10-04,1.28595,1.0794
78,1999-10-05,1.28725,1.0807
79,1999-10-06,1.2808499999999998,1.0743
80,1999-10-07,1.28265,1.0761
81,1999-10-08,1.27295,1.0664
82,1999-10-12,1.28725,1.0807
83,1999-10-13,1.29015,1.0836
84,1999-10-14,1.28995,1.0834
85,1999-10-15,1.30055,1.094
86,1999-10-18,1.2949499999999998,1.0884
87,1999-10-19,1.29485,1.0883
88,1999-10-20,1.2848499999999998,1.0783
89,1999-10-21,1.29245,1.0859
90,1999-10-22,1.2772499999999998,1.0707
91,1999-10-25,1.27645,1.0699
92,1999-10-26,1.2686499999999998,1.0621
93,1999-10-27,1.26005,1.0535
94,1999-10-28,1.26195,1.0554
95,1999-10-29,1.26385,1.0573
96,1999-11-01,1.26025,1.0537
97,1999-11-02,1.26135,1.0548
98,1999-11-03,1.25735,1.0508
99,1999-11-04,1.2450499999999998,1.0385
100,1999-11-05,1.25105,1.0445
101,1999-11-08,1.24765,1.0411
102,1999-11-09,1.24825,1.0417
103,1999-11-10,1.2532499999999998,1.0467
104,1999-11-12,1.24055,1.034
105,1999-11-15,1.24025,1.0337
106,1999-11-16,1.24095,1.0344
107,1999-11-17,1.24915,1.0426
108,1999-11-18,1.23755,1.031
109,1999-11-19,1.2391499999999998,1.0326
110,1999-11-22,1.2395499999999997,1.033
111,1999-11-23,1.23505,1.0285
112,1999-11-24,1.2246499999999998,1.0181
113,1999-11-26,1.22405,1.0175
114,1999-11-29,1.21785,1.0113
115,1999-11-30,1.21605,1.0095
116,1999-12-01,1.21605,1.0095
117,1999-12-02,1.20975,1.0032
118,1999-12-03,1.2094499999999997,1.0029
119,1999-12-06,1.22935,1.0228
120,1999-12-07,1.23165,1.0251
121,1999-12-08,1.2343499999999998,1.0278
122,1999-12-09,1.22795,1.0214
123,1999-12-10,1.21865,1.0121
124,1999-12-13,1.21795,1.0114
125,1999-12-14,1.20935,1.0123
126,1999-12-15,1.2107500000000002,1.0137
127,1999-12-16,1.22035,1.0233
128,1999-12-17,1.21165,1.0146
129,1999-12-20,1.2151500000000002,1.0181
130,1999-12-21,1.21215,1.0151
131,1999-12-22,1.21235,1.0153
132,1999-12-23,1.21805,1.021
133,1999-12-27,1.21595,1.0189
134,1999-12-28,1.2090500000000002,1.012
135,1999-12-29,1.20795,1.0109
136,1999-12-30,1.21105,1.014
137,1999-12-31,1.2130500000000002,1.016
138,2000-01-03,1.22995,1.0329
139,2000-01-04,1.2322499999999998,1.0352
140,2000-01-05,1.23395,1.0369
141,2000-01-06,1.23195,1.0349
142,2000-01-07,1.23025,1.0332
143,2000-01-10,1.22745,1.0304
144,2000-01-11,1.2343500000000005,1.0373
145,2000-01-12,1.23295,1.0359
146,2000-01-13,1.22705,1.03
147,2000-01-14,1.21555,1.0185
148,2000-01-18,1.21335,1.0163
149,2000-01-19,1.21345,1.0164
150,2000-01-20,1.21755,1.0205
151,2000-01-21,1.21065,1.0136
152,2000-01-24,1.20495,1.0079
153,2000-01-25,1.2023500000000005,1.0053
154,2000-01-26,1.20185,1.0048
155,2000-01-27,1.1878500000000003,0.9908
156,2000-01-28,1.17735,0.9803
157,2000-01-31,1.16955,0.9725
158,2000-02-01,1.17315,0.9761
159,2000-02-02,1.17545,0.9784
160,2000-02-03,1.1897500000000003,0.9927
161,2000-02-04,1.18205,0.985
162,2000-02-07,1.17965,0.9826
163,2000-02-08,1.1851500000000004,0.9881
164,2000-02-09,1.19155,0.9945
165,2000-02-10,1.1853500000000003,0.9883
166,2000-02-11,1.18605,0.989
167,2000-02-14,1.1802500000000002,0.9832
168,2000-02-15,1.18015,0.9831
169,2000-02-16,1.1853500000000003,0.9883
170,2000-02-17,1.18715,0.9901
171,2000-02-18,1.1832500000000004,0.9862
172,2000-02-22,1.20335,1.0063
173,2000-02-23,1.20115,1.0041
174,2000-02-24,1.1924500000000002,0.9954
175,2000-02-25,1.17225,0.9752
176,2000-02-28,1.16975,0.9727
177,2000-02-29,1.16425,0.9672
178,2000-03-01,1.1721500000000002,0.9751
179,2000-03-02,1.1640500000000005,0.967
180,2000-03-03,1.15915,0.9621
181,2000-03-06,1.1566500000000002,0.9596
182,2000-03-07,1.1546500000000002,0.9576
183,2000-03-08,1.1586500000000002,0.9616
184,2000-03-09,1.1649500000000002,0.9679
185,2000-03-10,1.1601500000000002,0.9631
186,2000-03-13,1.16615,0.9691
187,2000-03-14,1.1686500000000002,0.9733
188,2000-03-15,1.16945,0.9741
189,2000-03-16,1.1728500000000002,0.9775
190,2000-03-17,1.1740500000000005,0.9787
191,2000-03-20,1.1746500000000002,0.9793
192,2000-03-21,1.16575,0.9704
193,2000-03-22,1.16135,0.966
194,2000-03-23,1.1729500000000002,0.9776
195,2000-03-24,1.17605,0.9807
196,2000-03-27,1.16635,0.971
197,2000-03-28,1.1622500000000002,0.9669
198,2000-03-29,1.15135,0.956
199,2000-03-30,1.16155,0.9662
200,2000-03-31,1.1560500000000002,0.9607
201,2000-04-03,1.15835,0.963
202,2000-04-04,1.1639500000000005,0.9686
203,2000-04-05,1.16305,0.9677
204,2000-04-06,1.1601500000000002,0.9648
205,2000-04-07,1.1545500000000002,0.9592
206,2000-04-10,1.16115,0.9658
207,2000-04-11,1.15855,0.9632
208,2000-04-12,1.15575,0.9604
209,2000-04-13,1.15365,0.9583
210,2000-04-14,1.15795,0.9626
211,2000-04-17,1.1528500000000002,0.9575
212,2000-04-18,1.1465500000000002,0.9512
213,2000-04-19,1.1385500000000002,0.9432
214,2000-04-20,1.13535,0.94
215,2000-04-24,1.13825,0.9429
216,2000-04-25,1.1185500000000002,0.9232
217,2000-04-26,1.1221500000000002,0.9268
218,2000-04-27,1.10905,0.9137
219,2000-04-28,1.1075500000000005,0.9122
220,2000-05-01,1.11495,0.9196
221,2000-05-02,1.10575,0.9104
222,2000-05-03,1.0940500000000002,0.8987
