,index,adjusted,underlying
0,2005-12-13,165.80000000000035,307.6
1,2005-12-14,164.80000000000035,306.6
2,2005-12-15,164.00000000000028,305.8
3,2005-12-16,166.1000000000003,307.9
4,2005-12-19,166.1000000000003,307.9
5,2005-12-20,167.20000000000033,309.0
6,2005-12-21,168.80000000000035,310.6
7,2005-12-22,167.70000000000033,309.5
8,2005-12-23,167.90000000000026,309.7
9,2005-12-27,169.00000000000028,310.8
10,2005-12-28,168.6000000000003,310.4
11,2005-12-29,170.40000000000026,312.2
12,2005-12-30,168.6000000000003,310.4
13,2006-01-02,169.70000000000033,311.5
14,2006-01-03,171.6000000000003,313.4
15,2006-01-04,174.6000000000003,316.4
16,2006-01-05,173.50000000000028,315.3
17,2006-01-06,175.30000000000035,317.1
18,2006-01-09,176.20000000000033,318.0
19,2006-01-10,173.70000000000033,315.5
20,2006-01-11,175.20000000000033,317.0
21,2006-01-12,176.50000000000028,318.3
22,2006-01-13,175.1000000000003,316.9
23,2006-01-16,175.40000000000026,317.2
24,2006-01-17,173.20000000000033,315.0
25,2006-01-18,169.70000000000033,311.5
26,2006-01-19,171.6000000000003,313.4
27,2006-01-20,169.70000000000033,311.5
28,2006-01-23,169.80000000000035,311.6
29,2006-01-24,168.90000000000026,310.7
30,2006-01-25,172.40000000000026,314.2
31,2006-01-26,175.70000000000033,317.5
32,2006-01-27,179.00000000000028,320.8
33,2006-01-30,179.00000000000028,320.8
34,2006-01-31,179.80000000000035,321.6
35,2006-02-01,182.40000000000023,324.2
36,2006-02-02,179.50000000000028,321.3
37,2006-02-03,179.70000000000033,321.5
38,2006-02-06,180.40000000000023,322.2
39,2006-02-07,179.40000000000026,321.2
40,2006-02-08,178.70000000000033,320.5
41,2006-02-09,181.70000000000036,323.5
42,2006-02-10,182.00000000000028,323.8
43,2006-02-13,182.30000000000035,324.1
44,2006-02-14,181.90000000000023,323.7
45,2006-02-15,182.30000000000035,324.1
46,2006-02-16,184.1000000000003,325.9
47,2006-02-17,185.30000000000035,327.1
48,2006-02-20,187.50000000000028,329.3
49,2006-02-21,187.20000000000036,329.0
50,2006-02-22,188.90000000000023,330.7
51,2006-02-23,188.30000000000035,330.1
52,2006-02-24,189.6000000000003,331.4
53,2006-02-27,190.80000000000035,332.6
54,2006-02-28,186.30000000000035,328.1
55,2006-03-01,188.6000000000003,330.4
56,2006-03-02,185.70000000000036,327.5
57,2006-03-03,185.50000000000028,327.3
58,2006-03-06,187.30000000000035,329.1
59,2006-03-07,185.50000000000028,327.3
60,2006-03-08,183.00000000000028,324.8
61,2006-03-09,183.80000000000035,325.6
62,2006-03-10,188.40000000000023,330.2
63,2006-03-13,190.40000000000023,329.1
64,2006-03-14,190.70000000000024,329.4
65,2006-03-15,192.50000000000028,331.2
66,2006-03-16,191.20000000000024,329.9
67,2006-03-17,191.50000000000028,330.2
68,2006-03-20,192.20000000000024,330.9
69,2006-03-21,196.80000000000024,335.5
70,2006-03-22,197.80000000000024,336.5
71,2006-03-23,197.50000000000028,336.2
72,2006-03-24,196.40000000000023,335.1
73,2006-03-27,193.80000000000024,332.5
74,2006-03-28,192.1000000000003,330.8
75,2006-03-29,192.20000000000024,330.9
76,2006-03-30,195.1000000000003,333.8
77,2006-03-31,192.90000000000023,331.6
78,2006-04-03,195.90000000000023,334.6
79,2006-04-04,194.20000000000024,332.9
80,2006-04-05,195.50000000000028,334.2
81,2006-04-06,195.90000000000023,334.6
82,2006-04-07,194.40000000000023,333.1
83,2006-04-10,196.1000000000003,334.8
84,2006-04-11,192.1000000000003,330.8
85,2006-04-12,191.6000000000003,330.3
86,2006-04-13,192.80000000000024,331.5
87,2006-04-18,195.50000000000028,334.2
88,2006-04-19,196.50000000000028,335.2
89,2006-04-20,198.00000000000028,336.7
90,2006-04-21,199.90000000000023,338.6
91,2006-04-24,198.40000000000023,337.1
92,2006-04-25,197.90000000000023,336.6
93,2006-04-26,198.70000000000024,337.4
94,2006-04-27,197.1000000000003,335.8
95,2006-04-28,195.70000000000024,334.4
96,2006-05-02,199.1000000000003,337.8
97,2006-05-03,196.40000000000023,335.1
98,2006-05-04,198.20000000000024,336.9
99,2006-05-05,201.90000000000023,340.6
100,2006-05-08,202.90000000000023,341.6
101,2006-05-09,204.30000000000024,343.0
102,2006-05-10,202.70000000000024,341.4
103,2006-05-11,201.20000000000024,339.9
104,2006-05-12,194.1000000000003,332.8
105,2006-05-15,189.20000000000024,327.9
106,2006-05-16,189.70000000000024,328.4
107,2006-05-17,181.00000000000028,319.7
108,2006-05-18,179.00000000000028,317.7
109,2006-05-19,179.20000000000022,317.9
110,2006-05-22,169.20000000000022,307.9
111,2006-05-23,178.30000000000024,317.0
112,2006-05-24,174.40000000000026,313.1
113,2006-05-25,177.70000000000022,316.4
114,2006-05-26,184.20000000000024,322.9
115,2006-05-29,185.00000000000028,323.7
116,2006-05-30,175.80000000000024,314.5
117,2006-05-31,180.20000000000024,318.9
118,2006-06-01,181.50000000000028,320.2
119,2006-06-02,181.90000000000023,320.6
120,2006-06-05,180.30000000000024,319.0
121,2006-06-06,172.50000000000028,311.2
122,2006-06-07,175.70000000000022,314.4
123,2006-06-08,167.30000000000024,306.0
124,2006-06-09,172.40000000000026,311.1
125,2006-06-12,170.00000000000028,308.7
126,2006-06-13,163.1000000000002,302.2
127,2006-06-14,163.70000000000022,302.8
128,2006-06-15,171.40000000000026,310.5
129,2006-06-16,168.90000000000026,308.0
130,2006-06-19,171.6000000000002,310.7
131,2006-06-20,173.20000000000022,312.3
132,2006-06-21,173.1000000000002,312.2
133,2006-06-22,174.30000000000024,313.4
134,2006-06-23,172.00000000000028,311.1
135,2006-06-26,171.30000000000024,310.4
136,2006-06-27,171.80000000000024,310.9
137,2006-06-28,172.1000000000002,311.2
138,2006-06-29,177.30000000000024,316.4
139,2006-06-30,182.00000000000028,321.1
140,2006-07-03,183.30000000000024,322.4
141,2006-07-04,186.40000000000023,325.5
142,2006-07-05,180.6000000000002,319.7
143,2006-07-06,185.1000000000002,324.2
144,2006-07-07,182.6000000000002,321.7
145,2006-07-10,183.90000000000023,323.0
146,2006-07-11,181.00000000000028,320.1
147,2006-07-12,181.80000000000024,320.9
148,2006-07-13,177.1000000000002,316.2
149,2006-07-14,173.00000000000028,312.1
150,2006-07-17,171.40000000000026,310.5
151,2006-07-18,171.00000000000028,310.1
152,2006-07-19,177.90000000000026,317.0
153,2006-07-20,178.6000000000002,317.7
154,2006-07-21,174.00000000000028,313.1
155,2006-07-24,181.70000000000024,320.8
156,2006-07-25,182.30000000000024,321.4
157,2006-07-26,183.20000000000024,322.3
158,2006-07-27,186.50000000000028,325.6
159,2006-07-28,188.40000000000023,327.5
160,2006-07-31,189.1000000000002,328.2
161,2006-08-01,184.40000000000023,323.5
162,2006-08-02,188.00000000000028,327.1
163,2006-08-03,185.20000000000024,324.3
164,2006-08-04,189.00000000000028,328.1
165,2006-08-07,185.40000000000023,324.5
166,2006-08-08,187.00000000000028,326.1
167,2006-08-09,191.30000000000024,330.4
168,2006-08-10,187.40000000000023,326.5
169,2006-08-11,185.90000000000023,325.0
170,2006-08-14,188.50000000000028,327.6
171,2006-08-15,191.80000000000024,330.9
172,2006-08-16,192.90000000000023,332.0
173,2006-08-17,193.70000000000024,332.8
174,2006-08-18,190.90000000000023,330.0
175,2006-08-21,192.20000000000024,331.3
176,2006-08-22,193.20000000000024,332.3
177,2006-08-23,192.50000000000028,331.6
178,2006-08-24,192.50000000000028,331.6
179,2006-08-25,192.90000000000023,332.0
180,2006-08-28,193.90000000000023,333.0
181,2006-08-29,195.90000000000023,335.0
182,2006-08-30,196.90000000000023,336.0
183,2006-08-31,196.70000000000024,335.8
184,2006-09-01,197.6000000000002,336.7
185,2006-09-04,200.50000000000028,339.6
186,2006-09-05,196.80000000000024,335.9
187,2006-09-06,194.00000000000028,333.1
