,index,adjusted,underlying
0,1977-02-01,115.31999999999996,41.85
1,1977-02-02,116.09499999999996,42.625
2,1977-02-03,114.69499999999996,41.225
3,1977-02-04,115.11999999999992,41.65
4,1977-02-07,115.06999999999996,41.6
5,1977-02-08,115.16999999999994,41.7
6,1977-02-09,114.96999999999996,41.5
7,1977-02-10,114.96999999999996,41.5
8,1977-02-11,114.86999999999992,41.4
9,1977-02-14,114.79499999999994,41.325
10,1977-02-15,114.84499999999996,41.375
11,1977-02-16,114.86999999999992,41.4
12,1977-02-17,114.69499999999996,41.225
13,1977-02-18,114.26999999999994,40.8
14,1977-02-22,114.36999999999996,40.9
15,1977-02-23,113.76999999999994,40.3
16,1977-02-24,113.11999999999996,39.65
17,1977-02-25,112.79499999999994,39.325
18,1977-02-28,113.26999999999994,39.8
19,1977-03-01,113.81999999999996,40.35
20,1977-03-02,113.86999999999996,40.4
21,1977-03-03,113.89499999999994,40.425
22,1977-03-04,114.61999999999992,41.15
23,1977-03-07,114.16999999999994,40.7
24,1977-03-08,114.14499999999994,40.675
25,1977-03-09,114.66999999999994,41.2
26,1977-03-10,114.74499999999992,41.275
27,1977-03-11,115.29499999999994,41.825
28,1977-03-14,115.51999999999994,42.05
29,1977-03-15,115.79499999999994,42.325
30,1977-03-16,116.09499999999996,42.625
31,1977-03-17,115.81999999999996,42.35
32,1977-03-18,115.94499999999996,42.475
33,1977-03-21,116.06999999999996,42.6
34,1977-03-22,115.91999999999994,42.45
35,1977-03-23,115.26999999999994,41.8
36,1977-03-24,115.36999999999992,41.9
37,1977-03-25,115.21999999999996,41.75
38,1977-03-28,115.21999999999996,41.75
39,1977-03-29,115.51999999999994,42.05
40,1977-03-30,115.89499999999994,42.425
41,1977-03-31,115.94499999999996,42.475
42,1977-04-01,115.56999999999996,42.1
43,1977-04-04,115.74499999999992,42.275
44,1977-04-05,116.29499999999994,42.825
45,1977-04-06,116.49499999999992,43.025
46,1977-04-07,117.09499999999991,43.625
47,1977-04-11,117.24499999999992,43.775
48,1977-04-12,116.96999999999991,43.5
49,1977-04-13,117.76999999999994,44.3
50,1977-04-14,117.76999999999994,44.3
51,1977-04-15,118.36999999999992,44.9
52,1977-04-18,118.36999999999992,44.9
53,1977-04-19,118.26999999999994,44.8
54,1977-04-20,117.99499999999992,44.525
