,index,adjusted,underlying
0,2011-03-08,7349.5,9880.0
1,2011-03-09,7359.5,9890.0
2,2011-03-10,7124.5,9655.0
3,2011-03-11,7019.5,9550.0
4,2011-03-14,7059.5,9590.0
5,2011-03-15,6854.5,9385.0
6,2011-03-16,7014.5,9545.0
7,2011-03-17,6909.5,9440.0
8,2011-03-18,6929.5,9460.0
9,2011-03-21,6939.5,9470.0
10,2011-03-22,7014.5,9545.0
11,2011-03-23,7059.5,9590.0
12,2011-03-24,7059.5,9590.0
13,2011-03-25,7134.5,9665.0
14,2011-03-28,7144.5,9675.0
15,2011-03-29,7184.5,9715.0
16,2011-03-30,7179.5,9710.0
17,2011-03-31,7104.5,9635.0
18,2011-04-01,7229.5,9760.0
19,2011-04-06,7444.5,9975.0
20,2011-04-07,7474.5,10005.0
21,2011-04-08,7514.5,10045.0
22,2011-04-11,7499.5,10030.0
23,2011-04-12,7404.5,9935.0
24,2011-04-13,7619.5,10150.0
25,2011-04-14,7564.5,10095.0
26,2011-04-15,7584.5,10115.0
27,2011-04-18,7554.5,10085.0
28,2011-04-19,7389.5,9920.0
29,2011-04-20,7379.5,9910.0
30,2011-04-21,7439.5,9970.0
31,2011-04-22,7364.5,9895.0
32,2011-04-25,7299.5,9830.0
33,2011-04-26,7214.5,9745.0
34,2011-04-27,7204.5,9735.0
35,2011-04-28,7154.5,9685.0
36,2011-04-29,7169.5,9700.0
37,2011-05-03,7189.5,9720.0
38,2011-05-04,6884.5,9415.0
39,2011-05-05,6914.5,9445.0
40,2011-05-06,6894.5,9425.0
41,2011-05-09,6914.5,9420.0
42,2011-05-10,6944.5,9450.0
43,2011-05-11,6949.5,9455.0
44,2011-05-12,6809.5,9315.0
45,2011-05-13,6899.5,9405.0
46,2011-05-16,6809.5,9315.0
47,2011-05-17,6844.5,9350.0
48,2011-05-18,6939.5,9445.0
49,2011-05-19,6919.5,9425.0
50,2011-05-20,6899.5,9405.0
51,2011-05-23,6654.5,9160.0
52,2011-05-24,6629.5,9135.0
53,2011-05-25,6544.5,9050.0
54,2011-05-26,6559.5,9065.0
55,2011-05-27,6574.5,9080.0
56,2011-05-30,6594.5,9100.0
57,2011-05-31,6714.5,9220.0
58,2011-06-01,6694.5,9200.0
59,2011-06-02,6529.5,9035.0
60,2011-06-03,6524.5,9030.0
61,2011-06-07,6554.5,9060.0
62,2011-06-08,6539.5,9035.0
63,2011-06-09,6389.5,8885.0
64,2011-06-10,6389.5,8885.0
65,2011-06-13,6384.5,8880.0
66,2011-06-14,6494.5,8990.0
67,2011-06-15,6414.5,8910.0
68,2011-06-16,6324.5,8820.0
69,2011-06-17,6289.5,8785.0
70,2011-06-20,6229.5,8725.0
71,2011-06-21,6314.5,8810.0
72,2011-06-22,6329.5,8825.0
73,2011-06-23,6454.5,8950.0
74,2011-06-24,6679.5,9175.0
75,2011-06-27,6709.5,9205.0
76,2011-06-28,6694.5,9190.0
77,2011-06-29,6594.5,9090.0
78,2011-06-30,6714.5,9210.0
79,2011-07-01,6699.5,9195.0
80,2011-07-04,6874.5,9370.0
81,2011-07-05,6874.5,9370.0
82,2011-07-06,6814.5,9310.0
83,2011-07-07,6809.5,9310.0
84,2011-07-08,6849.5,9350.0
85,2011-07-11,6754.5,9255.0
86,2011-07-12,6549.5,9050.0
87,2011-07-13,6729.5,9230.0
88,2011-07-14,6719.5,9220.0
89,2011-07-15,6744.5,9245.0
90,2011-07-18,6739.5,9240.0
91,2011-07-19,6689.5,9190.0
92,2011-07-20,6654.5,9155.0
93,2011-07-21,6589.5,9090.0
94,2011-07-22,6604.5,9105.0
95,2011-07-25,6329.5,8830.0
96,2011-07-26,6364.5,8865.0
97,2011-07-27,6364.5,8865.0
98,2011-07-28,6299.5,8800.0
99,2011-07-29,6314.5,8815.0
100,2011-08-01,6329.5,8830.0
101,2011-08-02,6224.5,8725.0
102,2011-08-03,6189.5,8690.0
103,2011-08-04,6229.5,8730.0
104,2011-08-05,6009.5,8510.0
105,2011-08-08,5804.5,8295.0
106,2011-08-09,5844.5,8335.0
107,2011-08-10,5874.5,8365.0
108,2011-08-11,6004.5,8495.0
109,2011-08-12,5964.5,8455.0
110,2011-08-15,6089.5,8580.0
111,2011-08-16,6064.5,8555.0
112,2011-08-17,6069.5,8560.0
113,2011-08-18,5909.5,8400.0
114,2011-08-19,5819.5,8310.0
115,2011-08-22,5734.5,8225.0
116,2011-08-23,5894.5,8385.0
117,2011-08-24,5819.5,8310.0
118,2011-08-25,6139.5,8630.0
119,2011-08-26,6109.5,8600.0
120,2011-08-29,5999.5,8490.0
121,2011-08-30,5944.5,8435.0
122,2011-08-31,5994.5,8485.0
123,2011-09-01,5964.5,8455.0
124,2011-09-02,5904.5,8395.0
125,2011-09-05,5724.5,8215.0
126,2011-09-06,5684.5,8175.0
127,2011-09-07,5722.5,8218.0
128,2011-09-08,5784.5,8280.0
129,2011-09-09,5759.5,8255.0
130,2011-09-13,5664.5,8160.0
131,2011-09-14,5709.5,8205.0
132,2011-09-15,5694.5,8190.0
133,2011-09-16,5774.5,8270.0
134,2011-09-19,5594.5,8090.0
135,2011-09-20,5639.5,8135.0
136,2011-09-21,5819.5,8315.0
137,2011-09-22,5559.5,8055.0
138,2011-09-23,5489.5,7985.0
139,2011-09-26,5284.5,7780.0
140,2011-09-27,5404.5,7900.0
141,2011-09-28,5329.5,7825.0
142,2011-09-29,5289.5,7785.0
143,2011-09-30,5219.5,7715.0
144,2011-10-10,5159.5,7655.0
145,2011-10-11,5239.5,7750.0
146,2011-10-12,5509.5,8020.0
147,2011-10-13,5559.5,8070.0
148,2011-10-14,5539.5,8050.0
149,2011-10-17,5619.5,8130.0
150,2011-10-18,5384.5,7895.0
151,2011-10-19,5424.5,7935.0
152,2011-10-20,5239.5,7750.0
153,2011-10-21,5289.5,7800.0
154,2011-10-24,5504.5,8015.0
155,2011-10-25,5599.5,8110.0
156,2011-10-26,5694.5,8205.0
157,2011-10-27,5739.5,8250.0
158,2011-10-28,5779.5,8290.0
159,2011-10-31,5764.5,8275.0
160,2011-11-01,5739.5,8250.0
161,2011-11-02,5899.5,8410.0
162,2011-11-03,5864.5,8375.0
163,2011-11-04,5974.5,8485.0
164,2011-11-07,5869.5,8380.0
165,2011-11-08,5864.5,8375.0
166,2011-11-09,5909.5,8420.0
167,2011-11-10,5669.5,8180.0
168,2011-11-11,5684.5,8195.0
169,2011-11-14,5874.5,8385.0
170,2011-11-15,5804.5,8315.0
171,2011-11-16,5589.5,8100.0
172,2011-11-17,5574.5,8085.0
173,2011-11-18,5399.5,7910.0
174,2011-11-21,5399.5,7910.0
175,2011-11-22,5439.5,7950.0
176,2011-11-23,5344.5,7855.0
177,2011-11-24,5369.5,7880.0
178,2011-11-25,5299.5,7810.0
179,2011-11-28,5359.5,7870.0
180,2011-11-29,5429.5,7940.0
181,2011-11-30,5209.5,7720.0
182,2011-12-01,5449.5,7960.0
183,2011-12-02,5399.5,7910.0
184,2011-12-05,5324.5,7835.0
185,2011-12-06,5284.5,7795.0
186,2011-12-07,5329.5,7870.0
187,2011-12-08,5304.5,7845.0
188,2011-12-09,5239.5,7780.0
189,2011-12-12,5234.5,7775.0
190,2011-12-13,5069.5,7610.0
191,2011-12-14,5059.5,7600.0
192,2011-12-15,4874.5,7415.0
193,2011-12-16,5024.5,7565.0
194,2011-12-19,4994.5,7535.0
195,2011-12-20,4969.5,7510.0
196,2011-12-21,4939.5,7480.0
197,2011-12-22,4934.5,7475.0
198,2011-12-23,4974.5,7515.0
199,2011-12-26,4909.5,7450.0
200,2011-12-27,4864.5,7405.0
201,2011-12-28,4844.5,7385.0
202,2011-12-29,4869.5,7410.0
203,2011-12-30,4874.5,7415.0
204,2012-01-04,4854.5,7395.0
205,2012-01-05,4874.5,7415.0
206,2012-01-06,4854.5,7395.0
207,2012-01-09,5069.5,7645.0
208,2012-01-10,5294.5,7870.0
209,2012-01-11,5239.5,7815.0
210,2012-01-12,5269.5,7845.0
211,2012-01-13,5204.5,7780.0
212,2012-01-16,5084.5,7660.0
213,2012-01-17,5429.5,8005.0
214,2012-01-18,5334.5,7910.0
215,2012-01-19,5459.5,8035.0
216,2012-01-20,5589.5,8165.0
217,2012-01-30,5499.5,8075.0
218,2012-01-31,5474.5,8050.0
219,2012-02-01,5359.5,7935.0
220,2012-02-02,5569.5,8145.0
221,2012-02-03,5644.5,8220.0
222,2012-02-06,5699.5,8275.0
223,2012-02-07,5519.5,8115.0
224,2012-02-08,5709.5,8305.0
225,2012-02-09,5689.5,8285.0
226,2012-02-10,5614.5,8210.0
227,2012-02-13,5609.5,8205.0
228,2012-02-14,5514.5,8110.0
229,2012-02-15,5614.5,8210.0
230,2012-02-16,5549.5,8145.0
231,2012-02-17,5599.5,8195.0
232,2012-02-20,5574.5,8170.0
233,2012-02-21,5609.5,8205.0
234,2012-02-22,5699.5,8295.0
235,2012-02-23,5719.5,8315.0
236,2012-02-24,5889.5,8485.0
237,2012-02-27,5889.5,8485.0
238,2012-02-28,5929.5,8525.0
239,2012-02-29,5899.5,8495.0
240,2012-03-01,5829.5,8425.0
241,2012-03-02,6004.5,8600.0
242,2012-03-05,5894.5,8490.0
243,2012-03-06,5679.5,8275.0
244,2012-03-07,5589.5,8245.0
245,2012-03-08,5679.5,8335.0
246,2012-03-09,5714.5,8370.0
247,2012-03-12,5654.5,8310.0
248,2012-03-13,5749.5,8405.0
249,2012-03-14,5639.5,8295.0
250,2012-03-15,5549.5,8205.0
251,2012-03-16,5589.5,8245.0
252,2012-03-19,5554.5,8210.0
253,2012-03-20,5404.5,8060.0
254,2012-03-21,5444.5,8100.0
255,2012-03-22,5419.5,8075.0
256,2012-03-23,5354.5,8010.0
257,2012-03-26,5354.5,8010.0
258,2012-03-27,5334.5,7990.0
259,2012-03-28,5164.5,7820.0
260,2012-03-29,5019.5,7675.0
261,2012-03-30,5104.5,7760.0
262,2012-04-05,5239.5,7895.0
263,2012-04-06,5264.5,7920.0
264,2012-04-09,5204.5,7875.0
265,2012-04-10,5269.5,7940.0
266,2012-04-11,5264.5,7935.0
267,2012-04-12,5449.5,8120.0
268,2012-04-13,5504.5,8175.0
269,2012-04-16,5449.5,8120.0
270,2012-04-17,5379.5,8050.0
271,2012-04-18,5509.5,8180.0
272,2012-04-19,5544.5,8215.0
273,2012-04-20,5619.5,8290.0
274,2012-04-23,5634.5,8305.0
275,2012-04-24,5634.5,8305.0
276,2012-04-25,5644.5,8315.0
277,2012-04-26,5649.5,8320.0
278,2012-04-27,5629.5,8300.0
279,2012-05-02,5839.5,8510.0
280,2012-05-03,5814.5,8485.0
281,2012-05-04,5859.5,8530.0
282,2012-05-07,5784.5,8455.0
283,2012-05-08,5759.5,8380.0
284,2012-05-09,5594.5,8215.0
285,2012-05-10,5599.5,8220.0
286,2012-05-11,5479.5,8100.0
287,2012-05-14,5439.5,8060.0
288,2012-05-15,5459.5,8080.0
289,2012-05-16,5319.5,7940.0
290,2012-05-17,5429.5,8050.0
291,2012-05-18,5314.5,7935.0
292,2012-05-21,5334.5,7955.0
293,2012-05-22,5469.5,8090.0
294,2012-05-23,5449.5,8070.0
295,2012-05-24,5404.5,8025.0
296,2012-05-25,5329.5,7950.0
297,2012-05-28,5399.5,8020.0
298,2012-05-29,5499.5,8120.0
299,2012-05-30,5444.5,8065.0
300,2012-05-31,5449.5,8070.0
301,2012-06-01,5469.5,8090.0
302,2012-06-04,5234.5,7855.0
303,2012-06-05,5224.5,7845.0
304,2012-06-06,5229.5,7850.0
305,2012-06-07,5194.5,7800.0
306,2012-06-08,5114.5,7720.0
307,2012-06-11,5229.5,7835.0
308,2012-06-12,5169.5,7775.0
309,2012-06-13,5284.5,7890.0
310,2012-06-14,5234.5,7840.0
311,2012-06-15,5324.5,7930.0
312,2012-06-18,5354.5,7960.0
313,2012-06-19,5329.5,7935.0
314,2012-06-20,5309.5,7915.0
315,2012-06-21,5184.5,7790.0
316,2012-06-25,5079.5,7685.0
317,2012-06-26,5084.5,7690.0
318,2012-06-27,5054.5,7660.0
319,2012-06-28,5029.5,7635.0
320,2012-06-29,5139.5,7745.0
321,2012-07-02,5124.5,7730.0
322,2012-07-03,5164.5,7770.0
323,2012-07-04,5134.5,7740.0
324,2012-07-05,5104.5,7710.0
325,2012-07-06,5159.5,7765.0
326,2012-07-09,5044.5,7650.0
327,2012-07-10,4994.5,7600.0
328,2012-07-11,5024.5,7630.0
329,2012-07-12,5019.5,7625.0
330,2012-07-13,5074.5,7680.0
331,2012-07-16,4984.5,7590.0
332,2012-07-17,5004.5,7610.0
333,2012-07-18,5004.5,7610.0
334,2012-07-19,5094.5,7700.0
335,2012-07-20,4994.5,7600.0
336,2012-07-23,4794.5,7400.0
337,2012-07-24,4834.5,7440.0
338,2012-07-25,4829.5,7435.0
339,2012-07-26,4784.5,7390.0
340,2012-07-27,4819.5,7425.0
341,2012-07-30,4869.5,7475.0
342,2012-07-31,4894.5,7500.0
343,2012-08-01,4959.5,7565.0
344,2012-08-02,4884.5,7490.0
345,2012-08-03,4939.5,7545.0
346,2012-08-06,4979.5,7585.0
347,2012-08-07,4964.5,7565.0
348,2012-08-08,5004.5,7605.0
349,2012-08-09,5034.5,7635.0
350,2012-08-10,5014.5,7615.0
351,2012-08-13,4864.5,7465.0
352,2012-08-14,4819.5,7420.0
353,2012-08-15,4749.5,7350.0
354,2012-08-16,4729.5,7330.0
355,2012-08-17,4714.5,7315.0
356,2012-08-20,4659.5,7260.0
357,2012-08-21,4674.5,7275.0
358,2012-08-22,4614.5,7215.0
359,2012-08-23,4654.5,7255.0
360,2012-08-24,4579.5,7180.0
361,2012-08-27,4459.5,7060.0
362,2012-08-28,4479.5,7080.0
363,2012-08-29,4434.5,7035.0
364,2012-08-30,4474.5,7075.0
365,2012-08-31,4449.5,7050.0
366,2012-09-03,4474.5,7075.0
367,2012-09-04,4404.5,7005.0
368,2012-09-05,4369.5,6970.0
369,2012-09-06,4439.5,7040.0
370,2012-09-07,4744.5,7355.0
371,2012-09-10,4729.5,7340.0
372,2012-09-11,4644.5,7255.0
373,2012-09-12,4664.5,7275.0
374,2012-09-13,4624.5,7235.0
375,2012-09-14,4699.5,7310.0
376,2012-09-17,4549.5,7160.0
377,2012-09-18,4469.5,7080.0
378,2012-09-19,4504.5,7115.0
379,2012-09-20,4354.5,6965.0
380,2012-09-21,4369.5,6980.0
381,2012-09-24,4394.5,7005.0
382,2012-09-25,4404.5,7015.0
383,2012-09-26,4369.5,6980.0
384,2012-09-27,4539.5,7150.0
385,2012-09-28,4684.5,7295.0
386,2012-10-08,4609.5,7220.0
387,2012-10-09,4714.5,7330.0
388,2012-10-10,4719.5,7335.0
389,2012-10-11,4694.5,7310.0
390,2012-10-12,4704.5,7320.0
391,2012-10-15,4709.5,7325.0
392,2012-10-16,4724.5,7340.0
393,2012-10-17,4739.5,7355.0
394,2012-10-18,4859.5,7475.0
395,2012-10-19,4884.5,7500.0
396,2012-10-22,4829.5,7445.0
397,2012-10-23,4839.5,7455.0
398,2012-10-24,4779.5,7395.0
399,2012-10-25,4714.5,7330.0
