,index,adjusted,underlying
0,2020-12-29,18996.25,20247.5
1,2020-12-30,19498.75,20750.0
2,2020-12-31,19703.75,20955.0
3,2021-01-21,22213.75,23400.0
4,2021-01-22,21983.75,23170.0
5,2021-01-26,22088.75,23275.0
6,2021-01-27,21848.75,23035.0
7,2021-01-28,21073.75,22260.0
8,2021-01-29,20941.25,22127.5
9,2021-02-01,21473.75,22660.0
10,2021-02-02,21896.25,23082.5
11,2021-02-03,22081.25,23267.5
12,2021-02-22,22458.75,23377.5
13,2021-02-23,22286.25,23205.0
14,2021-02-24,21576.25,22495.0
15,2021-02-25,21976.25,22895.0
16,2021-02-26,20881.25,21800.0
17,2021-02-27,21048.75,21967.5
18,2021-03-01,21456.25,22375.0
19,2021-03-02,21258.75,22177.5
20,2021-03-03,21876.25,22795.0
21,2021-03-04,21031.25,21950.0
22,2021-03-05,20993.75,21912.5
23,2021-03-06,20978.75,21897.5
24,2021-03-08,20201.25,21120.0
25,2021-03-09,20071.25,20990.0
26,2021-03-10,20441.25,21360.0
27,2021-03-11,21016.25,21935.0
28,2021-03-12,20641.25,21560.0
29,2021-03-13,19726.25,20645.0
30,2021-03-15,20391.25,21310.0
31,2021-03-16,20638.75,21557.5
32,2021-03-17,20601.25,21520.0
33,2021-03-18,20843.75,21762.5
34,2021-03-19,20348.75,21267.5
35,2021-03-20,20553.75,21472.5
36,2021-03-22,20476.25,21395.0
37,2021-03-23,20018.75,20937.5
38,2021-03-24,19583.75,20502.5
39,2021-03-25,19113.75,20090.0
40,2021-03-26,19698.75,20675.0
41,2021-03-27,19751.25,20727.5
42,2021-03-29,19603.75,20580.0
43,2021-03-30,19746.25,20722.5
44,2021-03-31,19708.75,20685.0
45,2021-04-01,20356.25,21332.5
46,2021-04-02,20333.75,21310.0
47,2021-04-05,20413.75,21390.0
48,2021-04-07,19991.25,20967.5
49,2021-04-08,20206.25,21182.5
50,2021-04-09,19823.75,20800.0
51,2021-04-10,19858.75,20835.0
52,2021-04-12,19768.75,20745.0
53,2021-04-13,19678.75,20655.0
54,2021-04-14,20066.25,21042.5
55,2021-04-15,19808.75,20785.0
56,2021-04-16,20093.75,21070.0
57,2021-04-17,20031.25,21007.5
58,2021-04-19,20213.75,21190.0
59,2021-04-20,20163.75,21140.0
60,2021-04-21,19803.75,20780.0
61,2021-04-22,19923.75,20900.0
62,2021-04-23,20253.75,21230.0
63,2021-04-24,20293.75,21270.0
64,2021-04-26,20083.75,21060.0
65,2021-04-27,20066.25,20967.5
66,2021-04-28,20151.25,21052.5
67,2021-04-29,20278.75,21180.0
68,2021-04-30,19768.75,20670.0
69,2021-05-01,19763.75,20665.0
70,2021-05-03,19598.75,20500.0
71,2021-05-04,19681.25,20582.5
72,2021-05-05,19553.75,20455.0
73,2021-05-06,19553.75,20455.0
74,2021-05-07,19513.75,20415.0
75,2021-05-10,19361.25,20262.5
76,2021-05-11,18916.25,19817.5
77,2021-05-12,19168.75,20070.0
78,2021-05-13,18728.75,19630.0
79,2021-05-14,18731.25,19632.5
80,2021-05-15,18728.75,19630.0
81,2021-05-17,18968.75,19870.0
82,2021-05-18,19173.75,20075.0
83,2021-05-19,19206.25,20107.5
84,2021-05-20,19306.25,20207.5
85,2021-05-21,19433.75,20335.0
86,2021-05-24,19273.75,19992.5
87,2021-05-25,19706.25,20425.0
88,2021-05-26,19883.75,20602.5
89,2021-05-27,19746.25,20465.0
90,2021-05-28,19683.75,20402.5
91,2021-05-29,19671.25,20390.0
92,2021-05-31,20051.25,20770.0
93,2021-06-01,20363.75,21082.5
94,2021-06-02,20248.75,20967.5
95,2021-06-03,19966.25,20685.0
96,2021-06-04,19903.75,20622.5
97,2021-06-07,19748.75,20467.5
98,2021-06-08,19718.75,20437.5
99,2021-06-09,19706.25,20425.0
100,2021-06-10,19743.75,20462.5
101,2021-06-11,19836.25,20555.0
102,2021-06-12,19798.75,20517.5
103,2021-06-15,19646.25,20365.0
104,2021-06-16,19421.25,20140.0
105,2021-06-17,19418.75,20137.5
106,2021-06-18,19691.25,20410.0
107,2021-06-19,19598.75,20317.5
108,2021-06-21,19491.25,20210.0
109,2021-06-22,19341.25,20060.0
110,2021-06-23,19681.25,20400.0
111,2021-06-24,19791.25,20510.0
112,2021-06-25,20196.25,20785.0
113,2021-06-28,20213.75,20802.5
114,2021-06-29,20018.75,20607.5
115,2021-06-30,19898.75,20487.5
116,2021-07-02,19418.75,20007.5
117,2021-07-05,19188.75,19777.5
118,2021-07-06,19166.25,19755.0
