,index,adjusted,underlying
0,2020-11-09,969.0,1133.25
1,2020-11-10,966.75,1131.0
2,2020-11-11,983.75,1148.0
3,2020-11-12,982.75,1147.0
4,2020-11-13,987.5,1151.75
5,2020-11-16,1008.0,1172.25
6,2020-11-17,1014.25,1178.5
7,2020-11-18,1027.5,1191.75
8,2020-11-19,1028.5,1192.75
9,2020-11-20,1028.75,1193.0
10,2020-11-23,1041.25,1205.5
11,2020-11-24,1036.0,1200.25
12,2020-11-25,1023.5,1187.75
13,2020-11-26,1036.5,1200.75
14,2020-11-27,1040.5,1204.75
15,2020-11-30,1024.25,1188.5
16,2020-12-01,1039.5,1203.75
17,2020-12-02,1049.25,1213.5
18,2020-12-03,1052.0,1216.25
19,2020-12-04,1065.0,1229.25
20,2020-12-07,1071.0,1235.25
21,2020-12-08,1080.25,1237.5
22,2020-12-09,1087.75,1245.0
23,2020-12-10,1073.25,1230.5
24,2020-12-11,1075.5,1232.75
25,2020-12-14,1071.25,1228.5
26,2020-12-15,1062.0,1219.25
27,2020-12-16,1080.0,1237.25
28,2020-12-17,1078.75,1236.0
29,2020-12-18,1074.5,1231.75
30,2020-12-21,1090.5,1247.75
31,2020-12-22,1068.25,1225.5
32,2020-12-23,1073.0,1230.25
33,2020-12-24,1085.0,1242.25
34,2020-12-25,1090.0,1247.25
35,2020-12-28,1100.5,1257.75
36,2020-12-29,1102.75,1260.0
37,2020-12-30,1119.25,1276.5
38,2020-12-31,1118.5,1275.75
39,2021-01-04,1137.75,1295.0
40,2021-01-05,1149.25,1306.5
41,2021-01-06,1145.0,1302.25
42,2021-01-07,1173.0,1322.75
43,2021-01-08,1191.75,1341.5
44,2021-01-11,1200.75,1350.5
45,2021-01-12,1198.25,1348.0
46,2021-01-13,1222.25,1372.0
47,2021-01-14,1222.0,1371.75
48,2021-01-15,1212.25,1362.0
49,2021-01-18,1208.0,1357.75
50,2021-01-19,1228.75,1378.5
51,2021-01-20,1219.75,1369.5
52,2021-01-21,1247.5,1397.25
53,2021-01-22,1245.75,1395.5
54,2021-01-25,1243.75,1393.5
55,2021-01-26,1220.0,1369.75
56,2021-01-27,1225.25,1375.0
57,2021-01-28,1199.25,1349.0
58,2021-01-29,1173.0,1322.75
59,2021-02-01,1197.0,1346.75
60,2021-02-02,1228.5,1378.25
61,2021-02-03,1230.5,1380.25
62,2021-02-04,1223.75,1373.5
63,2021-02-05,1232.75,1382.5
64,2021-02-08,1234.5,1378.25
65,2021-02-09,1246.0,1389.75
66,2021-02-10,1255.5,1399.25
67,2021-02-11,1262.25,1406.0
68,2021-02-12,1274.5,1418.25
69,2021-02-15,1283.5,1427.25
70,2021-02-16,1288.25,1432.0
71,2021-02-17,1282.25,1426.0
72,2021-02-18,1282.0,1425.75
73,2021-02-19,1275.75,1419.5
74,2021-02-22,1281.25,1425.0
75,2021-02-23,1287.75,1431.5
76,2021-02-24,1269.75,1413.5
77,2021-02-25,1288.5,1432.25
78,2021-02-26,1241.75,1385.5
79,2021-03-01,1256.25,1400.0
80,2021-03-02,1245.75,1389.5
81,2021-03-03,1268.75,1412.5
82,2021-03-04,1245.25,1389.0
83,2021-03-05,1240.75,1384.5
84,2021-03-08,1237.25,1376.0
85,2021-03-09,1237.25,1376.0
86,2021-03-10,1242.75,1381.5
87,2021-03-11,1269.0,1407.75
88,2021-03-12,1276.25,1415.0
89,2021-03-15,1271.0,1409.75
90,2021-03-16,1284.75,1423.5
91,2021-03-17,1275.75,1414.5
92,2021-03-18,1285.0,1423.75
93,2021-03-19,1262.75,1401.5
94,2021-03-22,1277.25,1416.0
95,2021-03-23,1277.25,1416.0
96,2021-03-24,1267.5,1406.25
97,2021-03-25,1275.25,1414.0
98,2021-03-26,1296.75,1435.5
99,2021-03-29,1307.75,1446.5
100,2021-03-30,1319.25,1458.0
101,2021-03-31,1309.75,1448.5
102,2021-04-01,1315.75,1454.5
103,2021-04-02,1330.75,1469.5
104,2021-04-05,1332.75,1471.5
105,2021-04-06,1327.75,1466.5
106,2021-04-07,1331.75,1466.25
107,2021-04-08,1345.25,1479.75
108,2021-04-09,1338.0,1472.5
109,2021-04-12,1338.75,1473.25
110,2021-04-13,1337.0,1471.5
111,2021-04-14,1342.0,1476.5
112,2021-04-15,1359.75,1494.25
113,2021-04-16,1370.5,1505.0
114,2021-04-19,1381.75,1516.25
115,2021-04-20,1387.0,1521.5
116,2021-04-21,1376.5,1511.0
117,2021-04-22,1373.5,1508.0
118,2021-04-23,1385.5,1520.0
119,2021-04-26,1412.5,1547.0
120,2021-04-27,1417.75,1552.25
121,2021-04-28,1416.0,1550.5
122,2021-04-29,1425.25,1559.75
123,2021-04-30,1412.75,1547.25
124,2021-05-03,1390.0,1524.5
125,2021-05-04,1362.5,1497.0
126,2021-05-05,1348.0,1482.5
127,2021-05-06,1365.5,1500.0
128,2021-05-07,1393.5,1518.5
129,2021-05-10,1384.75,1509.75
130,2021-05-11,1320.5,1445.5
131,2021-05-12,1248.5,1373.5
132,2021-05-13,1241.75,1366.75
133,2021-05-14,1259.25,1384.25
134,2021-05-17,1219.5,1344.5
135,2021-05-18,1297.5,1422.5
136,2021-05-19,1290.25,1415.25
137,2021-05-20,1285.5,1410.5
138,2021-05-21,1309.0,1434.0
139,2021-05-24,1312.75,1437.75
140,2021-05-25,1340.75,1465.75
141,2021-05-26,1339.5,1464.5
142,2021-05-27,1332.5,1457.5
143,2021-05-28,1360.0,1485.0
144,2021-05-31,1373.0,1498.0
145,2021-06-01,1383.5,1508.5
146,2021-06-02,1377.25,1502.25
147,2021-06-03,1386.75,1511.75
148,2021-06-04,1375.5,1500.5
149,2021-06-07,1376.75,1501.75
150,2021-06-08,1376.0,1487.5
151,2021-06-09,1366.25,1477.75
152,2021-06-10,1381.5,1493.0
153,2021-06-11,1384.5,1496.0
154,2021-06-14,1384.5,1496.0
155,2021-06-15,1393.0,1504.5
156,2021-06-16,1389.75,1501.25
157,2021-06-17,1391.5,1503.0
158,2021-06-18,1387.0,1498.5
159,2021-06-21,1358.5,1470.0
160,2021-06-22,1360.75,1472.25
161,2021-06-23,1380.25,1491.75
162,2021-06-24,1388.75,1500.25
163,2021-06-25,1395.25,1506.75
164,2021-06-28,1401.0,1512.5
165,2021-06-29,1400.25,1511.75
166,2021-06-30,1413.75,1525.25
167,2021-07-01,1408.5,1520.0
168,2021-07-02,1409.25,1520.75
169,2021-07-05,1430.75,1542.25
170,2021-07-06,1430.0,1541.5
171,2021-07-07,1425.0,1518.5
172,2021-07-08,1424.0,1517.5
173,2021-07-09,1408.5,1502.0
174,2021-07-12,1422.25,1515.75
175,2021-07-13,1431.25,1524.75
176,2021-07-14,1431.5,1525.0
177,2021-07-15,1441.5,1535.0
178,2021-07-16,1443.25,1536.75
179,2021-07-19,1424.25,1517.75
180,2021-07-20,1404.75,1498.25
181,2021-07-21,1400.25,1493.75
182,2021-07-22,1415.25,1508.75
183,2021-07-23,1414.75,1508.25
184,2021-07-26,1399.25,1492.75
185,2021-07-27,1397.5,1491.0
186,2021-07-28,1380.5,1474.0
187,2021-07-29,1411.0,1504.5
188,2021-07-30,1400.75,1494.25
189,2021-08-02,1425.25,1518.75
190,2021-08-03,1426.5,1520.0
191,2021-08-04,1439.25,1532.75
192,2021-08-05,1437.0,1530.5
193,2021-08-06,1429.5,1523.0
194,2021-08-09,1424.75,1510.75
195,2021-08-10,1415.5,1501.5
196,2021-08-11,1406.0,1492.0
197,2021-08-12,1403.5,1489.5
198,2021-08-13,1403.5,1489.5
199,2021-08-16,1369.0,1455.0
200,2021-08-17,1356.0,1442.0
201,2021-08-18,1372.5,1458.5
202,2021-08-19,1344.25,1430.25
203,2021-08-20,1330.25,1416.25
204,2021-08-23,1373.0,1459.0
205,2021-08-24,1380.25,1466.25
206,2021-08-25,1396.25,1482.25
207,2021-08-26,1396.0,1482.0
208,2021-08-27,1411.75,1497.75
209,2021-08-30,1429.25,1515.25
210,2021-08-31,1432.25,1518.25
211,2021-09-01,1439.5,1525.5
212,2021-09-02,1429.5,1515.5
213,2021-09-03,1446.0,1532.0
214,2021-09-06,1446.25,1532.25
215,2021-09-07,1438.5,1524.5
216,2021-09-08,1416.25,1502.25
217,2021-09-09,1427.25,1513.25
218,2021-09-10,1435.75,1521.75
219,2021-09-13,1447.0,1533.0
220,2021-09-14,1441.25,1527.25
221,2021-09-15,1442.0,1528.0
222,2021-09-16,1436.0,1522.0
223,2021-09-17,1424.0,1510.0
224,2021-09-20,1380.5,1466.5
225,2021-09-21,1387.5,1473.5
226,2021-09-22,1405.75,1491.75
227,2021-09-23,1425.25,1511.25
228,2021-09-24,1424.75,1510.75
229,2021-09-27,1427.5,1511.0
230,2021-09-28,1397.25,1480.75
231,2021-09-29,1383.25,1466.75
232,2021-09-30,1385.5,1469.0
233,2021-10-01,1375.5,1459.0
234,2021-10-04,1341.75,1425.25
235,2021-10-05,1354.75,1438.25
236,2021-10-06,1356.25,1439.75
237,2021-10-07,1383.0,1466.5
238,2021-10-08,1375.0,1458.5
239,2021-10-11,1368.25,1451.75
240,2021-10-12,1352.25,1435.75
241,2021-10-13,1351.0,1434.5
242,2021-10-14,1366.5,1450.0
243,2021-10-15,1386.5,1470.0
244,2021-10-18,1380.75,1464.25
245,2021-10-19,1396.5,1480.0
246,2021-10-20,1391.5,1475.0
247,2021-10-21,1389.25,1472.75
248,2021-10-22,1377.5,1461.0
249,2021-10-25,1393.0,1473.75
250,2021-10-26,1398.25,1479.0
251,2021-10-27,1400.5,1481.25
252,2021-10-28,1409.0,1489.75
253,2021-10-29,1399.25,1480.0
254,2021-11-01,1409.5,1490.25
255,2021-11-02,1412.25,1493.0
256,2021-11-03,1417.75,1498.5
257,2021-11-04,1415.5,1496.25
258,2021-11-05,1427.25,1508.0
259,2021-11-08,1449.75,1530.5
260,2021-11-09,1450.75,1531.5
261,2021-11-10,1438.75,1519.5
262,2021-11-11,1446.75,1527.5
263,2021-11-12,1458.0,1538.75
264,2021-11-15,1464.75,1545.5
265,2021-11-16,1467.5,1548.25
266,2021-11-17,1472.5,1553.25
267,2021-11-18,1491.0,1571.75
268,2021-11-19,1477.25,1558.0
269,2021-11-22,1477.5,1558.25
270,2021-11-23,1461.5,1542.25
271,2021-11-24,1470.0,1547.25
272,2021-11-25,1468.0,1545.25
273,2021-11-26,1417.25,1494.5
274,2021-11-29,1442.25,1519.5
275,2021-11-30,1437.5,1514.75
276,2021-12-01,1457.75,1535.0
277,2021-12-02,1477.5,1554.75
278,2021-12-03,1467.25,1544.5
279,2021-12-06,1478.0,1555.25
280,2021-12-07,1498.5,1575.75
281,2021-12-08,1496.5,1573.75
282,2021-12-09,1490.25,1567.5
283,2021-12-10,1490.5,1567.75
284,2021-12-13,1470.0,1547.25
285,2021-12-14,1464.0,1541.25
286,2021-12-15,1485.75,1563.0
287,2021-12-16,1478.0,1555.25
288,2021-12-17,1483.5,1560.75
289,2021-12-20,1473.5,1547.0
290,2021-12-21,1493.25,1566.75
291,2021-12-22,1503.75,1577.25
292,2021-12-23,1506.75,1580.25
293,2021-12-24,1508.75,1582.25
294,2021-12-27,1521.75,1595.25
295,2021-12-28,1527.75,1601.25
296,2021-12-29,1535.5,1609.0
297,2021-12-30,1533.75,1607.25
298,2021-12-31,1529.5,1603.0
299,2022-01-03,1536.25,1609.75
300,2022-01-04,1548.5,1622.0
301,2022-01-05,1538.0,1611.5
302,2022-01-06,1540.0,1613.5
303,2022-01-07,1517.25,1590.75
304,2022-01-10,1521.25,1594.75
305,2022-01-11,1541.5,1615.0
306,2022-01-12,1543.75,1617.25
307,2022-01-13,1551.0,1624.5
308,2022-01-14,1533.5,1607.0
309,2022-01-15,1543.0,1616.5
310,2022-01-17,1543.75,1617.25
311,2022-01-18,1527.5,1601.0
312,2022-01-19,1516.75,1586.5
313,2022-01-20,1509.5,1579.25
314,2022-01-21,1495.75,1565.5
315,2022-01-22,1478.25,1548.0
316,2022-01-24,1493.0,1562.75
317,2022-01-25,1470.5,1540.25
318,2022-01-26,1460.5,1530.25
319,2022-01-27,1435.0,1504.75
320,2022-01-28,1421.75,1491.5
321,2022-01-31,1490.75,1560.5
322,2022-02-01,1500.25,1570.0
323,2022-02-02,1502.0,1571.75
324,2022-02-03,1488.25,1558.0
325,2022-02-04,1486.0,1555.75
326,2022-02-07,1496.5,1566.25
327,2022-02-08,1513.25,1583.0
328,2022-02-09,1534.25,1604.0
329,2022-02-10,1527.75,1597.5
330,2022-02-11,1511.25,1581.5
331,2022-02-14,1493.5,1563.75
332,2022-02-15,1517.75,1588.0
333,2022-02-16,1527.0,1597.25
334,2022-02-17,1509.75,1580.0
335,2022-02-18,1514.0,1584.25
336,2022-02-21,1503.5,1573.75
337,2022-02-22,1496.75,1567.0
338,2022-02-23,1489.75,1560.0
339,2022-02-24,1472.5,1542.75
340,2022-02-25,1487.75,1558.0
341,2022-02-28,1482.5,1552.75
342,2022-03-01,1484.5,1554.75
343,2022-03-02,1498.25,1568.5
344,2022-03-03,1488.5,1558.75
345,2022-03-04,1467.25,1537.5
346,2022-03-07,1388.75,1459.0
347,2022-03-08,1402.25,1472.5
348,2022-03-09,1438.0,1508.25
349,2022-03-10,1447.5,1517.75
350,2022-03-11,1427.25,1497.5
351,2022-03-14,1430.5,1500.75
352,2022-03-15,1427.0,1497.25
353,2022-03-16,1453.75,1524.0
354,2022-03-17,1465.75,1536.0
355,2022-03-18,1469.5,1539.75
356,2022-03-21,1471.5,1541.75
357,2022-03-22,1477.5,1547.75
358,2022-03-23,1473.25,1543.5
359,2022-03-24,1488.0,1554.75
360,2022-03-25,1474.0,1540.75
361,2022-03-28,1473.0,1539.75
362,2022-03-29,1481.5,1548.25
363,2022-03-30,1478.25,1545.0
364,2022-03-31,1464.25,1531.0
365,2022-04-01,1467.25,1534.0
366,2022-04-04,1490.75,1557.5
367,2022-04-05,1474.5,1541.25
368,2022-04-06,1458.25,1525.0
369,2022-04-07,1443.25,1510.0
370,2022-04-08,1443.75,1510.5
371,2022-04-11,1421.75,1488.5
372,2022-04-12,1425.75,1492.5
373,2022-04-13,1452.25,1519.0
374,2022-04-14,1430.0,1496.75
375,2022-04-15,1418.25,1485.0
376,2022-04-18,1414.25,1481.0
377,2022-04-19,1421.75,1488.5
378,2022-04-20,1430.0,1496.75
379,2022-04-21,1413.0,1476.0
380,2022-04-22,1394.75,1457.75
381,2022-04-25,1391.75,1454.75
382,2022-04-26,1352.0,1415.0
383,2022-04-27,1364.0,1427.0
384,2022-04-28,1395.0,1458.0
385,2022-04-29,1378.0,1441.0
386,2022-05-02,1373.0,1436.0
387,2022-05-03,1385.5,1448.5
388,2022-05-04,1408.0,1471.0
389,2022-05-05,1370.75,1433.75
390,2022-05-06,1364.5,1427.5
391,2022-05-09,1329.75,1392.75
392,2022-05-10,1338.0,1401.0
393,2022-05-11,1319.5,1382.5
394,2022-05-12,1312.0,1375.0
395,2022-05-13,1339.5,1402.5
396,2022-05-16,1331.25,1378.0
397,2022-05-17,1349.5,1396.25
398,2022-05-18,1335.5,1382.25
399,2022-05-19,1340.25,1387.0
400,2022-05-20,1352.75,1399.5
401,2022-05-23,1358.5,1405.25
402,2022-05-24,1336.5,1383.25
403,2022-05-25,1348.0,1394.75
404,2022-05-26,1353.0,1399.75
405,2022-05-27,1376.25,1423.0
406,2022-05-30,1388.75,1435.5
407,2022-05-31,1394.5,1441.25
408,2022-06-01,1385.25,1432.0
409,2022-06-02,1398.25,1445.0
410,2022-06-03,1379.25,1426.0
411,2022-06-06,1388.25,1435.0
412,2022-06-07,1387.25,1434.0
413,2022-06-08,1389.75,1436.5
414,2022-06-09,1374.5,1421.25
415,2022-06-10,1358.75,1375.0
416,2022-06-13,1341.5,1357.75
417,2022-06-14,1332.75,1349.0
418,2022-06-15,1338.75,1355.0
419,2022-06-16,1299.5,1315.75
420,2022-06-17,1299.5,1315.75
421,2022-06-20,1299.25,1315.5
422,2022-06-21,1326.0,1342.25
423,2022-06-22,1294.25,1310.5
424,2022-06-23,1290.0,1306.25
425,2022-06-24,1306.5,1322.75
426,2022-06-27,1304.75,1321.0
427,2022-06-28,1287.0,1303.25
428,2022-06-29,1284.25,1300.5
429,2022-06-30,1256.25,1272.5
430,2022-07-01,1221.25,1237.5
431,2022-07-04,1222.5,1238.75
432,2022-07-05,1219.0,1235.25
433,2022-07-06,1200.25,1216.5
434,2022-07-07,1228.75,1245.0
435,2022-07-08,1236.25,1252.5
436,2022-07-11,1215.5,1231.75
437,2022-07-12,1216.5,1232.75
438,2022-07-13,1225.0,1241.25
439,2022-07-14,1236.25,1252.5
440,2022-07-15,1241.75,1258.0
441,2022-07-18,1249.25,1254.5
442,2022-07-19,1255.5,1260.75
443,2022-07-20,1267.0,1272.25
444,2022-07-21,1270.75,1276.0
445,2022-07-22,1274.75,1280.0
446,2022-07-25,1279.25,1284.5
447,2022-07-26,1268.5,1273.75
448,2022-07-27,1280.0,1285.25
449,2022-07-28,1288.75,1294.0
450,2022-07-29,1289.75,1295.0
451,2022-07-30,1293.25,1298.5
452,2022-08-01,1286.25,1291.5
453,2022-08-02,1266.25,1271.5
454,2022-08-03,1269.0,1274.25
455,2022-08-04,1270.75,1276.0
456,2022-08-05,1300.5,1305.75
457,2022-08-06,1295.75,1301.0
458,2022-08-08,1295.0,1300.25
459,2022-08-09,1303.0,1308.25
460,2022-08-10,1293.0,1298.25
461,2022-08-11,1316.5,1321.75
462,2022-08-12,1325.75,1331.0
463,2022-08-13,1333.0,1338.25
464,2022-08-15,1336.75,1342.0
465,2022-08-16,1337.75,1343.0
466,2022-08-17,1338.5,1343.75
467,2022-08-18,1334.0,1339.25
468,2022-08-19,1336.0,1341.25
469,2022-08-20,1328.25,1333.5
470,2022-08-22,1323.25,1328.5
471,2022-08-23,1305.75,1311.0
472,2022-08-24,1304.75,1310.0
473,2022-08-25,1316.25,1321.5
474,2022-08-26,1322.75,1328.0
475,2022-08-27,1295.25,1300.5
476,2022-08-29,1285.5,1290.75
477,2022-08-30,1298.25,1303.5
478,2022-08-31,1302.75,1308.0
479,2022-09-01,1277.25,1282.5
480,2022-09-02,1263.0,1268.25
481,2022-09-03,1259.0,1264.25
482,2022-09-05,1270.25,1274.25
483,2022-09-06,1273.75,1277.75
484,2022-09-07,1251.25,1255.25
