,index,adjusted,underlying
0,2021-12-13,145.98000000000002,149.96
1,2021-12-14,146.29000000000002,150.27
2,2021-12-15,146.87,150.85
3,2021-12-16,147.06,151.04
4,2021-12-17,146.53,150.51
5,2021-12-20,146.01000000000002,149.99
6,2021-12-21,147.23000000000002,151.21
7,2021-12-22,148.39,152.37
8,2021-12-23,149.41,153.39
9,2021-12-27,150.37,154.35
10,2021-12-28,150.05,154.03
11,2021-12-29,150.97,154.95
12,2021-12-30,151.34,155.32
13,2021-12-31,151.58,155.56
14,2022-01-03,151.41,155.39
15,2022-01-04,153.07000000000002,157.05
16,2022-01-05,153.42000000000002,157.4
17,2022-01-06,152.72,156.7
18,2022-01-07,153.02,157.0
19,2022-01-10,152.24,156.22
20,2022-01-11,153.11,157.09
21,2022-01-12,152.75,156.73
22,2022-01-13,152.41,156.39
23,2022-01-14,152.02,156.0
24,2022-01-17,152.31,156.29
25,2022-01-18,151.75,155.73
26,2022-01-19,151.58,155.56
27,2022-01-20,151.35000000000002,155.33
28,2022-01-21,149.98000000000002,153.96
29,2022-01-24,149.31,153.29
30,2022-01-25,149.91,153.89
31,2022-01-26,150.16,154.14
32,2022-01-27,150.12,154.1
33,2022-01-28,150.14,154.12
34,2022-01-31,150.69,154.67
35,2022-02-01,150.98000000000002,154.96
36,2022-02-02,151.3,155.28
37,2022-02-03,152.12,156.1
38,2022-02-04,151.86,155.84
39,2022-02-07,151.73000000000002,155.71
40,2022-02-08,152.41,156.39
41,2022-02-09,152.25,156.23
42,2022-02-10,153.28,157.26
43,2022-02-11,152.10000000000002,156.08
44,2022-02-14,152.32000000000002,156.3
45,2022-02-15,152.46,156.44
46,2022-02-16,152.9,156.88
47,2022-02-17,152.45000000000002,156.43
48,2022-02-18,152.52,156.5
49,2022-02-21,152.14,156.12
50,2022-02-22,152.38000000000002,156.36
51,2022-02-23,151.62,155.6
52,2022-02-24,150.81,154.79
53,2022-02-25,151.0,154.98
54,2022-02-28,150.09,154.07
55,2022-03-01,148.88000000000002,152.86
56,2022-03-02,150.56,154.54
57,2022-03-03,149.91,153.89
58,2022-03-04,147.69,151.67
59,2022-03-07,147.10000000000002,151.08
60,2022-03-08,147.70000000000002,151.68
61,2022-03-09,148.71,152.69
62,2022-03-10,148.07000000000002,152.05
63,2022-03-11,149.03,153.01
64,2022-03-14,149.76000000000002,153.33
65,2022-03-15,150.23000000000002,153.8
66,2022-03-16,151.69,155.26
67,2022-03-17,152.06,155.63
68,2022-03-18,153.18,156.75
69,2022-03-21,153.3,156.87
70,2022-03-22,156.08,159.65
71,2022-03-23,155.99,159.56
72,2022-03-24,157.23000000000002,160.8
73,2022-03-25,157.09,160.66
74,2022-03-28,157.91,161.48
75,2022-03-29,157.05,160.62
76,2022-03-30,156.03,159.6
77,2022-03-31,155.84,159.41
78,2022-04-01,156.83,160.4
79,2022-04-04,157.18,160.75
80,2022-04-05,157.79000000000002,161.36
81,2022-04-06,157.88,161.45
82,2022-04-07,158.19,161.76
83,2022-04-08,158.28,161.85
84,2022-04-11,159.62,163.19
85,2022-04-12,159.06,162.63
86,2022-04-13,160.81,164.38
87,2022-04-14,160.89,164.46
88,2022-04-18,161.35,164.92
89,2022-04-19,163.52,167.09
90,2022-04-20,163.01000000000002,166.58
91,2022-04-21,163.25,166.82
92,2022-04-22,161.08,164.65
93,2022-04-25,159.20000000000002,162.77
94,2022-04-26,156.78,160.35
95,2022-04-27,157.16,160.73
96,2022-04-28,159.35,162.92
97,2022-04-29,159.31,162.88
98,2022-05-02,158.56,162.13
99,2022-05-03,158.83,162.4
100,2022-05-04,158.17000000000002,161.74
101,2022-05-05,157.29000000000002,160.86
102,2022-05-06,157.28,160.85
103,2022-05-09,157.1,160.67
104,2022-05-10,156.84,160.41
105,2022-05-11,155.47,159.04
106,2022-05-12,152.23000000000002,155.8
107,2022-05-13,154.65,158.22
108,2022-05-16,155.33,158.9
109,2022-05-17,157.83,161.4
110,2022-05-18,154.46,158.03
111,2022-05-19,155.97,159.54
112,2022-05-20,155.71,159.28
113,2022-05-23,157.21,160.78
114,2022-05-24,154.99,158.56
115,2022-05-25,156.55,160.12
116,2022-05-26,156.54000000000002,160.11
117,2022-05-27,156.83,160.4
118,2022-05-30,157.87,161.44
119,2022-05-31,158.52,162.09
120,2022-06-01,158.94,162.51
121,2022-06-02,159.58,163.15
122,2022-06-03,159.94,163.51
123,2022-06-06,161.86,165.43
124,2022-06-07,163.26000000000002,166.83
125,2022-06-08,164.66,168.23
126,2022-06-09,164.37,167.94
127,2022-06-10,161.9,165.47
128,2022-06-13,159.47000000000003,162.27
129,2022-06-14,158.34,161.14
130,2022-06-15,159.04000000000002,161.84
131,2022-06-16,159.57000000000002,162.37
132,2022-06-17,161.31000000000003,164.11
133,2022-06-20,161.83,164.63
134,2022-06-21,164.06000000000003,166.86
135,2022-06-22,163.58,166.38
136,2022-06-23,161.86,164.66
137,2022-06-24,162.45000000000002,165.25
138,2022-06-27,162.78000000000003,165.58
139,2022-06-28,162.58,165.38
140,2022-06-29,161.98000000000002,164.78
141,2022-06-30,161.71,164.51
142,2022-07-01,160.18,162.98
143,2022-07-04,160.18,162.98
144,2022-07-05,158.68,161.48
145,2022-07-06,158.73000000000002,161.53
146,2022-07-07,160.14,162.94
147,2022-07-08,160.43,163.23
148,2022-07-11,159.97000000000003,162.77
149,2022-07-12,159.36,162.16
150,2022-07-13,160.13000000000002,162.93
151,2022-07-14,160.94000000000003,163.74
152,2022-07-15,160.96,163.76
153,2022-07-18,161.69000000000003,164.49
154,2022-07-19,162.49,165.29
155,2022-07-20,162.15,164.95
156,2022-07-21,161.44000000000003,164.24
157,2022-07-22,159.86,162.66
158,2022-07-25,161.45000000000002,164.25
159,2022-07-26,161.15,163.95
160,2022-07-27,162.67000000000002,165.47
161,2022-07-28,159.99,162.79
162,2022-07-29,159.13000000000002,161.93
163,2022-08-01,158.3,161.1
164,2022-08-02,158.62,161.42
165,2022-08-03,159.68,162.48
166,2022-08-04,158.63000000000002,161.43
167,2022-08-05,159.81000000000003,162.61
168,2022-08-08,159.63000000000002,162.43
169,2022-08-09,160.00000000000003,162.8
170,2022-08-10,159.34,162.14
171,2022-08-11,159.05,161.85
172,2022-08-12,158.95000000000002,161.75
173,2022-08-15,157.59,160.39
174,2022-08-16,159.18,161.98
175,2022-08-17,159.81000000000003,162.61
176,2022-08-18,159.08,161.88
177,2022-08-19,158.65,161.45
178,2022-08-22,158.58,161.38
179,2022-08-23,158.71,161.51
180,2022-08-24,158.57000000000002,161.37
181,2022-08-25,158.39,161.19
182,2022-08-26,158.34,161.14
183,2022-08-29,159.45000000000002,162.25
184,2022-08-30,158.68,161.48
185,2022-08-31,158.16000000000005,160.96
186,2022-09-01,158.85000000000002,161.65
187,2022-09-02,158.41000000000005,161.21
188,2022-09-05,158.41000000000005,161.21
189,2022-09-06,161.75000000000003,164.55
190,2022-09-07,162.87,165.67
191,2022-09-08,162.70000000000002,165.5
192,2022-09-09,162.51000000000002,165.31
193,2022-09-12,163.83,166.63
194,2022-09-13,163.24,164.78
195,2022-09-14,162.32000000000002,163.86
196,2022-09-15,161.74,163.28
197,2022-09-16,160.4,161.94
198,2022-09-19,160.84,162.38
199,2022-09-20,160.57000000000002,162.11
200,2022-09-21,160.09,161.63
201,2022-09-22,157.66,159.2
202,2022-09-23,152.79000000000002,154.33
203,2022-09-26,151.73000000000002,153.27
204,2022-09-27,152.54000000000002,154.08
205,2022-09-28,154.12,155.66
206,2022-09-29,156.92000000000002,158.46
207,2022-09-30,159.03,160.57
208,2022-10-03,161.03,162.57
209,2022-10-04,162.58,164.12
210,2022-10-05,161.28,162.82
211,2022-10-06,159.17000000000002,160.71
212,2022-10-07,158.45000000000002,159.99
213,2022-10-10,158.5,160.04
214,2022-10-11,158.21,159.75
215,2022-10-12,160.38,161.92
216,2022-10-13,164.05,165.59
217,2022-10-14,163.64,165.18
218,2022-10-17,166.73000000000002,168.27
219,2022-10-18,166.38,167.92
220,2022-10-19,165.5,167.04
221,2022-10-20,166.03,167.57
222,2022-10-21,163.74,165.28
223,2022-10-24,165.52,167.06
224,2022-10-25,167.43,168.97
225,2022-10-26,167.70000000000002,169.24
226,2022-10-27,166.8,168.34
227,2022-10-28,169.02,170.56
228,2022-10-31,168.22,169.76
229,2022-11-01,167.92000000000002,169.46
230,2022-11-02,166.43,167.97
231,2022-11-03,163.34,164.88
232,2022-11-04,164.69,166.23
233,2022-11-07,166.89,168.43
234,2022-11-08,165.78,167.32
235,2022-11-09,164.27,165.81
236,2022-11-10,163.78,165.32
237,2022-11-11,162.09,163.63
238,2022-11-14,162.75,164.29
239,2022-11-15,163.11,164.65
240,2022-11-16,163.92000000000002,165.46
241,2022-11-17,164.18,165.72
242,2022-11-18,164.96,166.5
243,2022-11-21,166.05,167.59
244,2022-11-22,165.88,167.42
245,2022-11-23,166.27,167.81
246,2022-11-24,166.27,167.81
247,2022-11-25,166.44,167.98
248,2022-11-28,164.15,165.69
249,2022-11-29,163.87,165.41
250,2022-11-30,164.53,166.07
251,2022-12-01,164.06,165.6
252,2022-12-02,163.41,164.95
253,2022-12-05,164.62,166.16
254,2022-12-06,164.53,166.07
255,2022-12-07,164.75,166.29
256,2022-12-08,165.65,167.19
257,2022-12-09,165.83,167.37
258,2022-12-12,167.25,167.25
259,2022-12-13,166.04,166.04
260,2022-12-14,166.37,166.37
261,2022-12-15,166.42,166.42
262,2022-12-16,164.66,164.66
263,2022-12-19,164.83,164.83
264,2022-12-20,158.56,158.56
265,2022-12-21,158.24,158.24
266,2022-12-22,157.89,157.89
267,2022-12-23,158.58,158.58
268,2022-12-27,159.23,159.23
269,2022-12-28,160.25,160.25
270,2022-12-29,159.22,159.22
271,2022-12-30,158.03,158.03
