,index,adjusted,underlying
0,1975-04-01,1254.1,179.1
1,1975-04-02,1253.1,178.1
2,1975-04-03,1252.1,177.1
3,1975-04-04,1248.8,173.8
4,1975-04-07,1249.1,174.1
5,1975-04-08,1249.4999999999998,174.5
6,1975-04-09,1249.4999999999998,174.5
7,1975-04-10,1248.1,173.1
8,1975-04-11,1247.6999999999998,172.7
9,1975-04-14,1241.1999999999998,166.2
10,1975-04-15,1239.6,164.6
11,1975-04-16,1241.4999999999998,166.5
12,1975-04-17,1244.4999999999998,169.5
13,1975-04-18,1243.9999999999998,169.0
14,1975-04-21,1240.6999999999998,165.7
15,1975-04-22,1241.6999999999998,166.7
16,1975-04-23,1243.8,168.8
17,1975-04-24,1241.9999999999998,167.0
18,1975-04-25,1241.8,166.8
19,1975-04-28,1241.3,166.3
20,1975-04-29,1242.8,167.8
21,1975-04-30,1241.8,166.8
22,1975-05-01,1240.4999999999998,165.5
23,1975-05-02,1239.9999999999998,165.0
24,1975-05-05,1238.4999999999998,163.5
25,1975-05-06,1239.9,164.9
26,1975-05-07,1241.1,166.1
27,1975-05-08,1242.3,167.3
28,1975-05-09,1241.6,166.6
29,1975-05-12,1240.9,165.9
30,1975-05-13,1241.6999999999998,166.7
31,1975-05-14,1244.3,169.3
32,1975-05-15,1240.9,165.9
33,1975-05-16,1241.9,166.9
34,1975-05-19,1243.8,168.8
35,1975-05-20,1243.1999999999998,168.2
36,1975-05-21,1247.1999999999998,172.2
37,1975-05-22,1248.4999999999998,173.5
38,1975-05-23,1249.6999999999998,174.7
39,1975-05-27,1246.9999999999998,172.0
40,1975-05-28,1244.9999999999998,170.0
41,1975-05-29,1242.6,167.6
42,1975-05-30,1241.4999999999998,169.0
43,1975-06-02,1237.6999999999998,165.2
44,1975-06-03,1239.9999999999998,167.5
45,1975-06-04,1238.4,165.9
46,1975-06-05,1239.9,167.4
47,1975-06-06,1239.6999999999998,167.2
48,1975-06-09,1240.9999999999998,168.5
49,1975-06-10,1239.8,167.3
50,1975-06-11,1239.6,167.1
51,1975-06-12,1238.9999999999998,166.5
52,1975-06-13,1238.4,165.9
53,1975-06-16,1236.9,164.4
54,1975-06-17,1238.4999999999998,166.0
55,1975-06-18,1237.9,165.4
56,1975-06-19,1236.8,164.3
57,1975-06-20,1236.8,164.3
58,1975-06-23,1235.9999999999998,163.5
59,1975-06-24,1236.9999999999998,164.5
60,1975-06-25,1238.8,166.3
61,1975-06-26,1238.4999999999998,166.0
62,1975-06-27,1240.4,167.9
63,1975-06-30,1240.3,167.8
64,1975-07-01,1240.6,168.1
65,1975-07-02,1238.8,166.3
66,1975-07-03,1238.9,166.4
