,index,adjusted,underlying
0,2014-01-03,-28.29000000000013,127.75
1,2014-01-06,-29.23000000000013,126.81
2,2014-01-07,-29.54000000000013,126.5
3,2014-01-08,-29.79000000000013,126.25
4,2014-01-09,-31.71000000000012,124.33
5,2014-01-10,-31.79000000000013,124.25
6,2014-01-13,-33.37000000000012,122.67
7,2014-01-14,-31.87000000000012,124.17
8,2014-01-15,-32.21000000000012,123.83
9,2014-01-16,-33.87000000000012,122.17
10,2014-01-17,-34.790000000000134,121.25
11,2014-01-20,-37.29000000000014,118.75
12,2014-01-21,-37.54000000000014,118.5
13,2014-01-22,-35.040000000000134,121.0
14,2014-01-23,-32.71000000000012,123.33
15,2014-01-24,-33.540000000000134,122.5
16,2014-01-27,-35.60000000000014,120.44
17,2014-01-28,-36.03000000000015,118.88
18,2014-01-29,-36.16000000000015,118.75
19,2014-01-30,-36.41000000000015,118.5
20,2014-01-31,-36.49000000000013,118.42
21,2014-02-03,-36.41000000000015,118.5
22,2014-02-04,-36.72000000000015,118.19
23,2014-02-05,-36.91000000000015,118.0
24,2014-02-06,-36.66000000000015,118.25
25,2014-02-07,-37.53000000000015,117.38
26,2014-02-10,-37.74000000000013,117.17
27,2014-02-11,-38.10000000000014,116.81
28,2014-02-12,-37.08000000000013,117.83
29,2014-02-13,-35.74000000000013,119.17
30,2014-02-14,-35.22000000000015,119.69
31,2014-02-17,-32.540000000000134,122.37
32,2014-02-18,-34.66000000000014,120.25
33,2014-02-19,-34.74000000000012,120.17
34,2014-02-20,-36.47000000000015,118.44
35,2014-02-21,-36.29000000000014,118.62
36,2014-02-24,-39.72000000000015,115.19
37,2014-02-25,-40.850000000000136,114.06
38,2014-02-26,-40.72000000000014,114.19
39,2014-02-27,-39.41000000000015,115.5
40,2014-02-28,-40.22000000000014,113.94
41,2014-03-03,-41.41000000000014,112.75
42,2014-03-04,-41.99000000000012,112.17
43,2014-03-05,-41.41000000000014,112.75
44,2014-03-06,-42.22000000000014,111.94
45,2014-03-07,-46.22000000000015,107.94
46,2014-03-10,-52.33000000000013,101.83
47,2014-03-11,-48.49000000000013,105.67
48,2014-03-12,-47.24000000000013,106.92
49,2014-03-13,-43.41000000000015,110.75
50,2014-03-14,-46.08000000000013,108.08
51,2014-03-17,-46.91000000000015,107.25
52,2014-03-18,-45.85000000000014,108.31
53,2014-03-19,-46.33000000000013,107.83
54,2014-03-20,-46.78000000000015,107.38
55,2014-03-21,-46.78000000000015,107.38
56,2014-03-24,-45.66000000000015,108.5
57,2014-03-25,-43.24000000000013,110.92
58,2014-03-26,-42.91000000000014,111.25
59,2014-03-27,-43.080000000000126,111.08
60,2014-03-28,-41.04000000000013,113.12
61,2014-03-31,-37.91000000000015,114.0
62,2014-04-01,-38.66000000000015,113.25
63,2014-04-02,-40.91000000000014,111.0
64,2014-04-03,-39.85000000000014,112.06
65,2014-04-04,-38.72000000000015,113.19
66,2014-04-07,-36.29000000000014,115.62
67,2014-04-08,-35.040000000000134,116.87
68,2014-04-09,-35.97000000000015,115.94
69,2014-04-10,-37.41000000000015,114.5
70,2014-04-11,-37.66000000000015,114.25
71,2014-04-14,-38.66000000000015,113.25
72,2014-04-15,-39.24000000000013,112.67
73,2014-04-16,-39.58000000000013,112.33
74,2014-04-17,-39.41000000000015,112.5
75,2014-04-21,-41.24000000000012,110.67
76,2014-04-22,-42.41000000000014,109.5
77,2014-04-23,-41.850000000000136,110.06
78,2014-04-24,-41.16000000000014,110.75
79,2014-04-25,-42.350000000000136,109.56
80,2014-04-28,-46.41000000000015,105.5
81,2014-04-29,-45.83000000000013,106.08
82,2014-04-30,-47.58000000000013,103.0
83,2014-05-01,-47.58000000000013,103.0
84,2014-05-02,-46.52000000000013,104.06
85,2014-05-05,-46.58000000000013,104.0
86,2014-05-06,-46.77000000000013,103.81
87,2014-05-07,-48.33000000000013,102.25
88,2014-05-08,-49.66000000000015,100.92
89,2014-05-09,-49.91000000000015,100.67
90,2014-05-12,-48.08000000000013,102.5
91,2014-05-13,-48.58000000000013,102.0
92,2014-05-14,-47.50000000000015,103.08
93,2014-05-15,-49.00000000000015,101.58
94,2014-05-16,-51.58000000000013,99.0
95,2014-05-19,-53.83000000000013,96.75
96,2014-05-20,-54.25000000000015,96.33
97,2014-05-21,-52.83000000000013,97.75
98,2014-05-22,-51.16000000000015,99.42
99,2014-05-23,-53.75000000000015,96.83
100,2014-05-26,-52.08000000000013,98.5
101,2014-05-27,-52.50000000000015,98.08
102,2014-05-28,-54.77000000000013,95.81
103,2014-05-29,-55.580000000000126,95.0
104,2014-05-30,-57.830000000000126,92.75
105,2014-06-02,-57.080000000000126,93.5
106,2014-06-03,-56.91000000000014,93.67
107,2014-06-04,-54.91000000000014,95.67
108,2014-06-05,-56.45000000000013,94.13
109,2014-06-06,-55.50000000000014,95.08
110,2014-06-09,-56.330000000000126,94.25
111,2014-06-10,-57.580000000000126,93.0
112,2014-06-11,-57.830000000000126,92.75
113,2014-06-12,-60.000000000000135,90.58
114,2014-06-13,-60.750000000000135,89.83
115,2014-06-16,-62.250000000000135,88.33
116,2014-06-17,-60.89000000000012,89.69
117,2014-06-18,-61.33000000000012,89.25
118,2014-06-19,-59.89000000000012,90.69
119,2014-06-20,-57.580000000000126,93.0
