,index,adjusted,underlying
0,2001-12-04,103.65000000000003,137.61
1,2001-12-05,103.85000000000002,137.81
2,2001-12-06,103.67000000000002,137.63
3,2001-12-07,103.94000000000004,137.9
4,2001-12-10,104.42000000000002,138.38
5,2001-12-11,104.60000000000002,138.56
6,2001-12-12,104.60000000000002,138.56
7,2001-12-13,104.83,138.79
8,2001-12-14,104.71,138.67
9,2001-12-17,104.70000000000002,138.66
10,2001-12-18,104.74,138.7
11,2001-12-19,104.73000000000002,138.69
12,2001-12-20,104.91000000000004,138.87
13,2001-12-21,105.03000000000004,138.99
14,2001-12-25,104.94000000000004,138.9
15,2001-12-26,104.85000000000002,138.81
16,2001-12-27,104.54000000000002,138.5
17,2001-12-28,104.26000000000002,138.22
18,2002-01-04,103.70000000000002,137.66
19,2002-01-07,103.95000000000002,137.91
20,2002-01-08,103.92000000000002,137.88
21,2002-01-09,104.01000000000002,137.97
22,2002-01-10,103.94000000000004,137.9
23,2002-01-11,103.84000000000005,137.8
24,2002-01-15,103.65000000000003,137.61
25,2002-01-16,103.85000000000002,137.81
26,2002-01-17,103.46,137.42
27,2002-01-18,103.14,137.1
28,2002-01-21,102.79000000000002,136.75
29,2002-01-22,102.87000000000003,136.83
30,2002-01-23,103.08,137.04
31,2002-01-24,102.77,136.73
32,2002-01-25,102.32000000000002,136.28
33,2002-01-28,102.68,136.64
34,2002-01-29,102.64,136.6
35,2002-01-30,102.41000000000004,136.37
36,2002-01-31,102.31000000000004,136.27
37,2002-02-01,101.89,135.85
38,2002-02-04,102.29000000000002,136.25
39,2002-02-05,101.99,135.95
40,2002-02-06,102.10000000000002,136.06
41,2002-02-07,102.14,136.1
42,2002-02-08,102.8,136.76
43,2002-02-12,103.05,137.01
44,2002-02-13,102.78000000000004,136.74
45,2002-02-14,102.63000000000002,136.59
46,2002-02-15,102.95000000000002,136.91
47,2002-02-18,102.92000000000002,136.88
48,2002-02-19,102.76000000000002,136.72
49,2002-02-20,102.79000000000002,136.75
50,2002-02-21,103.31000000000004,137.27
51,2002-02-22,103.14,137.1
52,2002-02-25,103.17000000000002,137.13
53,2002-02-26,102.94000000000004,136.9
54,2002-02-27,102.94000000000004,136.9
55,2002-02-28,103.01000000000002,136.97
56,2002-03-01,103.32000000000002,137.28
57,2002-03-04,103.61,137.57
58,2002-03-05,103.66000000000004,136.84
59,2002-03-06,103.90000000000003,137.08
60,2002-03-07,104.14,137.32
