index,adjusted,underlying
2014-03-19,118.35,112.47
2014-03-20,118.21,112.17
2014-03-21,118.33,112.01
2014-03-25,118.26,112.2
2014-03-26,118.23,112.16
2014-03-27,118.54,112.2
2014-03-28,118.47,112.4
2014-03-31,118.48,112.38
2014-04-01,118.32,112.14
2014-04-02,118.28,112.0
2014-04-03,118.14,111.97
2014-04-04,118.16,111.99
2014-04-07,118.55,112.36
2014-04-08,118.5,112.2
2014-04-09,118.58,112.39
2014-04-10,118.43,112.24
2014-04-11,118.61,112.31
2014-04-14,118.48,112.25
2014-04-15,118.44,112.25
2014-04-16,118.37,112.19
2014-04-17,118.62,112.42
2014-04-18,118.39,112.21
2014-04-21,118.27,112.09
2014-04-22,118.29,112.11
2014-04-23,118.43,112.24
2014-04-24,118.43,112.24
2014-04-25,118.62,112.42
2014-04-28,118.54,112.42
2014-04-29,118.65,112.45
2014-04-30,118.67,112.42
2014-05-02,118.79,112.64
2014-05-07,118.94,113.02
2014-05-08,119.36,113.05
2014-05-09,119.44,113.4
2014-05-12,119.54,113.29
2014-05-13,119.41,113.14
2014-05-14,119.55,113.23
2014-05-15,119.89,113.9
2014-05-16,120.27,113.75
2014-05-19,120.16,113.91
2014-05-20,120.14,113.85
2014-05-21,120.22,113.88
2014-05-22,120.13,113.62
2014-05-23,119.98,113.81
2014-05-26,120.06,113.95
2014-05-27,120.26,114.115
2014-05-28,120.44,114.05
2014-05-29,120.72,114.46
2014-05-30,120.65,114.23
2014-06-02,120.45,114.07
2014-06-03,120.24,113.95
2014-06-05,120.1,113.83
2014-06-09,120.28,113.91
2014-06-10,120.33,114.31
2014-06-11,120.53,114.16
2014-06-12,120.6,114.54
2014-06-13,120.93,114.61
2014-06-16,120.97,114.575
2014-06-17,121.07,114.75
2014-06-18,120.54,114.24
2014-06-19,120.45,114.67
2014-06-20,120.43,115.03
2014-06-23,120.83,114.91
2014-06-24,120.76,115.06
2014-06-25,120.89,115.09
2014-06-26,120.84,115.18
2014-06-27,121.29,115.43
2014-06-30,121.41,115.58
2014-07-01,121.32,115.5
2014-07-02,122.07,116.21
2014-07-03,121.98,116.125
2014-07-04,122.14,116.0
2014-07-07,121.86,115.93
2014-07-08,121.83,115.7
2014-07-09,121.39,115.65
2014-07-10,121.42,116.41
2014-07-11,122.67,116.5
2014-07-14,122.39,116.43
2014-07-15,122.58,116.52
2014-07-16,122.75,116.84
2014-07-17,122.77,117.69
2014-07-18,123.55,117.46
2014-07-21,123.26,117.24
2014-07-22,123.3,117.26
2014-07-23,123.31,117.46
2014-07-24,123.21,117.09
2014-07-25,122.85,117.17
2014-07-28,123.03,117.08
2014-07-29,122.94,116.85
2014-07-30,122.85,116.89
2014-07-31,122.5,116.7
2014-08-01,122.05,116.19
2014-08-04,122.05,116.19
2014-08-05,122.48,116.6
2014-08-06,122.16,116.3
2014-08-07,122.29,116.42
2014-08-08,122.67,116.86
2014-08-11,122.66,116.82
2014-08-12,122.65,116.59
2014-08-13,122.69,116.5
2014-08-14,122.23,116.53
2014-08-18,122.34,116.25
2014-08-19,121.85,115.81
2014-08-20,121.78,115.86
2014-08-21,121.59,115.81
2014-08-22,121.64,115.8
2014-08-25,121.97,116.19
2014-08-26,122.47,116.58
2014-08-27,122.59,116.81
2014-08-28,122.65,116.72
2014-08-29,122.78,116.87
2014-09-01,122.73,116.84
2014-09-02,122.5,116.62
2014-09-03,122.2,116.24
2014-09-04,122.12,116.28
2014-09-05,122.02,116.55
2014-09-11,122.38,116.47
2014-09-12,122.46,117.15
2014-09-15,122.95,116.94
2014-09-16,123.06,117.1
2014-09-17,122.76,116.87
2014-09-18,122.68,117.02
2014-09-19,122.64,116.98
2014-09-22,122.88,117.33
2014-09-23,123.24,117.41
2014-09-24,123.23,117.42
2014-09-25,123.23,117.65
2014-09-26,123.53,117.95
2014-09-29,123.71,118.08
2014-09-30,123.92,118.6
2014-10-01,124.61,119.07
2014-10-02,125.33,118.81
2014-10-06,124.56,118.635
2014-10-07,124.61,118.55
2014-10-08,124.42,118.64
2014-10-10,124.7,118.96
2014-10-13,124.75,118.95
2014-10-14,124.81,119.05
2014-10-15,125.1,118.98
2014-10-16,125.27,119.73
2014-10-17,125.28,119.79
2014-10-20,125.26,119.45
2014-10-21,125.25,119.59
2014-10-22,125.37,119.6
2014-10-23,125.65,119.92
2014-10-24,125.89,120.21
2014-12-22,125.78,120.26
2014-12-23,126.05,120.19
2014-12-24,125.58,120.28
2014-12-29,126.06,120.645
2014-12-30,126.43,120.84
2014-12-31,126.44,120.84
2015-01-02,126.21,120.575
2015-01-05,126.23,120.455
2015-01-06,126.81,121.345
2015-01-07,127.22,121.34
2015-01-08,126.69,121.265
