,index,adjusted,underlying
0,2014-03-19,100.43,105.86
1,2014-03-20,100.31,105.74
2,2014-03-21,100.24,105.67
3,2014-03-25,100.28,105.71
4,2014-03-26,100.26,105.69
5,2014-03-27,100.27,105.7
6,2014-03-28,100.3,105.73
7,2014-03-31,100.3,105.73
8,2014-04-01,100.26,105.69
9,2014-04-02,100.26,105.69
10,2014-04-03,100.24,105.67
11,2014-04-04,100.24,105.67
12,2014-04-07,100.32,105.75
13,2014-04-08,100.3,105.73
14,2014-04-09,100.37,105.8
15,2014-04-10,100.33,105.76
16,2014-04-11,100.36,105.79
17,2014-04-14,100.32,105.75
18,2014-04-15,100.3,105.73
19,2014-04-16,100.27,105.7
20,2014-04-17,100.33,105.76
21,2014-04-18,100.28,105.71
22,2014-04-21,100.27,105.7
23,2014-04-22,100.29,105.72
24,2014-04-23,100.3,105.73
25,2014-04-24,100.31,105.74
26,2014-04-25,100.34,105.77
27,2014-04-28,100.34,105.77
28,2014-04-29,100.35,105.78
29,2014-04-30,100.35,105.78
30,2014-05-02,100.41,105.84
31,2014-05-07,100.48,105.91
32,2014-05-08,100.48,105.91
33,2014-05-09,100.55,105.98
34,2014-05-12,100.52,105.95
35,2014-05-13,100.47,105.9
36,2014-05-14,100.49,105.92
37,2014-05-15,100.59,106.02
38,2014-05-16,100.55,105.98
39,2014-05-19,100.57,106.0
40,2014-05-20,100.56,105.99
41,2014-05-21,100.55,105.98
42,2014-05-22,100.52,105.95
43,2014-05-23,100.58,106.01
44,2014-05-26,100.61,106.04
45,2014-05-27,100.635,106.065
46,2014-05-28,100.62,106.05
47,2014-05-29,100.7,106.13
48,2014-05-30,100.64,106.07
49,2014-06-02,100.62,106.05
50,2014-06-03,100.6,106.03
51,2014-06-05,100.59,106.02
52,2014-06-09,100.61,106.04
53,2014-06-10,100.7,106.13
54,2014-06-11,100.67,106.1
55,2014-06-12,100.78,106.21
56,2014-06-13,100.91,106.34
57,2014-06-16,100.925,106.355
