,index,adjusted,underlying
0,1974-07-22,-51.019999999999946,44.0
1,1974-07-23,-49.519999999999946,45.5
2,1974-07-24,-48.019999999999946,47.0
3,1974-07-25,-46.519999999999946,48.5
4,1974-07-26,-47.11999999999997,47.9
5,1974-07-29,-45.61999999999997,49.4
6,1974-07-30,-45.019999999999946,50.0
7,1974-07-31,-44.54499999999995,50.475
8,1974-08-01,-46.04499999999995,48.975
9,1974-08-02,-47.54499999999995,47.475
10,1974-08-05,-49.04499999999995,45.975
11,1974-08-06,-47.54499999999995,47.475
12,1974-08-07,-46.31999999999996,48.7
13,1974-08-08,-47.81999999999996,47.2
14,1974-08-09,-49.31999999999996,45.7
15,1974-08-12,-50.81999999999996,44.2
16,1974-08-13,-49.31999999999996,45.7
17,1974-08-14,-47.81999999999996,47.2
18,1974-08-15,-49.31999999999996,45.7
19,1974-08-16,-49.91999999999995,45.1
20,1974-08-19,-50.019999999999946,45.0
21,1974-08-20,-48.519999999999946,46.5
22,1974-08-21,-50.019999999999946,45.0
23,1974-08-22,-49.11999999999997,45.9
24,1974-08-23,-47.769999999999946,47.25
25,1974-08-26,-47.769999999999946,47.25
26,1974-08-27,-49.269999999999946,45.75
27,1974-08-28,-50.769999999999946,44.25
28,1974-08-29,-50.56999999999996,44.45
29,1974-08-30,-51.71999999999996,43.3
30,1974-09-03,-53.21999999999996,41.8
31,1974-09-04,-54.71999999999996,40.3
32,1974-09-05,-53.21999999999996,41.8
33,1974-09-06,-51.71999999999996,43.3
34,1974-09-09,-50.56999999999996,44.45
35,1974-09-10,-52.06999999999996,42.95
36,1974-09-11,-53.31999999999996,41.7
37,1974-09-12,-51.81999999999996,43.2
38,1974-09-13,-50.31999999999996,44.7
39,1974-09-16,-51.81999999999996,43.2
40,1974-09-17,-50.31999999999996,44.7
41,1974-09-18,-48.81999999999996,46.2
42,1974-09-19,-48.19499999999996,46.825
43,1974-09-20,-48.91999999999995,46.1
44,1974-09-23,-49.31999999999996,45.7
45,1974-09-24,-48.019999999999946,47.0
46,1974-09-25,-47.11999999999997,47.9
47,1974-09-26,-46.91999999999995,48.1
48,1974-09-27,-46.519999999999946,48.5
49,1974-09-30,-45.019999999999946,50.0
50,1974-10-01,-46.49499999999997,48.525
51,1974-10-02,-47.019999999999946,48.0
52,1974-10-03,-45.91999999999995,49.1
53,1974-10-04,-45.61999999999997,49.4
54,1974-10-07,-47.06999999999996,47.95
55,1974-10-08,-47.56999999999996,47.45
56,1974-10-09,-46.06999999999996,48.95
57,1974-10-10,-45.36999999999997,49.65
58,1974-10-11,-46.19499999999996,48.825
59,1974-10-14,-47.269999999999946,47.75
60,1974-10-15,-45.769999999999946,49.25
61,1974-10-16,-45.31999999999996,49.7
62,1974-10-17,-45.71999999999996,49.3
63,1974-10-18,-46.31999999999996,48.7
