,index,adjusted,underlying
0,2021-03-12,803.1500000000001,790.1
1,2021-03-15,802.7500000000001,789.7
2,2021-03-16,811.0500000000001,798.0
3,2021-03-17,802.1500000000001,789.1
4,2021-03-18,805.2500000000001,792.2
5,2021-03-19,803.1500000000001,790.1
6,2021-03-22,807.0500000000001,794.0
7,2021-03-23,795.35,782.3
8,2021-03-24,777.7500000000001,764.7
9,2021-03-25,774.5500000000001,761.5
10,2021-03-26,780.1500000000001,767.1
11,2021-03-29,785.7500000000001,772.7
12,2021-03-30,790.5500000000001,777.5
13,2021-03-31,792.35,779.3
14,2021-04-01,805.35,792.3
15,2021-04-06,810.85,797.8
16,2021-04-07,796.5500000000001,783.5
17,2021-04-08,803.1500000000001,790.1
18,2021-04-09,793.6500000000001,780.6
19,2021-04-12,789.35,776.3
20,2021-04-13,794.5500000000001,781.5
21,2021-04-14,799.6500000000001,786.6
22,2021-04-15,800.1500000000001,787.1
23,2021-04-16,803.6500000000001,790.6
24,2021-04-19,800.5500000000001,787.5
25,2021-04-20,794.5500000000001,781.5
26,2021-04-21,796.0500000000001,783.0
27,2021-04-22,799.85,786.8
28,2021-04-23,808.45,795.4
29,2021-04-26,808.5500000000001,795.5
30,2021-04-27,811.1500000000001,798.1
31,2021-04-28,813.35,800.3
32,2021-04-29,810.5500000000001,797.5
33,2021-04-30,801.7500000000001,788.7
34,2021-05-03,799.2500000000001,786.2
35,2021-05-04,786.45,773.4
36,2021-05-05,793.35,780.3
37,2021-05-06,796.1500000000001,783.1
38,2021-05-07,808.0500000000001,795.0
39,2021-05-10,791.5500000000001,778.5
40,2021-05-11,781.45,768.4
41,2021-05-12,765.95,752.9
42,2021-05-13,762.0500000000001,749.0
43,2021-05-14,774.0500000000001,761.0
44,2021-05-17,771.95,758.9
45,2021-05-18,788.2500000000001,775.2
46,2021-05-19,782.35,769.3
47,2021-05-20,789.85,776.8
48,2021-05-21,782.45,769.4
49,2021-05-24,787.0500000000001,774.0
50,2021-05-25,795.5500000000001,782.5
51,2021-05-26,800.5500000000001,787.5
52,2021-05-27,801.95,788.9
53,2021-05-28,806.85,793.8
54,2021-05-31,812.85,799.8
55,2021-06-01,821.6500000000001,808.6
56,2021-06-02,821.7500000000001,808.7
57,2021-06-03,814.6500000000001,801.6
58,2021-06-04,818.85,805.8
59,2021-06-07,811.85,798.8
60,2021-06-08,808.0500000000001,795.0
61,2021-06-09,808.6500000000001,795.6
62,2021-06-10,813.1500000000001,800.1
63,2021-06-11,811.35,798.3
64,2021-06-14,814.75,801.6
65,2021-06-15,809.9499999999999,796.8
66,2021-06-16,808.05,794.9
67,2021-06-17,805.65,792.5
68,2021-06-18,798.65,785.5
69,2021-06-21,798.75,785.6
70,2021-06-22,794.65,781.5
71,2021-06-23,804.05,790.9
72,2021-06-24,809.25,796.1
73,2021-06-25,815.9499999999999,802.8
74,2021-06-28,818.55,805.4
75,2021-06-29,813.55,800.4
76,2021-06-30,813.75,800.6
77,2021-07-01,805.85,792.7
78,2021-07-02,802.65,789.5
79,2021-07-05,799.9499999999999,786.8
80,2021-07-06,794.85,781.7
81,2021-07-07,791.65,778.5
82,2021-07-08,773.55,760.4
83,2021-07-09,785.35,772.2
84,2021-07-12,786.4499999999999,773.3
85,2021-07-13,795.4499999999999,782.3
86,2021-07-14,793.05,779.9
87,2021-07-15,797.65,784.5
88,2021-07-16,790.55,777.4
89,2021-07-19,775.65,762.5
90,2021-07-20,777.4499999999999,764.3
91,2021-07-21,779.55,766.4
92,2021-07-22,785.15,772.0
93,2021-07-23,768.75,755.6
94,2021-07-26,753.05,739.9
95,2021-07-27,728.9499999999999,715.8
96,2021-07-28,750.9499999999999,737.8
97,2021-07-29,760.25,747.1
98,2021-07-30,753.75,740.6
99,2021-08-02,762.05,748.9
100,2021-08-03,758.05,744.9
101,2021-08-04,768.4499999999999,755.3
102,2021-08-05,768.05,754.9
103,2021-08-06,758.35,745.2
104,2021-08-09,765.15,752.0
105,2021-08-10,762.35,749.2
106,2021-08-11,762.35,749.2
107,2021-08-12,755.75,742.6
108,2021-08-13,751.75,738.6
109,2021-08-16,743.65,730.5
110,2021-08-17,732.85,719.7
111,2021-08-18,737.9499999999999,724.8
112,2021-08-19,720.9499999999999,707.8
113,2021-08-20,718.9499999999999,705.8
114,2021-08-23,727.75,714.6
115,2021-08-24,748.9499999999999,735.8
116,2021-08-25,750.15,737.0
117,2021-08-26,745.15,732.0
118,2021-08-27,750.15,737.0
119,2021-08-30,752.05,738.9
120,2021-08-31,764.4499999999999,751.3
121,2021-09-01,776.25,763.1
122,2021-09-02,777.05,763.9
123,2021-09-03,777.75,764.6
124,2021-09-06,785.05,771.9
125,2021-09-07,783.55,770.4
126,2021-09-08,772.25,759.1
127,2021-09-09,771.35,758.2
128,2021-09-10,772.4499999999999,759.3
129,2021-09-13,769.55,756.5
130,2021-09-14,763.9499999999999,750.9
131,2021-09-15,756.4499999999999,743.4
132,2021-09-16,751.4499999999999,738.4
133,2021-09-17,752.75,739.7
134,2021-09-20,735.05,722.0
135,2021-09-21,734.3499999999999,721.3
136,2021-09-22,748.3499999999999,735.3
137,2021-09-23,748.9499999999999,735.9
138,2021-09-24,742.75,729.7
139,2021-09-27,746.15,733.1
140,2021-09-28,736.8499999999999,723.8
141,2021-09-29,733.65,720.6
142,2021-09-30,740.15,727.1
143,2021-10-01,729.8499999999999,716.8
144,2021-10-04,717.75,704.7
145,2021-10-05,726.4499999999999,713.4
146,2021-10-06,717.25,704.2
147,2021-10-07,739.9499999999999,726.9
148,2021-10-08,738.9499999999999,725.9
149,2021-10-11,743.75,730.7
150,2021-10-12,736.25,723.2
151,2021-10-13,744.25,731.2
152,2021-10-14,745.9499999999999,732.9
153,2021-10-15,756.15,743.1
154,2021-10-18,756.4499999999999,743.4
155,2021-10-19,767.9499999999999,754.9
156,2021-10-20,767.75,754.7
157,2021-10-21,763.15,750.1
158,2021-10-22,762.55,749.5
159,2021-10-25,765.9499999999999,752.9
160,2021-10-26,768.55,755.5
161,2021-10-27,758.05,745.0
162,2021-10-28,755.25,742.2
163,2021-10-29,743.9499999999999,730.9
164,2021-11-01,751.75,738.7
165,2021-11-02,745.25,732.2
166,2021-11-03,743.55,730.5
167,2021-11-04,746.25,733.2
168,2021-11-05,743.05,730.0
169,2021-11-08,751.3499999999999,738.3
170,2021-11-09,747.4499999999999,734.4
171,2021-11-10,744.65,731.6
172,2021-11-11,758.9499999999999,745.9
173,2021-11-12,763.65,750.6
174,2021-11-15,762.05,749.0
175,2021-11-16,764.65,751.6
176,2021-11-17,759.05,746.0
177,2021-11-18,751.25,738.2
178,2021-11-19,752.75,739.7
179,2021-11-22,750.05,737.0
180,2021-11-23,744.75,731.7
181,2021-11-24,744.25,731.2
182,2021-11-25,745.75,732.7
183,2021-11-26,718.15,705.1
184,2021-11-29,723.4499999999999,710.4
185,2021-11-30,722.4499999999999,709.4
186,2021-12-01,729.05,716.0
187,2021-12-02,730.25,717.2
188,2021-12-03,716.25,703.2
189,2021-12-06,723.9499999999999,710.9
190,2021-12-07,735.8499999999999,722.8
191,2021-12-08,740.15,727.1
192,2021-12-09,738.4499999999999,725.4
193,2021-12-10,737.75,723.3500000000001
194,2021-12-13,727.1999999999998,712.8
195,2021-12-14,723.4999999999999,709.1
196,2021-12-15,715.6999999999998,701.3
197,2021-12-16,725.7999999999998,711.4
198,2021-12-17,721.2999999999998,706.9
199,2021-12-20,707.0999999999999,692.7
200,2021-12-21,720.9999999999999,706.6
201,2021-12-22,723.4999999999999,709.1
202,2021-12-23,728.1999999999998,713.8
203,2021-12-27,730.9999999999999,716.6
204,2021-12-28,729.7999999999998,715.4
205,2021-12-29,726.5999999999999,712.2
206,2021-12-30,732.7999999999998,718.4
