,index,adjusted,underlying
0,2018-06-08,1085.0,1128.0
1,2018-06-11,1088.0,1131.0
2,2018-06-12,1105.0,1148.0
3,2018-06-13,1110.0,1153.0
4,2018-06-14,1103.0,1146.0
5,2018-06-15,1109.0,1152.0
6,2018-06-18,1093.0,1136.0
7,2018-06-19,1061.0,1104.0
8,2018-06-20,1070.0,1113.0
9,2018-06-21,1082.0,1125.0
10,2018-06-22,1063.0,1106.0
11,2018-06-25,1030.0,1073.0
12,2018-06-26,1030.0,1073.0
13,2018-06-27,1040.0,1083.0
14,2018-06-28,1024.0,1067.0
15,2018-06-29,1047.0,1090.0
16,2018-07-02,1013.0,1056.0
17,2018-07-03,1001.0,1044.0
18,2018-07-04,992.0,1035.0
19,2018-07-05,953.0,996.0
20,2018-07-06,982.0,1025.0
21,2018-07-09,1005.0,1048.0
22,2018-07-10,999.0,1042.0
23,2018-07-11,987.0,1030.0
24,2018-07-12,997.0,1040.0
25,2018-07-13,1004.0,1047.0
26,2018-07-17,988.0,1031.0
27,2018-07-18,1007.0,1050.0
28,2018-07-19,1002.0,1045.0
29,2018-07-20,1005.0,1048.0
30,2018-07-23,997.0,1040.0
31,2018-07-24,1015.0,1058.0
32,2018-07-25,1021.0,1064.0
33,2018-07-26,1014.0,1057.0
34,2018-07-27,1015.0,1058.0
35,2018-07-30,996.0,1039.0
36,2018-07-31,996.0,1039.0
37,2018-08-01,990.0,1033.0
38,2018-08-02,991.0,1034.0
39,2018-08-03,977.0,1020.0
40,2018-08-06,964.0,1007.0
41,2018-08-07,967.0,1010.0
42,2018-08-08,984.0,1027.0
43,2018-08-09,985.0,1028.0
44,2018-08-10,961.0,1004.0
45,2018-08-13,919.0,962.0
46,2018-08-14,932.0,975.0
47,2018-08-15,912.0,955.0
48,2018-08-16,899.0,942.0
49,2018-08-17,916.0,959.0
50,2018-08-20,909.0,952.0
51,2018-08-21,905.0,948.0
52,2018-08-22,926.0,969.0
53,2018-08-23,933.0,976.0
54,2018-08-24,951.0,994.0
55,2018-08-27,981.0,1024.0
56,2018-08-28,977.0,1020.0
57,2018-08-29,987.0,1030.0
58,2018-08-30,997.0,1040.0
59,2018-08-31,1006.0,1049.0
60,2018-09-03,990.0,1033.0
61,2018-09-04,1002.0,1045.0
62,2018-09-05,991.0,1034.0
63,2018-09-06,967.0,1010.0
64,2018-09-07,966.0,1009.0
65,2018-09-10,972.0,1015.0
66,2018-09-11,974.0,1016.0
67,2018-09-12,957.0,999.0
68,2018-09-13,956.0,998.0
69,2018-09-14,975.0,1017.0
70,2018-09-18,983.0,1025.0
71,2018-09-19,987.0,1029.0
72,2018-09-20,983.0,1025.0
73,2018-09-21,997.0,1039.0
74,2018-09-25,1006.0,1048.0
75,2018-09-26,1029.0,1071.0
76,2018-09-27,1025.0,1067.0
77,2018-09-28,1036.0,1078.0
78,2018-10-01,1033.0,1075.0
79,2018-10-02,1012.0,1054.0
80,2018-10-03,1012.0,1054.0
81,2018-10-04,1003.0,1045.0
82,2018-10-05,980.0,1022.0
83,2018-10-09,958.0,1000.0
84,2018-10-10,959.0,1001.0
85,2018-10-11,911.0,953.0
86,2018-10-12,946.0,988.0
87,2018-10-15,929.0,971.0
88,2018-10-16,930.0,972.0
89,2018-10-17,951.0,993.0
90,2018-10-18,946.0,988.0
91,2018-10-19,939.0,981.0
92,2018-10-22,939.0,981.0
93,2018-10-23,924.0,966.0
94,2018-10-24,919.0,961.0
95,2018-10-25,858.0,900.0
96,2018-10-26,831.0,873.0
97,2018-10-29,796.0,838.0
98,2018-10-30,828.0,870.0
99,2018-10-31,866.0,908.0
100,2018-11-01,858.0,900.0
101,2018-11-02,889.0,931.0
102,2018-11-05,904.0,946.0
103,2018-11-06,907.0,949.0
104,2018-11-07,929.0,971.0
105,2018-11-08,948.0,990.0
106,2018-11-09,948.0,990.0
107,2018-11-12,924.0,966.0
108,2018-11-13,917.0,959.0
109,2018-11-14,907.0,949.0
110,2018-11-15,915.0,957.0
111,2018-11-16,906.0,948.0
112,2018-11-19,935.0,977.0
113,2018-11-20,908.0,950.0
114,2018-11-21,905.0,947.0
115,2018-11-22,917.0,959.0
116,2018-11-26,922.0,964.0
117,2018-11-27,933.0,975.0
118,2018-11-28,954.0,996.0
119,2018-11-29,969.0,1011.0
120,2018-11-30,969.0,1011.0
121,2018-12-03,990.0,1032.0
122,2018-12-04,975.0,1017.0
123,2018-12-05,970.0,1012.0
124,2018-12-06,939.0,981.0
125,2018-12-07,939.0,981.0
126,2018-12-10,906.0,948.0
127,2018-12-11,881.0,922.0
128,2018-12-12,916.0,957.0
129,2018-12-13,919.0,960.0
130,2018-12-14,901.0,942.0
131,2018-12-17,870.0,911.0
132,2018-12-18,834.0,875.0
133,2018-12-19,845.0,886.0
134,2018-12-20,797.0,838.0
135,2018-12-21,770.0,811.0
136,2018-12-25,716.0,757.0
137,2018-12-26,735.0,776.0
138,2018-12-27,786.0,827.0
139,2018-12-28,771.0,812.0
140,2019-01-04,786.0,827.0
141,2019-01-07,818.0,859.0
142,2019-01-08,846.0,887.0
143,2019-01-09,855.0,896.0
144,2019-01-10,845.0,886.0
145,2019-01-11,849.0,890.0
146,2019-01-15,873.0,914.0
147,2019-01-16,880.0,921.0
148,2019-01-17,897.0,938.0
149,2019-01-18,910.0,951.0
150,2019-01-21,898.0,939.0
151,2019-01-22,890.0,931.0
152,2019-01-23,900.0,941.0
153,2019-01-24,910.0,951.0
154,2019-01-25,927.0,968.0
155,2019-01-28,909.0,950.0
156,2019-01-29,920.0,961.0
157,2019-01-30,842.0,883.0
158,2019-01-31,857.0,898.0
159,2019-02-01,846.0,887.0
160,2019-02-04,838.0,879.0
161,2019-02-05,828.0,869.0
162,2019-02-06,834.0,875.0
163,2019-02-07,829.0,870.0
164,2019-02-08,812.0,853.0
165,2019-02-12,821.0,862.0
166,2019-02-13,834.0,875.0
167,2019-02-14,832.0,873.0
168,2019-02-15,821.0,862.0
169,2019-02-18,834.0,875.0
170,2019-02-19,842.0,883.0
171,2019-02-20,850.0,891.0
172,2019-02-21,863.0,904.0
173,2019-02-22,876.0,917.0
174,2019-02-25,891.0,932.0
175,2019-02-26,892.0,933.0
176,2019-02-27,898.0,939.0
177,2019-02-28,877.0,918.0
178,2019-03-01,888.0,929.0
179,2019-03-04,897.0,938.0
180,2019-03-05,903.0,944.0
181,2019-03-06,906.0,947.0
182,2019-03-07,888.0,929.0
183,2019-03-08,860.0,899.0
184,2019-03-11,871.0,910.0
185,2019-03-12,891.0,930.0
186,2019-03-13,899.0,938.0
187,2019-03-14,892.0,931.0
188,2019-03-15,884.0,923.0
189,2019-03-18,901.0,940.0
190,2019-03-19,897.0,936.0
191,2019-03-20,902.0,941.0
192,2019-03-22,899.0,938.0
193,2019-03-25,886.0,925.0
194,2019-03-26,900.0,939.0
195,2019-03-27,922.0,961.0
196,2019-03-28,917.0,956.0
197,2019-03-29,917.0,956.0
198,2019-04-01,904.0,943.0
199,2019-04-02,870.0,909.0
200,2019-04-03,880.0,919.0
201,2019-04-04,872.0,911.0
202,2019-04-05,878.0,917.0
203,2019-04-08,892.0,931.0
204,2019-04-09,895.0,934.0
205,2019-04-10,901.0,940.0
206,2019-04-11,894.0,933.0
207,2019-04-12,881.0,920.0
208,2019-04-15,896.0,935.0
209,2019-04-16,893.0,932.0
210,2019-04-17,905.0,944.0
211,2019-04-18,894.0,933.0
212,2019-04-19,899.0,938.0
213,2019-04-22,888.0,927.0
214,2019-04-23,889.0,928.0
215,2019-04-24,894.0,933.0
216,2019-04-25,905.0,944.0
217,2019-04-26,906.0,945.0
218,2019-05-07,915.0,954.0
219,2019-05-08,902.0,941.0
220,2019-05-09,876.0,915.0
221,2019-05-10,872.0,911.0
222,2019-05-13,851.0,890.0
223,2019-05-14,834.0,873.0
224,2019-05-15,842.0,881.0
225,2019-05-16,835.0,874.0
226,2019-05-17,852.0,891.0
227,2019-05-20,842.0,881.0
228,2019-05-21,833.0,872.0
229,2019-05-22,852.0,891.0
230,2019-05-23,845.0,884.0
231,2019-05-24,844.0,883.0
232,2019-05-27,857.0,896.0
233,2019-05-28,882.0,921.0
234,2019-05-29,882.0,921.0
235,2019-05-30,866.0,905.0
236,2019-05-31,865.0,904.0
237,2019-06-03,833.0,872.0
238,2019-06-04,833.0,872.0
239,2019-06-05,855.0,894.0
240,2019-06-06,840.0,879.0
241,2019-06-07,845.0,884.0
242,2019-06-10,856.0,895.0
243,2019-06-11,862.0,901.0
244,2019-06-12,863.0,902.0
245,2019-06-13,855.0,894.0
