,index,adjusted,underlying
0,1995-09-15,-0.04064,0.1492
1,1995-09-18,-0.04034,0.1495
2,1995-09-19,-0.04024,0.1496
3,1995-09-20,-0.04054,0.1493
4,1995-09-21,-0.04074,0.1491
5,1995-09-22,-0.04139,0.14845
6,1995-09-25,-0.04234,0.1475
7,1995-09-26,-0.04234,0.1475
8,1995-09-27,-0.04414,0.1457
9,1995-09-28,-0.04204,0.1478
10,1995-09-29,-0.04194,0.1479
11,1995-10-02,-0.04374,0.1461
12,1995-10-03,-0.04659,0.14325
13,1995-10-04,-0.04714,0.1427
14,1995-10-05,-0.04569,0.14415
15,1995-10-06,-0.04566,0.14418
16,1995-10-09,-0.04554,0.1443
17,1995-10-10,-0.05054,0.1393
18,1995-10-11,-0.05094,0.1389
19,1995-10-12,-0.04939,0.14045
20,1995-10-13,-0.05144,0.1384
21,1995-10-16,-0.05099,0.13885
22,1995-10-17,-0.05074,0.1391
23,1995-10-18,-0.04869,0.14115
24,1995-10-19,-0.04794,0.1419
25,1995-10-20,-0.04684,0.143
26,1995-10-23,-0.04959,0.14025
27,1995-10-24,-0.04929,0.14055
28,1995-10-25,-0.05004,0.1398
29,1995-10-26,-0.06284,0.127
30,1995-10-27,-0.05849,0.13135
31,1995-10-30,-0.05279,0.13705
32,1995-10-31,-0.05624,0.1336
33,1995-11-01,-0.05984,0.13
34,1995-11-02,-0.05924,0.1306
35,1995-11-03,-0.06234,0.1275
36,1995-11-06,-0.06264,0.1272
37,1995-11-07,-0.06324,0.1266
38,1995-11-08,-0.06874,0.1211
39,1995-11-09,-0.06834,0.1215
40,1995-11-10,-0.06534,0.1245
41,1995-11-13,-0.06974,0.1201
42,1995-11-14,-0.07224,0.1176
43,1995-11-15,-0.07054,0.1193
44,1995-11-16,-0.06634,0.1235
45,1995-11-17,-0.06509,0.12475
46,1995-11-20,-0.06534,0.1245
47,1995-11-21,-0.06524,0.1246
48,1995-11-22,-0.06464,0.1252
49,1995-11-24,-0.06284,0.127
50,1995-11-27,-0.06304,0.1268
51,1995-11-28,-0.06191,0.12793
52,1995-11-29,-0.05844,0.1314
53,1995-11-30,-0.05964,0.1302
54,1995-12-01,-0.05989,0.12995
55,1995-12-04,-0.06014,0.1297
56,1995-12-05,-0.06124,0.1286
57,1995-12-06,-0.06109,0.12875
58,1995-12-07,-0.06144,0.1284
59,1995-12-08,-0.06224,0.1276
60,1995-12-11,-0.06164,0.1282
61,1995-12-12,-0.06134,0.1285
62,1995-12-13,-0.06214,0.1277
63,1995-12-14,-0.06184,0.128
64,1995-12-15,-0.06104,0.1165
65,1995-12-18,-0.06094,0.1166
66,1995-12-19,-0.05859,0.11895
67,1995-12-20,-0.05684,0.1207
68,1995-12-21,-0.05734,0.1202
69,1995-12-22,-0.05694,0.1206
70,1995-12-26,-0.05654,0.121
71,1995-12-27,-0.05679,0.12075
72,1995-12-28,-0.05734,0.1202
73,1995-12-29,-0.05774,0.1198
74,1996-01-02,-0.05594,0.1216
75,1996-01-03,-0.05454,0.123
76,1996-01-04,-0.05404,0.1235
77,1996-01-05,-0.05404,0.1235
78,1996-01-08,-0.05324,0.1243
79,1996-01-09,-0.05264,0.1249
80,1996-01-10,-0.05284,0.1247
81,1996-01-11,-0.05234,0.1252
82,1996-01-12,-0.05184,0.1257
83,1996-01-15,-0.05234,0.1252
84,1996-01-16,-0.05234,0.1252
85,1996-01-17,-0.05144,0.1261
86,1996-01-18,-0.05004,0.1275
87,1996-01-19,-0.04944,0.1281
88,1996-01-22,-0.04794,0.1296
89,1996-01-23,-0.04939,0.12815
90,1996-01-24,-0.04864,0.1289
91,1996-01-25,-0.04824,0.1293
92,1996-01-26,-0.04874,0.1288
93,1996-01-29,-0.04774,0.1298
94,1996-01-30,-0.04779,0.12975
95,1996-01-31,-0.04739,0.13015
96,1996-02-01,-0.04759,0.12995
97,1996-02-02,-0.04734,0.1302
98,1996-02-05,-0.04714,0.1304
99,1996-02-06,-0.04799,0.12955
100,1996-02-07,-0.04824,0.1293
101,1996-02-08,-0.04814,0.1294
102,1996-02-09,-0.04824,0.1293
103,1996-02-12,-0.04899,0.12855
104,1996-02-13,-0.04924,0.1283
105,1996-02-14,-0.04844,0.1291
106,1996-02-15,-0.04854,0.129
107,1996-02-16,-0.04836,0.12918
108,1996-02-20,-0.04854,0.129
109,1996-02-21,-0.04824,0.1293
110,1996-02-22,-0.04784,0.1297
111,1996-02-23,-0.04764,0.1299
112,1996-02-26,-0.04764,0.1299
113,1996-02-27,-0.04794,0.1296
114,1996-02-28,-0.04834,0.1292
115,1996-02-29,-0.04824,0.1293
116,1996-03-01,-0.04734,0.1302
117,1996-03-04,-0.04729,0.13025
118,1996-03-05,-0.04704,0.1305
119,1996-03-06,-0.04729,0.13025
120,1996-03-07,-0.04671,0.13083
121,1996-03-08,-0.04704,0.1305
122,1996-03-11,-0.04689,0.13065
123,1996-03-12,-0.04694,0.1306
124,1996-03-13,-0.04624,0.1313
125,1996-03-14,-0.04564,0.1319
126,1996-03-15,-0.04549,0.12015
127,1996-03-18,-0.04439,0.12125
128,1996-03-19,-0.04389,0.12175
129,1996-03-20,-0.04399,0.12165
130,1996-03-21,-0.04361,0.12203
131,1996-03-22,-0.04364,0.122
132,1996-03-25,-0.04339,0.12225
133,1996-03-26,-0.04306,0.12258
134,1996-03-27,-0.04279,0.12285
135,1996-03-28,-0.04234,0.1233
136,1996-03-29,-0.04161,0.12403
137,1996-04-01,-0.04119,0.12445
138,1996-04-02,-0.04104,0.1246
139,1996-04-03,-0.04119,0.12445
140,1996-04-04,-0.04094,0.1247
141,1996-04-05,-0.04094,0.1247
142,1996-04-08,-0.04196,0.12368
143,1996-04-09,-0.04099,0.12465
144,1996-04-10,-0.04011,0.12553
145,1996-04-11,-0.03994,0.1257
146,1996-04-12,-0.03949,0.12615
147,1996-04-15,-0.03776,0.12788
148,1996-04-16,-0.03744,0.1282
149,1996-04-17,-0.03729,0.12835
150,1996-04-18,-0.03684,0.1288
151,1996-04-19,-0.03619,0.12945
152,1996-04-22,-0.03629,0.12935
153,1996-04-23,-0.03634,0.1293
154,1996-04-24,-0.03586,0.12978
155,1996-04-25,-0.03529,0.13035
156,1996-04-26,-0.03554,0.1301
157,1996-04-29,-0.03604,0.1296
158,1996-04-30,-0.03534,0.1303
159,1996-05-01,-0.03509,0.13055
160,1996-05-02,-0.03634,0.1293
161,1996-05-03,-0.03619,0.12945
162,1996-05-06,-0.03699,0.12865
163,1996-05-07,-0.03641,0.1292299999999999
164,1996-05-08,-0.03564,0.13
165,1996-05-09,-0.03539,0.13025
166,1996-05-10,-0.03434,0.1313
167,1996-05-13,-0.03411,0.13153
168,1996-05-14,-0.03414,0.1315
169,1996-05-15,-0.03381,0.13183
170,1996-05-16,-0.03366,0.13198
171,1996-05-17,-0.03336,0.13228
172,1996-05-20,-0.03326,0.13238
173,1996-05-21,-0.03256,0.13308
174,1996-05-22,-0.03241,0.13323
175,1996-05-23,-0.03224,0.1334
176,1996-05-24,-0.03219,0.13345
177,1996-05-28,-0.03211,0.1335299999999999
178,1996-05-29,-0.03269,0.13295
179,1996-05-30,-0.03219,0.13345
180,1996-05-31,-0.03294,0.1327
181,1996-06-03,-0.03279,0.13285
182,1996-06-04,-0.03239,0.13325
183,1996-06-05,-0.03291,0.13273
184,1996-06-06,-0.03289,0.13275
185,1996-06-07,-0.03349,0.13215
186,1996-06-10,-0.03424,0.1314
187,1996-06-11,-0.03471,0.13093
188,1996-06-12,-0.03464,0.131
189,1996-06-13,-0.03449,0.13115
190,1996-06-14,-0.03391,0.1317299999999999
191,1996-06-17,-0.03344,0.1241
192,1996-06-18,-0.03274,0.1248
193,1996-06-19,-0.03196,0.12558
194,1996-06-20,-0.03266,0.1248799999999999
195,1996-06-21,-0.03319,0.12435
196,1996-06-24,-0.03374,0.1238
197,1996-06-25,-0.03281,0.12473
198,1996-06-26,-0.03299,0.12455
199,1996-06-27,-0.03309,0.12445
200,1996-06-28,-0.03249,0.12505
201,1996-07-01,-0.03279,0.12475
202,1996-07-02,-0.03251,0.12503
203,1996-07-03,-0.03264,0.1249
204,1996-07-05,-0.03384,0.1237
205,1996-07-08,-0.03346,0.12408
206,1996-07-09,-0.03289,0.12465
207,1996-07-10,-0.03279,0.12475
208,1996-07-11,-0.03281,0.12473
209,1996-07-12,-0.03254,0.125
210,1996-07-15,-0.03299,0.12455
211,1996-07-16,-0.03309,0.12445
212,1996-07-17,-0.03251,0.12503
213,1996-07-18,-0.03179,0.12575
214,1996-07-19,-0.03116,0.12638
215,1996-07-22,-0.03134,0.1262
216,1996-07-23,-0.03091,0.12663
217,1996-07-24,-0.03099,0.12655
218,1996-07-25,-0.03064,0.1269
219,1996-07-26,-0.03064,0.1269
220,1996-07-29,-0.03041,0.12713
221,1996-07-30,-0.03009,0.12745
222,1996-07-31,-0.03036,0.12718
223,1996-08-01,-0.02951,0.12803
224,1996-08-02,-0.02911,0.12843
225,1996-08-05,-0.02846,0.12908
226,1996-08-06,-0.02816,0.12938
227,1996-08-07,-0.02806,0.1294799999999999
228,1996-08-08,-0.02789,0.12965
229,1996-08-09,-0.02774,0.1298
230,1996-08-12,-0.02729,0.13025
231,1996-08-13,-0.02716,0.13038
232,1996-08-14,-0.02711,0.13043
233,1996-08-15,-0.02689,0.13065
234,1996-08-16,-0.02641,0.13113
235,1996-08-19,-0.02601,0.13153
236,1996-08-20,-0.02566,0.13188
237,1996-08-21,-0.02579,0.13175
238,1996-08-22,-0.02546,0.13208
239,1996-08-23,-0.02586,0.13168
240,1996-08-26,-0.02619,0.13135
241,1996-08-27,-0.02584,0.1317
242,1996-08-28,-0.02561,0.13193
243,1996-08-29,-0.02621,0.13133
244,1996-08-30,-0.02699,0.13055
245,1996-09-03,-0.02656,0.1309799999999999
246,1996-09-04,-0.02666,0.13088
247,1996-09-05,-0.02694,0.1306
248,1996-09-06,-0.02594,0.1316
249,1996-09-09,-0.02559,0.13195
250,1996-09-10,-0.02554,0.132
251,1996-09-11,-0.02546,0.13208
252,1996-09-12,-0.02501,0.13253
253,1996-09-13,-0.02394,0.1336
254,1996-09-16,-0.02439,0.13315
255,1996-09-17,-0.02441,0.12608
256,1996-09-18,-0.02429,0.1262
257,1996-09-19,-0.02461,0.12588
258,1996-09-20,-0.02496,0.12553
259,1996-09-23,-0.02474,0.12575
260,1996-09-24,-0.02416,0.12633
261,1996-09-25,-0.02424,0.12625
262,1996-09-26,-0.02399,0.1265
263,1996-09-27,-0.02396,0.12653
264,1996-09-30,-0.02399,0.1265
265,1996-10-01,-0.02331,0.12718
266,1996-10-02,-0.02319,0.1273
267,1996-10-03,-0.02329,0.1272
268,1996-10-04,-0.02299,0.1275
269,1996-10-07,-0.02279,0.1277
270,1996-10-08,-0.02314,0.12735
271,1996-10-09,-0.02364,0.12685
272,1996-10-10,-0.02399,0.1265
273,1996-10-11,-0.02479,0.1257
274,1996-10-14,-0.02604,0.12445
275,1996-10-15,-0.02604,0.12445
276,1996-10-16,-0.02729,0.1232
277,1996-10-17,-0.02566,0.12483
278,1996-10-18,-0.02566,0.12483
279,1996-10-21,-0.02601,0.12448
280,1996-10-22,-0.02706,0.12343
281,1996-10-23,-0.02774,0.12275
282,1996-10-24,-0.02804,0.12245
283,1996-10-25,-0.02854,0.12195
284,1996-10-28,-0.02779,0.1227
285,1996-10-29,-0.02884,0.12165
286,1996-10-30,-0.02984,0.12065
287,1996-10-31,-0.02886,0.12163
288,1996-11-01,-0.02804,0.12245
289,1996-11-04,-0.02734,0.12315
290,1996-11-05,-0.02744,0.12305
291,1996-11-06,-0.02736,0.1231299999999999
292,1996-11-07,-0.02761,0.1228799999999999
293,1996-11-08,-0.02691,0.12358
294,1996-11-11,-0.02704,0.12345
295,1996-11-12,-0.02716,0.12333
296,1996-11-13,-0.02729,0.1232
297,1996-11-14,-0.02664,0.12385
298,1996-11-15,-0.02659,0.1239
299,1996-11-18,-0.02634,0.12415
300,1996-11-19,-0.02599,0.1245
301,1996-11-20,-0.02594,0.12455
302,1996-11-21,-0.02549,0.125
303,1996-11-22,-0.02566,0.12483
304,1996-11-25,-0.02554,0.12495
305,1996-11-26,-0.02509,0.1254
306,1996-11-27,-0.02504,0.12545
307,1996-11-29,-0.02519,0.1253
308,1996-12-02,-0.02461,0.12588
309,1996-12-03,-0.02459,0.1259
310,1996-12-04,-0.02454,0.12595
311,1996-12-05,-0.02454,0.12595
312,1996-12-06,-0.02511,0.12538
313,1996-12-09,-0.02436,0.12613
314,1996-12-10,-0.02374,0.12675
315,1996-12-11,-0.02421,0.12628
316,1996-12-12,-0.02441,0.12608
317,1996-12-13,-0.02379,0.1267
318,1996-12-16,-0.02349,0.127
319,1996-12-17,-0.02264,0.1211
320,1996-12-18,-0.02284,0.1209
321,1996-12-19,-0.02251,0.1212299999999999
322,1996-12-20,-0.02229,0.12145
323,1996-12-23,-0.02204,0.1217
324,1996-12-24,-0.02199,0.12175
325,1996-12-26,-0.02201,0.1217299999999999
326,1996-12-27,-0.02206,0.12168
327,1996-12-30,-0.02196,0.12178
328,1996-12-31,-0.02239,0.12135
329,1997-01-02,-0.02229,0.12145
330,1997-01-03,-0.02131,0.12243
331,1997-01-06,-0.02111,0.1226299999999999
332,1997-01-07,-0.02076,0.1229799999999999
333,1997-01-08,-0.02051,0.1232299999999999
334,1997-01-09,-0.02046,0.12328
335,1997-01-10,-0.02016,0.12358
336,1997-01-13,-0.02021,0.12353
337,1997-01-14,-0.01966,0.12408
338,1997-01-15,-0.01979,0.12395
339,1997-01-16,-0.01991,0.12383
340,1997-01-17,-0.01969,0.12405
341,1997-01-21,-0.01906,0.12468
342,1997-01-22,-0.01894,0.1248
343,1997-01-23,-0.01864,0.1251
344,1997-01-24,-0.01891,0.12483
345,1997-01-27,-0.01929,0.12445
346,1997-01-28,-0.01891,0.12483
347,1997-01-29,-0.01924,0.1245
348,1997-01-30,-0.01894,0.1248
349,1997-01-31,-0.01864,0.1251
350,1997-02-03,-0.01841,0.12533
351,1997-02-04,-0.01826,0.12548
352,1997-02-05,-0.01811,0.12563
353,1997-02-06,-0.01796,0.12578
354,1997-02-07,-0.01779,0.12595
355,1997-02-10,-0.01746,0.12628
356,1997-02-11,-0.01739,0.12635
357,1997-02-12,-0.01716,0.12658
