,index,adjusted,underlying
0,1999-12-14,3982.5,3224.0
1,1999-12-15,4034.0,3275.5
2,1999-12-16,4140.5,3382.0
3,1999-12-17,4172.5,3414.0
4,1999-12-20,4205.0,3446.5
5,1999-12-21,4357.5,3599.0
6,1999-12-22,4378.0,3619.5
7,1999-12-23,4402.5,3644.0
8,1999-12-27,4398.5,3640.0
9,1999-12-28,4381.0,3622.5
10,1999-12-29,4503.0,3744.5
11,1999-12-30,4493.0,3734.5
12,1999-12-31,4512.5,3754.0
13,2000-01-03,4603.0,3844.5
14,2000-01-04,4316.0,3557.5
15,2000-01-05,4271.0,3512.5
16,2000-01-06,4071.0,3312.5
17,2000-01-07,4316.0,3557.5
18,2000-01-10,4528.5,3770.0
19,2000-01-11,4333.5,3575.0
20,2000-01-12,4262.0,3503.5
21,2000-01-13,4411.0,3652.5
22,2000-01-14,4510.0,3751.5
23,2000-01-18,4565.5,3807.0
24,2000-01-19,4608.5,3850.0
25,2000-01-20,4635.0,3876.5
26,2000-01-21,4648.0,3889.5
27,2000-01-24,4442.0,3683.5
28,2000-01-25,4550.0,3791.5
29,2000-01-26,4413.0,3654.5
30,2000-01-27,4394.5,3636.0
31,2000-01-28,4233.5,3475.0
32,2000-01-31,4371.0,3612.5
33,2000-02-01,4477.5,3719.0
34,2000-02-02,4518.5,3760.0
35,2000-02-03,4640.5,3882.0
36,2000-02-04,4667.0,3908.5
37,2000-02-07,4706.0,3947.5
38,2000-02-08,4875.5,4117.0
39,2000-02-09,4729.5,3971.0
40,2000-02-10,4863.5,4105.0
41,2000-02-11,4754.5,3996.0
42,2000-02-14,4765.0,4006.5
43,2000-02-15,4800.5,4042.0
44,2000-02-16,4788.5,4030.0
45,2000-02-17,4862.5,4104.0
46,2000-02-18,4738.5,3980.0
47,2000-02-22,4733.5,3975.0
48,2000-02-23,4938.5,4180.0
49,2000-02-24,5045.0,4286.5
50,2000-02-25,4949.0,4190.5
51,2000-02-28,4921.5,4163.0
52,2000-02-29,5051.5,4293.0
53,2000-03-01,5072.5,4314.0
54,2000-03-02,4993.0,4234.5
55,2000-03-03,5214.0,4455.5
56,2000-03-06,5244.5,4486.0
57,2000-03-07,5156.0,4397.5
58,2000-03-08,5218.5,4460.0
59,2000-03-09,5351.5,4593.0
60,2000-03-10,5359.0,4600.5
61,2000-03-13,5218.0,4459.5
62,2000-03-14,5025.0,4325.0
63,2000-03-15,4890.0,4190.0
64,2000-03-16,5118.0,4418.0
65,2000-03-17,5212.0,4512.0
66,2000-03-20,5047.0,4347.0
67,2000-03-21,5215.0,4515.0
68,2000-03-22,5330.5,4630.5
69,2000-03-23,5434.0,4734.0
70,2000-03-24,5505.0,4805.0
71,2000-03-27,5462.0,4762.0
72,2000-03-28,5362.5,4662.5
73,2000-03-29,5168.5,4468.5
74,2000-03-30,5027.5,4327.5
75,2000-03-31,5157.5,4457.5
76,2000-04-03,4843.0,4143.0
77,2000-04-04,4766.0,4066.0
78,2000-04-05,4760.0,4060.0
79,2000-04-06,4845.0,4145.0
80,2000-04-07,5037.0,4337.0
81,2000-04-10,4725.5,4025.5
82,2000-04-11,4655.0,3955.0
83,2000-04-12,4395.0,3695.0
84,2000-04-13,4285.0,3585.0
85,2000-04-14,3917.5,3217.5
86,2000-04-17,4277.5,3577.5
87,2000-04-18,4450.0,3750.0
88,2000-04-19,4322.5,3622.5
89,2000-04-20,4235.0,3535.0
90,2000-04-24,4117.0,3417.0
91,2000-04-25,4345.0,3645.0
92,2000-04-26,4227.5,3527.5
93,2000-04-27,4385.0,3685.0
94,2000-04-28,4510.0,3810.0
95,2000-05-01,4567.0,3867.0
96,2000-05-02,4338.0,3638.0
97,2000-05-03,4285.0,3585.0
98,2000-05-04,4289.5,3589.5
99,2000-05-05,4395.0,3695.0
100,2000-05-08,4251.5,3551.5
101,2000-05-09,4152.5,3452.5
102,2000-05-10,3952.5,3252.5
