,index,adjusted,underlying
0,2002-10-08,5448.5,970.0
1,2002-10-09,5442.5,964.0
2,2002-10-10,5446.0,967.5
3,2002-10-11,5458.5,980.0
4,2002-10-14,5459.5,981.0
5,2002-10-16,5460.5,982.0
6,2002-10-17,5460.5,982.0
7,2002-10-18,5459.0,980.5
8,2002-10-21,5455.0,976.5
9,2002-10-22,5450.5,972.0
10,2002-10-23,5445.5,967.0
11,2002-10-24,5435.5,957.0
12,2002-10-25,5421.0,942.5
13,2002-10-28,5411.5,933.0
14,2002-10-29,5425.5,947.0
15,2002-10-30,5426.0,947.5
16,2002-10-31,5439.5,961.0
17,2002-11-01,5439.5,961.0
18,2002-11-05,5450.0,971.5
19,2002-11-07,5448.5,970.0
20,2002-11-08,5445.0,966.5
21,2002-11-11,5442.5,964.0
22,2002-11-12,5448.0,969.5
23,2002-11-13,5450.5,972.0
24,2002-11-14,5459.5,981.0
25,2002-11-15,5477.5,999.0
26,2002-11-18,5484.0,1005.5
27,2002-11-20,5488.5,1010.0
28,2002-11-21,5495.5,1017.0
29,2002-11-22,5506.5,1028.0
30,2002-11-25,5512.5,1034.0
31,2002-11-26,5522.0,1043.5
32,2002-11-27,5517.0,1038.5
33,2002-11-28,5535.5,1057.0
34,2002-11-29,5535.5,1057.0
35,2002-12-02,5553.0,1074.5
36,2002-12-03,5540.5,1062.0
37,2002-12-04,5522.0,1043.5
38,2002-12-05,5531.5,1053.0
39,2002-12-09,5520.5,1042.0
40,2002-12-10,5525.5,1047.0
41,2002-12-11,5531.5,1053.0
42,2002-12-12,5538.5,1060.0
43,2002-12-13,5547.5,1069.0
44,2002-12-16,5540.0,1061.5
45,2002-12-17,5535.0,1056.5
46,2002-12-18,5539.5,1061.0
47,2002-12-19,5538.0,1059.5
48,2002-12-20,5541.0,1062.5
49,2002-12-23,5538.0,1059.5
50,2002-12-24,5542.0,1063.5
51,2002-12-26,5556.5,1078.0
52,2002-12-27,5560.5,1082.0
53,2002-12-30,5554.5,1076.0
54,2002-12-31,5561.5,1083.0
55,2003-01-02,5556.0,1077.5
56,2003-01-03,5553.0,1074.5
57,2003-01-06,5548.0,1069.5
58,2003-01-07,5545.5,1067.0
59,2003-01-09,5561.0,1082.5
60,2003-01-10,5544.0,1065.5
61,2003-01-13,5537.5,1059.0
62,2003-01-14,5542.5,1064.0
63,2003-01-15,5548.5,1070.0
64,2003-01-16,5553.0,1074.5
65,2003-01-17,5550.5,1072.0
66,2003-01-20,5540.5,1062.0
67,2003-01-21,5542.0,1063.5
68,2003-01-22,5547.5,1069.0
69,2003-01-23,5535.5,1057.0
70,2003-01-24,5521.0,1042.5
71,2003-01-27,5503.0,1024.5
72,2003-01-28,5511.5,1033.0
73,2003-01-29,5502.5,1024.0
74,2003-01-30,5500.0,1021.5
75,2003-01-31,5508.5,1030.0
76,2003-02-03,5520.5,1042.0
77,2003-02-04,5520.0,1041.5
78,2003-02-05,5513.0,1034.5
79,2003-02-06,5529.0,1050.5
