,index,adjusted,underlying
0,2011-06-10,5908.0,9505.0
1,2011-06-13,5858.0,9455.0
2,2011-06-14,5938.0,9535.0
3,2011-06-15,5988.0,9585.0
4,2011-06-16,5818.0,9415.0
5,2011-06-17,5743.0,9340.0
6,2011-06-20,5753.0,9350.0
7,2011-06-21,5853.0,9450.0
8,2011-06-22,6013.0,9610.0
9,2011-06-23,6008.0,9605.0
10,2011-06-24,6088.0,9685.0
11,2011-06-27,5993.0,9590.0
12,2011-06-28,6058.0,9655.0
13,2011-06-29,6188.0,9785.0
14,2011-06-30,6218.0,9815.0
15,2011-07-01,6263.0,9860.0
16,2011-07-04,6373.0,9970.0
17,2011-07-05,6373.0,9970.0
18,2011-07-06,6483.0,10080.0
19,2011-07-07,6488.0,10085.0
20,2011-07-08,6573.0,10165.0
21,2011-07-11,6488.0,10080.0
22,2011-07-12,6333.0,9925.0
23,2011-07-13,6363.0,9955.0
24,2011-07-14,6343.0,9935.0
25,2011-07-15,6383.0,9975.0
26,2011-07-19,6303.0,9895.0
27,2011-07-20,6423.0,10015.0
28,2011-07-21,6423.0,10015.0
29,2011-07-22,6543.0,10135.0
30,2011-07-25,6463.0,10055.0
31,2011-07-26,6513.0,10105.0
32,2011-07-27,6458.0,10050.0
33,2011-07-28,6308.0,9900.0
34,2011-07-29,6248.0,9840.0
35,2011-08-01,6378.0,9970.0
36,2011-08-02,6248.0,9840.0
37,2011-08-03,6058.0,9650.0
38,2011-08-04,6073.0,9665.0
39,2011-08-05,5688.0,9280.0
40,2011-08-08,5523.0,9115.0
41,2011-08-09,5403.0,8995.0
42,2011-08-10,5428.0,9020.0
43,2011-08-11,5388.0,8980.0
44,2011-08-12,5368.0,8960.0
45,2011-08-15,5468.0,9060.0
46,2011-08-16,5478.0,9070.0
47,2011-08-17,5448.0,9040.0
48,2011-08-18,5348.0,8940.0
49,2011-08-19,5118.0,8710.0
50,2011-08-22,5028.0,8620.0
51,2011-08-23,5148.0,8740.0
52,2011-08-24,5068.0,8660.0
53,2011-08-25,5188.0,8780.0
54,2011-08-26,5198.0,8790.0
55,2011-08-29,5278.0,8870.0
56,2011-08-30,5358.0,8950.0
57,2011-08-31,5368.0,8960.0
58,2011-09-01,5468.0,9060.0
59,2011-09-02,5348.0,8940.0
60,2011-09-05,5178.0,8770.0
61,2011-09-06,5018.0,8610.0
62,2011-09-07,5188.0,8780.0
63,2011-09-08,5198.0,8790.0
64,2011-09-09,5123.0,8655.0
65,2011-09-12,4953.0,8485.0
66,2011-09-13,5043.0,8575.0
67,2011-09-14,4923.0,8455.0
68,2011-09-15,5058.0,8590.0
69,2011-09-16,5253.0,8785.0
70,2011-09-20,5118.0,8650.0
71,2011-09-21,5143.0,8675.0
72,2011-09-22,4968.0,8500.0
73,2011-09-26,4753.0,8285.0
74,2011-09-27,5043.0,8575.0
75,2011-09-28,5108.0,8640.0
76,2011-09-29,5183.0,8715.0
77,2011-09-30,5168.0,8700.0
78,2011-10-03,4993.0,8525.0
79,2011-10-04,4913.0,8445.0
80,2011-10-05,4848.0,8380.0
81,2011-10-06,4988.0,8520.0
82,2011-10-07,5058.0,8590.0
83,2011-10-11,5238.0,8770.0
84,2011-10-12,5203.0,8735.0
85,2011-10-13,5273.0,8805.0
86,2011-10-14,5233.0,8765.0
87,2011-10-17,5363.0,8895.0
88,2011-10-18,5223.0,8755.0
89,2011-10-19,5258.0,8790.0
90,2011-10-20,5143.0,8675.0
91,2011-10-21,5148.0,8680.0
92,2011-10-24,5303.0,8835.0
93,2011-10-25,5233.0,8765.0
94,2011-10-26,5188.0,8720.0
95,2011-10-27,5388.0,8920.0
96,2011-10-28,5513.0,9045.0
97,2011-10-31,5433.0,8965.0
98,2011-11-01,5323.0,8855.0
99,2011-11-02,5158.0,8690.0
100,2011-11-04,5263.0,8795.0
101,2011-11-07,5228.0,8760.0
102,2011-11-08,5133.0,8665.0
103,2011-11-09,5203.0,8735.0
104,2011-11-10,4958.0,8490.0
105,2011-11-11,4968.0,8500.0
106,2011-11-14,5088.0,8620.0
107,2011-11-15,5028.0,8560.0
108,2011-11-16,4918.0,8450.0
109,2011-11-17,4938.0,8470.0
110,2011-11-18,4878.0,8410.0
111,2011-11-21,4828.0,8360.0
112,2011-11-22,4788.0,8320.0
113,2011-11-24,4628.0,8160.0
114,2011-11-25,4648.0,8180.0
115,2011-11-28,4778.0,8310.0
116,2011-11-29,4948.0,8480.0
117,2011-11-30,4888.0,8420.0
118,2011-12-01,5068.0,8600.0
119,2011-12-02,5128.0,8660.0
120,2011-12-05,5148.0,8680.0
121,2011-12-06,5048.0,8580.0
122,2011-12-07,5148.0,8680.0
123,2011-12-08,5148.0,8680.0
124,2011-12-09,5008.0,8525.0
125,2011-12-12,5103.0,8620.0
126,2011-12-13,5038.0,8555.0
127,2011-12-14,4998.0,8515.0
128,2011-12-15,4853.0,8370.0
129,2011-12-16,4888.0,8405.0
130,2011-12-19,4788.0,8305.0
131,2011-12-20,4808.0,8325.0
132,2011-12-21,4933.0,8450.0
133,2011-12-22,4863.0,8380.0
134,2011-12-26,4938.0,8455.0
135,2011-12-27,4943.0,8460.0
136,2011-12-28,4903.0,8420.0
137,2011-12-29,4878.0,8395.0
138,2011-12-30,4938.0,8455.0
139,2012-01-04,5023.0,8540.0
140,2012-01-05,4983.0,8500.0
141,2012-01-06,4878.0,8395.0
142,2012-01-10,4903.0,8420.0
143,2012-01-11,4918.0,8440.0
144,2012-01-12,4858.0,8380.0
145,2012-01-13,4978.0,8500.0
146,2012-01-16,4858.0,8380.0
147,2012-01-17,4948.0,8470.0
148,2012-01-18,5033.0,8555.0
149,2012-01-19,5128.0,8650.0
150,2012-01-20,5238.0,8760.0
151,2012-01-23,5253.0,8775.0
152,2012-01-24,5268.0,8790.0
153,2012-01-25,5358.0,8880.0
154,2012-01-26,5328.0,8850.0
155,2012-01-27,5318.0,8840.0
156,2012-01-30,5273.0,8795.0
157,2012-01-31,5288.0,8810.0
158,2012-02-01,5278.0,8800.0
159,2012-02-02,5353.0,8875.0
160,2012-02-03,5323.0,8845.0
161,2012-02-06,5388.0,8910.0
162,2012-02-07,5388.0,8910.0
163,2012-02-08,5483.0,9005.0
164,2012-02-09,5493.0,9015.0
165,2012-02-10,5489.0,9011.0
166,2012-02-13,5519.0,9000.0
167,2012-02-14,5579.0,9060.0
168,2012-02-15,5789.0,9270.0
169,2012-02-16,5749.0,9230.0
170,2012-02-17,5919.0,9400.0
171,2012-02-20,5989.0,9470.0
172,2012-02-21,6009.0,9490.0
173,2012-02-22,6089.0,9570.0
174,2012-02-23,6089.0,9570.0
175,2012-02-24,6159.0,9640.0
176,2012-02-27,6139.0,9620.0
177,2012-02-28,6279.0,9760.0
