,index,adjusted,underlying
0,2015-06-11,12120.0,14960.0
1,2015-06-12,12070.0,14910.0
2,2015-06-15,12040.0,14880.0
3,2015-06-16,11940.0,14780.0
4,2015-06-17,11930.0,14770.0
5,2015-06-18,11730.0,14570.0
6,2015-06-19,11895.0,14735.0
7,2015-06-22,12055.0,14895.0
8,2015-06-23,12325.0,15165.0
9,2015-06-24,12295.0,15135.0
10,2015-06-25,12225.0,15065.0
11,2015-06-26,12225.0,15065.0
12,2015-06-29,11795.0,14635.0
13,2015-06-30,11875.0,14715.0
14,2015-07-01,11990.0,14830.0
15,2015-07-02,12075.0,14915.0
16,2015-07-03,12080.0,14920.0
17,2015-07-06,11865.0,14705.0
18,2015-07-07,11995.0,14835.0
19,2015-07-08,11405.0,14245.0
20,2015-07-09,11475.0,14315.0
21,2015-07-10,11540.0,14380.0
22,2015-07-13,11725.0,14565.0
23,2015-07-14,11990.0,14830.0
24,2015-07-15,12030.0,14870.0
25,2015-07-16,12100.0,14940.0
26,2015-07-17,12175.0,15015.0
27,2015-07-21,12265.0,15105.0
28,2015-07-22,12055.0,14895.0
29,2015-07-23,12165.0,15005.0
30,2015-07-24,12065.0,14905.0
31,2015-07-27,11975.0,14815.0
32,2015-07-28,11875.0,14715.0
33,2015-07-29,11900.0,14740.0
34,2015-07-30,12045.0,14885.0
35,2015-07-31,12125.0,14965.0
36,2015-08-03,12110.0,14950.0
37,2015-08-04,12085.0,14925.0
38,2015-08-05,12190.0,15030.0
39,2015-08-06,12270.0,15110.0
40,2015-08-07,12285.0,15125.0
41,2015-08-10,12415.0,15255.0
42,2015-08-11,12355.0,15195.0
43,2015-08-12,12130.0,14970.0
44,2015-08-13,12255.0,15095.0
45,2015-08-14,12145.0,14985.0
46,2015-08-17,12265.0,15105.0
47,2015-08-18,12235.0,15075.0
48,2015-08-19,12000.0,14840.0
49,2015-08-20,11770.0,14610.0
50,2015-08-21,11360.0,14200.0
51,2015-08-24,10510.0,13350.0
52,2015-08-25,10045.0,12885.0
53,2015-08-26,10465.0,13305.0
54,2015-08-27,10660.0,13500.0
55,2015-08-28,11120.0,13960.0
56,2015-08-31,10960.0,13800.0
57,2015-09-01,10395.0,13235.0
58,2015-09-02,10395.0,13235.0
59,2015-09-03,10450.0,13290.0
60,2015-09-04,10150.0,12990.0
61,2015-09-07,10165.0,13005.0
62,2015-09-08,9870.0,12710.0
63,2015-09-09,10535.0,13375.0
64,2015-09-10,10375.0,13215.0
65,2015-09-11,10395.0,13190.0
66,2015-09-14,10210.0,13005.0
67,2015-09-15,10195.0,12990.0
68,2015-09-16,10345.0,13140.0
69,2015-09-17,10490.0,13285.0
70,2015-09-18,10235.0,13030.0
71,2015-09-24,9940.0,12735.0
72,2015-09-25,10180.0,12975.0
73,2015-09-28,10115.0,12910.0
74,2015-09-29,9580.0,12375.0
75,2015-09-30,9835.0,12630.0
76,2015-10-01,10085.0,12880.0
77,2015-10-02,10120.0,12915.0
78,2015-10-05,10345.0,13140.0
79,2015-10-06,10425.0,13220.0
80,2015-10-07,10615.0,13410.0
81,2015-10-08,10510.0,13305.0
82,2015-10-09,10790.0,13585.0
83,2015-10-13,10685.0,13480.0
84,2015-10-14,10425.0,13220.0
85,2015-10-15,10545.0,13340.0
86,2015-10-16,10665.0,13460.0
87,2015-10-19,10585.0,13380.0
88,2015-10-20,10610.0,13405.0
89,2015-10-21,10855.0,13650.0
90,2015-10-22,10795.0,13590.0
91,2015-10-23,11055.0,13850.0
92,2015-10-26,11180.0,13975.0
93,2015-10-27,11090.0,13885.0
94,2015-10-28,11100.0,13895.0
95,2015-10-29,11075.0,13870.0
96,2015-10-30,11210.0,14005.0
97,2015-11-02,10965.0,13760.0
98,2015-11-04,11015.0,13810.0
99,2015-11-05,11225.0,14020.0
100,2015-11-06,11285.0,14080.0
101,2015-11-09,11505.0,14300.0
102,2015-11-10,11550.0,14345.0
103,2015-11-11,11620.0,14415.0
104,2015-11-12,11545.0,14340.0
105,2015-11-13,11510.0,14305.0
106,2015-11-16,11390.0,14185.0
107,2015-11-17,11545.0,14340.0
108,2015-11-18,11495.0,14290.0
109,2015-11-19,11650.0,14445.0
110,2015-11-20,11675.0,14470.0
111,2015-11-24,11715.0,14510.0
112,2015-11-25,11565.0,14360.0
113,2015-11-26,11640.0,14435.0
114,2015-11-27,11550.0,14345.0
115,2015-11-30,11450.0,14245.0
116,2015-12-01,11645.0,14440.0
117,2015-12-02,11635.0,14430.0
118,2015-12-03,11610.0,14405.0
119,2015-12-04,11325.0,14120.0
120,2015-12-07,11530.0,14325.0
121,2015-12-08,11325.0,14120.0
122,2015-12-09,11200.0,13995.0
123,2015-12-10,11000.0,13795.0
124,2015-12-11,11090.0,13935.0
125,2015-12-14,10885.0,13730.0
126,2015-12-15,10670.0,13515.0
127,2015-12-16,11045.0,13890.0
128,2015-12-17,11235.0,14080.0
129,2015-12-18,10965.0,13810.0
130,2015-12-21,10895.0,13740.0
131,2015-12-22,10960.0,13805.0
132,2015-12-24,10885.0,13730.0
133,2015-12-25,10825.0,13670.0
134,2015-12-28,10975.0,13820.0
135,2015-12-29,11080.0,13925.0
136,2015-12-30,11105.0,13950.0
137,2016-01-04,10685.0,13530.0
138,2016-01-05,10710.0,13555.0
139,2016-01-06,10565.0,13410.0
140,2016-01-07,10235.0,13080.0
141,2016-01-08,10190.0,13035.0
142,2016-01-12,9715.0,12560.0
143,2016-01-13,10140.0,12985.0
144,2016-01-14,9875.0,12720.0
145,2016-01-15,9780.0,12625.0
146,2016-01-18,9575.0,12420.0
147,2016-01-19,9680.0,12525.0
148,2016-01-20,9170.0,12015.0
149,2016-01-21,8890.0,11735.0
150,2016-01-22,9485.0,12330.0
151,2016-01-25,9780.0,12625.0
152,2016-01-26,9400.0,12245.0
153,2016-01-27,9775.0,12620.0
154,2016-01-28,9700.0,12545.0
155,2016-01-29,10120.0,12965.0
156,2016-02-01,10350.0,13195.0
157,2016-02-02,10280.0,13125.0
158,2016-02-03,9805.0,12650.0
159,2016-02-04,9705.0,12550.0
160,2016-02-05,9425.0,12270.0
161,2016-02-08,9600.0,12445.0
162,2016-02-09,8925.0,11770.0
163,2016-02-10,8570.0,11415.0
164,2016-02-12,7880.0,10725.0
165,2016-02-15,8765.0,11610.0
166,2016-02-16,8860.0,11705.0
167,2016-02-17,8670.0,11515.0
168,2016-02-18,9055.0,11900.0
169,2016-02-19,8875.0,11720.0
170,2016-02-22,8900.0,11745.0
171,2016-02-23,8880.0,11725.0
172,2016-02-24,8730.0,11575.0
173,2016-02-25,8985.0,11830.0
174,2016-02-26,9085.0,11930.0
175,2016-02-29,8815.0,11660.0
176,2016-03-01,8945.0,11790.0
177,2016-03-02,9385.0,12230.0
178,2016-03-03,9565.0,12410.0
179,2016-03-04,9600.0,12445.0
180,2016-03-07,9485.0,12330.0
181,2016-03-08,9375.0,12220.0
182,2016-03-09,9170.0,12015.0
183,2016-03-10,9315.0,12160.0
184,2016-03-11,9390.0,12210.0
185,2016-03-14,9545.0,12365.0
186,2016-03-15,9435.0,12255.0
187,2016-03-16,9315.0,12135.0
188,2016-03-17,9340.0,12160.0
189,2016-03-18,9125.0,11945.0
190,2016-03-22,9430.0,12250.0
191,2016-03-23,9315.0,12135.0
192,2016-03-24,9255.0,12075.0
193,2016-03-25,9400.0,12220.0
194,2016-03-28,9545.0,12365.0
195,2016-03-29,9625.0,12445.0
196,2016-03-30,9470.0,12290.0
197,2016-03-31,9345.0,12165.0
198,2016-04-01,8920.0,11740.0
199,2016-04-04,8870.0,11690.0
200,2016-04-05,8625.0,11445.0
201,2016-04-06,8630.0,11450.0
202,2016-04-07,8690.0,11510.0
203,2016-04-08,8790.0,11610.0
204,2016-04-11,8715.0,11535.0
205,2016-04-12,8905.0,11725.0
206,2016-04-13,9265.0,12085.0
207,2016-04-14,9510.0,12330.0
208,2016-04-15,9375.0,12195.0
209,2016-04-18,9130.0,11950.0
210,2016-04-19,9485.0,12305.0
211,2016-04-20,9505.0,12325.0
212,2016-04-21,9805.0,12625.0
213,2016-04-22,9930.0,12750.0
214,2016-04-25,9860.0,12680.0
215,2016-04-26,9735.0,12555.0
216,2016-04-27,9695.0,12515.0
217,2016-04-28,9160.0,11980.0
218,2016-05-02,8925.0,11745.0
219,2016-05-06,8895.0,11715.0
220,2016-05-09,9005.0,11825.0
221,2016-05-10,9260.0,12080.0
222,2016-05-11,9220.0,12040.0
223,2016-05-12,9325.0,12145.0
224,2016-05-13,9040.0,11860.0
225,2016-05-16,9190.0,12010.0
226,2016-05-17,9315.0,12135.0
227,2016-05-18,9250.0,12070.0
228,2016-05-19,9250.0,12070.0
229,2016-05-20,9325.0,12145.0
230,2016-05-23,9265.0,12085.0
231,2016-05-24,9145.0,11965.0
232,2016-05-25,9325.0,12145.0
233,2016-05-26,9300.0,12120.0
234,2016-05-27,9355.0,12175.0
235,2016-05-30,9515.0,12335.0
236,2016-05-31,9620.0,12440.0
237,2016-06-01,9460.0,12280.0
238,2016-06-02,9185.0,12005.0
239,2016-06-03,9255.0,12075.0
240,2016-06-06,9165.0,11985.0
241,2016-06-07,9280.0,12100.0
242,2016-06-08,9365.0,12185.0
243,2016-06-09,9225.0,12045.0
244,2016-06-10,9145.0,11915.0
245,2016-06-13,8745.0,11515.0
246,2016-06-14,8645.0,11415.0
247,2016-06-15,8725.0,11495.0
248,2016-06-16,8365.0,11135.0
249,2016-06-17,8475.0,11245.0
250,2016-06-20,8745.0,11515.0
251,2016-06-21,8905.0,11675.0
252,2016-06-22,8760.0,11530.0
253,2016-06-23,8920.0,11690.0
254,2016-06-24,8080.0,10850.0
255,2016-06-27,8355.0,11125.0
256,2016-06-28,8255.0,11025.0
257,2016-06-29,8475.0,11245.0
258,2016-06-30,8475.0,11245.0
259,2016-07-01,8525.0,11295.0
260,2016-07-04,8620.0,11390.0
261,2016-07-05,8505.0,11275.0
262,2016-07-06,8285.0,11055.0
263,2016-07-07,8255.0,11025.0
264,2016-07-08,8135.0,10905.0
265,2016-07-11,8550.0,11320.0
266,2016-07-12,8855.0,11625.0
267,2016-07-13,8950.0,11720.0
268,2016-07-14,9025.0,11795.0
269,2016-07-15,9110.0,11880.0
270,2016-07-19,9160.0,11930.0
271,2016-07-20,9185.0,11955.0
272,2016-07-21,9275.0,12045.0
273,2016-07-22,9140.0,11910.0
274,2016-07-25,9145.0,11915.0
275,2016-07-26,8950.0,11720.0
276,2016-07-27,9160.0,11930.0
277,2016-07-28,8925.0,11695.0
278,2016-07-29,9165.0,11935.0
279,2016-08-01,9070.0,11840.0
280,2016-08-02,8870.0,11640.0
281,2016-08-03,8625.0,11395.0
282,2016-08-04,8740.0,11510.0
283,2016-08-05,8715.0,11485.0
284,2016-08-08,8970.0,11740.0
285,2016-08-09,9080.0,11850.0
286,2016-08-10,9095.0,11865.0
287,2016-08-12,9140.0,11910.0
288,2016-08-15,9075.0,11845.0
289,2016-08-16,8895.0,11665.0
290,2016-08-17,9040.0,11810.0
291,2016-08-18,8850.0,11620.0
292,2016-08-19,8860.0,11630.0
293,2016-08-22,8930.0,11700.0
294,2016-08-23,8910.0,11680.0
295,2016-08-24,8935.0,11705.0
296,2016-08-25,8935.0,11705.0
297,2016-08-26,8835.0,11605.0
298,2016-08-29,9045.0,11815.0
299,2016-08-30,9045.0,11815.0
300,2016-08-31,9215.0,11985.0
301,2016-09-01,9275.0,12045.0
302,2016-09-02,9320.0,12090.0
303,2016-09-05,9335.0,12105.0
304,2016-09-06,9390.0,12160.0
305,2016-09-07,9345.0,12115.0
306,2016-09-08,9260.0,12030.0
307,2016-09-09,9295.0,11960.0
308,2016-09-12,9080.0,11745.0
309,2016-09-13,9100.0,11765.0
310,2016-09-14,9025.0,11690.0
311,2016-09-15,8875.0,11540.0
312,2016-09-16,8985.0,11650.0
313,2016-09-20,9010.0,11675.0
314,2016-09-21,9430.0,12095.0
315,2016-09-23,9295.0,11960.0
316,2016-09-26,9200.0,11865.0
317,2016-09-27,9340.0,12005.0
318,2016-09-28,9265.0,11930.0
319,2016-09-29,9385.0,12050.0
320,2016-09-30,9180.0,11845.0
321,2016-10-03,9260.0,11925.0
322,2016-10-04,9350.0,12015.0
323,2016-10-05,9380.0,12045.0
324,2016-10-06,9440.0,12105.0
