,index,adjusted,underlying
0,1977-06-01,292.65000000000106,48.85
1,1977-06-02,292.3000000000011,48.5
2,1977-06-03,290.65000000000106,46.85
3,1977-06-06,289.8000000000011,46.0
4,1977-06-07,287.85000000000105,44.05
5,1977-06-08,287.15000000000106,43.35
6,1977-06-09,285.8000000000011,42.0
7,1977-06-10,288.40000000000106,44.6
8,1977-06-13,286.3000000000011,42.5
9,1977-06-14,286.0000000000011,42.2
10,1977-06-15,288.20000000000107,44.4
11,1977-06-16,289.3000000000011,45.5
12,1977-06-17,288.70000000000107,44.9
13,1977-06-20,288.5500000000011,44.75
14,1977-06-21,289.0000000000011,45.2
15,1977-06-22,289.0500000000011,45.25
16,1977-06-23,289.0500000000011,45.25
17,1977-06-24,289.2500000000011,45.45
18,1977-06-27,289.65000000000106,45.85
19,1977-06-28,289.5500000000011,45.75
20,1977-06-29,289.60000000000105,45.8
21,1977-06-30,289.60000000000105,45.8
22,1977-07-01,289.10000000000105,45.3
23,1977-07-05,289.0000000000011,45.2
24,1977-07-06,289.20000000000107,45.4
25,1977-07-07,288.8000000000011,45.0
26,1977-07-08,288.5000000000011,44.7
27,1977-07-11,288.3000000000011,44.5
28,1977-07-12,288.20000000000107,44.4
29,1977-07-13,287.8000000000011,44.0
30,1977-07-15,287.5500000000011,43.75
31,1977-07-18,288.10000000000105,44.3
32,1977-07-19,288.3000000000011,44.5
33,1977-07-20,287.90000000000106,44.1
34,1977-07-21,287.90000000000106,44.1
35,1977-07-22,287.8000000000011,44.0
36,1977-07-25,288.0500000000011,44.25
37,1977-07-26,287.8000000000011,44.0
38,1977-07-27,287.0500000000011,43.25
39,1977-07-28,286.8000000000011,43.0
40,1977-07-29,286.8000000000011,43.0
41,1977-08-01,286.3000000000011,42.5
42,1977-08-02,286.8000000000011,43.0
43,1977-08-04,286.7500000000011,42.95
44,1977-08-05,286.40000000000106,42.6
45,1977-08-08,286.3000000000011,42.5
46,1977-08-09,286.40000000000106,42.6
47,1977-08-10,286.15000000000106,42.35
48,1977-08-11,286.0000000000011,42.2
49,1977-08-12,286.0000000000011,42.2
50,1977-08-15,285.5000000000011,41.7
51,1977-08-16,285.5000000000011,41.7
52,1977-08-17,285.5000000000011,41.7
53,1977-08-18,285.45000000000107,41.65
54,1977-08-19,285.5000000000011,41.7
55,1977-08-22,285.5500000000011,41.75
56,1977-08-23,285.70000000000107,41.9
57,1977-08-24,285.65000000000106,41.85
58,1977-08-25,285.70000000000107,41.9
59,1977-08-26,285.70000000000107,41.9
60,1977-08-29,285.60000000000105,41.8
61,1977-08-30,285.65000000000106,41.85
62,1977-08-31,285.8500000000011,42.5
63,1977-09-01,285.7500000000011,42.4
64,1977-09-02,286.6000000000011,43.25
65,1977-09-06,286.15000000000106,42.8
66,1977-09-07,286.3500000000011,43.0
67,1977-09-08,286.15000000000106,42.8
68,1977-09-09,286.65000000000106,43.3
69,1977-09-12,286.2500000000011,42.9
70,1977-09-13,285.5000000000011,42.15
71,1977-09-14,285.3500000000011,42.0
72,1977-09-15,285.3500000000011,42.0
73,1977-09-16,285.7500000000011,42.4
74,1977-09-19,285.8500000000011,42.5
75,1977-09-20,286.1000000000011,42.75
76,1977-09-21,285.8500000000011,42.5
77,1977-09-22,285.8500000000011,42.5
78,1977-09-23,285.8500000000011,42.5
79,1977-09-26,286.15000000000106,42.8
80,1977-09-27,286.1000000000011,42.75
81,1977-09-28,285.8500000000011,42.5
82,1977-09-29,286.1000000000011,42.75
83,1977-09-30,285.8500000000011,42.5
84,1977-10-03,286.3500000000011,43.0
85,1977-10-04,286.70000000000107,43.35
86,1977-10-05,286.45000000000107,43.1
87,1977-10-06,286.40000000000106,43.05
88,1977-10-07,285.90000000000106,42.55
89,1977-10-10,285.8500000000011,42.5
90,1977-10-11,285.8500000000011,42.5
91,1977-10-12,285.90000000000106,42.55
92,1977-10-13,285.5500000000011,42.2
93,1977-10-14,286.0500000000011,42.7
94,1977-10-17,286.0500000000011,42.7
95,1977-10-18,285.8500000000011,42.5
96,1977-10-19,285.8500000000011,42.5
97,1977-10-20,285.7500000000011,42.4
98,1977-10-21,285.7500000000011,42.4
99,1977-10-24,287.15000000000106,43.8
100,1977-10-25,287.6000000000011,44.25
101,1977-10-26,288.7500000000011,45.4
102,1977-10-27,288.7500000000011,45.4
103,1977-10-28,289.8000000000011,46.45
104,1977-10-31,289.6000000000011,46.25
105,1977-11-01,289.6000000000011,46.25
106,1977-11-02,288.45000000000107,45.1
107,1977-11-03,290.0500000000011,46.7
108,1977-11-04,291.5500000000011,48.2
109,1977-11-07,293.2000000000011,49.85
110,1977-11-08,292.0500000000011,48.7
111,1977-11-09,294.95000000000107,51.6
112,1977-11-10,295.85000000000105,52.5
113,1977-11-11,299.750000000001,56.4
114,1977-11-14,299.55000000000103,56.2
115,1977-11-15,298.200000000001,54.85
116,1977-11-16,296.85000000000105,53.5
117,1977-11-17,296.10000000000105,52.75
118,1977-11-18,295.85000000000105,52.5
119,1977-11-21,291.8500000000011,48.5
120,1977-11-22,291.5500000000011,48.2
121,1977-11-23,294.0500000000011,50.7
122,1977-11-25,294.4500000000011,51.1
123,1977-11-28,296.35000000000105,53.0
124,1977-11-29,294.8500000000011,51.5
125,1977-11-30,296.250000000001,53.4
126,1977-12-01,297.85000000000105,55.0
127,1977-12-02,298.10000000000105,55.25
128,1977-12-05,298.250000000001,55.4
129,1977-12-06,297.650000000001,54.8
130,1977-12-07,295.35000000000105,52.5
131,1977-12-08,294.3500000000011,51.5
132,1977-12-09,294.1000000000011,51.25
133,1977-12-12,294.2500000000011,51.4
134,1977-12-13,295.250000000001,52.4
135,1977-12-14,294.6500000000011,51.8
136,1977-12-15,293.8500000000011,51.0
137,1977-12-16,294.7500000000011,51.9
138,1977-12-19,293.0000000000011,50.15
139,1977-12-20,292.70000000000107,49.85
140,1977-12-21,292.5500000000011,49.7
141,1977-12-22,292.3500000000011,49.5
142,1977-12-23,292.8500000000011,50.0
143,1977-12-27,294.3500000000011,51.5
144,1977-12-28,294.8500000000011,52.0
145,1977-12-29,295.750000000001,52.9
146,1977-12-30,295.35000000000105,52.5
147,1978-01-03,297.85000000000105,55.0
148,1978-01-04,297.55000000000103,54.7
149,1978-01-05,296.200000000001,53.35
150,1978-01-06,,
151,1978-01-09,296.35000000000105,53.5
152,1978-01-10,296.85000000000105,54.0
153,1978-01-11,296.650000000001,53.8
154,1978-01-12,296.250000000001,53.4
155,1978-01-13,296.35000000000105,53.5
156,1978-01-16,296.500000000001,53.65
157,1978-01-17,295.60000000000105,52.75
158,1978-01-18,295.250000000001,52.4
159,1978-01-19,296.250000000001,53.4
160,1978-01-23,298.05000000000103,55.2
161,1978-01-24,299.85000000000105,57.0
162,1978-01-25,302.450000000001,59.6
163,1978-01-26,305.650000000001,62.8
164,1978-01-27,306.950000000001,64.1
165,1978-01-30,307.55000000000103,64.7
166,1978-01-31,306.250000000001,63.4
167,1978-02-01,307.150000000001,64.3
168,1978-02-02,305.700000000001,62.85
169,1978-02-03,306.700000000001,63.85
170,1978-02-06,305.850000000001,63.0
171,1978-02-08,304.60000000000105,61.75
172,1978-02-09,303.85000000000105,61.0
173,1978-02-10,305.300000000001,62.45
174,1978-02-13,308.250000000001,65.4
175,1978-02-14,308.650000000001,65.8
176,1978-02-15,310.85000000000105,68.0
177,1978-02-16,311.650000000001,68.8
178,1978-02-17,309.950000000001,67.1
179,1978-02-21,310.85000000000105,68.0
180,1978-02-22,306.850000000001,64.0
181,1978-02-23,308.650000000001,65.8
182,1978-02-24,306.100000000001,63.25
183,1978-02-27,305.950000000001,63.1
184,1978-02-28,305.400000000001,63.95
185,1978-03-01,305.350000000001,63.9
186,1978-03-02,306.450000000001,65.0
187,1978-03-03,305.650000000001,64.2
188,1978-03-06,304.60000000000105,63.15
189,1978-03-07,307.350000000001,65.9
190,1978-03-08,309.80000000000103,68.35
191,1978-03-09,308.35000000000105,66.9
192,1978-03-10,307.100000000001,65.65
193,1978-03-13,308.90000000000106,67.45
194,1978-03-14,308.15000000000106,66.7
195,1978-03-15,307.950000000001,66.5
196,1978-03-16,306.250000000001,64.8
197,1978-03-17,304.55000000000103,63.1
198,1978-03-20,300.950000000001,59.5
199,1978-03-21,302.10000000000105,60.65
200,1978-03-22,304.35000000000105,62.9
201,1978-03-23,303.150000000001,61.7
202,1978-03-27,303.500000000001,62.05
203,1978-03-28,304.15000000000106,62.7
204,1978-03-29,302.650000000001,61.2
205,1978-03-30,303.150000000001,61.7
206,1978-03-31,303.55000000000103,62.1
207,1978-04-03,302.650000000001,61.2
208,1978-04-04,301.450000000001,60.0
209,1978-04-05,301.05000000000103,59.6
210,1978-04-06,302.55000000000103,61.1
211,1978-04-07,302.55000000000103,61.1
212,1978-04-10,302.85000000000105,61.4
213,1978-04-11,303.150000000001,61.7
214,1978-04-12,303.05000000000103,61.6
215,1978-04-13,302.200000000001,60.75
216,1978-04-14,301.35000000000105,59.9
217,1978-04-17,297.700000000001,56.25
218,1978-04-18,297.950000000001,56.5
219,1978-04-19,298.55000000000103,57.1
220,1978-04-20,295.250000000001,53.8
221,1978-04-21,298.950000000001,57.5
222,1978-04-24,296.30000000000103,54.85
223,1978-04-25,296.700000000001,55.25
224,1978-04-26,300.55000000000103,59.1
225,1978-04-27,304.40000000000106,62.95
226,1978-04-28,303.450000000001,62.0
227,1978-05-01,301.85000000000105,60.4
228,1978-05-02,301.950000000001,60.5
229,1978-05-03,303.450000000001,62.0
230,1978-05-04,302.80000000000103,61.35
231,1978-05-05,302.250000000001,60.8
232,1978-05-08,301.05000000000103,59.6
233,1978-05-09,300.60000000000105,59.15
234,1978-05-10,300.700000000001,59.25
235,1978-05-11,299.700000000001,58.25
236,1978-05-12,300.450000000001,59.0
237,1978-05-15,301.700000000001,60.25
238,1978-05-16,300.750000000001,59.3
239,1978-05-17,304.05000000000103,62.6
240,1978-05-18,304.450000000001,63.0
241,1978-05-19,303.60000000000105,62.15
242,1978-05-22,300.950000000001,59.5
243,1978-05-23,301.950000000001,60.5
244,1978-05-24,301.35000000000105,59.9
245,1978-05-25,300.650000000001,59.2
246,1978-05-26,301.10000000000105,59.65
247,1978-05-30,303.150000000001,61.7
248,1978-05-31,301.650000000001,61.9
249,1978-06-01,301.250000000001,61.5
250,1978-06-02,300.250000000001,60.5
251,1978-06-05,299.500000000001,59.75
252,1978-06-06,299.55000000000103,59.8
253,1978-06-07,299.250000000001,59.5
254,1978-06-08,299.750000000001,60.0
255,1978-06-09,298.55000000000103,58.8
256,1978-06-12,298.250000000001,58.5
257,1978-06-13,298.900000000001,59.15
258,1978-06-14,298.85000000000105,59.1
259,1978-06-15,299.250000000001,59.5
260,1978-06-16,299.750000000001,60.0
261,1978-06-19,300.000000000001,60.25
262,1978-06-20,300.500000000001,60.75
263,1978-06-21,299.950000000001,60.2
264,1978-06-22,300.05000000000103,60.3
265,1978-06-23,300.650000000001,60.9
266,1978-06-26,300.750000000001,61.0
267,1978-06-27,300.650000000001,60.9
268,1978-06-28,300.500000000001,60.75
269,1978-06-29,299.150000000001,59.4
270,1978-06-30,298.250000000001,58.5
271,1978-07-03,298.30000000000103,58.55
272,1978-07-05,297.950000000001,58.2
273,1978-07-06,297.650000000001,57.9
274,1978-07-07,298.650000000001,58.9
275,1978-07-10,298.60000000000105,58.85
276,1978-07-11,298.250000000001,58.5
277,1978-07-12,297.85000000000105,58.1
278,1978-07-13,298.450000000001,58.7
279,1978-07-14,298.80000000000103,59.05
280,1978-07-17,297.450000000001,57.7
281,1978-07-18,297.750000000001,58.0
282,1978-07-19,298.000000000001,58.25
283,1978-07-20,298.750000000001,59.0
284,1978-07-21,301.250000000001,61.5
285,1978-07-24,300.250000000001,60.5
286,1978-07-25,300.750000000001,61.0
287,1978-07-26,300.000000000001,60.25
288,1978-07-27,301.55000000000103,61.8
289,1978-07-28,300.85000000000105,61.1
290,1978-07-31,301.250000000001,61.5
291,1978-08-01,301.750000000001,62.0
292,1978-08-02,301.85000000000105,62.1
293,1978-08-03,301.35000000000105,61.6
294,1978-08-04,301.10000000000105,61.35
295,1978-08-07,302.150000000001,62.4
296,1978-08-08,302.450000000001,62.7
297,1978-08-09,302.450000000001,62.7
298,1978-08-10,302.55000000000103,62.8
299,1978-08-11,303.35000000000105,63.6
300,1978-08-14,303.90000000000106,64.15
301,1978-08-15,303.150000000001,63.4
302,1978-08-16,302.650000000001,62.9
303,1978-08-17,300.35000000000105,60.6
304,1978-08-18,300.80000000000103,61.05
305,1978-08-21,301.05000000000103,61.3
306,1978-08-22,301.10000000000105,61.35
307,1978-08-23,300.400000000001,60.65
308,1978-08-24,300.60000000000105,60.85
309,1978-08-25,300.250000000001,60.5
310,1978-08-28,299.450000000001,59.7
311,1978-08-29,300.450000000001,60.7
312,1978-08-30,299.65000000000106,61.2
313,1978-08-31,299.05000000000103,60.6
314,1978-09-01,299.10000000000105,60.65
315,1978-09-05,299.500000000001,61.05
316,1978-09-06,299.250000000001,60.8
317,1978-09-07,299.05000000000103,60.6
318,1978-09-08,298.450000000001,60.0
319,1978-09-11,298.55000000000103,60.1
320,1978-09-12,298.40000000000106,59.95
321,1978-09-13,298.950000000001,60.5
322,1978-09-14,298.80000000000103,60.35
323,1978-09-15,299.450000000001,61.0
324,1978-09-18,299.450000000001,61.0
325,1978-09-19,299.250000000001,60.8
326,1978-09-20,299.450000000001,61.0
327,1978-09-21,299.65000000000106,61.2
328,1978-09-22,300.450000000001,62.0
329,1978-09-25,300.65000000000106,62.2
330,1978-09-26,300.950000000001,62.5
331,1978-09-27,300.450000000001,62.0
332,1978-09-28,300.65000000000106,62.2
333,1978-09-29,300.250000000001,61.8
334,1978-10-02,300.250000000001,61.8
335,1978-10-03,301.30000000000103,62.85
336,1978-10-04,302.15000000000106,63.7
337,1978-10-05,303.10000000000105,64.65
338,1978-10-06,304.30000000000103,65.85
339,1978-10-09,306.050000000001,67.6
340,1978-10-10,309.950000000001,71.5
341,1978-10-11,313.950000000001,75.5
342,1978-10-12,314.250000000001,75.8
343,1978-10-13,311.250000000001,72.8
344,1978-10-16,313.950000000001,75.5
345,1978-10-17,313.05000000000103,74.6
346,1978-10-18,314.950000000001,76.5
347,1978-10-19,312.950000000001,74.5
348,1978-10-20,312.950000000001,74.5
349,1978-10-23,311.250000000001,72.8
350,1978-10-24,310.35000000000105,71.9
351,1978-10-25,313.80000000000103,75.35
352,1978-10-26,317.80000000000103,79.35
353,1978-10-27,317.80000000000103,79.35
354,1978-10-30,321.55000000000103,83.1
355,1978-10-31,317.55000000000103,79.1
356,1978-11-01,313.55000000000103,75.1
357,1978-11-02,307.55000000000103,69.1
358,1978-11-03,304.450000000001,66.0
359,1978-11-06,304.750000000001,66.3
360,1978-11-08,308.750000000001,70.3
361,1978-11-09,305.450000000001,67.0
362,1978-11-10,304.450000000001,66.0
363,1978-11-13,305.650000000001,67.2
364,1978-11-14,306.650000000001,68.2
365,1978-11-15,303.85000000000105,65.4
366,1978-11-16,303.55000000000103,65.1
367,1978-11-17,303.950000000001,65.5
368,1978-11-20,305.950000000001,67.5
369,1978-11-21,306.200000000001,67.75
370,1978-11-22,306.450000000001,68.0
371,1978-11-24,306.150000000001,67.7
372,1978-11-27,306.350000000001,67.9
373,1978-11-28,305.150000000001,66.7
374,1978-11-29,304.450000000001,67.6
375,1978-11-30,304.35000000000105,67.5
376,1978-12-01,304.85000000000105,68.0
377,1978-12-04,305.05000000000103,68.2
378,1978-12-05,304.80000000000103,67.95
379,1978-12-06,304.55000000000103,67.7
380,1978-12-07,305.200000000001,68.35
381,1978-12-08,305.750000000001,68.9
382,1978-12-11,306.850000000001,70.0
383,1978-12-12,307.350000000001,70.5
384,1978-12-13,307.55000000000103,70.7
385,1978-12-14,307.450000000001,70.6
386,1978-12-15,307.450000000001,70.6
387,1978-12-18,308.30000000000103,71.45
388,1978-12-19,308.85000000000105,72.0
389,1978-12-20,308.250000000001,71.4
390,1978-12-21,308.35000000000105,71.5
391,1978-12-26,307.350000000001,70.5
392,1978-12-27,308.85000000000105,72.0
393,1978-12-28,308.35000000000105,71.5
394,1978-12-29,309.35000000000105,72.5
395,1979-01-02,307.950000000001,71.1
396,1979-01-03,307.450000000001,70.6
397,1979-01-04,308.35000000000105,71.5
398,1979-01-05,308.35000000000105,71.5
399,1979-01-08,308.35000000000105,71.5
400,1979-01-09,308.15000000000106,71.3
401,1979-01-10,309.85000000000105,73.0
402,1979-01-11,309.500000000001,72.65
403,1979-01-12,309.950000000001,73.1
404,1979-01-15,311.750000000001,74.9
405,1979-01-16,313.15000000000106,76.3
406,1979-01-17,313.250000000001,76.4
407,1979-01-18,314.250000000001,77.4
408,1979-01-19,314.750000000001,77.9
409,1979-01-22,315.55000000000103,78.7
410,1979-01-23,315.750000000001,78.9
411,1979-01-24,318.000000000001,81.15
412,1979-01-25,317.35000000000105,80.5
413,1979-01-26,321.35000000000105,84.5
414,1979-01-29,325.35000000000105,88.5
415,1979-01-30,325.10000000000105,88.25
416,1979-01-31,325.65000000000106,88.8
417,1979-02-01,325.85000000000105,89.0
418,1979-02-02,328.85000000000105,92.0
419,1979-02-05,332.85000000000105,96.0
420,1979-02-06,335.35000000000105,98.5
421,1979-02-07,339.350000000001,102.5
422,1979-02-08,335.35000000000105,98.5
423,1979-02-09,334.15000000000106,97.3
424,1979-02-12,336.65000000000106,99.8
425,1979-02-13,333.15000000000106,96.3
426,1979-02-14,336.7500000000011,99.9
427,1979-02-15,338.10000000000105,101.25
428,1979-02-16,338.350000000001,101.5
429,1979-02-20,339.65000000000106,102.8
430,1979-02-21,339.850000000001,103.0
431,1979-02-22,338.350000000001,101.5
432,1979-02-23,338.350000000001,101.5
433,1979-02-26,334.35000000000105,97.5
434,1979-02-27,335.60000000000105,98.75
435,1979-02-28,335.80000000000103,100.2
436,1979-03-01,335.10000000000105,99.5
437,1979-03-02,332.10000000000105,96.5
438,1979-03-05,328.10000000000105,92.5
439,1979-03-06,327.65000000000106,92.05
440,1979-03-07,328.5000000000011,92.9
441,1979-03-08,327.10000000000105,91.5
442,1979-03-09,328.60000000000105,93.0
443,1979-03-12,328.60000000000105,93.0
444,1979-03-13,327.85000000000105,92.25
445,1979-03-14,328.65000000000106,93.05
446,1979-03-15,330.60000000000105,95.0
447,1979-03-16,330.60000000000105,95.0
448,1979-03-19,330.60000000000105,95.0
449,1979-03-20,328.55000000000103,92.95
450,1979-03-21,330.5000000000011,94.9
451,1979-03-22,330.60000000000105,95.0
452,1979-03-23,329.85000000000105,94.25
453,1979-03-26,331.40000000000106,95.8
454,1979-03-27,330.30000000000103,94.7
455,1979-03-28,330.70000000000107,95.1
456,1979-03-29,329.60000000000105,94.0
457,1979-03-30,331.60000000000105,96.0
458,1979-04-02,329.40000000000106,93.8
459,1979-04-03,328.30000000000103,92.7
460,1979-04-04,329.20000000000107,93.6
461,1979-04-05,329.60000000000105,94.0
462,1979-04-06,329.70000000000107,94.1
463,1979-04-09,330.20000000000107,94.6
464,1979-04-10,330.10000000000105,94.5
465,1979-04-11,327.80000000000103,92.2
466,1979-04-12,327.80000000000103,92.2
467,1979-04-16,327.000000000001,91.4
468,1979-04-17,327.200000000001,91.6
469,1979-04-18,329.5000000000011,93.9
470,1979-04-19,327.60000000000105,92.0
471,1979-04-20,328.55000000000103,92.95
472,1979-04-23,328.60000000000105,93.0
473,1979-04-24,329.0000000000011,93.4
474,1979-04-25,329.85000000000105,94.25
475,1979-04-26,329.5000000000011,93.9
476,1979-04-27,329.85000000000105,94.25
477,1979-04-30,331.10000000000105,95.5
478,1979-05-01,330.60000000000105,95.0
479,1979-05-02,330.60000000000105,95.0
480,1979-05-03,332.10000000000105,96.5
481,1979-05-04,334.10000000000105,98.5
482,1979-05-07,335.5000000000011,99.9
483,1979-05-08,333.20000000000107,97.6
484,1979-05-09,335.40000000000106,99.8
485,1979-05-10,336.35000000000105,100.75
486,1979-05-14,337.20000000000107,101.6
487,1979-05-15,338.80000000000103,103.2
488,1979-05-16,338.850000000001,103.25
489,1979-05-17,341.350000000001,105.75
490,1979-05-18,340.5000000000011,104.9
491,1979-05-21,344.40000000000106,108.8
492,1979-05-22,348.40000000000106,112.8
493,1979-05-23,350.600000000001,115.0
494,1979-05-24,353.700000000001,118.1
495,1979-05-25,,
496,1979-05-29,361.700000000001,126.1
497,1979-05-30,362.100000000001,126.5
498,1979-05-31,363.300000000001,123.7
499,1979-06-01,359.30000000000103,119.7
500,1979-06-04,356.600000000001,117.0
501,1979-06-05,358.600000000001,119.0
502,1979-06-06,359.600000000001,120.0
503,1979-06-07,359.600000000001,120.0
504,1979-06-08,362.0000000000011,122.4
