,index,adjusted,underlying
0,1970-06-30,798.2999999999998,147.6
1,1970-07-01,798.1999999999999,147.5
2,1970-07-02,796.6999999999999,146.0
3,1970-07-06,792.1999999999999,141.5
4,1970-07-07,792.6999999999999,142.0
5,1970-07-08,793.6999999999999,143.0
6,1970-07-09,793.6999999999999,143.0
7,1970-07-10,793.1999999999999,142.5
8,1970-07-13,789.6999999999999,139.0
9,1970-07-14,790.6999999999999,140.0
10,1970-07-15,794.9999999999999,144.3
11,1970-07-16,793.9999999999999,143.3
12,1970-07-17,790.2999999999998,139.6
13,1970-07-20,792.9,142.2
14,1970-07-21,791.1999999999999,140.5
15,1970-07-22,793.6999999999999,143.0
16,1970-07-23,792.6999999999999,142.0
17,1970-07-24,791.6999999999999,141.0
18,1970-07-27,790.6999999999999,140.0
19,1970-07-28,795.0999999999998,144.4
20,1970-07-29,795.1999999999999,144.5
21,1970-07-30,795.7999999999998,145.1
22,1970-07-31,794.1999999999999,143.5
23,1970-08-03,791.1999999999999,140.5
24,1970-08-04,792.6999999999999,142.0
25,1970-08-05,789.6999999999999,139.0
26,1970-08-06,790.1999999999999,139.5
27,1970-08-07,789.6999999999999,139.0
28,1970-08-10,789.7999999999998,139.1
29,1970-08-11,790.6999999999999,140.0
30,1970-08-12,790.6999999999999,140.0
31,1970-08-13,788.5999999999998,137.9
32,1970-08-14,787.6999999999999,137.0
33,1970-08-17,793.1999999999999,142.5
34,1970-08-18,791.1999999999999,140.5
35,1970-08-19,793.1999999999999,142.5
36,1970-08-20,792.1999999999999,141.5
37,1970-08-21,793.1999999999999,142.5
38,1970-08-24,793.6999999999999,143.0
39,1970-08-25,792.6999999999999,142.0
40,1970-08-26,794.2999999999998,143.6
41,1970-08-27,793.6999999999999,143.0
42,1970-08-28,791.6999999999999,141.0
43,1970-08-31,789.6999999999999,139.0
44,1970-09-01,791.1999999999999,140.5
45,1970-09-02,788.6999999999999,138.0
46,1970-09-03,789.6999999999999,139.0
47,1970-09-04,790.1999999999999,139.5
48,1970-09-08,789.9999999999999,139.3
49,1970-09-09,790.6999999999999,140.0
50,1970-09-10,789.6999999999999,139.0
51,1970-09-11,789.2999999999998,138.6
52,1970-09-14,788.9999999999999,138.3
53,1970-09-15,787.6999999999999,137.0
54,1970-09-16,788.1999999999999,137.5
55,1970-09-17,788.6999999999999,138.0
56,1970-09-18,782.6999999999999,132.0
57,1970-09-21,777.6999999999997,127.0
58,1970-09-22,778.1999999999997,127.5
59,1970-09-23,779.9,129.2
60,1970-09-24,779.1999999999997,128.5
61,1970-09-25,777.6999999999997,127.0
62,1970-09-28,775.6999999999997,125.0
63,1970-09-29,776.2999999999998,125.6
64,1970-09-30,772.6999999999997,125.0
65,1970-10-01,773.2999999999998,125.6
66,1970-10-02,775.8999999999997,128.2
67,1970-10-05,776.6999999999997,129.0
68,1970-10-06,775.1999999999997,127.5
69,1970-10-07,777.1999999999997,129.5
70,1970-10-08,778.6999999999997,131.0
71,1970-10-09,772.1999999999997,124.5
72,1970-10-12,771.5999999999998,123.9
73,1970-10-13,773.4999999999999,125.8
74,1970-10-14,770.2999999999998,122.6
75,1970-10-15,768.6999999999997,121.0
76,1970-10-16,770.3999999999997,122.7
77,1970-10-19,771.6999999999997,124.0
78,1970-10-20,771.4999999999999,123.8
79,1970-10-21,772.1999999999997,124.5
80,1970-10-22,772.1999999999997,124.5
81,1970-10-23,771.5999999999998,123.9
82,1970-10-26,770.0999999999998,122.4
83,1970-10-27,768.3999999999997,120.7
84,1970-10-28,767.1999999999997,119.5
85,1970-10-29,766.0999999999998,118.4
86,1970-10-30,762.6999999999997,115.0
87,1970-11-02,762.3999999999997,114.7
88,1970-11-04,761.1999999999997,113.5
89,1970-11-05,761.7999999999998,114.1
90,1970-11-06,760.9999999999997,113.3
91,1970-11-09,760.6999999999997,113.0
92,1970-11-10,763.1999999999997,115.5
93,1970-11-11,764.7999999999998,117.1
94,1970-11-12,763.6999999999997,116.0
95,1970-11-13,763.6999999999997,116.0
96,1970-11-16,765.1999999999997,117.5
97,1970-11-17,767.6999999999997,120.0
98,1970-11-18,765.1999999999997,117.5
99,1970-11-19,764.6999999999997,117.0
100,1970-11-20,765.1999999999997,117.5
101,1970-11-23,765.0999999999998,117.4
102,1970-11-24,761.1999999999997,113.5
103,1970-11-25,761.3999999999997,113.7
104,1970-11-27,761.1999999999997,113.5
105,1970-11-30,761.2999999999998,113.6
106,1970-12-01,761.5999999999998,113.9
107,1970-12-02,761.8999999999997,114.2
108,1970-12-03,762.4999999999997,114.8
109,1970-12-04,761.1999999999997,113.5
110,1970-12-07,761.6999999999997,114.0
111,1970-12-08,761.6999999999997,114.0
112,1970-12-09,761.6999999999997,114.0
113,1970-12-10,761.9999999999997,114.3
114,1970-12-11,762.9999999999997,115.3
115,1970-12-14,763.5999999999998,115.9
116,1970-12-15,765.5999999999998,117.9
117,1970-12-16,764.1999999999997,116.5
118,1970-12-17,764.2999999999998,116.6
119,1970-12-18,765.6999999999997,118.0
120,1970-12-21,767.6999999999997,120.0
121,1970-12-22,771.1999999999997,123.5
122,1970-12-23,768.6999999999997,121.0
123,1970-12-24,768.1999999999997,120.5
124,1970-12-28,767.6999999999997,120.0
