,index,adjusted,underlying
0,2015-12-10,991.5,961.3
1,2015-12-11,973.2,943.0
2,2015-12-14,978.8,948.6
3,2015-12-15,993.9,963.7
4,2015-12-16,1006.3,976.1
5,2015-12-17,990.9,960.7
6,2015-12-18,974.3,944.1
7,2015-12-21,977.0,946.8
8,2015-12-22,987.9,957.7
9,2015-12-23,999.2,969.0
10,2015-12-24,998.6,968.4
11,2015-12-28,996.2,966.0
12,2015-12-29,1005.0,974.8
13,2015-12-30,996.3,966.1
14,2015-12-31,989.7,959.5
15,2016-01-04,979.9,949.7
16,2016-01-05,981.9,951.7
17,2016-01-06,967.0,936.8
18,2016-01-07,945.5,915.3
19,2016-01-08,934.2,904.0
20,2016-01-11,931.9,901.7
21,2016-01-12,934.1,903.9
22,2016-01-13,914.9,884.7
23,2016-01-14,932.0,901.8
24,2016-01-15,912.8,882.6
25,2016-01-19,908.7,878.5
26,2016-01-20,895.4999999999999,865.3
27,2016-01-21,898.6999999999999,868.5
28,2016-01-22,916.6,886.4
29,2016-01-25,899.4999999999999,869.3
30,2016-01-26,916.1,885.9
31,2016-01-27,911.6,881.4
32,2016-01-28,912.6,882.4
33,2016-01-29,938.8,908.6
34,2016-02-01,935.1,904.9
35,2016-02-02,916.5,886.3
36,2016-02-03,925.9,895.7
37,2016-02-04,928.3,898.1
38,2016-02-05,918.1,887.9
39,2016-02-08,907.0,876.8
40,2016-02-09,903.2,873.0
41,2016-02-10,901.0,870.8
42,2016-02-11,886.4,856.2
43,2016-02-12,905.1,874.9
44,2016-02-16,919.1,888.9
45,2016-02-17,934.0,903.8
46,2016-02-18,932.3,902.1
47,2016-02-19,930.5,900.3
48,2016-02-22,941.7,911.5
49,2016-02-23,930.6,900.4
50,2016-02-24,937.5,907.3
51,2016-02-25,946.8,916.6
52,2016-02-26,944.2,914.0
53,2016-02-29,937.6,907.4
54,2016-03-01,959.9,929.7
55,2016-03-02,967.2,937.0
56,2016-03-03,973.7,943.5
57,2016-03-04,977.9,947.7
58,2016-03-07,983.8,953.6
59,2016-03-08,971.5,941.3
60,2016-03-09,975.6,945.4
61,2016-03-10,974.5,940.6
62,2016-03-11,990.2999999999998,956.4
63,2016-03-14,987.1999999999998,953.3
64,2016-03-15,984.1999999999998,950.3
65,2016-03-16,989.5,955.6
66,2016-03-17,997.9,964.0
67,2016-03-18,1002.0,968.1
68,2016-03-21,1004.9,971.0
69,2016-03-22,1003.7999999999998,969.9
70,2016-03-23,995.1999999999998,961.3
71,2016-03-24,994.7999999999998,960.9
72,2016-03-28,994.1,960.2
73,2016-03-29,1001.2999999999998,967.4
74,2016-03-30,1004.6,970.7
75,2016-03-31,1003.6999999999998,969.8
76,2016-04-01,1006.5,972.6
77,2016-04-04,1001.6999999999998,967.8
78,2016-04-05,992.6999999999998,958.8
79,2016-04-06,1000.7999999999998,966.9
80,2016-04-07,989.2999999999998,955.4
81,2016-04-08,994.2999999999998,960.4
82,2016-04-11,992.7999999999998,958.9
83,2016-04-12,1003.6999999999998,969.8
84,2016-04-13,1015.6999999999998,981.8
85,2016-04-14,1016.1,982.2
86,2016-04-15,1014.4,980.5
87,2016-04-18,1021.1,987.2
88,2016-04-19,1029.6999999999998,995.8
89,2016-04-20,1033.1,999.2
90,2016-04-21,1027.7999999999995,993.9
91,2016-04-22,1031.2999999999995,997.4
92,2016-04-25,1028.1,994.2
93,2016-04-26,1033.6999999999998,999.8
94,2016-04-27,1038.1999999999998,1004.3
95,2016-04-28,1029.1,995.2
96,2016-04-29,1023.7999999999998,989.9
97,2016-05-02,1029.7999999999995,995.9
98,2016-05-03,1019.1999999999998,985.3
99,2016-05-04,1013.2999999999998,979.4
100,2016-05-05,1011.6999999999998,977.8
101,2016-05-06,1015.2999999999998,981.4
102,2016-05-09,1013.4,979.5
103,2016-05-10,1023.1,989.2
104,2016-05-11,1017.4,983.5
105,2016-05-12,1019.2999999999998,985.4
106,2016-05-13,1010.7999999999998,976.9
107,2016-05-16,1019.6,985.7
108,2016-05-17,1012.2999999999998,978.4
109,2016-05-18,1012.1999999999998,978.3
110,2016-05-19,1005.9,972.0
111,2016-05-20,1017.9,984.0
112,2016-05-23,1015.5,981.6
113,2016-05-24,1028.1,994.2
114,2016-05-25,1036.1,1002.2
115,2016-05-26,1036.1999999999998,1002.3
116,2016-05-27,1039.6999999999998,1005.8
117,2016-05-31,1038.5,1004.6
118,2016-06-01,1040.4,1006.5
119,2016-06-02,1043.1999999999998,1009.3
120,2016-06-03,1039.4,1005.5
121,2016-06-06,1046.3,1012.4
122,2016-06-07,1048.9999999999998,1015.1
123,2016-06-08,1052.6,1018.7
124,2016-06-09,1049.8,1015.9
125,2016-06-10,1039.9999999999998,1000.9
126,2016-06-13,1031.1999999999998,992.1
127,2016-06-14,1027.2999999999995,988.2
128,2016-06-15,1026.3999999999996,987.3
129,2016-06-16,1030.1999999999998,991.1
130,2016-06-17,1028.4999999999998,989.4
131,2016-06-20,1037.1,998.0
132,2016-06-21,1039.8999999999996,1000.8
133,2016-06-22,1037.6999999999998,998.6
134,2016-06-23,1053.9999999999998,1014.9
135,2016-06-24,1014.8999999999996,975.8
136,2016-06-27,993.8999999999996,954.8
137,2016-06-28,1011.5999999999998,972.5
138,2016-06-29,1028.9999999999998,989.9
139,2016-06-30,1044.5999999999997,1005.5
