,index,adjusted,underlying
0,1995-09-06,1435.75,473.5
1,1995-09-07,1444.75,482.5
2,1995-09-08,1439.75,477.5
3,1995-09-11,1438.0,475.75
4,1995-09-12,1444.75,482.5
5,1995-09-13,1440.25,478.0
6,1995-09-14,1442.0,479.75
7,1995-09-15,1441.25,479.0
8,1995-09-18,1449.75,487.5
9,1995-09-19,1452.5,490.25
10,1995-09-20,1455.0,492.75
11,1995-09-21,1457.5,495.25
12,1995-09-22,1450.25,488.0
13,1995-09-25,1448.25,486.0
14,1995-09-26,1449.0,486.75
15,1995-09-27,1450.75,488.5
16,1995-09-28,1456.5,494.25
17,1995-09-29,1463.0,500.75
18,1995-10-02,1461.75,499.5
19,1995-10-03,1459.75,497.5
20,1995-10-04,1461.75,499.5
21,1995-10-05,1459.25,497.0
22,1995-10-06,1458.25,496.0
23,1995-10-09,1462.25,500.0
24,1995-10-10,1462.25,500.0
25,1995-10-11,1464.25,502.0
26,1995-10-12,1462.25,500.0
27,1995-10-13,1466.0,503.75
28,1995-10-16,1475.0,512.75
29,1995-10-17,1469.25,507.0
30,1995-10-18,1477.0,514.75
31,1995-10-19,1482.25,520.0
32,1995-10-20,1485.0,522.75
33,1995-10-23,1482.25,520.0
34,1995-10-24,1477.0,514.75
35,1995-10-25,1477.25,515.0
36,1995-10-26,1482.25,520.0
37,1995-10-27,1478.25,516.0
38,1995-10-30,1474.25,512.0
39,1995-10-31,1474.25,512.0
40,1995-11-01,1474.75,512.5
41,1995-11-02,1467.5,505.25
42,1995-11-03,1460.5,498.25
43,1995-11-06,1469.25,507.0
44,1995-11-07,1471.75,509.5
45,1995-11-08,1470.25,508.0
46,1995-11-09,1464.75,502.5
47,1995-11-10,1472.25,510.0
48,1995-11-13,1466.0,503.75
49,1995-11-14,1463.5,501.25
50,1995-11-15,1458.75,496.5
51,1995-11-16,1462.5,500.25
52,1995-11-17,1465.75,503.5
53,1995-11-20,1469.5,507.25
54,1995-11-21,1462.75,500.5
55,1995-11-22,1471.25,509.0
56,1995-11-24,1473.25,511.0
57,1995-11-27,1469.0,506.75
58,1995-11-28,1468.0,505.75
59,1995-11-29,1474.75,512.5
60,1995-11-30,1475.5,513.25
61,1995-12-01,1478.25,516.0
62,1995-12-04,1473.75,511.5
63,1995-12-05,1481.5,497.25
64,1995-12-06,1484.75,500.5
65,1995-12-07,1488.75,504.5
66,1995-12-08,1489.25,505.0
67,1995-12-11,1491.75,507.5
68,1995-12-12,1489.5,505.25
69,1995-12-13,1489.0,504.75
70,1995-12-14,1486.5,502.25
71,1995-12-15,1483.75,499.5
72,1995-12-18,1488.75,504.5
73,1995-12-19,1489.0,504.75
74,1995-12-20,1485.75,501.5
75,1995-12-21,1484.25,500.0
76,1995-12-22,1485.5,501.25
77,1995-12-26,1488.5,504.25
78,1995-12-27,1487.25,503.0
79,1995-12-28,1492.75,508.5
80,1995-12-29,1493.75,509.5
81,1996-01-02,1492.0,507.75
82,1996-01-03,1491.25,507.0
83,1996-01-04,1484.5,500.25
84,1996-01-05,1476.0,491.75
85,1996-01-08,1467.75,483.5
86,1996-01-09,1479.75,495.5
87,1996-01-10,1479.0,494.75
88,1996-01-11,1472.75,488.5
89,1996-01-12,1482.0,497.75
90,1996-01-15,1481.75,497.5
91,1996-01-16,1468.25,484.0
92,1996-01-17,1467.25,483.0
93,1996-01-18,1472.75,488.5
94,1996-01-19,1479.25,495.0
95,1996-01-22,1475.25,491.0
96,1996-01-23,1487.25,503.0
97,1996-01-24,1491.75,507.5
98,1996-01-25,1487.75,503.5
99,1996-01-26,1503.25,519.0
100,1996-01-29,1511.25,527.0
101,1996-01-30,1515.25,531.0
102,1996-01-31,1509.25,525.0
103,1996-02-01,1513.25,529.0
104,1996-02-02,1523.25,504.25
105,1996-02-05,1517.0,498.0
106,1996-02-06,1524.5,505.5
107,1996-02-07,1520.0,501.0
108,1996-02-08,1516.0,497.0
109,1996-02-09,1518.75,499.75
110,1996-02-12,1520.5,501.5
111,1996-02-13,1520.5,501.5
112,1996-02-14,1529.25,510.25
113,1996-02-15,1527.75,508.75
114,1996-02-16,1529.25,510.25
115,1996-02-20,1522.5,503.5
116,1996-02-21,1522.75,503.75
117,1996-02-22,1513.5,494.5
118,1996-02-23,1517.0,498.0
119,1996-02-26,1524.75,505.75
120,1996-02-27,1530.0,511.0
121,1996-02-28,1530.0,511.0
122,1996-02-29,1531.0,512.0
123,1996-03-01,1536.25,517.25
124,1996-03-04,1537.25,518.25
