,index,adjusted,underlying
0,2015-03-11,1198.5999999999997,1205.5
1,2015-03-12,1210.7999999999995,1217.7
2,2015-03-13,1226.8999999999996,1233.8
3,2015-03-15,1217.8999999999996,1224.8
4,2015-03-16,1221.4999999999998,1228.4
5,2015-03-17,1224.8999999999996,1231.8
6,2015-03-18,1230.1999999999996,1237.1
7,2015-03-19,1243.3999999999996,1250.3
8,2015-03-20,1246.9999999999998,1253.9
9,2015-03-22,1256.3999999999996,1263.3
10,2015-03-23,1254.1999999999996,1261.1
11,2015-03-24,1253.8999999999996,1260.8
12,2015-03-25,1253.7999999999995,1260.7
13,2015-03-26,1222.1999999999996,1229.1
14,2015-03-27,1222.8999999999996,1229.8
15,2015-03-29,1227.3999999999996,1234.3
16,2015-03-30,1231.1999999999996,1238.1
17,2015-03-31,1242.8999999999996,1249.8
18,2015-04-01,1234.4999999999998,1241.4
19,2015-04-02,1238.2999999999995,1245.2
20,2015-04-03,1245.3999999999996,1252.3
21,2015-04-05,1232.2999999999995,1239.2
22,2015-04-06,1232.5999999999997,1239.5
23,2015-04-07,1250.6999999999996,1257.6
24,2015-04-08,1241.5999999999997,1248.5
25,2015-04-09,1251.4999999999998,1258.4
26,2015-04-10,1252.0999999999997,1259.0
27,2015-04-12,1255.5999999999997,1262.5
28,2015-04-13,1253.2999999999995,1260.2
29,2015-04-14,1258.7999999999995,1265.7
30,2015-04-15,1254.2999999999995,1261.2
31,2015-04-16,1267.0999999999997,1274.0
32,2015-04-17,1259.6999999999996,1266.6
33,2015-04-19,1246.8999999999996,1253.8
34,2015-04-20,1248.4999999999998,1255.4
35,2015-04-21,1259.3999999999996,1266.3
36,2015-04-22,1255.4999999999998,1262.4
37,2015-04-23,1254.0999999999997,1261.0
38,2015-04-24,1260.0999999999997,1267.0
39,2015-04-26,1257.2999999999995,1264.2
40,2015-04-27,1258.0999999999997,1265.0
41,2015-04-28,1242.1999999999996,1249.1
42,2015-04-29,1251.0999999999997,1258.0
43,2015-04-30,1232.7999999999995,1239.7
44,2015-05-01,1216.6999999999996,1223.6
45,2015-05-03,1216.8999999999996,1223.8
46,2015-05-04,1214.7999999999995,1221.7
47,2015-05-05,1218.7999999999995,1225.7
48,2015-05-06,1207.3999999999996,1214.3
49,2015-05-07,1208.5999999999997,1215.5
50,2015-05-08,1219.8999999999996,1226.8
51,2015-05-10,1223.4999999999998,1230.4
52,2015-05-11,1221.9999999999998,1228.9
53,2015-05-12,1222.0999999999997,1229.0
54,2015-05-13,1226.8999999999996,1233.8
55,2015-05-14,1223.9999999999998,1230.9
56,2015-05-15,1238.7999999999995,1245.7
57,2015-05-17,1235.0999999999997,1242.0
58,2015-05-18,1232.7999999999995,1239.7
59,2015-05-19,1249.5999999999997,1256.5
60,2015-05-20,1249.0999999999997,1256.0
61,2015-05-21,1246.0999999999997,1253.0
62,2015-05-22,1249.8999999999996,1256.8
63,2015-05-24,1242.7999999999995,1249.7
64,2015-05-25,1243.3999999999996,1250.3
65,2015-05-26,1244.4999999999998,1251.4
66,2015-05-27,1232.1999999999996,1239.1
67,2015-05-28,1244.5999999999997,1251.5
68,2015-05-29,1243.8999999999996,1250.8
69,2015-05-31,1238.9999999999998,1245.9
70,2015-06-01,1241.0999999999997,1248.0
71,2015-06-02,1242.4999999999998,1249.4
72,2015-06-03,1246.1999999999996,1253.1
73,2015-06-04,1257.0999999999997,1264.0
74,2015-06-05,1244.2999999999995,1251.2
75,2015-06-07,1252.9999999999998,1259.9
76,2015-06-08,1253.3999999999996,1260.3
77,2015-06-09,1246.3999999999996,1253.3
78,2015-06-10,1245.8999999999996,1252.8
79,2015-06-11,1257.6999999999998,1260.4
80,2015-06-12,1258.6999999999998,1261.4
81,2015-06-14,1251.7999999999995,1254.5
82,2015-06-15,1253.1999999999998,1255.9
83,2015-06-16,1247.3999999999996,1250.1
84,2015-06-17,1264.5999999999997,1267.3
85,2015-06-18,1259.7999999999995,1262.5
86,2015-06-19,1278.3999999999996,1281.1
87,2015-06-21,1278.8999999999996,1281.6
88,2015-06-22,1281.5999999999997,1284.3
89,2015-06-23,1288.0999999999997,1290.8
90,2015-06-24,1288.5999999999997,1291.3
91,2015-06-25,1279.1999999999998,1281.9
92,2015-06-26,1277.3999999999996,1280.1
93,2015-06-28,1257.5999999999997,1260.3
94,2015-06-29,1258.7999999999995,1261.5
95,2015-06-30,1245.7999999999995,1248.5
96,2015-07-01,1252.6999999999998,1255.4
97,2015-07-02,1249.3999999999996,1252.1
98,2015-07-03,1243.8999999999996,1246.6
99,2015-07-05,1226.2999999999995,1229.0
100,2015-07-06,1232.4999999999998,1235.2
101,2015-07-07,1249.1999999999998,1251.9
102,2015-07-08,1228.6999999999998,1231.4
103,2015-07-09,1230.7999999999995,1233.5
104,2015-07-10,1238.0999999999997,1240.8
105,2015-07-12,1235.7999999999995,1238.5
106,2015-07-13,1246.5999999999997,1249.3
107,2015-07-14,1258.7999999999995,1261.5
108,2015-07-15,1267.3999999999996,1270.1
109,2015-07-16,1263.8999999999996,1266.6
110,2015-07-17,1267.9999999999998,1270.7
111,2015-07-19,1259.6999999999998,1262.4
112,2015-07-20,1260.4999999999998,1263.2
113,2015-07-21,1255.6999999999998,1258.4
114,2015-07-22,1243.4999999999998,1246.2
