,index,adjusted,underlying
0,2002-06-14,0.12154,0.10296
1,2002-06-17,0.12226,0.10368
2,2002-06-18,0.1228,0.10422
3,2002-06-19,0.12331,0.10473
4,2002-06-20,0.12459,0.10601
5,2002-06-21,0.12504,0.10646
6,2002-06-24,0.1251,0.10652
7,2002-06-25,0.12577,0.10719
8,2002-06-26,0.12635,0.10777
9,2002-06-27,0.1267000000000001,0.10812
10,2002-06-28,0.12719,0.1086099999999999
11,2002-07-01,0.12641,0.10783
12,2002-07-02,0.1264800000000001,0.1079
13,2002-07-03,0.12565,0.10707
14,2002-07-08,0.12561,0.10703
15,2002-07-09,0.12586,0.10728
16,2002-07-10,0.12437,0.10579
17,2002-07-11,0.12473,0.10615
18,2002-07-12,0.1256,0.10702
19,2002-07-15,0.12639,0.10781
20,2002-07-16,0.12627,0.10769
21,2002-07-17,0.1268800000000001,0.1083
22,2002-07-18,0.12678,0.1082
23,2002-07-19,0.12633,0.10775
24,2002-07-22,0.12441,0.10583
25,2002-07-23,0.12244,0.10386
26,2002-07-24,0.123,0.10442
27,2002-07-25,0.12429,0.1057099999999999
28,2002-07-26,0.12384,0.10526
29,2002-07-29,0.1238,0.10522
30,2002-07-30,0.12464,0.10606
31,2002-07-31,0.12365,0.10507
32,2002-08-01,0.1226,0.10402
33,2002-08-02,0.12244,0.10386
34,2002-08-05,0.12247,0.10389
35,2002-08-06,0.12174,0.10316
36,2002-08-07,0.12269,0.10411
37,2002-08-08,0.12247,0.10389
38,2002-08-09,0.12283,0.10425
39,2002-08-12,0.12394,0.10536
40,2002-08-13,0.1244,0.10582
41,2002-08-14,0.12467,0.10609
42,2002-08-15,0.12472,0.10614
43,2002-08-16,0.12502,0.10644
44,2002-08-19,0.1242,0.10562
45,2002-08-20,0.12496,0.10638
46,2002-08-21,0.12545,0.10687
47,2002-08-22,0.12387,0.10529
48,2002-08-23,0.12418,0.1056
49,2002-08-26,0.12485,0.10627
50,2002-08-27,0.12612,0.10754
51,2002-08-28,0.1257000000000001,0.10712
52,2002-08-29,0.12577,0.10719
53,2002-08-30,0.12493,0.10635
54,2002-09-03,0.12525,0.10667
55,2002-09-04,0.1254,0.10682
56,2002-09-05,0.12572,0.10714
57,2002-09-06,0.12517,0.10659
58,2002-09-09,0.12503,0.10645
59,2002-09-10,0.12465,0.10607
60,2002-09-11,0.1249,0.10632
61,2002-09-12,0.12506,0.10648
62,2002-09-13,0.12405,0.10547
63,2002-09-16,0.12521,0.10602
64,2002-09-17,0.12495,0.10576
65,2002-09-18,0.12579,0.1066
66,2002-09-19,0.12678,0.10759
67,2002-09-20,0.1269800000000001,0.10779
68,2002-09-23,0.12623,0.10704
69,2002-09-24,0.1264200000000001,0.10723
70,2002-09-25,0.12538,0.10619
71,2002-09-26,0.12533,0.10614
72,2002-09-27,0.12627,0.10708
73,2002-09-30,0.12628,0.10709
74,2002-10-01,0.1269300000000001,0.10774
75,2002-10-02,0.1270300000000001,0.10784
76,2002-10-03,0.1271000000000001,0.10791
77,2002-10-04,0.1271000000000001,0.10791
78,2002-10-07,0.12663,0.10744
79,2002-10-08,0.12524,0.10605
80,2002-10-09,0.12658,0.10739
81,2002-10-10,0.12657,0.10738
82,2002-10-11,0.1269,0.10771
83,2002-10-15,0.1268300000000001,0.10764
84,2002-10-16,0.12691,0.10772
85,2002-10-17,0.1252,0.10601
86,2002-10-18,0.12555,0.10636
87,2002-10-21,0.12616,0.10697
88,2002-10-22,0.12569,0.1065
89,2002-10-23,0.1257,0.10651
90,2002-10-24,0.1257,0.10651
91,2002-10-25,0.12595,0.10676
92,2002-10-28,0.1271000000000001,0.10791
93,2002-10-29,0.1270700000000001,0.10788
94,2002-10-30,0.1274900000000001,0.1083
95,2002-10-31,0.1279400000000001,0.10875
96,2002-11-01,0.1284300000000001,0.10924
97,2002-11-04,0.1281600000000001,0.10897
98,2002-11-05,0.1273600000000001,0.10817
99,2002-11-06,0.1287600000000001,0.10957
100,2002-11-07,0.1293700000000001,0.11018
101,2002-11-08,0.1302500000000001,0.11106
102,2002-11-12,0.1304500000000001,0.11126
103,2002-11-13,0.1298800000000001,0.11069
104,2002-11-14,0.1295700000000001,0.11038
105,2002-11-15,0.1302900000000001,0.1111
106,2002-11-18,0.1301600000000001,0.11097
107,2002-11-19,0.1294800000000001,0.11029
108,2002-11-20,0.12947,0.11028
109,2002-11-21,0.1303600000000001,0.11117
110,2002-11-22,0.1298800000000001,0.11069
111,2002-11-25,0.1288200000000001,0.10963
112,2002-11-26,0.1284300000000001,0.10924
113,2002-11-27,0.1282000000000001,0.10901
114,2002-11-29,0.12935,0.11016
115,2002-12-02,0.1296500000000001,0.11046
116,2002-12-03,0.1292300000000001,0.11004
117,2002-12-04,0.1292700000000001,0.11008
118,2002-12-05,0.1296600000000001,0.11047
119,2002-12-06,0.1304500000000001,0.11126
120,2002-12-09,0.1303600000000001,0.11117
121,2002-12-10,0.1302200000000001,0.11103
122,2002-12-11,0.1300400000000001,0.11085
123,2002-12-12,0.1310300000000001,0.11184
124,2002-12-13,0.1309800000000001,0.11179
125,2002-12-16,0.13169,0.11182
126,2002-12-17,0.13227,0.1124
127,2002-12-18,0.13221,0.11234
128,2002-12-19,0.13184,0.11197
129,2002-12-20,0.13112,0.11125
130,2002-12-23,0.13157,0.1117
131,2002-12-24,0.1319700000000001,0.1121
132,2002-12-26,0.1326500000000001,0.11278
133,2002-12-27,0.1330400000000001,0.11317
134,2002-12-30,0.1337000000000001,0.11383
135,2002-12-31,0.13457,0.1147
136,2003-01-02,0.13307,0.1132
137,2003-01-03,0.1337600000000001,0.11389
138,2003-01-06,0.13449,0.11462
139,2003-01-07,0.13417,0.1143
140,2003-01-08,0.13457,0.1147
141,2003-01-09,0.1342600000000001,0.11439
142,2003-01-10,0.13468,0.11481
143,2003-01-13,0.13444,0.11457
144,2003-01-14,0.1347000000000001,0.11483
145,2003-01-15,0.13446,0.11459
146,2003-01-16,0.1351,0.11523
147,2003-01-17,0.13527,0.1154
148,2003-01-21,0.13542,0.11555
149,2003-01-22,0.13525,0.11538
150,2003-01-23,0.13553,0.11566
151,2003-01-24,0.13686,0.11699
152,2003-01-27,0.13688,0.11701
153,2003-01-28,0.1365300000000001,0.11666
154,2003-01-29,0.1372,0.11733
155,2003-01-30,0.13719,0.11732
156,2003-01-31,0.1359,0.11603
157,2003-02-03,0.13628,0.11641
158,2003-02-04,0.13728,0.11741
159,2003-02-05,0.13649,0.11662
160,2003-02-06,0.13747,0.1176
161,2003-02-07,0.1377,0.11783
162,2003-02-10,0.13677,0.1169
163,2003-02-11,0.13672,0.11685
164,2003-02-12,0.13668,0.11681
165,2003-02-13,0.1386,0.11873
166,2003-02-14,0.13783,0.11796
167,2003-02-18,0.13671,0.11684
168,2003-02-19,0.13775,0.11788
169,2003-02-20,0.13828,0.11841
170,2003-02-21,0.13761,0.11774
171,2003-02-24,0.13794,0.11807
172,2003-02-25,0.13779,0.11792
173,2003-02-26,0.13835,0.11848
174,2003-02-27,0.13768,0.1178099999999999
175,2003-02-28,0.13743,0.11756
176,2003-03-03,0.1379,0.11803
177,2003-03-04,0.13833,0.11846
178,2003-03-05,0.1392,0.11933
179,2003-03-06,0.1391,0.11923
180,2003-03-07,0.13918,0.11931
181,2003-03-10,0.13919,0.11932
182,2003-03-11,0.13833,0.11846
183,2003-03-12,0.13817,0.1183
184,2003-03-13,0.13676,0.11689
185,2003-03-14,0.13644,0.11589
186,2003-03-17,0.13536,0.11481
187,2003-03-18,0.135,0.11445
188,2003-03-19,0.13485,0.1143
189,2003-03-20,0.1356900000000001,0.11514
190,2003-03-21,0.13472,0.11417
191,2003-03-24,0.13549,0.11494
192,2003-03-25,0.13517,0.11462
193,2003-03-26,0.13551,0.11496
194,2003-03-27,0.13563,0.11508
195,2003-03-28,0.1369100000000001,0.11636
196,2003-03-31,0.13804,0.11749
197,2003-04-01,0.13771,0.11716
198,2003-04-02,0.1363600000000001,0.11581
199,2003-04-03,0.13657,0.11602
200,2003-04-04,0.13663,0.11608
201,2003-04-07,0.13615,0.1156
202,2003-04-08,0.13714,0.11659
203,2003-04-09,0.13768,0.11713
204,2003-04-10,0.13785,0.1173
205,2003-04-11,0.13757,0.11702
206,2003-04-14,0.13797,0.11742
207,2003-04-15,0.13809,0.11754
208,2003-04-16,0.13925,0.1187
209,2003-04-17,0.13897,0.11842
210,2003-04-21,0.13904,0.11849
211,2003-04-22,0.14022,0.11967
212,2003-04-23,0.14045,0.1199
213,2003-04-24,0.14119,0.12064
214,2003-04-25,0.14106,0.12051
215,2003-04-28,0.1401400000000001,0.11959
216,2003-04-29,0.14141,0.12086
217,2003-04-30,0.14273,0.12218
218,2003-05-01,0.14325,0.1227
219,2003-05-02,0.14385,0.1233
220,2003-05-05,0.14433,0.12378
221,2003-05-06,0.14578,0.12523
222,2003-05-07,0.14509,0.12454
223,2003-05-08,0.14609,0.12554
224,2003-05-09,0.14548,0.12493
225,2003-05-12,0.14626,0.12571
226,2003-05-13,0.1459,0.12535
227,2003-05-14,0.14568,0.12513
228,2003-05-15,0.14466,0.1241099999999999
229,2003-05-16,0.14664,0.12609
230,2003-05-19,0.14745,0.1269
231,2003-05-20,0.14778,0.1272299999999999
232,2003-05-21,0.14775,0.1272
233,2003-05-22,0.14807,0.12752
234,2003-05-23,0.14885,0.1283
235,2003-05-27,0.14948,0.12893
236,2003-05-28,0.14909,0.12854
237,2003-05-29,0.15004,0.12949
238,2003-05-30,0.14953,0.1289799999999999
239,2003-06-02,0.1493,0.12875
240,2003-06-03,0.14932,0.12877
241,2003-06-04,0.14859,0.12804
242,2003-06-05,0.15032,0.12977
243,2003-06-06,0.14905,0.1285
244,2003-06-09,0.14917,0.12862
245,2003-06-10,0.14873,0.12818
246,2003-06-11,0.1496,0.12905
247,2003-06-12,0.15019,0.12964
248,2003-06-13,0.15115,0.1306
249,2003-06-16,0.15098,0.12982
250,2003-06-17,0.1509,0.12974
251,2003-06-18,0.14973,0.12857
252,2003-06-19,0.14959,0.12843
253,2003-06-20,0.14829,0.12713
254,2003-06-23,0.14728,0.12612
255,2003-06-24,0.14619,0.12503
256,2003-06-25,0.14654,0.12538
257,2003-06-26,0.14544,0.12428
258,2003-06-27,0.14508,0.12392
259,2003-06-30,0.14565,0.12449
260,2003-07-01,0.14624,0.12508
261,2003-07-02,0.14639,0.12523
262,2003-07-03,0.14599,0.12483
263,2003-07-07,0.14356,0.1224
264,2003-07-08,0.14425,0.12309
265,2003-07-09,0.14472,0.12356
266,2003-07-10,0.14527,0.1241099999999999
267,2003-07-11,0.14429,0.12313
268,2003-07-14,0.14424,0.12308
269,2003-07-15,0.14324,0.12208
270,2003-07-16,0.14294,0.12178
271,2003-07-17,0.14432,0.12316
272,2003-07-18,0.14276,0.1216
273,2003-07-21,0.14306,0.1219
274,2003-07-22,0.14304,0.12188
275,2003-07-23,0.14519,0.12403
276,2003-07-24,0.14488,0.12372
277,2003-07-25,0.14611,0.12495
278,2003-07-28,0.1462,0.12504
279,2003-07-29,0.14568,0.12452
280,2003-07-30,0.14462,0.12346
281,2003-07-31,0.14271,0.12155
282,2003-08-01,0.14263,0.12147
283,2003-08-04,0.14388,0.12272
284,2003-08-05,0.14404,0.12288
285,2003-08-06,0.14385,0.12269
286,2003-08-07,0.14434,0.12318
287,2003-08-08,0.14376,0.1226
288,2003-08-11,0.14353,0.12237
289,2003-08-12,0.14355,0.12239
290,2003-08-13,0.14446,0.1233
291,2003-08-14,0.14291,0.12175
292,2003-08-15,0.14263,0.12147
293,2003-08-18,0.14128,0.12012
294,2003-08-19,0.14099,0.11983
295,2003-08-20,0.14139,0.12023
296,2003-08-21,0.1397,0.11854
297,2003-08-22,0.13888,0.11772
298,2003-08-25,0.13862,0.11746
299,2003-08-26,0.1383,0.11714
300,2003-08-27,0.13871,0.11755
301,2003-08-28,0.13908,0.11792
302,2003-08-29,0.14044,0.11928
303,2003-09-02,0.13909,0.11793
304,2003-09-03,0.13986,0.1187
305,2003-09-04,0.1408,0.11964
306,2003-09-05,0.1429,0.12174
307,2003-09-08,0.14271,0.12155
308,2003-09-09,0.14368,0.12252
309,2003-09-10,0.14381,0.12265
310,2003-09-11,0.14438,0.12322
311,2003-09-12,0.14506,0.1239
312,2003-09-15,0.14462,0.12293
313,2003-09-16,0.14395,0.12226
314,2003-09-17,0.14618,0.12449
315,2003-09-18,0.14549,0.1238
316,2003-09-19,0.1469,0.12521
317,2003-09-22,0.14826,0.12657
318,2003-09-23,0.14938,0.12769
319,2003-09-24,0.15037,0.12868
320,2003-09-25,0.15014,0.12845
321,2003-09-26,0.14926,0.12757
322,2003-09-29,0.15111,0.12942
323,2003-09-30,0.15031,0.12862
324,2003-10-01,0.15079,0.1291
325,2003-10-02,0.15138,0.12969
326,2003-10-03,0.14986,0.12817
327,2003-10-06,0.15201,0.13032
328,2003-10-07,0.15267,0.13098
329,2003-10-08,0.15283,0.13114
330,2003-10-09,0.15201,0.13032
331,2003-10-10,0.15245,0.13076
332,2003-10-14,0.15223,0.13054
333,2003-10-15,0.15153,0.12984
334,2003-10-16,0.15074,0.12905
335,2003-10-17,0.15066,0.12897
336,2003-10-20,0.15,0.1283099999999999
337,2003-10-21,0.15056,0.12887
338,2003-10-22,0.15241,0.13072
339,2003-10-23,0.1514,0.12971
340,2003-10-24,0.15158,0.12989
341,2003-10-27,0.15081,0.12912
342,2003-10-28,0.1508,0.12911
343,2003-10-29,0.15101,0.12932
344,2003-10-30,0.15008,0.12839
345,2003-10-31,0.14883,0.12714
346,2003-11-03,0.14793,0.12624
347,2003-11-04,0.14877,0.12708
348,2003-11-05,0.14817,0.12648
349,2003-11-06,0.14827,0.12658
350,2003-11-07,0.15,0.1283099999999999
351,2003-11-10,0.15012,0.12843
352,2003-11-12,0.15013,0.12844
353,2003-11-13,0.15252,0.13083
354,2003-11-14,0.15294,0.13125
355,2003-11-17,0.15279,0.1311
356,2003-11-18,0.15478,0.13309
357,2003-11-19,0.15389,0.1322
358,2003-11-20,0.15411,0.13242
359,2003-11-21,0.15464,0.13295
360,2003-11-24,0.15286,0.13117
361,2003-11-25,0.15285,0.13116
362,2003-11-26,0.15363,0.13194
363,2003-11-28,0.15396,0.13227
364,2003-12-01,0.15432,0.13263
365,2003-12-02,0.15558,0.13389
366,2003-12-03,0.15648,0.13479
367,2003-12-04,0.15655,0.1348599999999999
368,2003-12-05,0.15746,0.13577
369,2003-12-08,0.15842,0.13673
370,2003-12-09,0.1586,0.13691
371,2003-12-10,0.15804,0.13635
372,2003-12-11,0.15771,0.13602
373,2003-12-12,0.15875,0.13706
374,2003-12-15,0.15873,0.13647
375,2003-12-16,0.15828,0.13602
376,2003-12-17,0.15897,0.13671
377,2003-12-18,0.15871,0.13645
378,2003-12-19,0.15824,0.13598
379,2003-12-22,0.15808,0.13582
380,2003-12-23,0.1583,0.13604
381,2003-12-24,0.15852,0.13626
382,2003-12-26,0.15825,0.13599
383,2003-12-29,0.15933,0.13707
384,2003-12-30,0.15966,0.1374
385,2003-12-31,0.16033,0.13807
386,2004-01-02,0.16033,0.13807
387,2004-01-05,0.16136,0.1391
388,2004-01-06,0.16194,0.13968
389,2004-01-07,0.16085,0.13859
390,2004-01-08,0.16198,0.13972
391,2004-01-09,0.16281,0.14055
392,2004-01-12,0.16168,0.13942
393,2004-01-13,0.16133,0.13907
394,2004-01-14,0.15986,0.1376
395,2004-01-15,0.15902,0.13676
396,2004-01-16,0.15672,0.13446
397,2004-01-20,0.15911,0.13685
398,2004-01-21,0.16051,0.13825
399,2004-01-22,0.16134,0.13908
400,2004-01-23,0.15973,0.13747
401,2004-01-26,0.1577899999999999,0.1355299999999999
402,2004-01-27,0.15992,0.13766
403,2004-01-28,0.15891,0.13665
404,2004-01-29,0.15727,0.13501
405,2004-01-30,0.15718,0.13492
406,2004-02-02,0.15706,0.1348
407,2004-02-03,0.15827,0.13601
408,2004-02-04,0.15851,0.13625
