,index,adjusted,underlying
0,2007-12-05,98.295,104.01
1,2007-12-06,98.205,103.92
2,2007-12-07,97.935,103.65
3,2007-12-10,97.805,103.52
4,2007-12-11,97.87,103.585
5,2007-12-12,97.67,103.385
6,2007-12-13,97.7,103.415
7,2007-12-14,97.625,103.34
8,2007-12-17,97.635,103.35
9,2007-12-18,97.63,103.345
10,2007-12-19,97.665,103.38
11,2007-12-20,97.7,103.415
12,2007-12-21,97.61,103.325
13,2007-12-27,97.535,103.25
14,2007-12-28,97.64,103.355
15,2008-01-02,97.915,103.63
16,2008-01-03,97.975,103.69
17,2008-01-04,98.065,103.78
18,2008-01-07,98.045,103.76
19,2008-01-08,97.95,103.665
20,2008-01-09,98.125,103.84
21,2008-01-10,98.09,103.805
22,2008-01-11,98.125,103.84
23,2008-01-14,98.2,103.915
24,2008-01-15,98.28,103.995
25,2008-01-16,98.455,104.17
26,2008-01-17,98.525,104.24
27,2008-01-18,98.62,104.335
28,2008-01-21,98.83,104.545
29,2008-01-22,98.72,104.435
30,2008-01-23,99.035,104.75
31,2008-01-24,98.58,104.295
32,2008-01-25,98.645,104.36
33,2008-01-28,98.665,104.38
34,2008-01-29,98.58,104.295
35,2008-01-30,98.57,104.285
36,2008-01-31,98.795,104.51
37,2008-02-01,98.795,104.51
38,2008-02-04,98.735,104.45
39,2008-02-05,99.03,104.745
40,2008-02-06,98.985,104.7
41,2008-02-07,99.24,104.955
42,2008-02-08,99.255,104.97
43,2008-02-11,99.315,105.03
44,2008-02-12,99.135,104.85
45,2008-02-13,99.21,104.925
46,2008-02-14,99.115,104.83
47,2008-02-15,99.205,104.92
48,2008-02-18,99.045,104.76
49,2008-02-19,99.12,104.835
50,2008-02-20,99.005,104.72
51,2008-02-21,98.79,104.505
52,2008-02-22,98.8,104.515
53,2008-02-25,98.77,104.485
54,2008-02-26,98.72,104.435
55,2008-02-27,98.755,104.47
56,2008-02-28,98.935,104.65
57,2008-02-29,99.135,104.85
58,2008-03-03,99.055,104.77
59,2008-03-04,99.09,104.805
60,2008-03-05,98.94,105.175
61,2008-03-06,98.825,105.06
62,2008-03-07,98.93,105.165
63,2008-03-10,99.13,105.365
64,2008-03-11,98.805,105.04
65,2008-03-12,98.75,104.985
66,2008-03-13,98.84,105.075
67,2008-03-14,98.935,105.17
68,2008-03-17,99.21,105.445
69,2008-03-18,98.85,105.085
70,2008-03-19,98.655,104.89
71,2008-03-20,98.5,104.735
72,2008-03-25,98.19,104.425
73,2008-03-26,98.185,104.42
74,2008-03-27,98.27,104.505
75,2008-03-28,98.175,104.41
76,2008-03-31,98.27,104.505
77,2008-04-01,98.115,104.35
78,2008-04-02,97.98,104.215
79,2008-04-03,98.09,104.325
80,2008-04-04,98.125,104.36
81,2008-04-07,97.985,104.22
82,2008-04-08,97.995,104.23
83,2008-04-09,98.05,104.285
84,2008-04-10,98.15,104.385
85,2008-04-11,98.25,104.485
86,2008-04-14,98.26,104.495
87,2008-04-15,98.11,104.345
88,2008-04-16,97.92,104.155
89,2008-04-17,97.735,103.97
90,2008-04-18,97.395,103.63
91,2008-04-21,97.53,103.765
92,2008-04-22,97.325,103.56
93,2008-04-23,97.425,103.66
94,2008-04-24,97.395,103.63
95,2008-04-25,97.435,103.67
96,2008-04-28,97.485,103.72
97,2008-04-29,97.61,103.845
98,2008-04-30,97.605,103.84
99,2008-05-02,97.465,103.7
100,2008-05-05,97.465,103.7
101,2008-05-06,97.58,103.815
102,2008-05-07,97.55,103.785
103,2008-05-08,97.68,103.915
104,2008-05-09,97.765,104.0
105,2008-05-12,97.655,103.89
106,2008-05-13,97.47,103.705
107,2008-05-14,97.315,103.55
108,2008-05-15,97.145,103.38
109,2008-05-16,97.185,103.42
110,2008-05-19,97.115,103.35
