,index,adjusted,underlying
0,2014-03-12,5466.0,8180.0
1,2014-03-13,5315.0,8029.0
2,2014-03-14,5288.0,8002.0
3,2014-03-17,5340.0,8054.0
4,2014-03-18,5422.5,8136.5
5,2014-03-19,5371.0,8085.0
6,2014-03-20,5417.0,8131.0
7,2014-03-21,5406.0,8120.0
8,2014-03-24,,
9,2014-03-25,5490.0,8204.0
10,2014-03-26,5471.0,8185.0
11,2014-03-27,5495.0,8209.0
12,2014-03-28,5535.0,8249.0
13,2014-03-31,5629.0,8343.0
14,2014-04-01,5639.0,8353.0
15,2014-04-02,5678.0,8392.0
16,2014-04-03,5681.0,8395.0
17,2014-04-04,,
18,2014-04-07,5587.0,8301.0
19,2014-04-08,5626.625,8340.625
20,2014-04-09,,
21,2014-04-10,5532.0,8246.0
22,2014-04-11,5447.0,8161.0
23,2014-04-14,5521.0,8235.0
24,2014-04-15,5537.0,8251.0
25,2014-04-16,5577.0,8291.0
26,2014-04-17,5646.0,8360.0
27,2014-04-22,5712.0,8426.0
28,2014-04-23,5690.0,8404.0
29,2014-04-24,5648.0,8362.0
30,2014-04-25,5618.0,8332.0
31,2014-04-28,5646.75,8360.75
32,2014-04-29,,
33,2014-04-30,5731.0,8445.0
34,2014-05-02,5697.0,8411.0
35,2014-05-05,5685.0,8399.0
36,2014-05-06,5660.0,8374.0
37,2014-05-07,5696.0,8410.0
38,2014-05-08,5706.0,8420.0
39,2014-05-09,5784.0,8498.0
40,2014-05-12,5835.0,8549.0
41,2014-05-13,5836.0,8550.0
42,2014-05-14,5877.0,8591.0
43,2014-05-15,5946.0,8660.0
44,2014-05-16,5970.0,8684.0
45,2014-05-19,5934.0,8648.0
46,2014-05-20,5915.0,8629.0
47,2014-05-21,5948.0,8662.0
48,2014-05-22,5977.0,8691.0
49,2014-05-23,5991.0,8705.0
50,2014-05-26,5996.0,8710.0
51,2014-05-27,5999.5,8713.5
52,2014-05-28,5982.0,8696.0
53,2014-05-30,5966.5,8680.5
54,2014-06-02,5993.0,8707.0
55,2014-06-03,5955.0,8669.0
56,2014-06-04,5964.5,8678.5
57,2014-06-05,5934.0,8648.0
58,2014-06-06,5955.0,8669.0
59,2014-06-10,6056.0,8770.0
60,2014-06-11,5992.0,8706.0
61,2014-06-12,5966.0,8669.0
62,2014-06-13,5943.0,8646.0
63,2014-06-16,5946.0,8649.0
64,2014-06-17,5965.0,8668.0
65,2014-06-18,5993.0,8696.0
66,2014-06-19,5978.0,8681.0
67,2014-06-20,5985.0,8688.0
68,2014-06-23,5963.0,8666.0
69,2014-06-24,5966.5,8669.5
70,2014-06-25,5888.0,8591.0
71,2014-06-26,5858.0,8561.0
72,2014-06-27,5866.0,8569.0
73,2014-06-30,5845.0,8548.0
74,2014-07-01,5916.0,8619.0
75,2014-07-02,5909.0,8612.0
76,2014-07-03,5958.5,8661.5
77,2014-07-04,5986.0,8689.0
78,2014-07-07,5911.0,8614.0
79,2014-07-08,5849.0,8552.0
80,2014-07-09,5849.0,8552.0
81,2014-07-10,5791.0,8494.0
82,2014-07-11,5781.0,8484.0
83,2014-07-14,5855.0,8558.0
84,2014-07-15,5878.0,8581.0
85,2014-07-16,5910.0,8613.0
86,2014-07-17,5798.0,8501.0
87,2014-07-18,5826.0,8529.0
88,2014-07-21,5812.0,8515.0
89,2014-07-22,5877.0,8580.0
90,2014-07-23,5887.0,8590.0
91,2014-07-24,5931.0,8634.0
92,2014-07-25,5862.0,8565.0
93,2014-07-28,5838.0,8541.0
94,2014-07-29,5824.0,8527.0
95,2014-07-30,5788.5,8491.5
96,2014-07-31,5736.5,8439.5
97,2014-08-04,,
98,2014-08-05,,
99,2014-08-06,5562.0,8265.0
100,2014-08-07,5596.0,8299.0
101,2014-08-08,5522.5,8225.5
102,2014-08-11,5615.0,8318.0
103,2014-08-12,5616.0,8319.0
104,2014-08-13,5670.0,8373.0
105,2014-08-14,5743.0,8446.0
106,2014-08-15,5683.0,8386.0
107,2014-08-18,5755.0,8458.0
108,2014-08-19,5833.0,8536.0
109,2014-08-20,5844.0,8547.0
110,2014-08-21,5866.0,8569.0
111,2014-08-22,5849.0,8552.0
112,2014-08-25,5907.0,8610.0
113,2014-08-26,5952.0,8655.0
114,2014-08-27,5962.0,8665.0
115,2014-08-28,5930.0,8633.0
116,2014-08-29,5967.0,8670.0
117,2014-09-01,6031.0,8734.0
118,2014-09-02,6059.0,8762.0
119,2014-09-03,6099.0,8802.0
120,2014-09-04,6115.0,8818.0
121,2014-09-05,6119.0,8822.0
122,2014-09-08,6091.0,8794.0
123,2014-09-09,6099.0,8802.0
124,2014-09-10,6128.0,8831.0
125,2014-09-11,6132.0,8835.0
126,2014-09-12,6083.0,8777.0
127,2014-09-15,6101.0,8795.0
128,2014-09-16,6138.0,8832.0
129,2014-09-17,6133.0,8827.0
130,2014-09-18,6127.0,8821.0
131,2014-09-19,6126.0,8820.0
132,2014-09-22,6111.0,8805.0
133,2014-09-23,6074.0,8768.0
134,2014-09-24,6122.0,8816.0
135,2014-09-25,6054.0,8748.0
136,2014-09-26,6114.0,8808.0
137,2014-09-29,6074.0,8768.0
138,2014-09-30,6121.0,8815.0
139,2014-10-01,6053.0,8747.0
140,2014-10-02,5970.0,8664.0
141,2014-10-03,6017.0,8711.0
142,2014-10-06,6002.0,8696.0
