,index,adjusted,underlying
0,1985-09-20,-13.25,536.5
1,1985-09-23,1.75,551.5
2,1985-09-24,2.75,552.5
3,1985-09-25,1.25,551.0
4,1985-09-26,-1.75,548.0
5,1985-09-27,-3.0,546.75
6,1985-09-30,-4.25,545.5
7,1985-10-01,-3.25,546.5
8,1985-10-02,-6.5,543.25
9,1985-10-03,-6.5,543.25
10,1985-10-04,-6.5,543.25
11,1985-10-07,-11.75,538.0
12,1985-10-08,-12.25,537.5
13,1985-10-09,-15.75,534.0
14,1985-10-10,-16.75,533.0
15,1985-10-11,-20.75,529.0
16,1985-10-14,-18.75,531.0
17,1985-10-15,-16.75,533.0
18,1985-10-16,-18.0,531.75
19,1985-10-17,-13.25,536.5
20,1985-10-18,-12.25,537.5
21,1985-10-21,-12.75,537.0
22,1985-10-22,-14.0,535.75
23,1985-10-23,-17.25,532.5
24,1985-10-24,-21.0,528.75
25,1985-10-25,-20.75,529.0
26,1985-10-28,-20.75,529.0
27,1985-10-29,-18.75,531.0
28,1985-10-30,-18.5,531.25
29,1985-10-31,-14.5,535.25
30,1985-11-01,-16.75,533.0
31,1985-11-04,-17.75,532.0
32,1985-11-05,-14.25,535.5
33,1985-11-06,-15.0,534.75
34,1985-11-07,-18.0,531.75
35,1985-11-08,-18.0,531.75
36,1985-11-11,-21.25,528.5
37,1985-11-12,-21.0,528.75
38,1985-11-13,-26.0,523.75
39,1985-11-14,-30.0,519.75
40,1985-11-15,-37.0,512.75
41,1985-11-18,-49.75,500.0
42,1985-11-19,-42.75,507.0
43,1985-11-20,-45.0,504.75
44,1985-11-21,-44.75,505.0
45,1985-11-22,-40.5,509.25
46,1985-11-25,-44.25,505.5
47,1985-11-26,-42.5,507.25
48,1985-11-27,-42.0,507.75
49,1985-11-29,-40.25,509.5
50,1985-12-02,-42.5,507.25
51,1985-12-03,-37.75,512.0
52,1985-12-04,-35.25,514.5
53,1985-12-05,-37.75,512.0
54,1985-12-06,-40.0,509.75
55,1985-12-09,-41.75,508.0
56,1985-12-10,-33.75,516.0
57,1985-12-11,-33.5,516.25
58,1985-12-12,-25.25,524.5
59,1985-12-13,-27.25,522.5
60,1985-12-16,-21.5,528.25
61,1985-12-17,-15.5,534.25
62,1985-12-18,-14.75,535.0
63,1985-12-19,0.75,550.5
64,1985-12-20,3.75,553.5
65,1985-12-23,2.5,552.25
66,1985-12-24,-1.5,548.25
67,1985-12-26,-4.0,545.75
68,1985-12-27,-10.0,539.75
69,1985-12-30,-5.25,544.5
70,1985-12-31,-4.25,545.5
71,1986-01-02,-2.5,547.25
72,1986-01-03,-11.75,538.0
73,1986-01-06,-12.5,537.25
74,1986-01-07,-7.5,542.25
75,1986-01-08,-5.25,544.5
76,1986-01-09,-5.5,544.25
77,1986-01-10,-8.75,541.0
78,1986-01-13,-22.5,527.25
79,1986-01-14,-24.5,525.25
80,1986-01-15,-24.5,525.25
