,index,adjusted,underlying
0,1970-05-05,-381.6500300000003,73.3
1,1970-05-06,-381.9000300000003,73.05
2,1970-05-07,-381.70003000000025,73.25
3,1970-05-08,-380.95003000000025,74.0
4,1970-05-11,-381.9000300000003,73.05
5,1970-05-12,-382.1500300000003,72.8
6,1970-05-13,-381.8000300000003,73.15
7,1970-05-14,-381.50003000000027,73.45
8,1970-05-15,-381.8000300000003,73.15
9,1970-05-18,-382.00003000000027,72.95
10,1970-05-19,-381.45003000000025,73.5
11,1970-05-20,-382.1000300000002,72.85
12,1970-05-21,-381.3500300000002,73.6
13,1970-05-22,-380.9000300000003,74.05
14,1970-05-25,-382.20003000000025,72.75
15,1970-05-26,-382.5500300000003,72.4
16,1970-05-27,-382.1500300000003,72.8
17,1970-05-28,-382.0500300000003,72.9
18,1970-06-01,-381.00003000000027,73.95
19,1970-06-02,-380.9000300000003,74.05
20,1970-06-03,-380.0500300000003,73.65
21,1970-06-04,-379.20003000000025,74.5
22,1970-06-05,-379.20003000000025,74.5
23,1970-06-08,-379.70003000000025,74.0
24,1970-06-09,-379.20003000000025,74.5
25,1970-06-10,-377.4000300000003,76.3
26,1970-06-11,-377.1000300000002,76.6
27,1970-06-12,-377.45003000000025,76.25
28,1970-06-15,-378.00003000000027,75.7
29,1970-06-16,-378.3000300000003,75.4
30,1970-06-17,-378.1000300000002,75.6
31,1970-06-18,-377.6000300000002,76.1
32,1970-06-19,-377.95003000000025,75.75
33,1970-06-22,-377.8000300000003,75.9
34,1970-06-23,-375.70003000000025,78.0
35,1970-06-24,-376.9000300000003,76.8
36,1970-06-25,-375.45003000000025,78.25
37,1970-06-26,-374.8000300000003,78.9
38,1970-06-29,-371.9000300000003,81.8
39,1970-06-30,-373.50003000000027,80.2
40,1970-07-01,-373.20003000000025,80.5
41,1970-07-02,-372.5500200000003,81.15001
42,1970-07-06,-375.1000300000002,78.6
43,1970-07-07,-374.6500300000003,78.45
44,1970-07-08,-372.95003000000025,80.15
45,1970-07-09,-374.1000300000003,79.0
46,1970-07-10,-373.70003000000025,79.4
47,1970-07-13,-369.9000300000003,83.2
48,1970-07-14,-371.3500300000002,81.75
49,1970-07-15,-371.4000300000003,81.7
50,1970-07-16,-372.8000300000003,80.3
51,1970-07-17,-373.45003000000025,79.65
52,1970-07-20,-373.1000300000002,80.0
53,1970-07-21,-373.50003000000027,79.6
54,1970-07-22,-373.20003000000025,79.9
55,1970-07-23,-372.3000200000003,80.80001
56,1970-07-24,-372.9000300000003,80.2
57,1970-07-27,-372.6500300000003,80.45
58,1970-07-28,-373.8500300000003,79.25
59,1970-07-29,-373.8500300000003,79.25
60,1970-07-30,-375.5000300000003,77.6
61,1970-07-31,-374.3500300000003,78.75
62,1970-08-03,-374.3000300000003,78.8
63,1970-08-04,-375.6000300000002,77.5
64,1970-08-05,-375.95003000000025,77.15
65,1970-08-06,-375.70003000000025,77.4
66,1970-08-07,-374.9000300000003,78.2
67,1970-08-10,-374.7500300000003,78.35
68,1970-08-11,-375.0500300000003,78.05
69,1970-08-12,-373.70003000000025,79.4
70,1970-08-13,-372.8000300000003,80.3
71,1970-08-14,-372.6500300000003,80.45
72,1970-08-17,-367.6500300000003,85.45
73,1970-08-18,-371.60002000000026,81.50001
74,1970-08-19,-369.4000300000003,83.7
75,1970-08-20,-370.8000300000003,82.3
76,1970-08-21,-372.5000200000002,80.60001
77,1970-08-24,-373.1000300000002,80.0
78,1970-08-25,-371.5000300000003,81.6
79,1970-08-26,-372.85002000000026,80.25001
80,1970-08-27,-373.1000300000002,80.0
81,1970-08-28,-372.1000300000002,81.0
82,1970-08-31,-372.70003000000025,80.4
83,1970-09-01,-374.00003000000027,79.1
84,1970-09-02,-373.8000300000003,79.3
85,1970-09-03,-373.95003000000025,78.1
86,1970-09-04,-373.2500300000003,78.8
87,1970-09-08,-373.20003000000025,78.85
88,1970-09-09,-372.95003000000025,79.1
89,1970-09-10,-372.1500300000003,79.9
90,1970-09-11,-372.8000300000003,79.25
91,1970-09-14,-371.20003000000025,80.85
92,1970-09-15,-371.8500300000002,80.2
93,1970-09-16,-372.3000300000003,79.75
94,1970-09-17,-372.8000300000003,79.25
95,1970-09-18,-372.7500300000003,79.3
96,1970-09-21,-374.0500300000003,78.0
97,1970-09-22,-372.7500300000003,79.3
98,1970-09-23,-372.1000300000002,79.95
99,1970-09-24,-371.6000300000002,80.45
100,1970-09-25,-372.8000300000003,79.25
101,1970-09-28,-373.6000300000003,78.45
102,1970-09-29,-373.70003000000025,78.35
103,1970-09-30,-373.9000300000003,78.15
104,1970-10-01,-373.3000300000003,78.75
105,1970-10-02,-373.5500300000003,78.5
106,1970-10-05,-372.8500300000002,79.2
107,1970-10-06,-372.9000300000003,79.1
108,1970-10-07,-372.5000300000003,79.5
109,1970-10-08,-372.7500300000003,79.25
110,1970-10-09,-372.0000300000003,80.0
111,1970-10-12,-371.7500200000002,80.25001
112,1970-10-13,-373.20003000000025,78.8
113,1970-10-14,-373.70003000000025,78.3
114,1970-10-15,-374.1500300000003,77.85
115,1970-10-16,-374.25003000000027,77.75
116,1970-10-19,-375.1000300000002,76.9
117,1970-10-20,-374.0500300000003,77.95
118,1970-10-21,-373.70003000000025,78.3
119,1970-10-22,-372.8000300000003,79.2
