,index,adjusted,underlying
0,1970-02-03,16.729999999999976,9.58
1,1970-02-04,16.60999999999997,9.46
2,1970-02-05,16.839999999999975,9.69
3,1970-02-06,16.82999999999997,9.68
4,1970-02-09,16.889999999999972,9.74
5,1970-02-10,16.989999999999966,9.84
6,1970-02-11,17.139999999999972,9.99
7,1970-02-12,17.099999999999966,9.95
8,1970-02-13,17.10999999999997,9.96
9,1970-02-16,17.339999999999975,10.19
10,1970-02-17,17.399999999999963,10.25
11,1970-02-18,17.539999999999964,10.39
12,1970-02-19,17.54999999999997,10.4
13,1970-02-20,17.679999999999964,10.53
14,1970-02-24,17.889999999999958,10.74
15,1970-02-25,17.639999999999958,10.49
16,1970-02-26,17.409999999999968,10.26
17,1970-02-27,17.659999999999968,10.51
18,1970-03-02,18.16999999999996,11.02
19,1970-03-03,18.13999999999996,10.99
20,1970-03-04,17.77999999999996,10.63
21,1970-03-05,17.97999999999996,10.83
22,1970-03-06,17.739999999999966,10.59
23,1970-03-09,17.119999999999976,9.97
24,1970-03-10,16.93999999999997,9.79
25,1970-03-11,17.21999999999997,10.07
26,1970-03-12,17.429999999999964,10.28
27,1970-03-13,17.47999999999996,10.33
28,1970-03-16,17.239999999999966,10.09
29,1970-03-17,17.499999999999957,10.35
30,1970-03-18,17.929999999999964,10.78
31,1970-03-19,17.54999999999997,10.4
32,1970-03-20,17.66999999999996,10.52
33,1970-03-23,17.619999999999962,10.47
34,1970-03-24,17.35999999999997,10.21
35,1970-03-25,17.649999999999963,10.5
36,1970-03-26,17.47999999999996,10.33
37,1970-03-30,17.629999999999967,10.48
38,1970-03-31,17.659999999999968,10.51
39,1970-04-01,17.96999999999997,10.82
40,1970-04-02,17.79999999999997,10.65
41,1970-04-03,18.05999999999996,10.49
42,1970-04-06,18.269999999999968,10.7
43,1970-04-07,18.11999999999996,10.55
44,1970-04-08,18.35999999999996,10.79
45,1970-04-09,18.30999999999996,10.74
46,1970-04-10,18.659999999999968,11.09
47,1970-04-13,19.039999999999974,11.47
48,1970-04-14,18.83999999999996,11.27
49,1970-04-15,18.69999999999996,11.13
50,1970-04-16,19.29999999999997,11.73
51,1970-04-17,19.269999999999968,11.7
52,1970-04-20,19.25999999999996,11.69
53,1970-04-21,19.38999999999997,11.82
54,1970-04-22,18.989999999999966,11.42
55,1970-04-23,19.19999999999996,11.63
56,1970-04-24,19.129999999999967,11.56
57,1970-04-27,18.679999999999964,11.11
58,1970-04-28,18.659999999999968,11.09
59,1970-04-29,18.54999999999997,10.98
60,1970-04-30,18.88999999999996,11.32
61,1970-05-01,18.82999999999997,11.26
62,1970-05-04,18.709999999999965,11.14
63,1970-05-05,18.59999999999997,10.71
64,1970-05-06,18.34999999999997,10.46
65,1970-05-07,18.539999999999964,10.65
66,1970-05-08,18.55999999999996,10.67
67,1970-05-11,18.519999999999968,10.63
68,1970-05-12,18.35999999999997,10.47
69,1970-05-13,17.999999999999957,10.11
70,1970-05-14,18.159999999999968,10.27
71,1970-05-15,18.409999999999968,10.52
72,1970-05-18,18.13999999999996,10.25
73,1970-05-19,18.24999999999996,10.36
74,1970-05-20,18.50999999999996,10.62
75,1970-05-21,18.84999999999997,10.96
76,1970-05-22,18.94999999999996,11.06
77,1970-05-25,18.79999999999997,10.91
78,1970-05-26,18.63999999999996,10.75
79,1970-05-27,18.879999999999967,10.99
80,1970-05-28,18.709999999999965,10.82
81,1970-06-01,18.47999999999996,10.59
82,1970-06-02,18.379999999999967,10.49
83,1970-06-03,18.41999999999996,10.27
84,1970-06-04,18.489999999999966,10.34
85,1970-06-05,18.46999999999997,10.32
86,1970-06-08,18.86999999999996,10.72
87,1970-06-09,18.659999999999968,10.51
88,1970-06-10,18.929999999999964,10.78
89,1970-06-11,18.83999999999996,10.69
90,1970-06-12,18.94999999999996,10.8
91,1970-06-15,18.93999999999997,10.79
