,index,adjusted,underlying
0,2002-03-12,504.8000000000003,537.5
1,2002-03-13,502.00000000000034,534.7
2,2002-03-14,502.60000000000025,535.3
3,2002-03-15,505.9000000000002,538.6
4,2002-03-18,510.60000000000025,543.3
5,2002-03-19,512.3000000000003,545.0
6,2002-03-20,504.3000000000003,537.0
7,2002-03-21,508.60000000000025,541.3
8,2002-03-22,504.8000000000003,537.5
9,2002-03-25,496.8000000000003,529.5
10,2002-03-26,502.8000000000003,535.5
11,2002-03-27,506.8000000000003,539.5
12,2002-03-28,509.8000000000003,542.5
13,2002-04-01,508.3000000000003,541.0
14,2002-04-02,503.3000000000003,536.0
15,2002-04-03,499.10000000000025,531.8
16,2002-04-04,499.00000000000034,531.7
17,2002-04-05,498.00000000000034,530.7
18,2002-04-08,505.8000000000003,538.5
19,2002-04-09,504.60000000000025,537.3
20,2002-04-10,512.6000000000003,545.3
21,2002-04-11,504.20000000000016,536.9
22,2002-04-12,511.10000000000025,543.8
23,2002-04-15,510.10000000000025,542.8
24,2002-04-16,520.2000000000002,552.9
25,2002-04-17,518.2000000000002,550.9
26,2002-04-18,515.3000000000003,548.0
27,2002-04-19,517.6000000000003,550.3
28,2002-04-22,509.3000000000003,542.0
29,2002-04-23,510.3000000000003,543.0
30,2002-04-24,503.60000000000025,536.3
31,2002-04-25,508.10000000000025,540.8
32,2002-04-26,498.8000000000003,531.5
33,2002-04-29,497.8000000000003,530.5
34,2002-04-30,506.20000000000016,538.9
35,2002-05-01,509.8000000000003,542.5
36,2002-05-02,507.3000000000003,540.0
37,2002-05-03,502.8000000000003,535.5
38,2002-05-06,493.8000000000003,526.5
39,2002-05-07,492.8000000000003,525.5
40,2002-05-08,507.8000000000003,540.5
41,2002-05-09,498.3000000000003,531.0
42,2002-05-10,494.50000000000034,527.2
43,2002-05-13,501.8000000000003,534.5
44,2002-05-14,515.8000000000003,548.5
45,2002-05-15,512.3000000000003,545.0
46,2002-05-16,509.8000000000003,542.5
47,2002-05-17,512.8000000000003,545.5
48,2002-05-20,506.8000000000003,539.5
49,2002-05-21,499.4000000000002,532.1
50,2002-05-22,497.3000000000003,530.0
51,2002-05-23,506.8000000000003,539.5
52,2002-05-24,500.10000000000025,532.8
53,2002-05-28,500.10000000000025,532.8
54,2002-05-29,495.3000000000003,528.0
55,2002-05-30,495.60000000000025,528.3
56,2002-05-31,496.20000000000016,528.9
57,2002-06-03,481.8000000000003,514.5
58,2002-06-04,477.60000000000025,510.3
59,2002-06-05,481.20000000000016,513.9
