,index,adjusted,underlying
0,1982-09-14,438.1499999999994,123.7
1,1982-09-15,438.6499999999994,124.2
2,1982-09-16,437.9999999999993,123.55
3,1982-09-17,437.09999999999934,122.65
4,1982-09-20,437.8999999999994,123.45
5,1982-09-21,440.7999999999994,126.35
6,1982-09-22,436.6499999999994,122.2
7,1982-09-23,438.2499999999993,123.8
8,1982-09-24,437.3999999999994,122.95
9,1982-09-27,438.4999999999993,124.05
10,1982-09-28,436.7999999999994,122.35
11,1982-09-29,434.3999999999994,119.95
12,1982-09-30,433.7999999999994,119.35
13,1982-10-01,434.59999999999934,120.15
14,1982-10-04,435.1499999999994,120.7
15,1982-10-05,434.9999999999993,120.55
16,1982-10-06,439.9999999999993,125.55
17,1982-10-07,444.59999999999934,130.15
18,1982-10-08,446.5499999999994,132.1
19,1982-10-11,450.2499999999993,135.8
20,1982-10-12,448.4999999999993,134.05
21,1982-10-13,452.09999999999934,137.65
22,1982-10-14,449.3999999999994,134.95
23,1982-10-15,449.7499999999993,135.3
24,1982-10-18,453.1499999999994,138.7
25,1982-10-19,451.84999999999934,137.4
26,1982-10-20,455.8999999999994,141.45
27,1982-10-21,455.5499999999994,141.1
28,1982-10-22,452.8999999999994,138.45
29,1982-10-25,447.8999999999994,133.45
30,1982-10-26,450.69999999999936,136.25
31,1982-10-27,449.6499999999994,135.2
32,1982-10-28,448.34999999999934,133.9
33,1982-10-29,448.9999999999993,134.55
34,1982-11-01,451.8999999999994,137.45
35,1982-11-02,453.2999999999994,138.85
36,1982-11-03,458.2999999999994,143.85
37,1982-11-04,458.4999999999993,144.05
38,1982-11-05,457.6499999999994,143.2
39,1982-11-08,456.6499999999994,142.2
40,1982-11-09,460.2499999999993,145.8
41,1982-11-10,456.1499999999994,141.7
42,1982-11-11,458.59999999999934,144.15
43,1982-11-12,455.2499999999993,140.8
44,1982-11-15,451.34999999999934,136.9
45,1982-11-16,451.1499999999994,136.7
46,1982-11-17,453.1499999999994,138.7
47,1982-11-18,453.6499999999994,139.2
48,1982-11-19,450.6499999999994,136.2
49,1982-11-22,447.1499999999994,132.7
50,1982-11-23,446.9999999999993,132.55
51,1982-11-24,448.2499999999993,133.8
52,1982-11-26,449.3999999999994,134.95
53,1982-11-29,448.09999999999934,133.65
54,1982-11-30,453.09999999999934,138.65
55,1982-12-01,452.5499999999994,138.1
56,1982-12-02,453.2999999999994,138.85
57,1982-12-03,453.59999999999934,139.15
58,1982-12-06,457.7999999999994,143.35
59,1982-12-07,458.19999999999936,143.75
60,1982-12-08,455.7999999999994,141.35
61,1982-12-09,454.1499999999994,139.7
62,1982-12-10,453.69999999999936,139.25
63,1982-12-13,454.94999999999936,140.5
64,1982-12-14,450.2499999999993,136.55
65,1982-12-15,449.7499999999993,136.05
66,1982-12-16,449.6499999999994,135.95
67,1982-12-17,452.2499999999993,138.55
68,1982-12-20,450.5499999999994,136.85
69,1982-12-21,454.5499999999994,140.85
70,1982-12-22,453.6499999999994,139.95
71,1982-12-23,454.44999999999936,140.75
72,1982-12-27,458.3999999999994,144.7
73,1982-12-28,455.94999999999936,142.25
74,1982-12-29,456.69999999999936,143.0
75,1982-12-30,454.84999999999934,141.15
76,1982-12-31,455.4999999999993,141.8
77,1983-01-03,452.69999999999936,139.0
78,1983-01-04,456.19999999999936,142.5
79,1983-01-05,456.59999999999934,142.9
80,1983-01-06,460.6499999999994,146.95
81,1983-01-07,460.69999999999936,147.0
82,1983-01-10,462.3999999999994,148.7
83,1983-01-11,461.59999999999934,147.9
84,1983-01-12,461.6499999999994,147.95
85,1983-01-13,461.7999999999994,148.1
86,1983-01-14,461.7999999999994,148.1
87,1983-01-17,462.1499999999994,148.45
88,1983-01-18,462.0499999999994,148.35
89,1983-01-19,459.94999999999936,146.25
90,1983-01-20,461.34999999999934,147.65
91,1983-01-21,457.59999999999934,143.9
92,1983-01-24,455.34999999999934,141.65
93,1983-01-25,455.8999999999994,142.2
94,1983-01-26,455.84999999999934,142.15
95,1983-01-27,459.9999999999993,146.3
96,1983-01-28,459.0499999999994,145.35
97,1983-01-31,460.8999999999994,147.2
98,1983-02-01,456.94999999999936,143.25
99,1983-02-02,457.7499999999993,144.05
100,1983-02-03,458.59999999999934,144.9
101,1983-02-04,462.09999999999934,148.4
102,1983-02-07,462.2499999999993,148.55
103,1983-02-08,459.84999999999934,146.15
104,1983-02-09,459.84999999999934,146.15
105,1983-02-10,463.69999999999936,150.0
106,1983-02-11,462.4999999999993,148.8
107,1983-02-14,464.6499999999994,150.95
108,1983-02-15,463.0499999999994,149.35
109,1983-02-16,461.94999999999936,148.25
110,1983-02-17,462.7499999999993,149.05
111,1983-02-18,462.94999999999936,149.25
112,1983-02-22,459.94999999999936,146.25
113,1983-02-23,462.2999999999994,148.6
114,1983-02-24,465.3999999999994,151.7
115,1983-02-25,464.69999999999936,151.0
116,1983-02-28,462.8999999999994,149.2
117,1983-03-01,466.19999999999936,152.5
118,1983-03-02,466.2499999999993,152.55
119,1983-03-03,466.94999999999936,153.25
120,1983-03-04,467.34999999999945,153.65
121,1983-03-07,467.2999999999993,153.6
122,1983-03-08,464.7999999999994,151.1
123,1983-03-09,466.5499999999993,152.85
124,1983-03-10,464.6499999999994,150.95
125,1983-03-11,464.94999999999936,151.25
126,1983-03-14,465.34999999999934,152.25
127,1983-03-15,465.5499999999994,152.45
128,1983-03-16,462.2999999999994,149.2
129,1983-03-17,462.44999999999936,149.35
130,1983-03-18,463.44999999999936,150.35
131,1983-03-21,465.3999999999994,152.3
132,1983-03-22,464.19999999999936,151.1
133,1983-03-23,467.7999999999994,154.7
134,1983-03-24,467.94999999999936,154.85
135,1983-03-25,466.2499999999993,153.15
136,1983-03-28,466.2499999999993,153.15
137,1983-03-29,465.3999999999994,152.3
138,1983-03-30,467.6499999999994,154.55
139,1983-03-31,464.94999999999936,151.85
140,1983-04-04,466.2999999999993,153.2
141,1983-04-05,464.84999999999934,151.75
142,1983-04-06,464.44999999999936,151.35
143,1983-04-07,464.8999999999994,151.8
144,1983-04-08,464.94999999999936,151.85
145,1983-04-11,468.19999999999936,155.1
146,1983-04-12,468.69999999999936,155.6
147,1983-04-13,469.44999999999936,156.35
148,1983-04-14,471.4999999999993,158.4
149,1983-04-15,471.2999999999994,158.2
150,1983-04-18,472.1499999999994,159.05
151,1983-04-19,471.0499999999994,157.95
152,1983-04-20,473.2999999999994,160.2
153,1983-04-21,472.84999999999934,159.75
154,1983-04-22,472.8999999999994,159.8
155,1983-04-25,471.2499999999993,158.15
156,1983-04-26,475.2499999999993,162.15
157,1983-04-27,474.9999999999993,161.9
158,1983-04-28,476.3999999999994,163.3
159,1983-04-29,477.34999999999934,164.25
160,1983-05-02,476.1499999999994,163.05
161,1983-05-03,476.2999999999993,163.2
162,1983-05-04,477.2999999999994,164.2
163,1983-05-05,477.94999999999936,164.85
164,1983-05-06,480.59999999999945,167.5
165,1983-05-09,480.19999999999936,167.1
166,1983-05-10,480.19999999999936,167.1
167,1983-05-11,479.09999999999934,166.0
168,1983-05-12,478.2499999999993,165.15
169,1983-05-13,478.94999999999936,165.85
170,1983-05-16,477.34999999999934,164.25
171,1983-05-17,477.6499999999994,164.55
172,1983-05-18,476.1499999999994,163.05
173,1983-05-19,475.2499999999993,162.15
174,1983-05-20,475.0499999999993,161.95
175,1983-05-23,477.0499999999994,163.95
176,1983-05-24,479.2499999999993,166.15
177,1983-05-25,479.9999999999993,166.9
178,1983-05-26,479.2499999999993,166.15
179,1983-05-27,478.69999999999936,165.6
180,1983-05-31,475.2999999999993,162.2
181,1983-06-01,476.0499999999993,162.95
182,1983-06-02,477.5499999999994,164.45
183,1983-06-03,477.7499999999993,164.65
184,1983-06-06,478.5499999999994,165.45
185,1983-06-07,474.9999999999993,161.9
186,1983-06-08,474.0499999999993,160.95
187,1983-06-09,474.9999999999993,161.9
188,1983-06-10,475.59999999999945,162.5
189,1983-06-13,478.44999999999936,165.35
190,1983-06-14,478.2999999999994,166.25
191,1983-06-15,481.2999999999993,169.25
192,1983-06-16,483.19999999999936,171.15
193,1983-06-17,483.4999999999993,171.45
194,1983-06-20,482.7499999999993,170.7
195,1983-06-21,484.69999999999936,172.65
196,1983-06-22,483.7999999999993,171.75
197,1983-06-23,484.0499999999993,172.0
198,1983-06-24,483.2499999999993,171.2
199,1983-06-27,481.59999999999945,169.55
200,1983-06-28,479.4999999999993,167.45
201,1983-06-29,480.94999999999936,168.9
202,1983-06-30,482.19999999999936,170.15
203,1983-07-01,482.2999999999993,170.25
204,1983-07-05,479.59999999999945,167.55
205,1983-07-06,481.84999999999945,169.8
206,1983-07-07,480.09999999999945,168.05
207,1983-07-08,480.34999999999945,168.3
208,1983-07-11,480.94999999999936,168.9
209,1983-07-12,478.2499999999993,166.2
210,1983-07-13,478.84999999999934,166.8
211,1983-07-14,479.1499999999994,167.1
212,1983-07-15,477.19999999999936,165.15
213,1983-07-18,477.4999999999993,165.45
214,1983-07-19,478.3999999999994,166.35
215,1983-07-20,482.3999999999994,170.35
216,1983-07-21,483.0499999999993,171.0
217,1983-07-22,482.09999999999945,170.05
218,1983-07-25,483.19999999999936,171.15
219,1983-07-26,483.44999999999936,171.4
220,1983-07-27,480.5499999999993,168.5
221,1983-07-28,477.69999999999936,165.65
222,1983-07-29,475.7499999999993,163.7
223,1983-08-01,475.1499999999994,163.1
224,1983-08-02,475.09999999999945,163.05
225,1983-08-03,476.3999999999994,164.35
226,1983-08-04,473.4999999999993,161.45
227,1983-08-05,474.7999999999993,162.75
228,1983-08-08,472.59999999999934,160.55
229,1983-08-09,473.4999999999993,161.45
230,1983-08-10,474.6499999999994,162.6
231,1983-08-11,474.6499999999994,162.6
232,1983-08-12,475.44999999999936,163.4
233,1983-08-15,476.44999999999936,164.4
234,1983-08-16,476.19999999999936,164.15
235,1983-08-17,477.69999999999936,165.65
236,1983-08-18,475.69999999999936,163.65
237,1983-08-19,476.8999999999994,164.85
238,1983-08-22,476.3999999999994,164.35
239,1983-08-23,475.0499999999993,163.0
240,1983-08-24,473.3999999999994,161.35
241,1983-08-25,473.59999999999934,161.55
242,1983-08-26,474.6499999999994,162.6
243,1983-08-29,475.2499999999993,163.2
244,1983-08-30,475.19999999999936,163.15
245,1983-08-31,476.9999999999993,164.95
246,1983-09-01,476.7999999999994,164.75
247,1983-09-02,477.3999999999994,165.35
248,1983-09-06,480.3999999999994,168.35
249,1983-09-07,480.69999999999936,168.65
250,1983-09-08,480.19999999999936,168.15
251,1983-09-09,479.09999999999934,167.05
252,1983-09-12,477.19999999999936,165.15
253,1983-09-13,477.5499999999994,166.95
254,1983-09-14,478.09999999999934,167.5
255,1983-09-15,477.1499999999994,166.55
256,1983-09-16,479.5499999999993,168.95
257,1983-09-19,480.7499999999993,170.15
258,1983-09-20,481.84999999999945,171.25
259,1983-09-21,481.34999999999945,170.75
260,1983-09-22,482.2999999999993,171.7
261,1983-09-23,481.9999999999993,171.4
262,1983-09-26,482.09999999999945,171.5
263,1983-09-27,480.9999999999993,170.4
264,1983-09-28,480.59999999999945,170.0
265,1983-09-29,479.9999999999993,169.4
266,1983-09-30,478.84999999999934,168.25
267,1983-10-03,479.0499999999994,168.45
268,1983-10-04,479.09999999999934,168.5
269,1983-10-05,480.69999999999936,170.1
270,1983-10-06,482.5499999999993,171.95
271,1983-10-07,482.69999999999936,172.1
272,1983-10-10,484.6499999999994,174.05
273,1983-10-11,482.19999999999936,171.6
274,1983-10-12,481.6499999999994,171.05
275,1983-10-13,482.5499999999993,171.95
276,1983-10-14,482.2499999999993,171.65
277,1983-10-17,483.09999999999945,172.5
278,1983-10-18,480.5499999999993,169.95
279,1983-10-19,479.09999999999934,168.5
280,1983-10-20,479.4999999999993,168.9
281,1983-10-21,478.2999999999994,167.7
282,1983-10-24,478.8999999999994,168.3
283,1983-10-25,478.69999999999936,168.1
284,1983-10-26,477.44999999999936,166.85
285,1983-10-27,477.7499999999993,167.15
286,1983-10-28,475.94999999999936,165.35
287,1983-10-31,476.0499999999993,165.45
288,1983-11-01,476.19999999999936,165.6
289,1983-11-02,477.2999999999994,166.7
290,1983-11-03,475.6499999999994,165.05
291,1983-11-04,474.7999999999993,164.2
292,1983-11-07,474.0499999999993,163.45
293,1983-11-08,474.34999999999945,163.75
294,1983-11-09,476.5499999999994,165.95
295,1983-11-10,476.7999999999994,166.2
296,1983-11-11,478.44999999999936,167.85
297,1983-11-14,478.3999999999994,167.8
298,1983-11-15,477.2499999999993,166.65
299,1983-11-16,477.3999999999994,166.8
300,1983-11-17,477.69999999999936,167.1
301,1983-11-18,477.2999999999994,166.7
302,1983-11-21,478.44999999999936,167.85
303,1983-11-22,478.44999999999936,167.85
304,1983-11-23,478.7499999999993,168.15
305,1983-11-28,477.4999999999993,166.9
306,1983-11-29,479.34999999999945,168.75
307,1983-11-30,476.9999999999993,166.4
308,1983-12-01,478.0499999999994,167.45
309,1983-12-02,476.5499999999994,165.95
310,1983-12-05,477.3999999999994,166.8
311,1983-12-06,476.6499999999994,166.05
312,1983-12-07,477.34999999999934,166.75
313,1983-12-08,476.0499999999993,165.45
314,1983-12-09,475.8999999999994,165.3
315,1983-12-12,476.7499999999993,166.15
316,1983-12-13,475.5499999999994,167.15
317,1983-12-14,474.09999999999945,165.7
318,1983-12-15,472.94999999999936,164.55
319,1983-12-16,474.1499999999994,165.75
320,1983-12-19,474.1499999999994,165.75
321,1983-12-20,473.59999999999934,165.2
322,1983-12-21,475.4999999999993,167.1
323,1983-12-22,474.84999999999945,166.45
324,1983-12-23,474.94999999999936,166.55
325,1983-12-27,475.84999999999945,167.45
326,1983-12-28,475.7999999999994,167.4
327,1983-12-29,475.5499999999994,167.15
328,1983-12-30,475.69999999999936,167.3
329,1984-01-03,474.19999999999936,165.8
330,1984-01-04,477.2999999999994,168.9
331,1984-01-05,478.4999999999993,170.1
332,1984-01-06,479.09999999999934,170.7
333,1984-01-09,479.19999999999936,170.8
334,1984-01-10,478.3999999999994,170.0
335,1984-01-11,478.3999999999994,170.0
336,1984-01-12,477.9999999999993,169.6
337,1984-01-13,477.5499999999994,169.15
338,1984-01-16,477.94999999999936,169.55
339,1984-01-17,478.84999999999934,170.45
340,1984-01-18,478.2999999999994,169.9
341,1984-01-19,477.5499999999994,169.15
342,1984-01-20,476.44999999999936,168.05
343,1984-01-23,475.3999999999994,167.0
344,1984-01-24,476.1499999999994,167.75
345,1984-01-25,475.09999999999945,166.7
346,1984-01-26,474.44999999999936,166.05
347,1984-01-27,474.6499999999994,166.25
348,1984-01-30,473.69999999999936,165.3
