,index,adjusted,underlying
0,2010-03-11,572.0,925.0
1,2010-03-12,574.5,927.5
2,2010-03-15,577.0,930.0
3,2010-03-16,579.0,932.0
4,2010-03-17,585.0,938.0
5,2010-03-18,581.0,934.0
6,2010-03-19,587.0,940.0
7,2010-03-23,586.5,939.5
8,2010-03-24,591.5,944.5
9,2010-03-25,591.5,944.5
10,2010-03-26,609.0,962.0
11,2010-03-29,617.5,970.5
12,2010-03-30,630.0,983.0
13,2010-03-31,624.5,977.5
14,2010-04-01,633.0,986.0
15,2010-04-02,640.0,993.0
16,2010-04-05,644.5,997.5
17,2010-04-06,640.0,993.0
18,2010-04-07,641.5,994.5
19,2010-04-08,633.5,986.5
20,2010-04-09,636.0,989.0
21,2010-04-12,640.5,993.5
22,2010-04-13,635.0,988.0
23,2010-04-14,639.5,992.5
24,2010-04-15,646.0,999.0
25,2010-04-16,636.5,989.5
26,2010-04-19,617.5,970.5
27,2010-04-20,620.0,973.0
28,2010-04-21,636.0,989.0
29,2010-04-22,625.5,978.5
30,2010-04-23,628.0,981.0
31,2010-04-26,643.5,996.5
32,2010-04-27,644.5,997.5
33,2010-04-28,623.0,976.0
34,2010-04-30,630.0,983.0
35,2010-05-06,601.0,954.0
36,2010-05-07,583.0,936.0
37,2010-05-10,591.5,944.5
38,2010-05-11,580.5,933.5
39,2010-05-12,577.5,930.5
40,2010-05-13,595.5,948.5
41,2010-05-14,582.5,935.5
42,2010-05-17,568.5,921.5
43,2010-05-18,559.5,912.5
44,2010-05-19,553.5,906.5
45,2010-05-20,545.0,898.0
46,2010-05-21,521.5,874.5
47,2010-05-24,525.0,878.0
48,2010-05-25,504.5,857.5
49,2010-05-26,501.5,854.5
50,2010-05-27,517.5,870.5
51,2010-05-28,530.0,883.0
52,2010-05-31,525.5,878.5
53,2010-06-01,530.5,883.5
54,2010-06-02,517.0,870.0
55,2010-06-03,540.5,893.5
56,2010-06-04,540.0,893.0
57,2010-06-07,504.0,857.0
58,2010-06-08,503.5,856.5
59,2010-06-09,499.5,852.5
60,2010-06-10,501.5,854.5
61,2010-06-11,513.0,865.5
62,2010-06-14,523.5,876.0
63,2010-06-15,522.5,875.0
64,2010-06-16,542.0,894.5
65,2010-06-17,535.0,887.5
66,2010-06-18,532.0,884.5
67,2010-06-21,551.0,903.5
68,2010-06-22,541.0,893.5
69,2010-06-23,526.5,879.0
70,2010-06-24,526.5,879.0
71,2010-06-25,515.0,867.5
72,2010-06-28,507.5,860.0
73,2010-06-29,498.5,851.0
74,2010-06-30,486.0,838.5
75,2010-07-01,476.5,829.0
76,2010-07-02,480.5,833.0
77,2010-07-05,485.5,838.0
78,2010-07-06,496.5,849.0
79,2010-07-07,490.0,842.5
80,2010-07-08,510.0,862.5
81,2010-07-09,508.0,860.5
82,2010-07-12,506.0,858.5
83,2010-07-13,500.5,853.0
84,2010-07-14,517.5,870.0
85,2010-07-15,502.5,855.0
86,2010-07-16,489.0,841.5
87,2010-07-20,480.0,832.5
88,2010-07-21,474.5,827.0
89,2010-07-22,471.5,824.0
90,2010-07-23,490.0,842.5
91,2010-07-26,492.5,845.0
92,2010-07-27,493.0,845.5
93,2010-07-28,512.0,864.5
94,2010-07-29,508.0,860.5
95,2010-07-30,494.5,847.0
96,2010-08-02,496.5,849.0
97,2010-08-03,506.0,858.5
98,2010-08-04,492.5,845.0
99,2010-08-05,504.0,856.5
100,2010-08-06,511.0,863.5
101,2010-08-09,503.5,856.0
102,2010-08-10,500.5,853.0
103,2010-08-11,480.5,833.0
104,2010-08-12,473.0,825.5
105,2010-08-13,480.5,833.0
106,2010-08-16,474.0,826.5
107,2010-08-17,475.0,827.5
108,2010-08-18,482.5,835.0
109,2010-08-19,492.0,844.5
110,2010-08-20,475.0,827.5
111,2010-08-23,470.0,822.5
112,2010-08-24,463.5,816.0
113,2010-08-25,452.5,805.0
114,2010-08-26,458.0,810.5
115,2010-08-27,465.5,818.0
116,2010-08-30,476.0,828.5
117,2010-08-31,448.0,800.5
118,2010-09-01,459.0,811.5
119,2010-09-02,464.5,817.0
120,2010-09-03,472.0,824.5
121,2010-09-06,484.5,837.0
122,2010-09-07,481.5,834.0
123,2010-09-08,467.5,820.0
124,2010-09-09,471.0,823.5
125,2010-09-10,481.0,826.0
126,2010-09-13,485.5,830.5
127,2010-09-14,483.0,828.0
128,2010-09-15,496.0,841.0
129,2010-09-16,491.5,836.5
130,2010-09-17,500.0,845.0
131,2010-09-21,496.5,841.5
132,2010-09-22,495.0,840.0
133,2010-09-24,484.0,829.0
134,2010-09-27,499.0,844.0
135,2010-09-28,497.0,842.0
136,2010-09-29,505.0,850.0
137,2010-09-30,481.5,826.5
138,2010-10-01,482.0,827.0
139,2010-10-04,475.5,820.5
140,2010-10-05,487.5,832.5
141,2010-10-06,499.0,844.0
142,2010-10-07,502.5,847.5
143,2010-10-08,493.5,838.5
144,2010-10-12,480.5,825.5
