,index,adjusted,underlying
0,1982-08-30,-38.19530249999997,75.53125
1,1982-08-31,-38.47655249999997,75.25
2,1982-09-01,-38.07030249999997,75.65625
3,1982-09-02,-37.47655249999997,76.25
4,1982-09-03,-36.94530249999997,76.78125
5,1982-09-07,-37.13280249999997,76.59375
6,1982-09-08,-37.00780249999997,76.71875
7,1982-09-09,-37.16405249999997,76.5625
8,1982-09-10,-38.22655249999997,75.5
9,1982-09-13,-37.44530249999997,76.28125
10,1982-09-14,-37.38280249999997,76.34375
11,1982-09-15,-37.50780249999997,76.21875
12,1982-09-16,-37.66405249999997,76.0625
13,1982-09-17,-37.16405249999997,76.5625
14,1982-09-20,-36.97655249999997,76.75
15,1982-09-21,-35.66405249999997,78.0625
16,1982-09-22,-35.66405249999997,78.0625
17,1982-09-23,-35.28905249999997,78.4375
18,1982-09-24,-35.82030249999997,77.90625
19,1982-09-27,-35.75780249999997,77.96875
20,1982-09-28,-35.19530249999997,78.53125
21,1982-09-29,-35.25780249999997,78.46875
22,1982-09-30,-34.91405249999997,78.8125
23,1982-10-01,-33.97655249999997,79.75
24,1982-10-04,-35.28905249999997,78.4375
25,1982-10-05,-35.03905249999997,78.6875
26,1982-10-06,-34.16405249999997,79.5625
27,1982-10-07,-32.16405249999997,81.5625
28,1982-10-08,-31.72655249999997,82.0
29,1982-10-11,-29.72655249999997,84.0
30,1982-10-12,-29.82030249999997,83.90625
31,1982-10-13,-29.44530249999997,84.28125
32,1982-10-14,-30.41405249999997,83.3125
33,1982-10-15,-31.10155249999997,82.625
34,1982-10-18,-30.28905249999997,83.4375
35,1982-10-19,-29.91405249999997,83.8125
36,1982-10-20,-30.35155249999997,83.375
37,1982-10-21,-30.25780249999997,83.46875
38,1982-10-22,-30.94530249999997,82.78125
39,1982-10-25,-32.22655249999997,81.5
40,1982-10-26,-31.28905249999997,82.4375
41,1982-10-27,-31.63280249999997,82.09375
42,1982-10-28,-30.78905249999997,82.9375
43,1982-10-29,-30.07030249999997,83.65625
44,1982-11-01,-29.47655249999997,84.25
45,1982-11-03,-28.88280249999997,84.84375
46,1982-11-04,-28.72655249999997,85.0
47,1982-11-05,-29.19530249999997,84.53125
48,1982-11-08,-29.47655249999997,84.25
49,1982-11-09,-29.28905249999997,84.4375
50,1982-11-10,-29.22655249999997,84.5
51,1982-11-11,-29.85155249999997,83.875
52,1982-11-12,-29.50780249999997,84.21875
53,1982-11-15,-29.88280249999997,83.84375
54,1982-11-16,-30.41405249999997,83.3125
55,1982-11-17,-29.63280249999997,84.09375
56,1982-11-18,-29.10155249999997,84.625
57,1982-11-19,-29.00780249999997,84.71875
58,1982-11-22,-29.28905249999997,84.4375
59,1982-11-23,-29.66405249999997,84.0625
60,1982-11-24,-29.75780249999997,83.96875
61,1982-11-26,-30.16405249999997,83.5625
62,1982-11-29,-31.16405249999997,82.03125
63,1982-11-30,-31.07030249999997,82.125
64,1982-12-01,-30.97655249999997,82.21875
65,1982-12-02,-30.66405249999997,82.53125
66,1982-12-03,-29.53905249999997,83.65625
67,1982-12-06,-29.50780249999997,83.6875
68,1982-12-07,-29.60155249999997,83.59375
69,1982-12-08,-30.38280249999997,82.8125
70,1982-12-09,-30.19530249999997,83.0
71,1982-12-10,-30.85155249999997,82.34375
72,1982-12-13,-30.38280249999997,82.8125
73,1982-12-14,-29.82030249999997,83.375
74,1982-12-15,-29.97655249999997,83.21875
75,1982-12-16,-30.57030249999997,82.625
76,1982-12-17,-30.38280249999997,82.8125
77,1982-12-20,-30.57030249999997,82.625
78,1982-12-21,-29.53905249999997,83.65625
79,1982-12-22,-29.75780249999997,83.4375
80,1982-12-23,-29.32030249999997,83.875
81,1982-12-27,-28.91405249999997,84.28125
82,1982-12-28,-28.91405249999997,84.28125
83,1982-12-29,-29.16405249999997,84.03125
84,1982-12-30,-29.13280249999997,84.0625
85,1983-01-03,-28.32030249999997,84.875
86,1983-01-04,-28.63280249999997,84.5625
