,index,adjusted,underlying
0,2016-03-02,130.65625,139.84375
1,2016-03-03,130.390625,139.578125
2,2016-03-04,130.671875,139.859375
3,2016-03-06,130.109375,139.296875
4,2016-03-07,130.0625,139.25
5,2016-03-08,130.1875,139.375
6,2016-03-09,130.484375,139.671875
7,2016-03-10,130.171875,139.359375
8,2016-03-11,129.4375,138.625
9,2016-03-13,129.046875,138.234375
10,2016-03-14,129.125,138.3125
11,2016-03-15,129.328125,138.515625
12,2016-03-16,129.390625,138.578125
13,2016-03-17,130.234375,139.421875
14,2016-03-18,130.4375,139.625
15,2016-03-20,130.296875,139.484375
16,2016-03-21,130.375,139.5625
17,2016-03-22,129.890625,139.078125
18,2016-03-23,129.5625,138.75
19,2016-03-24,130.265625,139.453125
20,2016-03-27,129.921875,139.109375
21,2016-03-28,130.03125,139.21875
22,2016-03-29,130.34375,139.53125
23,2016-03-30,131.25,140.4375
24,2016-03-31,131.125,140.3125
25,2016-04-01,131.4375,140.625
26,2016-04-03,131.828125,141.015625
27,2016-04-04,131.859375,141.046875
28,2016-04-05,132.046875,141.234375
29,2016-04-06,132.203125,141.390625
30,2016-04-07,131.984375,141.171875
31,2016-04-08,132.59375,141.78125
32,2016-04-10,132.375,141.5625
33,2016-04-11,132.609375,141.796875
34,2016-04-12,132.109375,141.296875
35,2016-04-13,131.765625,140.953125
36,2016-04-14,131.96875,141.15625
37,2016-04-15,131.734375,140.921875
38,2016-04-17,132.4375,141.625
39,2016-04-18,132.4375,141.625
40,2016-04-19,131.828125,141.015625
41,2016-04-20,132.046875,141.234375
42,2016-04-21,131.015625,140.203125
43,2016-04-22,130.671875,139.859375
44,2016-04-24,130.484375,139.671875
45,2016-04-25,130.546875,139.734375
46,2016-04-26,130.484375,139.671875
47,2016-04-27,130.265625,139.453125
48,2016-04-28,131.359375,140.546875
49,2016-04-29,131.234375,140.421875
50,2016-05-01,131.265625,140.453125
51,2016-05-02,131.34375,140.53125
52,2016-05-03,131.03125,140.21875
53,2016-05-04,131.640625,140.828125
54,2016-05-05,131.703125,140.890625
55,2016-05-06,132.25,141.4375
56,2016-05-08,131.796875,140.984375
57,2016-05-09,131.828125,141.015625
