index,adjusted,underlying
2020-08-27,118.35,116.3671875
2020-08-28,118.45,116.46875
2020-08-31,118.48,116.4921875
2020-09-01,118.49,116.50390625
2020-09-02,118.48,116.4921875
2020-09-03,118.53,116.5390625
2020-09-04,118.39,116.40234375
2020-09-08,118.45,116.46484375
2020-09-09,118.44,116.45703125
2020-09-10,118.47,116.484375
2020-09-11,118.52,116.53125
2020-09-14,118.49,116.50390625
2020-09-15,118.48,116.49609375
2020-09-16,118.48,116.4921875
2020-09-17,118.5,116.515625
2020-09-18,118.49,116.5
2020-09-21,118.51,116.51953125
2020-09-22,118.53,116.5390625
2020-09-23,118.49,116.5078125
2020-09-24,118.51,116.51953125
2020-09-25,118.53,116.5390625
2020-09-28,118.52,116.53515625
2020-09-29,118.54,116.5546875
2020-09-30,118.52,116.53125
2020-10-01,118.5,116.515625
2020-10-02,118.48,116.4921875
2020-10-05,118.4,116.41796875
2020-10-06,118.42,116.4296875
2020-10-07,118.36,116.37890625
2020-10-08,118.41,116.421875
2020-10-09,118.38,116.3984375
2020-10-12,118.38,116.39453125
2020-10-13,118.45,116.46875
2020-10-14,118.45,116.46875
2020-10-15,118.45,116.4609375
2020-10-16,118.43,116.44921875
2020-10-19,118.42,116.43359375
2020-10-20,118.4,116.41796875
2020-10-21,118.39,116.40625
2020-10-22,118.36,116.37109375
2020-10-23,118.37,116.3828125
2020-10-26,118.4,116.41796875
2020-10-27,118.42,116.43359375
2020-10-28,118.43,116.44140625
2020-10-29,118.39,116.40625
2020-10-30,118.39,116.40625
2020-11-02,118.38,116.39453125
2020-11-03,118.34,116.359375
2020-11-04,118.46,116.47265625
2020-11-05,118.42,116.43359375
2020-11-06,118.38,116.39453125
2020-11-09,118.25,116.265625
2020-11-10,118.23,116.24609375
2020-11-11,118.23,116.25
2020-11-12,118.31,116.32421875
2020-11-13,118.3,116.31640625
2020-11-16,118.3,116.3125
2020-11-17,118.33,116.34375
2020-11-18,118.32,116.33203125
2020-11-19,118.34,116.35546875
2020-11-20,118.37,116.3828125
2020-11-23,118.35,116.3671875
2020-11-24,118.36,116.375
2020-11-25,118.39,116.40234375
2020-11-27,118.41,116.421875
2020-11-30,118.46,116.45703125
2020-12-01,118.32,116.3125
2020-12-02,118.34,116.33984375
2020-12-03,118.4,116.390625
2020-12-04,118.38,116.375
2020-12-07,118.44,116.4375
2020-12-08,118.43,116.421875
2020-12-09,118.4,116.390625
2020-12-10,118.47,116.4609375
2020-12-11,118.53,116.52734375
2020-12-14,118.54,116.53515625
2020-12-15,118.51,116.5078125
2020-12-16,118.53,116.51953125
2020-12-17,118.5,116.49609375
2020-12-18,118.52,116.51171875
2020-12-21,118.51,116.5078125
2020-12-22,118.55,116.54296875
2020-12-23,118.54,116.53125
2020-12-24,118.55,116.54296875
2020-12-28,118.55,116.5390625
2020-12-29,118.55,116.54296875
2020-12-30,118.55,116.546875
2020-12-31,118.57,116.56640625
2021-01-04,118.59,116.578125
2021-01-05,118.54,116.53515625
2021-01-06,118.43,116.421875
2021-01-07,118.42,116.41015625
2021-01-08,118.38,116.37890625
2021-01-11,118.36,116.35546875
2021-01-12,118.36,116.3515625
2021-01-13,118.39,116.3828125
2021-01-14,118.4,116.390625
2021-01-15,118.45,116.44140625
2021-01-19,118.47,116.46875
2021-01-20,118.49,116.48046875
2021-01-21,118.5,116.49609375
2021-01-22,118.52,116.51171875
2021-01-25,118.55,116.5390625
2021-01-26,118.54,116.53125
2021-01-27,118.55,116.546875
2021-01-28,118.52,116.51171875
2021-01-29,118.52,116.515625
2021-02-01,118.55,116.546875
2021-02-02,118.52,116.515625
2021-02-03,118.5,116.49609375
2021-02-04,118.5,116.49609375
2021-02-05,118.52,116.51171875
2021-02-08,118.5,116.49609375
2021-02-09,118.49,116.48828125
2021-02-10,118.53,116.52734375
2021-02-11,118.54,116.53515625
2021-02-12,118.52,116.51171875
2021-02-16,118.42,116.4140625
2021-02-17,118.46,116.45703125
2021-02-18,118.49,116.48046875
2021-02-19,118.46,116.45703125
2021-02-22,118.43,116.42578125
2021-02-23,118.45,116.4453125
2021-02-24,118.33,116.32421875
2021-02-25,117.82,115.9453125
2021-02-26,117.89,116.01171875
2021-03-01,118.06,116.18359375
