,index,adjusted,underlying
0,2013-03-11,97.1953125,97.828125
1,2013-03-12,97.5078125,98.140625
2,2013-03-13,97.4921875,98.125
3,2013-03-14,97.4296875,98.0625
4,2013-03-15,97.7265625,98.359375
5,2013-03-18,97.9765625,98.609375
6,2013-03-19,98.2734375,98.90625
7,2013-03-20,97.8515625,98.484375
8,2013-03-21,98.1328125,98.765625
9,2013-03-22,98.1953125,98.828125
10,2013-03-25,98.2421875,98.875
11,2013-03-26,97.9921875,98.625
12,2013-03-27,98.6484375,99.28125
13,2013-03-28,98.5390625,99.171875
14,2013-04-01,98.7421875,99.375
15,2013-04-02,98.5390625,99.171875
16,2013-04-03,98.9609375,99.59375
17,2013-04-04,99.4296875,100.0625
18,2013-04-05,99.8671875,100.5
19,2013-04-08,99.6171875,100.25
20,2013-04-09,99.4921875,100.125
21,2013-04-10,99.0390625,99.671875
22,2013-04-11,99.1953125,99.828125
23,2013-04-12,99.7890625,100.421875
24,2013-04-15,100.1484375,100.78125
25,2013-04-16,99.8671875,100.5
26,2013-04-17,100.1328125,100.765625
27,2013-04-18,100.2890625,100.921875
28,2013-04-19,100.2421875,100.875
29,2013-04-22,100.1640625,100.796875
30,2013-04-23,99.9296875,100.5625
31,2013-04-24,100.1484375,100.78125
32,2013-04-25,100.0078125,100.640625
33,2013-04-26,100.3984375,101.03125
34,2013-04-29,100.4453125,101.078125
35,2013-04-30,100.3828125,101.015625
36,2013-05-01,100.7109375,101.34375
37,2013-05-02,100.8359375,101.46875
38,2013-05-03,99.7265625,100.359375
39,2013-05-06,99.4921875,100.125
40,2013-05-07,99.3671875,100.0
41,2013-05-08,99.4609375,100.09375
42,2013-05-09,99.4140625,100.046875
43,2013-05-10,98.7109375,99.34375
44,2013-05-13,98.5390625,99.171875
45,2013-05-14,97.9609375,98.59375
46,2013-05-15,98.3984375,99.03125
47,2013-05-16,99.0859375,99.71875
48,2013-05-17,98.3359375,98.96875
49,2013-05-20,98.2109375,98.84375
50,2013-05-21,98.6171875,99.25
51,2013-05-22,97.5859375,98.21875
52,2013-05-23,97.6953125,98.328125
53,2013-05-24,97.6640625,98.296875
54,2013-05-28,96.0703125,96.703125
55,2013-05-29,96.6171875,97.25
56,2013-05-30,96.5546875,97.1875
57,2013-05-31,96.3828125,97.015625
58,2013-06-03,96.3671875,97.0
59,2013-06-04,96.0703125,96.703125
60,2013-06-05,96.5859375,97.21875
61,2013-06-06,96.8828125,97.515625
62,2013-06-07,95.8671875,96.5
63,2013-06-10,95.4296875,96.0625
64,2013-06-11,95.8828125,97.953125
65,2013-06-12,95.4140625,97.484375
66,2013-06-13,96.3671875,98.4375
67,2013-06-14,96.5703125,98.640625
68,2013-06-17,96.1640625,98.234375
69,2013-06-18,96.0234375,98.09375
70,2013-06-19,94.6171875,96.6875
71,2013-06-20,93.5078125,95.578125
72,2013-06-21,92.3984375,94.46875
73,2013-06-24,92.2421875,94.3125
74,2013-06-25,92.0546875,94.125
75,2013-06-26,92.4453125,94.515625
76,2013-06-27,93.2421875,95.3125
77,2013-06-28,93.0078125,95.078125
78,2013-07-01,93.1171875,95.1875
79,2013-07-02,93.1328125,95.203125
80,2013-07-03,91.7421875,93.8125
81,2013-07-05,90.7421875,92.8125
82,2013-07-08,91.3828125,93.453125
83,2013-07-09,91.6796875,93.75
84,2013-07-10,91.5859375,93.65625
85,2013-07-11,92.3984375,94.46875
86,2013-07-12,92.0859375,94.15625
87,2013-07-15,92.4453125,94.515625
88,2013-07-16,92.7734375,94.84375
89,2013-07-17,93.3671875,95.4375
90,2013-07-18,92.8828125,94.953125
91,2013-07-19,93.3046875,95.375
92,2013-07-22,93.2890625,95.359375
93,2013-07-23,93.1640625,95.234375
94,2013-07-24,92.5078125,94.578125
95,2013-07-25,92.5859375,94.65625
96,2013-07-26,92.7890625,94.859375
97,2013-07-29,92.5859375,94.65625
98,2013-07-30,92.5078125,94.578125
99,2013-07-31,92.7578125,94.828125
100,2013-08-01,91.6171875,93.6875
101,2013-08-02,92.6640625,94.734375
102,2013-08-05,92.3515625,94.421875
103,2013-08-06,92.2578125,94.328125
104,2013-08-07,92.6796875,94.75
105,2013-08-08,92.8203125,94.890625
106,2013-08-09,93.0078125,95.078125
107,2013-08-12,92.6484375,94.71875
108,2013-08-13,91.6796875,93.75
109,2013-08-14,91.8515625,93.921875
110,2013-08-15,91.4765625,93.546875
111,2013-08-16,90.8359375,92.90625
112,2013-08-19,90.3046875,92.375
113,2013-08-20,90.8359375,92.90625
114,2013-08-21,90.0703125,92.140625
115,2013-08-22,90.0703125,92.140625
116,2013-08-23,90.8515625,92.921875
