,index,adjusted,underlying
0,2020-12-10,115.17250000000004,100.07
1,2020-12-11,115.30250000000004,100.2
2,2020-12-14,115.27500000000003,100.1725
3,2020-12-15,115.19000000000004,100.0875
4,2020-12-16,115.20250000000004,100.1
5,2020-12-17,115.18000000000004,100.0775
6,2020-12-18,115.16250000000004,100.06
7,2020-12-21,115.15000000000003,100.0475
8,2020-12-28,115.17250000000004,100.07
9,2020-12-29,115.17750000000004,100.075
10,2020-12-30,115.23000000000005,100.1275
11,2020-12-31,115.29000000000003,100.1875
12,2021-01-05,115.22250000000004,100.12
13,2021-01-06,114.96250000000003,99.86
14,2021-01-07,114.80750000000003,99.705
15,2021-01-08,114.64250000000004,99.54
16,2021-01-11,114.54000000000003,99.4375
17,2021-01-12,114.50750000000004,99.405
18,2021-01-13,114.68250000000003,99.58
19,2021-01-14,114.64750000000004,99.545
20,2021-01-15,114.78250000000004,99.68
21,2021-01-19,114.82000000000004,99.7175
22,2021-01-20,114.80500000000004,99.7025
23,2021-01-21,114.78000000000004,99.6775
24,2021-01-22,114.80000000000004,99.6975
25,2021-01-25,114.90750000000004,99.805
26,2021-01-26,114.88750000000005,99.785
27,2021-01-27,114.94750000000003,99.845
28,2021-01-28,114.82500000000005,99.7225
29,2021-01-29,114.74500000000003,99.6425
30,2021-02-01,114.80500000000004,99.7025
31,2021-02-02,114.69000000000004,99.5875
32,2021-02-03,114.58500000000004,99.4825
33,2021-02-04,114.56000000000004,99.4575
34,2021-02-05,114.51500000000004,99.4125
35,2021-02-08,114.47250000000004,99.37
36,2021-02-09,114.52750000000005,99.425
37,2021-02-10,114.58750000000003,99.485
38,2021-02-11,114.55000000000004,99.4475
39,2021-02-12,114.42250000000004,99.32
40,2021-02-16,114.04500000000004,98.9425
41,2021-02-17,114.03250000000004,98.93
42,2021-02-18,114.11500000000004,99.0125
43,2021-02-19,113.91750000000005,98.815
44,2021-02-22,113.84500000000004,98.7425
45,2021-02-23,113.93000000000004,98.8275
46,2021-02-24,113.83750000000003,98.735
47,2021-02-25,113.17250000000004,98.07
48,2021-02-26,113.17750000000004,98.075
49,2021-03-01,113.38250000000004,98.28
50,2021-03-02,113.55250000000004,98.45
51,2021-03-03,113.30750000000003,98.205
52,2021-03-04,113.08250000000004,97.98
53,2021-03-05,113.00750000000004,97.905
54,2021-03-08,112.91750000000005,97.815
55,2021-03-10,113.23000000000005,97.6525
56,2021-03-11,113.25750000000004,97.68
57,2021-03-12,112.94750000000003,97.37
58,2021-03-15,113.03250000000004,97.455
59,2021-03-16,113.06500000000004,97.4875
60,2021-03-17,113.15250000000005,97.575
61,2021-03-18,112.86750000000004,97.29
62,2021-03-19,112.70500000000004,97.1275
63,2021-03-22,112.81750000000002,97.24
64,2021-03-23,112.97500000000002,97.3975
65,2021-03-24,113.01750000000004,97.44
66,2021-03-25,113.03250000000004,97.455
67,2021-03-26,112.87250000000004,97.295
68,2021-03-29,112.66250000000002,97.085
69,2021-03-30,112.54500000000004,96.9675
70,2021-03-31,112.42750000000002,96.85
71,2021-04-01,112.58500000000002,97.0075
72,2021-04-05,112.44250000000002,96.865
73,2021-04-06,112.73250000000004,97.155
74,2021-04-07,112.73750000000004,97.16
75,2021-04-08,112.93750000000004,97.36
76,2021-04-09,112.86250000000004,97.285
77,2021-04-13,112.99750000000004,97.42
78,2021-04-14,113.05750000000003,97.48
79,2021-04-15,113.33250000000002,97.755
80,2021-04-16,113.22750000000003,97.65
81,2021-04-19,113.28250000000004,97.705
82,2021-04-20,113.37250000000004,97.795
83,2021-04-21,113.36250000000004,97.785
84,2021-04-22,113.38250000000004,97.805
85,2021-04-23,113.26250000000005,97.685
86,2021-04-26,113.22750000000003,97.65
87,2021-04-27,113.06750000000002,97.49
88,2021-04-28,113.08250000000002,97.505
89,2021-04-29,113.04750000000004,97.47
90,2021-04-30,113.14250000000004,97.565
91,2021-05-03,113.24750000000004,97.67
92,2021-05-04,113.30750000000003,97.73
