,index,adjusted,underlying
0,1973-12-19,1259.0,472.0
1,1973-12-20,1249.0,462.0
2,1973-12-21,1241.0,454.0
3,1973-12-26,1221.0,434.0
4,1973-12-27,1225.0,438.0
5,1973-12-28,1234.0,447.0
6,1973-12-31,1247.0,460.0
7,1974-01-02,1254.0,467.0
8,1974-01-03,1246.0,459.0
9,1974-01-04,1258.0,471.0
10,1974-01-07,1276.0,489.0
11,1974-01-08,1279.0,492.0
12,1974-01-09,1258.5,471.5
13,1974-01-10,1278.5,491.5
14,1974-01-11,1277.0,490.0
15,1974-01-14,1292.0,505.0
16,1974-01-15,1291.0,504.0
17,1974-01-16,1277.0,490.0
18,1974-01-17,1277.0,490.0
19,1974-01-18,1266.0,479.0
20,1974-01-21,1277.0,490.0
21,1974-01-22,1263.0,476.0
22,1974-01-23,1243.0,456.0
23,1974-01-24,1249.0,462.0
24,1974-01-25,1269.0,482.0
25,1974-01-28,1287.0,500.0
26,1974-01-29,1274.0,487.0
27,1974-01-30,1269.0,482.0
28,1974-01-31,1273.0,486.0
29,1974-02-01,1276.0,489.0
30,1974-02-04,1263.0,476.0
31,1974-02-05,1270.0,483.0
32,1974-02-06,1263.0,476.0
33,1974-02-07,1268.0,481.0
34,1974-02-08,1275.0,488.0
35,1974-02-11,1285.0,498.0
36,1974-02-13,1285.0,498.0
37,1974-02-14,1299.0,512.0
38,1974-02-15,1316.0,529.0
39,1974-02-19,1309.0,522.0
40,1974-02-20,1322.0,535.0
41,1974-02-21,1322.0,535.0
42,1974-02-22,1335.0,548.0
43,1974-02-25,1355.5,568.5
44,1974-02-26,1347.0,560.0
45,1974-02-27,1326.0,539.0
46,1974-02-28,1313.5,526.5
47,1974-03-01,1331.0,544.0
48,1974-03-04,1320.0,533.0
49,1974-03-05,1299.5,512.5
50,1974-03-06,1282.0,495.0
51,1974-03-07,1302.0,515.0
52,1974-03-08,1283.0,496.0
53,1974-03-11,1275.0,488.0
54,1974-03-12,1282.0,495.0
55,1974-03-13,1283.0,496.0
56,1974-03-14,1275.0,488.0
57,1974-03-15,1255.0,468.0
58,1974-03-18,1254.0,467.0
59,1974-03-19,1245.0,458.0
60,1974-03-20,1224.0,437.0
61,1974-03-21,1218.0,431.0
62,1974-03-22,1231.0,444.0
63,1974-03-25,1219.0,432.0
64,1974-03-26,1234.0,447.0
65,1974-03-27,1215.5,428.5
66,1974-03-28,1201.0,414.0
67,1974-03-29,1196.0,409.0
68,1974-04-01,1186.0,399.0
69,1974-04-02,1174.0,387.0
70,1974-04-03,1193.0,406.0
71,1974-04-04,1196.0,409.0
72,1974-04-05,1187.0,400.0
73,1974-04-08,1191.0,404.0
74,1974-04-09,1193.0,406.0
75,1974-04-10,1197.0,410.0
76,1974-04-11,1200.0,413.0
77,1974-04-15,1219.0,432.0
78,1974-04-16,1207.0,420.0
79,1974-04-17,1198.0,411.0
80,1974-04-18,1195.0,408.0
81,1974-04-19,1193.0,406.0
82,1974-04-22,1196.0,409.0
83,1974-04-23,1193.0,406.0
84,1974-04-24,1194.0,407.0
85,1974-04-25,1214.0,427.0
86,1974-04-26,1194.0,407.0
87,1974-04-29,1175.0,388.0
88,1974-04-30,1174.0,387.0
89,1974-05-01,1162.0,375.0
90,1974-05-02,1162.0,375.0
91,1974-05-03,1155.0,368.0
92,1974-05-06,1134.5,347.5
93,1974-05-07,1140.0,353.0
94,1974-05-08,1154.0,367.0
95,1974-05-09,1139.0,352.0
96,1974-05-10,1146.5,359.5
97,1974-05-13,1158.0,371.0
98,1974-05-14,1155.0,368.0
99,1974-05-15,1170.0,383.0
100,1974-05-16,1170.75,383.75
101,1974-05-17,1155.0,368.0
102,1974-05-20,1143.0,356.0
103,1974-05-21,1147.0,360.0
104,1974-05-22,1142.0,355.0
105,1974-05-23,1141.0,354.0
106,1974-05-24,1140.0,353.0
107,1974-05-28,1149.0,362.0
108,1974-05-29,1164.0,377.0
109,1974-05-30,1159.0,372.0
110,1974-05-31,1152.0,365.0
111,1974-06-03,1153.0,366.0
112,1974-06-04,1158.0,371.0
