index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2009-08-18,284.45,20091000,284.4,20090900
2009-08-19,284.15,20091000,284.1,20090900
2009-08-20,288.15,20091000,288.2,20090900
2009-08-21,294.6,20091000,294.6,20090900
2009-08-24,297.8,20091000,297.8,20090900
2009-08-25,300.0,20091000,300.0,20090900
2009-08-26,298.7,20091000,298.7,20090900
2009-08-27,297.0,20091000,296.95,20090900
2009-08-28,300.3,20091000,300.3,20090900
2009-08-31,296.7,20091000,296.7,20090900
2009-09-01,291.15,20091000,291.15,20090900
2009-09-02,289.25,20091000,289.25,20090900
2009-09-03,289.1,20091000,289.1,20090900
2009-09-04,292.95,20091000,292.95,20090900
2009-09-07,298.75,20091000,298.7,20090900
2009-09-08,300.85,20091000,300.8,20090900
2009-09-09,304.25,20091000,304.2,20090900
2009-09-10,306.1,20091000,306.05,20090900
2009-09-11,307.9,20091000,307.85,20090900
2009-09-14,306.85,20091000,306.8,20090900
2009-09-15,308.4,20091000,308.4,20090900
2009-09-16,312.7,20091000,312.7,20090900
2009-09-17,312.5,20091100,313.8,20091000
2009-09-18,312.1,20091100,313.5,20091000
2009-09-21,310.2,20091100,311.55,20091000
2009-09-22,311.45,20091100,312.8,20091000
2009-09-23,312.1,20091100,313.35,20091000
2009-09-24,307.35,20091100,308.7,20091000
2009-09-25,304.35,20091100,305.65,20091000
2009-09-28,310.85,20091100,312.2,20091000
2009-09-29,310.95,20091100,312.25,20091000
2009-09-30,310.7,20091100,312.0,20091000
2009-10-01,304.25,20091100,305.6,20091000
2009-10-02,298.05,20091100,299.3,20091000
2009-10-05,299.75,20091100,301.05,20091000
2009-10-06,308.1,20091100,309.35,20091000
2009-10-07,307.95,20091100,309.2,20091000
2009-10-08,313.5,20091100,314.75,20091000
2009-10-09,314.4,20091100,315.65,20091000
2009-10-12,319.35,20091100,320.65,20091000
2009-10-13,318.15,20091100,319.4,20091000
2009-10-14,324.15,20091100,325.35,20091000
2009-10-15,324.2,20091100,325.3,20091000
2009-10-16,321.0,20091100,324.04,20091000
2009-10-19,326.0,20091200,325.95,20091100
2009-10-20,324.15,20091200,324.05,20091100
2009-10-21,324.4,20091200,324.35,20091100
2009-10-22,319.85,20091200,319.8,20091100
2009-10-23,319.15,20091200,319.1,20091100
2009-10-26,311.65,20091200,311.55,20091100
2009-10-27,310.3,20091200,310.2,20091100
2009-10-28,302.45,20091200,302.35,20091100
2009-10-29,308.65,20091200,308.55,20091100
2009-10-30,301.55,20091200,301.5,20091100
2009-11-02,301.7,20091200,301.55,20091100
2009-11-03,299.2,20091200,299.1,20091100
2009-11-04,305.1,20091200,305.0,20091100
2009-11-05,307.15,20091200,307.1,20091100
2009-11-06,306.65,20091200,306.55,20091100
2009-11-09,313.9,20091200,313.85,20091100
2009-11-10,312.85,20091200,312.75,20091100
2009-11-11,317.4,20091200,317.35,20091100
2009-11-12,316.2,20091200,316.1,20091100
2009-11-13,316.85,20091200,316.8,20091100
2009-11-16,321.8,20091200,321.7,20091100
2009-11-17,320.6,20091200,320.45,20091100
2009-11-18,319.55,20100100,319.45,20091200
2009-11-19,313.45,20100100,313.35,20091200
2009-11-20,310.25,20100100,310.15,20091200
2009-11-23,317.45,20100100,317.3,20091200
2009-11-24,316.0,20100100,315.85,20091200
2009-11-25,318.6,20100100,318.45,20091200
2009-11-26,307.3,20100100,307.2,20091200
2009-11-27,309.85,20100100,309.75,20091200
2009-11-30,305.8,20100100,305.7,20091200
2009-12-01,315.6,20100100,315.45,20091200
2009-12-02,316.8,20100100,316.65,20091200
2009-12-03,317.8,20100100,317.7,20091200
2009-12-04,321.3,20100100,321.15,20091200
2009-12-07,320.5,20100100,320.4,20091200
2009-12-08,315.8,20100100,315.7,20091200
2009-12-09,313.0,20100100,312.85,20091200
2009-12-10,317.65,20100100,317.5,20091200
2009-12-11,320.2,20100100,320.1,20091200
2009-12-14,322.5,20100100,322.4,20091200
2009-12-15,325.45,20100100,325.3,20091200
